<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,19970424,000000,1.40532,1.40532,1.40532,1.40532,2256150.7273815563,0
APT,D,19970425,000000,1.34759,1.34759,1.34759,1.34759,1060076.6782761752,0
APT,D,19970428,000000,1.22533,1.22533,1.22533,1.22533,510049.7720610066,0
APT,D,19970429,000000,1.12659,1.12659,1.12659,1.12659,2105004.875602,0
APT,D,19970430,000000,1.19044,1.19044,1.19044,1.19044,893017.5983381809,0
APT,D,19970505,000000,1.17887,1.17887,1.17887,1.17887,1736396.721253248,0
APT,D,19970506,000000,1.25458,1.25458,1.25458,1.25458,2113580.2967586736,0
APT,D,19970507,000000,1.24875,1.24875,1.24875,1.24875,1050711.4019317061,0
APT,D,19970508,000000,1.28938,1.28938,1.28938,1.28938,934183.1768541469,0
APT,D,19970509,000000,1.35887,1.35887,1.35887,1.35887,909465.4172262888,0
APT,D,19970512,000000,1.39385,1.39385,1.39385,1.39385,1258131.5588765847,0
APT,D,19970513,000000,1.39969,1.39969,1.39969,1.39969,854979.0094327388,0
APT,D,19970514,000000,1.3126,1.3126,1.3126,1.3126,446889.60352447175,0
APT,D,19970515,000000,1.35887,1.35887,1.35887,1.35887,411429.81334432156,0
APT,D,19970516,000000,1.34759,1.34759,1.34759,1.34759,336290.00010052475,0
APT,D,19970519,000000,1.37072,1.37072,1.37072,1.37072,275104.9926160683,0
APT,D,19970520,000000,1.37072,1.37072,1.37072,1.37072,165855.98925473975,0
APT,D,19970521,000000,1.3299,1.3299,1.3299,1.3299,482892.35376077145,0
APT,D,19970522,000000,1.3126,1.3126,1.3126,1.3126,534091.7085746472,0
APT,D,19970523,000000,1.17887,1.17887,1.17887,1.17887,456758.0856241691,0
APT,D,19970526,000000,1.19044,1.19044,1.19044,1.19044,392887.5705016396,0
APT,D,19970527,000000,1.16157,1.16157,1.16157,1.16157,474298.10161945404,0
APT,D,19970528,000000,1.16157,1.16157,1.16157,1.16157,379393.0776993529,0
APT,D,19970530,000000,1.2195,1.2195,1.2195,1.2195,283099.7917474067,0
APT,D,19970602,000000,1.17887,1.17887,1.17887,1.17887,151139.57478463676,0
APT,D,19970603,000000,1.20219,1.20219,1.20219,1.20219,316267.43263459526,0
APT,D,19970604,000000,1.17887,1.17887,1.17887,1.17887,441094.8910946821,0
APT,D,19970605,000000,1.16722,1.16722,1.16722,1.16722,282568.3395151658,0
APT,D,19970606,000000,1.19044,1.19044,1.19044,1.19044,123663.07591190614,0
APT,D,19970609,000000,1.21387,1.21387,1.21387,1.21387,161311.44496966564,0
APT,D,19970610,000000,1.18481,1.18481,1.18481,1.18481,358793.0267054761,0
APT,D,19970611,000000,1.16722,1.16722,1.16722,1.16722,170952.9090882803,0
APT,D,19970612,000000,1.26595,1.26595,1.26595,1.26595,513571.1661824478,0
APT,D,19970613,000000,1.29511,1.29511,1.29511,1.29511,545170.6045182315,0
APT,D,19970616,000000,1.27179,1.27179,1.27179,1.27179,187187.31015083668,0
APT,D,19970617,000000,1.25458,1.25458,1.25458,1.25458,167654.3482846766,0
APT,D,19970618,000000,1.25458,1.25458,1.25458,1.25458,635378.3439447918,0
APT,D,19970619,000000,1.27179,1.27179,1.27179,1.27179,1082814.0460228624,0
APT,D,19970620,000000,1.3126,1.3126,1.3126,1.3126,497551.22911123885,0
APT,D,19970623,000000,1.27179,1.27179,1.27179,1.27179,314154.17769539775,0
APT,D,19970624,000000,1.27179,1.27179,1.27179,1.27179,602014.0238850424,0
APT,D,19970625,000000,1.3299,1.3299,1.3299,1.3299,597989.4240082802,0
APT,D,19970626,000000,1.3126,1.3126,1.3126,1.3126,1257398.1966428142,0
APT,D,19970627,000000,1.3299,1.3299,1.3299,1.3299,499165.46295836044,0
APT,D,19970630,000000,1.3299,1.3299,1.3299,1.3299,351481.3738490392,0
APT,D,19970701,000000,1.30667,1.30667,1.30667,1.30667,248813.79960774386,0
APT,D,19970702,000000,1.30667,1.30667,1.30667,1.30667,191845.88650936552,0
APT,D,19970703,000000,1.31843,1.31843,1.31843,1.31843,263747.81656663324,0
APT,D,19970704,000000,1.37072,1.37072,1.37072,1.37072,383596.5719298793,0
APT,D,19970707,000000,1.37072,1.37072,1.37072,1.37072,299200.283586089,0
APT,D,19970708,000000,1.37646,1.37646,1.37646,1.37646,97022.4635225469,0
APT,D,19970709,000000,1.42864,1.42864,1.42864,1.42864,271923.602383348,0
APT,D,19970710,000000,1.42864,1.42864,1.42864,1.42864,1125890.9694764034,0
APT,D,19970711,000000,1.42291,1.42291,1.42291,1.42291,942873.6762501119,0
APT,D,19970714,000000,1.37072,1.37072,1.37072,1.37072,254248.6309983828,0
APT,D,19970715,000000,1.26595,1.26595,1.26595,1.26595,309034.2422140091,0
APT,D,19970716,000000,1.30667,1.30667,1.30667,1.30667,324165.9845112759,0
APT,D,19970717,000000,1.3126,1.3126,1.3126,1.3126,225527.19480998794,0
APT,D,19970718,000000,1.34759,1.34759,1.34759,1.34759,491147.64817916363,0
APT,D,19970721,000000,1.3299,1.3299,1.3299,1.3299,248617.12043518297,0
APT,D,19970722,000000,1.3299,1.3299,1.3299,1.3299,93882.91992229302,0
APT,D,19970723,000000,1.33574,1.33574,1.33574,1.33574,194769.91995245044,0
APT,D,19970724,000000,1.33574,1.33574,1.33574,1.33574,255828.34137371686,0
APT,D,19970725,000000,1.33574,1.33574,1.33574,1.33574,300029.8930745999,0
APT,D,19970728,000000,1.30667,1.30667,1.30667,1.30667,150963.81892831167,0
APT,D,19970729,000000,1.27179,1.27179,1.27179,1.27179,598064.7479467021,0
APT,D,19970730,000000,1.3126,1.3126,1.3126,1.3126,162302.1639931438,0
APT,D,19970731,000000,1.35342,1.35342,1.35342,1.35342,375660.3580839825,0
APT,D,19970801,000000,1.34759,1.34759,1.34759,1.34759,405561.8693077324,0
APT,D,19970804,000000,1.38812,1.38812,1.38812,1.38812,121810.31625977269,0
APT,D,19970805,000000,1.42291,1.42291,1.42291,1.42291,207729.8220250779,0
APT,D,19970806,000000,1.45188,1.45188,1.45188,1.45188,416921.13768879,0
APT,D,19970807,000000,1.44604,1.44604,1.44604,1.44604,328708.4364647274,0
APT,D,19970808,000000,1.48667,1.48667,1.48667,1.48667,364011.30177314515,0
APT,D,19970811,000000,1.63187,1.63187,1.63187,1.63187,1252797.1594039313,0
APT,D,19970812,000000,1.61456,1.61456,1.61456,1.61456,156868.3787683109,0
APT,D,19970813,000000,1.57967,1.57967,1.57967,1.57967,137138.73772958995,0
APT,D,19970814,000000,1.57384,1.57384,1.57384,1.57384,340343.8926200131,0
APT,D,19970818,000000,1.57967,1.57967,1.57967,1.57967,209783.4455130173,0
APT,D,19970819,000000,1.53914,1.53914,1.53914,1.53914,272868.29011111974,0
APT,D,19970820,000000,1.52146,1.52146,1.52146,1.52146,86061.78431566225,0
APT,D,19970821,000000,1.46344,1.46344,1.46344,1.46344,196963.72965912128,0
APT,D,19970822,000000,1.42291,1.42291,1.42291,1.42291,398257.53961196926,0
APT,D,19970825,000000,1.42291,1.42291,1.42291,1.42291,228566.30649234395,0
APT,D,19970826,000000,1.40532,1.40532,1.40532,1.40532,290606.031444782,0
APT,D,19970827,000000,1.44604,1.44604,1.44604,1.44604,227285.79953908603,0
APT,D,19970828,000000,1.48667,1.48667,1.48667,1.48667,350512.624307603,0
APT,D,19970829,000000,1.46936,1.46936,1.46936,1.46936,502409.62313975726,0
APT,D,19970901,000000,1.42291,1.42291,1.42291,1.42291,55800.3920527669,0
APT,D,19970902,000000,1.4577,1.4577,1.4577,1.4577,82443.09677374973,0
APT,D,19970903,000000,1.51591,1.51591,1.51591,1.51591,250492.89573516443,0
