<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20071030,000000,3.02724,3.21961,2.88715,3.01389,299019.5403270421,0
ASB,D,20071031,000000,3.00948,3.00948,2.90897,2.90897,50395.69169919207,0
ASB,D,20071102,000000,2.93086,2.99631,2.90897,2.95268,56418.236994816805,0
ASB,D,20071105,000000,3.00948,3.00948,2.90897,2.90897,43964.91345665533,0
ASB,D,20071106,000000,2.95268,2.95268,2.93086,2.95268,30252.50188929251,0
ASB,D,20071107,000000,2.95268,2.9571,2.79962,2.79962,100827.99124416735,0
ASB,D,20071108,000000,2.82162,2.88274,2.54154,2.88274,75379.99178172131,0
ASB,D,20071109,000000,2.69028,2.88715,2.69028,2.88274,32765.131304394316,0
ASB,D,20071112,000000,3.01389,3.01389,2.71218,2.84343,25877.309653900607,0
ASB,D,20071113,000000,2.88715,2.90031,2.84343,2.84343,119734.27959806604,0
ASB,D,20071114,000000,3.0184,3.0184,2.84343,2.94836,783.1860340229674,0
ASB,D,20071115,000000,2.84343,2.90031,2.6333,2.90031,13165.51253793883,0
ASB,D,20071116,000000,2.83892,2.84343,2.83892,2.84343,2990.75006760051,0
ASB,D,20071119,000000,2.88715,2.90031,2.88715,2.90031,225.1937179981036,0
ASB,D,20071120,000000,2.88715,2.88715,2.72958,2.72958,1081.5954435869423,0
ASB,D,20071121,000000,2.594,2.594,2.40587,2.40587,3294.7061204649335,0
ASB,D,20071122,000000,2.40587,2.40587,2.40587,2.40587,1600.7612565087406,0
ASB,D,20071123,000000,2.19159,2.70776,2.19159,2.70776,1029.4569965627886,0
ASB,D,20071126,000000,2.88274,2.90031,2.62474,2.62474,13558.214883610199,0
ASB,D,20071127,000000,2.62474,2.75139,2.62474,2.69028,1950.1997844367631,0
ASB,D,20071128,000000,2.53721,2.84343,2.53721,2.84343,27851.914668859234,0
ASB,D,20071130,000000,2.60275,2.93086,2.60275,2.93086,198753.97871353835,0
ASB,D,20071203,000000,2.93086,3.0184,2.84343,3.0184,74712.17592834696,0
ASB,D,20071205,000000,2.92655,2.97459,2.78213,2.93086,18153.054193699263,0
ASB,D,20071206,000000,2.93086,3.01389,2.93086,3.01389,20735.571314387555,0
ASB,D,20071210,000000,2.83892,2.92655,2.83892,2.84776,2351.776759389145,0
ASB,D,20071211,000000,2.84343,3.17129,2.84343,3.17129,172469.54544138984,0
ASB,D,20071212,000000,3.18021,3.18021,3.07069,3.14956,15035.840658848734,0
ASB,D,20071213,000000,3.07069,3.14523,3.07069,3.14523,1941.3251551560584,0
ASB,D,20071214,000000,3.02724,3.14956,2.84343,3.14956,233187.54032271216,0
ASB,D,20071217,000000,3.14523,3.14523,3.09268,3.09268,1498.7030197804809,0
ASB,D,20071218,000000,3.06203,3.06203,3.06203,3.06203,458.15273661683676,0
ASB,D,20071219,000000,3.14956,3.14956,3.14956,3.14956,4571.543408227588,0
