<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST,D,20060817,000000,16.9989,17.0883,16.7754,16.9542,398604.94580696,0
AST,D,20060818,000000,16.9542,17.0436,16.8648,16.9989,77380.334974234,0
AST,D,20060821,000000,17.0436,17.0436,16.0621,16.5082,7081.2413792064,0
AST,D,20060822,000000,16.0621,16.1506,15.794,15.794,4697.2019703744,0
AST,D,20060823,000000,16.0621,16.5082,15.9727,16.4188,6124.4039407968,0
AST,D,20060824,000000,16.5976,16.5976,16.0621,16.24,3486.9261083232,0
AST,D,20060825,000000,15.9727,16.24,15.9727,16.0621,6042.7881772512,0
AST,D,20060828,000000,15.7046,16.24,15.7046,15.8834,1585.0640393856,0
AST,D,20060829,000000,16.0621,16.24,15.9727,16.24,2241.2118226272,0
AST,D,20060830,000000,15.9727,16.1506,15.794,16.1506,6037.4187191232,0
AST,D,20060831,000000,16.1506,16.4188,16.0621,16.0621,8105.7339900288,0
AST,D,20060901,000000,16.0174,16.1953,15.9727,16.1953,6776.256157536,0
AST,D,20060904,000000,16.1506,16.7754,16.0621,16.0705,5018.2955664288,0
AST,D,20060905,000000,16.1953,16.5082,16.0705,16.24,3788.6896551168,0
AST,D,20060906,000000,16.24,16.5082,15.8033,16.0621,7870.5517240224,0
AST,D,20060907,000000,16.4095,16.4188,16.1953,16.3294,2690.098522128,0
AST,D,20060908,000000,16.3294,16.3294,16.1506,16.24,6748.3349752704,0
AST,D,20060911,000000,16.2577,16.3201,15.7046,16.3201,3091.7339901024,0
AST,D,20060912,000000,16.3201,16.4188,16.1059,16.1506,11338.147783085,0
AST,D,20060913,000000,15.9727,16.5082,15.9727,16.3294,26535.862068576,0
AST,D,20060914,000000,16.3741,16.3741,16.2493,16.2493,2364.7093595712,0
AST,D,20060915,000000,16.1059,16.2316,16.0174,16.1059,5098.8374383488,0
AST,D,20060918,000000,16.1059,16.1059,15.9727,15.9727,2747.0147782848,0
AST,D,20060919,000000,15.9811,15.9811,15.7139,15.8387,4626.3251230848,0
AST,D,20060920,000000,15.7046,16.3294,15.7046,16.0621,29429.999999568,0
AST,D,20060921,000000,16.0621,16.3294,16.0621,16.1506,6836.3940885696,0
AST,D,20060922,000000,16.3294,16.3294,16.1422,16.1506,4733.7142856448,0
AST,D,20060925,000000,16.24,16.3201,15.9457,16.24,20565.02463024,0
AST,D,20060926,000000,16.2223,16.686,16.2223,16.6777,46196.669950061,0
AST,D,20060927,000000,16.7754,17.0436,16.5436,16.7754,39135.832511741,0
AST,D,20060928,000000,16.9095,17.3109,16.7931,17.0436,60883.211821766,0
AST,D,20060929,000000,17.1321,17.1414,16.9542,16.9542,2352.8965516896,0
AST,D,20061002,000000,16.8648,17.1321,16.8648,16.9542,35942.078817206,0
AST,D,20061003,000000,16.9542,16.9542,16.5976,16.9542,69717.044333952,0
AST,D,20061004,000000,16.9542,16.9542,16.6153,16.6153,12595.674876662,0
AST,D,20061005,000000,16.9002,16.9002,16.5082,16.7401,731.3201970336,0
AST,D,20061006,000000,16.9449,17.1144,16.9365,17.1144,83038.66994952,0
AST,D,20061009,000000,17.1321,17.1321,16.6954,16.9542,33858.729063542,0
AST,D,20061010,000000,16.9542,17.052,16.7847,16.7847,2161.7438423328,0
AST,D,20061011,000000,16.9542,16.9542,16.0621,16.0621,24506.206896192,0
AST,D,20061012,000000,16.24,16.9449,16.0705,16.2847,3128.2463053728,0
AST,D,20061013,000000,16.1152,16.8555,16.1059,16.686,3543.84236448,0
AST,D,20061016,000000,16.686,16.8648,16.3918,16.7671,51685.330048502,0
AST,D,20061017,000000,16.9272,16.9812,16.7671,16.9542,95522.66009712,0
AST,D,20061018,000000,16.9989,17.2662,16.9542,17.1684,151406.90640172,0
AST,D,20061019,000000,17.3109,19.0066,17.3025,18.6136,109616.41379149,0
AST,D,20061020,000000,18.5866,19.1844,18.5866,19.0066,118667.17241205,0
AST,D,20061023,000000,19.0773,19.0773,18.6583,18.7384,28926.344827162,0
AST,D,20061024,000000,18.8371,18.9619,18.7384,18.9079,125264.08866811,0
AST,D,20061025,000000,18.9703,18.9703,18.2923,18.6052,12856.630541683,0
