<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC,D,20091023,000000,11.0045,11.1825,10.7206,10.9339,161065.4242752992,0
ATC,D,20091026,000000,10.9976,10.9976,10.8342,10.8634,24070.73598650113,0
ATC,D,20091027,000000,10.8634,11.062,10.7206,11.062,97151.62551428756,0
ATC,D,20091028,000000,10.9976,10.9976,10.7138,10.7284,20369.24544855078,0
ATC,D,20091029,000000,10.7352,10.7352,10.3655,10.5152,35248.46990129081,0
ATC,D,20091030,000000,10.3939,10.5083,10.3655,10.4369,26480.25166184852,0
ATC,D,20091102,000000,10.5083,10.5083,10.4016,10.4369,37735.89945224169,0
ATC,D,20091103,000000,10.4369,10.6432,10.295,10.5435,7225.058345047076,0
ATC,D,20091104,000000,10.614,10.614,10.4369,10.4369,7865.812754852474,0
ATC,D,20091105,000000,10.3303,10.6432,10.3303,10.344,8310.038135153132,0
ATC,D,20091106,000000,10.3655,10.5572,10.2589,10.5504,6787.8103267406705,0
ATC,D,20091109,000000,10.3372,11.0045,10.3372,10.7352,16390.986218161117,0
ATC,D,20091110,000000,10.8978,10.8978,10.664,10.792,13898.905092548763,0
ATC,D,20091112,000000,10.7568,10.792,10.6355,10.6355,16622.402057637453,0
ATC,D,20091113,000000,10.6846,10.7206,10.6846,10.7206,1430.359208821488,0
ATC,D,20091116,000000,10.8634,10.9623,10.6571,10.7422,15387.408984655676,0
ATC,D,20091117,000000,10.664,10.7206,10.6493,10.6493,3708.467899944492,0
ATC,D,20091118,000000,10.6493,10.6493,10.4369,10.5083,10889.336285694644,0
ATC,D,20091119,000000,10.4721,10.5366,10.387,10.4016,7566.9490827653835,0
ATC,D,20091120,000000,10.4721,10.5504,10.3732,10.5504,2000.177105018666,0
ATC,D,20091123,000000,10.3655,10.4369,10.3655,10.4086,256.9995001215844,0
ATC,D,20091124,000000,10.4086,10.4644,10.3732,10.4016,4368.991502066935,0
ATC,D,20091125,000000,10.4016,10.4292,10.3019,10.3019,3565.4319790623426,0
ATC,D,20091126,000000,10.3578,10.3578,10.1531,10.2236,2076.9280869554286,0
ATC,D,20091127,000000,9.93901,10.209,9.86852,10.1952,35148.46104603966,0
ATC,D,20091130,000000,9.98285,10.295,9.90377,10.1893,15694.412912402502,0
ATC,D,20091201,000000,10.0818,10.1101,9.95362,10.0749,15103.662930221892,0
ATC,D,20091202,000000,10.0749,10.0818,9.93901,10.0749,53305.882742413494,0
ATC,D,20091203,000000,9.94672,10.5435,9.93901,10.5435,54225.7316319886,0
ATC,D,20091204,000000,10.5289,10.6493,10.3019,10.6286,11852.212240901757,0
ATC,D,20091207,000000,10.6286,10.6286,10.4369,10.5719,12296.437621201734,0
ATC,D,20091208,000000,10.6355,11.5299,10.6355,11.2314,520807.7426558962,0
ATC,D,20091209,000000,11.3742,11.8213,11.3235,11.7147,292102.60831465997,0
ATC,D,20091210,000000,11.8498,11.8704,11.4447,11.5024,59712.26394680098,0
ATC,D,20091211,000000,11.5737,11.6365,11.3948,11.523,52389.5225338345,0
ATC,D,20091214,000000,11.4379,11.5376,11.2882,11.431,49075.27558656519,0
ATC,D,20091215,000000,11.3879,11.5024,11.3879,11.4731,41681.59765999084,0
ATC,D,20091216,000000,11.3879,11.5582,11.3673,11.5582,91083.6463666198,0
ATC,D,20091217,000000,11.5376,11.6365,11.3948,11.4946,95258.4346265134,0
ATC,D,20091218,000000,11.5376,11.5376,11.2745,11.5024,89421.87131832309,0
ATC,D,20091221,000000,11.5024,11.5376,11.4671,11.4671,27371.028209781478,0
ATC,D,20091222,000000,11.4671,11.4731,11.3235,11.4671,53025.625368976944,0
ATC,D,20091223,000000,11.4877,11.4877,11.3313,11.4808,12640.654146251685,0
