<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR,D,20081218,000000,6.13979,6.13979,5.3844,5.3844,14559.875552053463,0
ATR,D,20081219,000000,5.37634,5.85849,5.36827,5.85849,15492.037556236124,0
ATR,D,20081222,000000,5.85849,5.85849,5.58534,5.64958,14017.783868205255,0
ATR,D,20081223,000000,5.6175,5.6175,5.6175,5.6175,255.72585955448005,0
ATR,D,20081229,000000,5.62548,5.75403,5.62548,5.74605,4657.274640365462,0
ATR,D,20081230,000000,5.75403,5.84254,5.62548,5.74605,9254.447811434711,0
ATR,D,20081231,000000,5.82633,5.85849,5.77822,5.77822,5786.239494988466,0
ATR,D,20090105,000000,6.3488,6.3488,5.64958,5.7862,2923.7597122334796,0
ATR,D,20090106,000000,5.65763,6.14785,5.62548,6.14785,16507.87023335976,0
ATR,D,20090107,000000,6.02727,6.42907,5.86664,5.86664,54203.276083909266,0
ATR,D,20090108,000000,5.66561,5.75403,5.64958,5.75403,5081.520305985798,0
ATR,D,20090112,000000,5.7139,6.12375,5.7139,5.77822,2288.569673985255,0
ATR,D,20090113,000000,5.64152,6.09966,5.64152,6.09966,4079.8291510488943,0
ATR,D,20090114,000000,6.09966,6.26038,5.82633,6.18002,20789.216075578926,0
ATR,D,20090115,000000,5.94691,5.94691,5.94691,5.94691,806.0667646786376,0
ATR,D,20090116,000000,5.80232,6.09159,5.80232,5.86664,1490.752130582568,0
ATR,D,20090119,000000,6.22015,6.22015,6.22015,6.22015,1.17846018227871,0
ATR,D,20090120,000000,5.7862,5.97907,5.67367,5.97907,1093.6110491546428,0
ATR,D,20090121,000000,5.98705,5.98705,5.74605,5.74605,373.57187778235107,0
ATR,D,20090122,000000,5.70575,5.86664,5.70575,5.86664,451.350249812746,0
ATR,D,20090123,000000,5.97102,5.97102,5.63345,5.94691,438.38718780768016,0
ATR,D,20090126,000000,5.97102,5.97102,5.52908,5.60935,3961.983132821023,0
ATR,D,20090127,000000,5.60935,5.60935,5.48886,5.5772,1422.4014400104031,0
ATR,D,20090128,000000,5.60935,5.60935,5.60935,5.60935,11.7846018227871,0
ATR,D,20090129,000000,5.54503,5.54503,5.54503,5.54503,1315.1615634230402,0
ATR,D,20090130,000000,5.4808,5.4808,5.41656,5.46476,2402.88031166629,0
ATR,D,20090202,000000,5.54503,5.54503,4.7495,5.0549,8777.171437611833,0
ATR,D,20090203,000000,5.06288,5.06288,4.8218,4.8218,1284.5215986837939,0
ATR,D,20090204,000000,4.8218,4.8218,4.58072,4.6772,3352.71921858293,0
ATR,D,20090205,000000,4.33964,4.74144,4.09849,4.61289,17559.056715952778,0
ATR,D,20090206,000000,4.61289,5.53706,4.61289,4.92635,4726.803791119906,0
ATR,D,20090209,000000,4.66108,4.9585,4.66108,4.9585,4740.94531330725,0
ATR,D,20090210,000000,5.07909,5.24778,4.8218,5.24778,13053.803439101675,0
ATR,D,20090211,000000,5.36827,5.53706,5.22359,5.25576,9154.27869594102,0
ATR,D,20090212,000000,5.3844,5.3844,5.3844,5.3844,400.67646197476137,0
ATR,D,20090213,000000,5.3844,5.44066,5.3844,5.44066,544.4486042127639,0
ATR,D,20090216,000000,5.30404,5.3844,4.8218,4.8218,4106.933735241305,0
ATR,D,20090217,000000,4.66108,4.66108,4.35577,4.35577,6483.887922897462,0
ATR,D,20090218,000000,4.25123,4.25123,4.16281,4.24317,5881.694769753041,0
ATR,D,20090219,000000,4.34762,4.34762,4.33167,4.33167,1160.7832795445293,0
ATR,D,20090220,000000,4.33167,4.33167,4.33167,4.33167,11.7846018227871,0
ATR,D,20090223,000000,4.13879,4.31555,4.13879,4.31555,1605.0627682636032,0
ATR,D,20090224,000000,4.33167,4.74144,3.90569,4.74144,20508.742552195985,0
ATR,D,20090225,000000,4.61289,5.14332,4.61289,4.8218,3588.4112550386717,0
ATR,D,20090226,000000,4.86203,5.0549,4.86203,5.0549,9022.291155525805,0
ATR,D,20090227,000000,4.8218,4.98252,4.8218,4.98252,1714.6595652155231,0
ATR,D,20090302,000000,4.87807,4.87807,4.85396,4.85396,787.2114017621783,0
ATR,D,20090303,000000,4.66108,4.75748,4.57266,4.64504,15467.28989240807,0
ATR,D,20090304,000000,4.53253,4.81382,4.53253,4.81382,1083.0049075141346,0
ATR,D,20090305,000000,4.84599,5.02283,4.74144,5.02283,2558.4370557270795,0
ATR,D,20090306,000000,4.90224,5.02283,4.58072,5.02283,17178.414077077163,0
ATR,D,20090309,000000,4.74144,4.74144,4.74144,4.74144,1.17846018227871,0
ATR,D,20090310,000000,4.7495,4.7495,4.7495,4.7495,472.5625330937627,0
ATR,D,20090311,000000,4.7495,4.8218,4.7495,4.8218,7.07076109367226,0
ATR,D,20090312,000000,4.7495,4.8218,4.7495,4.8218,770.7129592102763,0
ATR,D,20090313,000000,4.74144,5.4567,4.74144,5.4567,7588.1051136926135,0
ATR,D,20090316,000000,4.9182,5.26382,4.9182,5.14332,2549.00937426885,0
ATR,D,20090317,000000,5.4567,5.4567,5.30404,5.30404,471.384072911484,0
ATR,D,20090318,000000,5.4567,5.4567,5.40044,5.42454,1270.3800764964494,0
ATR,D,20090319,000000,5.4085,5.54503,5.4085,5.54503,124.91677932154326,0
ATR,D,20090320,000000,5.60935,5.60935,5.60935,5.60935,36.53226565064001,0
ATR,D,20090323,000000,5.66561,5.94691,5.58534,5.94691,1688.7334412053913,0
ATR,D,20090324,000000,5.97102,6.00317,5.94691,5.94691,1087.7187482432494,0
ATR,D,20090325,000000,6.02727,6.02727,5.90669,5.90669,414.8179841621059,0
ATR,D,20090326,000000,6.18799,6.18799,6.18799,6.18799,2.35692036455742,0
ATR,D,20090327,000000,6.18799,6.18799,6.10763,6.10763,64.81531002532905,0
ATR,D,20090330,000000,6.10763,6.10763,6.10763,6.10763,2.35692036455742,0
ATR,D,20090331,000000,6.10763,6.10763,6.10763,6.10763,2.35692036455742,0
ATR,D,20090401,000000,6.10763,6.10763,5.7862,5.7862,2.35692036455742,0
ATR,D,20090402,000000,5.86664,6.18799,5.86664,6.18799,451.350249812746,0
ATR,D,20090403,000000,6.10763,6.18799,5.86664,6.18799,2851.8736411144782,0
ATR,D,20090406,000000,6.18799,6.33259,6.18799,6.21217,4684.3792245578725,0
ATR,D,20090407,000000,6.26835,6.3488,6.25231,6.26835,4261.312019119816,0
ATR,D,20090408,000000,6.26835,6.3488,6.22015,6.3488,7676.489627363517,0
ATR,D,20090409,000000,6.38884,6.67015,6.3488,6.67015,11763.389539506488,0
ATR,D,20090414,000000,6.67015,6.67015,6.38884,6.38884,4660.810020912298,0
ATR,D,20090415,000000,6.3488,6.42101,6.3488,6.42101,4522.930179585689,0
ATR,D,20090416,000000,6.29253,6.67015,6.29253,6.66217,7947.53546928762,0
ATR,D,20090417,000000,6.50145,6.67015,6.50145,6.67015,366.50111668867885,0
ATR,D,20090420,000000,6.63001,6.63001,6.26835,6.30857,3166.522509782894,0
ATR,D,20090421,000000,6.31663,6.50943,6.31663,6.3488,831.9928886887692,0
ATR,D,20090422,000000,6.3488,6.87109,6.3488,6.87109,8778.34989779411,0
ATR,D,20090423,000000,6.9113,7.32116,6.9113,7.28103,9894.351690412048,0
ATR,D,20090424,000000,7.3854,7.53814,7.28103,7.51405,6439.106435970872,0
ATR,D,20090427,000000,7.55418,7.55418,6.9113,7.27288,3159.451748689222,0
ATR,D,20090428,000000,7.58634,9.95704,7.58634,9.24087,39811.920337921256,0
ATR,D,20090429,000000,10.3516,10.3516,9.24087,9.61848,54468.42962492198,0
ATR,D,20090430,000000,9.63546,9.63546,9.24087,9.48357,18490.04025995296,0
ATR,D,20090504,000000,9.63546,9.63546,9.32233,9.48357,10656.815428345968,0
ATR,D,20090505,000000,9.65157,9.79583,9.64394,9.64394,5010.812695049075,0
ATR,D,20090506,000000,9.64394,9.64394,9.60406,9.60406,4297.8442847704555,0
ATR,D,20090507,000000,9.6117,9.6117,9.24087,9.48357,10534.255569389185,0
ATR,D,20090508,000000,9.24936,9.38597,9.24936,9.35543,9596.201264295534,0
