<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,D,20190514,000000,19.6059,19.7835,18.3141,18.8331,441139.3832511347,0
BBT,D,20190515,000000,19.0921,23.5845,19.0921,23.5845,376399.8323945061,0
BBT,D,20190516,000000,24.7072,25.5711,21.1654,21.5969,400839.272788301,0
BBT,D,20190517,000000,21.5969,22.634,20.0679,21.9426,170870.41165133732,0
BBT,D,20190520,000000,22.2883,22.2883,20.1284,20.2326,56657.81903628411,0
BBT,D,20190521,000000,20.3017,20.9922,19.1096,19.7835,70188.69252936011,0
BBT,D,20190522,000000,19.507,19.507,17.3252,17.8564,189845.85634814214,0
BBT,D,20190523,000000,17.537,18.6861,17.2954,18.1846,36713.434910153264,0
BBT,D,20190524,000000,18.3141,21.3378,18.1504,21.3378,142051.31933226765,0
BBT,D,20190527,000000,20.9064,21.3125,19.6147,20.215,83003.14500570348,0
BBT,D,20190528,000000,20.3874,21.1654,19.8868,20.0426,40294.397376568704,0
BBT,D,20190529,000000,20.2841,20.3874,18.9022,19.5236,26693.824231148206,0
BBT,D,20190530,000000,18.8331,20.5607,17.796,19.1009,114988.42972887216,0
BBT,D,20190531,000000,19.1009,19.5157,18.3491,18.8331,29398.399265610864,0
BBT,D,20190603,000000,19.0054,19.2995,18.4874,18.4874,12460.241128355752,0
BBT,D,20190604,000000,18.574,19.2558,18.574,18.7893,16265.15657607918,0
BBT,D,20190605,000000,18.7464,19.2646,18.4962,18.8331,11971.200944684888,0
BBT,D,20190606,000000,18.6599,18.6599,16.8455,17.8739,82394.13001061749,0
BBT,D,20190607,000000,17.7015,18.1416,17.3164,17.537,35905.60451329408,0
BBT,D,20190610,000000,17.7015,17.7015,16.8455,17.2779,26974.908075033305,0
BBT,D,20190611,000000,16.7597,17.2779,16.4228,16.5007,23980.10825867194,0
BBT,D,20190612,000000,16.4228,16.9234,14.928,15.2046,50875.03312609517,0
BBT,D,20190613,000000,15.2046,16.414,15.0313,15.0313,25644.901594207895,0
BBT,D,20190614,000000,15.4811,15.896,14.928,15.756,12332.267996181117,0
BBT,D,20190617,000000,15.9817,15.9817,15.118,15.636,3203.8987733985678,0
BBT,D,20190618,000000,15.896,15.896,14.8588,15.2046,9377.459783624152,0
BBT,D,20190619,000000,15.2046,15.2046,13.9951,14.0983,34451.05275204781,0
BBT,D,20190621,000000,14.1675,15.075,14.1675,14.6917,22901.477573191107,0
BBT,D,20190624,000000,14.6865,14.6865,13.9259,14.3233,6876.270619940346,0
BBT,D,20190625,000000,14.3233,15.2824,13.0533,14.8588,40232.69604498478,0
BBT,D,20190626,000000,14.6173,15.0662,14.178,14.9018,4492.771033168035,0
BBT,D,20190627,000000,15.1618,15.7227,14.7346,14.9018,15790.970416679633,0
BBT,D,20190628,000000,15.118,15.4374,14.5998,15.2912,10076.74154158418,0
BBT,D,20190701,000000,15.8889,16.4053,15.2912,15.9817,25802.582774924107,0
BBT,D,20190702,000000,15.9388,18.0384,15.9388,17.4502,62260.07142072599,0
BBT,D,20190703,000000,17.4502,17.4502,16.6924,17.1912,18901.174575449306,0
BBT,D,20190704,000000,17.2263,17.2779,15.9817,16.414,24062.376700784884,0
BBT,D,20190705,000000,16.2407,16.414,15.636,15.9388,25632.332804440506,0
BBT,D,20190708,000000,16.2845,16.414,15.7227,16.0684,7031.666566153685,0
BBT,D,20190709,000000,16.2407,16.6732,16.0684,16.414,5682.235592051,0
BBT,D,20190710,000000,16.6627,16.7597,16.2407,16.4833,5074.363214216464,0
BBT,D,20190711,000000,16.6679,16.6679,16.1375,16.6285,3482.697382781325,0
BBT,D,20190712,000000,16.6215,16.6215,16.414,16.414,2479.4794359040798,0
