<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCM,D,20040302,000000,8.7194,8.84399,8.42205,8.44704,382856.2173811607,0
BCM,D,20040303,000000,8.47113,8.4966,8.19877,8.24742,68489.95252369196,0
BCM,D,20040304,000000,8.10055,8.19877,7.90098,8.10055,62463.73403633073,0
BCM,D,20040305,000000,7.97553,8.2738,7.92325,7.95054,35224.7866034954,0
BCM,D,20040308,000000,7.82552,7.90098,7.70136,7.72683,41833.8327912766,0
BCM,D,20040309,000000,7.57586,7.62589,7.45222,7.45222,39784.03876564863,0
BCM,D,20040310,000000,7.45222,7.70136,7.45222,7.70136,12573.682880381071,0
BCM,D,20040311,000000,7.6518,7.6518,7.45222,7.6518,23803.563025076848,0
BCM,D,20040312,000000,7.57586,7.70136,7.52768,7.62589,33964.55916070052,0
BCM,D,20040315,000000,7.60271,7.60271,7.50403,7.57586,9670.541127345734,0
BCM,D,20040316,000000,7.50403,7.57586,7.40266,7.57586,5076.099368186026,0
BCM,D,20040317,000000,7.57586,7.57586,7.42899,7.45222,93171.05612411811,0
BCM,D,20040318,000000,7.45222,7.45222,7.2785,7.32763,22604.917377043315,0
BCM,D,20040319,000000,7.45222,7.55315,7.00661,7.20576,1695692.107700746,0
BCM,D,20040322,000000,7.18029,7.25532,7.10483,7.15396,12582.480279632693,0
BCM,D,20040323,000000,7.15396,7.55315,7.10483,7.42899,56162.59682235631,0
BCM,D,20040324,000000,7.35353,7.35353,7.22894,7.2785,15001.765073828805,0
BCM,D,20040325,000000,7.25532,7.25532,7.18029,7.20576,33247.571121693305,0
BCM,D,20040326,000000,7.20576,7.20576,7.08165,7.08165,49793.27976418181,0
BCM,D,20040329,000000,7.10483,7.20576,7.08165,7.10483,36161.70962379317,0
BCM,D,20040330,000000,7.2785,7.2785,7.05527,7.05527,50932.54296726689,0
BCM,D,20040331,000000,7.05527,7.08165,7.02889,7.05527,18397.561184954986,0
BCM,D,20040401,000000,7.08165,7.08165,7.05527,7.08165,5465.3842850703095,0
BCM,D,20040402,000000,7.13073,7.18029,7.05527,7.13073,16501.721646230395,0
BCM,D,20040405,000000,7.08165,7.08165,6.90797,6.95706,64247.406734597134,0
BCM,D,20040406,000000,6.95706,6.95706,6.83246,6.83246,12765.026314103854,0
BCM,D,20040407,000000,6.83246,6.83246,6.757,6.78381,7651.537999098434,0
BCM,D,20040408,000000,6.88202,7.08165,6.85564,7.05527,46643.81083210106,0
BCM,D,20040413,000000,7.15396,7.15396,7.08165,7.15396,24474.36471801304,0
BCM,D,20040414,000000,7.20576,7.25532,7.13073,7.13073,43316.19456517495,0
BCM,D,20040415,000000,7.13073,7.13073,7.02889,7.13073,2476.4678893316573,0
BCM,D,20040416,000000,7.02889,7.13073,6.95706,7.10483,17515.621909979858,0
BCM,D,20040419,000000,6.95706,6.95706,6.83246,6.83246,24619.52180566481,0
BCM,D,20040420,000000,6.83246,6.83246,6.58376,6.60694,31727.82040097557,0
BCM,D,20040421,000000,6.58376,6.83246,6.58376,6.78381,20143.844936401998,0
BCM,D,20040422,000000,6.65831,6.757,6.65831,6.757,2093.7810218860905,0
BCM,D,20040423,000000,6.80699,6.80699,6.60694,6.68197,11546.586517754175,0
BCM,D,20040426,000000,6.68197,6.68197,6.65831,6.68197,2201.5491627184624,0
BCM,D,20040427,000000,6.55786,6.70835,6.55786,6.58376,7966.045022343928,0
BCM,D,20040428,000000,6.55786,6.58376,6.55786,6.55786,7174.279089697928,0
BCM,D,20040429,000000,6.48512,6.68197,6.45917,6.68197,6633.239035723161,0
BCM,D,20040430,000000,6.48512,6.757,6.45917,6.7311,4517.464515708014,0
BCM,D,20040504,000000,6.7311,6.7311,6.55786,6.68197,910.5308225429006,0
BCM,D,20040505,000000,6.70835,6.70835,6.48512,6.65831,2949.328099106352,0
BCM,D,20040506,000000,6.48512,6.63332,6.48512,6.60694,11542.187818128363,0
BCM,D,20040507,000000,6.58376,6.58376,6.41009,6.53468,8498.287677067072,0
BCM,D,20040510,000000,6.21003,6.21003,5.98766,6.18728,19228.915414233285,0
BCM,D,20040511,000000,6.21003,6.33505,5.46659,5.93858,35114.81911285013,0
BCM,D,20040512,000000,5.93858,6.18728,5.93858,6.18728,5331.223946483071,0
BCM,D,20040513,000000,5.93858,5.96176,5.73895,5.91177,10444.71226148849,0
BCM,D,20040514,000000,5.73895,5.96176,5.73895,5.96176,2595.2327792285573,0
BCM,D,20040517,000000,5.73895,5.81399,5.6903,5.71305,16312.577562320517,0
BCM,D,20040518,000000,5.6903,5.81399,5.6903,5.7649,1968.4180825504736,0
BCM,D,20040519,000000,5.7649,5.93858,5.7649,5.78761,13079.533337349349,0
BCM,D,20040520,000000,5.81399,5.81399,5.66397,5.73895,4596.641108972614,0
BCM,D,20040521,000000,5.73895,6.06269,5.73895,5.96176,23794.76562582522,0
BCM,D,20040524,000000,5.96176,6.01089,5.96176,6.01089,246.3271790454224,0
BCM,D,20040525,000000,5.96176,5.96176,5.88902,5.96176,2584.2360301640297,0
BCM,D,20040526,000000,5.78761,5.86355,5.78761,5.83673,4163.36919583022,0
BCM,D,20040527,000000,5.88902,5.93858,5.73895,5.93858,4787.984542695398,0
BCM,D,20040528,000000,5.88902,5.91177,5.83673,5.91177,3908.244617533175,0
BCM,D,20040531,000000,5.93858,6.03679,5.93858,6.03679,1189.8482487819062,0
BCM,D,20040601,000000,5.98766,5.98766,5.98766,5.98766,908.3314727299951,0
BCM,D,20040602,000000,5.98766,6.03679,5.93858,5.93858,5672.123167483432,0
BCM,D,20040603,000000,5.88902,5.96176,5.83673,5.93858,7451.3971661240275,0
BCM,D,20040604,000000,5.83673,5.91177,5.83673,5.91177,4809.978040824453,0
BCM,D,20040607,000000,5.83673,5.83673,5.71305,5.73895,5106.890265566703,0
BCM,D,20040608,000000,5.73895,5.78761,5.66397,5.78761,6624.441636471538,0
BCM,D,20040609,000000,5.66397,5.78761,5.66397,5.78761,2621.6249769834244,0
BCM,D,20040611,000000,5.6903,5.6903,5.6903,5.6903,5434.5933876896315,0
BCM,D,20040614,000000,5.66397,5.66397,5.66397,5.66397,2463.271790454224,0
BCM,D,20040615,000000,5.71305,5.71305,5.71305,5.71305,2.1993498129055573,0
BCM,D,20040616,000000,5.6903,5.6903,5.6903,5.6903,1167.8547506528507,0
BCM,D,20040617,000000,5.6903,5.6903,5.51572,5.59166,2318.114702802457,0
BCM,D,20040618,000000,5.51572,5.51572,5.34205,5.49025,14509.11071573796,0
BCM,D,20040621,000000,5.44069,5.44069,5.36566,5.44069,11119.912654050497,0
BCM,D,20040622,000000,5.39161,5.39161,5.29292,5.29292,3241.8416242227913,0
BCM,D,20040623,000000,5.24064,5.36566,5.09334,5.26745,12380.140096845382,0
BCM,D,20040625,000000,5.29292,5.44069,5.29292,5.44069,1137.0638532721732,0
BCM,D,20040628,000000,5.3161,5.61393,5.3161,5.53938,10616.261546895124,0
BCM,D,20040629,000000,5.59166,5.71305,5.59166,5.71305,2419.2847941961127,0
BCM,D,20040630,000000,5.71305,5.71305,5.36566,5.36566,6149.382076883938,0
BCM,D,20040701,000000,5.36566,5.66397,5.36566,5.59166,3422.188308881047,0
BCM,D,20040702,000000,5.59166,5.64031,5.41431,5.59166,6019.62043792251,0
BCM,D,20040705,000000,5.46659,5.59166,5.46659,5.59166,274.9187266131947,0
BCM,D,20040706,000000,5.51572,5.59166,5.44069,5.59166,1214.0410967238674,0
BCM,D,20040707,000000,5.46659,5.56528,5.41431,5.56528,2054.1927252537903,0
BCM,D,20040708,000000,5.56528,5.59166,5.56528,5.59166,1203.0443476593398,0
BCM,D,20040709,000000,5.56528,5.96176,5.56528,5.93858,39575.10053342259,0
BCM,D,20040712,000000,6.06269,6.06269,5.88902,5.93858,15267.886401190379,0
BCM,D,20040713,000000,5.93858,5.93858,5.6903,5.6903,10770.216033798513,0
