<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS,D,20211207,000000,28.6342,31.1397,28.1868,30.8712,55136.332091134,0
BCS,D,20211208,000000,30.8712,30.8712,29.7975,30.4149,28431.469783946,0
BCS,D,20211209,000000,29.6363,30.4238,27.8468,30.3791,21537.332875131,0
BCS,D,20211210,000000,29.708,30.4238,29.2606,30.1553,6552.1680493407,0
BCS,D,20211213,000000,28.9206,30.2001,28.312,30.2001,6405.7696160363,0
BCS,D,20211214,000000,30.2001,30.2001,28.5895,29.8869,6100.6797512111,0
BCS,D,20211215,000000,29.0369,29.8869,28.6521,29.8869,5455.8561174964,0
BCS,D,20211216,000000,28.831,29.8869,28.831,29.8869,2503.3014549758,0
BCS,D,20211217,000000,29.793,30.3343,28.8489,30.3343,3756.0697277561,0
BCS,D,20211220,000000,29.1263,30.0211,29.0816,30.0167,3492.3290387497,0
BCS,D,20211221,000000,29.1352,30.4238,29.1263,30.4238,4874.7325654484,0
BCS,D,20211222,000000,30.4059,30.4238,29.708,30.3299,1515.3914164943,0
BCS,D,20211223,000000,29.9765,29.9765,29.35,29.9765,5597.7843696311,0
BCS,D,20211227,000000,29.529,30.1911,29.3858,30.1911,4030.9858696865,0
BCS,D,20211228,000000,29.708,30.3299,29.4932,30.3299,5179.8224302736,0
BCS,D,20211229,000000,29.869,31.5871,29.6453,31.5871,6429.2380671767,0
BCS,D,20211230,000000,31.3187,32.1956,30.7236,32.1956,9058.8221401937,0
BCS,D,20220103,000000,32.1956,32.6609,31.8377,32.3924,9875.747748938,0
BCS,D,20220104,000000,32.4013,35.5869,32.4013,35.4348,15066.745632135,0
BCS,D,20220105,000000,35.4795,37.135,34.9024,36.1059,11886.211729965,0
BCS,D,20220107,000000,36.2357,36.2357,35.1932,35.4169,4837.8535707992,0
BCS,D,20220110,000000,35.7928,36.1417,35.2559,35.4795,1860.7129118458,0
BCS,D,20220111,000000,35.6138,35.7928,34.4863,34.9874,2142.3343255306,0
BCS,D,20220112,000000,35.3453,35.5243,34.8084,35.3453,4831.1482990448,0
BCS,D,20220113,000000,35.3453,35.3453,34.4505,34.8979,2168.0378672558,0
BCS,D,20220114,000000,34.4505,35.2559,34.0031,35.2559,5194.3505190748,0
BCS,D,20220117,000000,35.3453,37.3139,35.3453,37.135,14202.883121111,0
BCS,D,20220118,000000,37.135,37.4481,35.9717,36.0612,5180.939975566,0
BCS,D,20220119,000000,36.0612,36.0612,34.2716,34.8979,3245.3515291293,0
BCS,D,20220120,000000,35.7032,37.4615,34.8979,36.5802,12640.554802335,0
BCS,D,20220121,000000,36.6428,36.6428,34.9874,35.7032,4750.685037992,0
BCS,D,20220124,000000,34.8979,34.8979,32.3208,33.9091,9256.6276569484,0
BCS,D,20220125,000000,32.7503,33.6093,32.7056,32.9293,2898.9124884854,0
BCS,D,20220126,000000,32.974,33.6407,32.2134,33.6407,4508.1777095412,0
BCS,D,20220127,000000,32.4417,34.2537,32.4417,34.2537,1847.3023683371,0
BCS,D,20220128,000000,34.0031,34.54,33.0188,34.54,1995.9358922262,0
