<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX,D,19950525,000000,3.13901,3.13901,3.13901,3.13901,1011456.3210573704,0
BDX,D,19950526,000000,3.13901,3.13901,3.13901,3.13901,792124.5143463126,0
BDX,D,19950529,000000,3.20519,3.20519,3.20519,3.20519,647082.664803428,0
BDX,D,19950530,000000,2.89135,2.89135,2.89135,2.89135,494081.9326304764,0
BDX,D,19950531,000000,2.92445,2.92445,2.92445,2.92445,309651.19563616737,0
BDX,D,19950601,000000,2.67646,2.67646,2.67646,2.67646,124418.81073848298,0
BDX,D,19950602,000000,2.70946,2.70946,2.70946,2.70946,194503.05500599163,0
BDX,D,19950605,000000,2.87467,2.87467,2.87467,2.87467,95833.36299359114,0
BDX,D,19950606,000000,2.87467,2.87467,2.87467,2.87467,230631.2807507573,0
BDX,D,19950607,000000,2.92445,2.92445,2.92445,2.92445,242453.82417023482,0
BDX,D,19950608,000000,2.92445,2.92445,2.92445,2.92445,196802.2094033387,0
BDX,D,19950609,000000,2.90777,2.90777,2.90777,2.90777,133950.42781826647,0
BDX,D,19950612,000000,2.82516,2.82516,2.82516,2.82516,126540.47417775149,0
BDX,D,19950613,000000,2.84158,2.84158,2.84158,2.84158,117886.90839388213,0
BDX,D,19950614,000000,2.90777,2.90777,2.90777,2.90777,82021.98049420814,0
BDX,D,19950616,000000,2.84158,2.84158,2.84158,2.84158,81817.45448953622,0
BDX,D,19950619,000000,2.74256,2.74256,2.74256,2.74256,58158.262408891664,0
BDX,D,19950620,000000,2.80874,2.80874,2.80874,2.80874,88833.63679922352,0
BDX,D,19950621,000000,2.80874,2.80874,2.80874,2.80874,106811.94278459111,0
BDX,D,19950622,000000,2.80874,2.80874,2.80874,2.80874,145982.19898965102,0
BDX,D,19950623,000000,2.84158,2.84158,2.84158,2.84158,73196.8009363041,0
BDX,D,19950626,000000,2.97387,2.97387,2.97387,2.97387,334753.82411760214,0
BDX,D,19950627,000000,3.07298,3.07298,3.07298,3.07298,335998.61169776105,0
BDX,D,19950628,000000,2.97387,2.97387,2.97387,2.97387,159054.2317365163,0
BDX,D,19950629,000000,3.03989,3.03989,3.03989,3.03989,271552.9378004272,0
BDX,D,19950630,000000,3.05648,3.05648,3.05648,3.05648,165715.43213004016,0
BDX,D,19950703,000000,3.13901,3.13901,3.13901,3.13901,369221.1576520144,0
