<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMX,D,20100608,000000,5.24965,6.12616,4.55736,5.86304,78983.87796082789,0
BMX,D,20100609,000000,6.26636,7.51968,5.54755,7.51968,35210.89666359955,0
BMX,D,20100610,000000,7.80009,8.65902,7.04629,7.04629,20413.516560269305,0
BMX,D,20100611,000000,7.01122,7.05514,6.59935,6.74829,18123.148514739776,0
BMX,D,20100614,000000,6.31009,7.7037,6.31009,7.05514,6574.532172492301,0
BMX,D,20100615,000000,6.75704,7.09886,6.75704,6.83594,889.7158922888441,0
BMX,D,20100616,000000,6.83594,6.9674,6.75704,6.9674,2943.8669699241404,0
BMX,D,20100617,000000,6.87976,6.99373,6.83594,6.99373,899.0813227339899,0
BMX,D,20100618,000000,6.99373,6.99373,6.75704,6.75704,972.9641629123616,0
BMX,D,20100621,000000,6.75704,6.79211,6.39773,6.57302,2029.1765964482408,0
BMX,D,20100622,000000,6.5292,7.61596,6.18737,7.03755,6897.119221158432,0
BMX,D,20100623,000000,7.09886,7.09886,6.74829,6.83594,3167.596697224844,0
BMX,D,20100624,000000,6.87976,6.87976,6.66065,6.83594,991.6950238026532,0
BMX,D,20100625,000000,6.83594,7.05514,6.74829,6.92358,285.12532688554774,0
BMX,D,20100628,000000,6.74829,6.74829,6.57302,6.57302,1095.7553620820502,0
BMX,D,20100629,000000,6.66065,6.66065,6.48547,6.66065,239.33877804261306,0
BMX,D,20100630,000000,6.48547,6.66065,6.48547,6.48547,866.8226178673768,0
BMX,D,20100701,000000,6.48547,6.70447,6.48547,6.70447,239.33877804261306,0
BMX,D,20100702,000000,6.91493,6.91493,6.70447,6.70447,103.019734896603,0
BMX,D,20100705,000000,6.48547,6.48547,6.47662,6.47662,170.65895477821104,0
BMX,D,20100706,000000,6.48547,6.74829,6.48547,6.48547,424.56618017993964,0
BMX,D,20100707,000000,6.48547,6.48547,6.48547,6.48547,80.12646047513566,0
BMX,D,20100708,000000,6.66065,6.66065,6.57302,6.57302,194.59283258247234,0
BMX,D,20100709,000000,6.66065,6.83594,6.66065,6.70447,266.39446599525627,0
BMX,D,20100712,000000,6.66065,6.79211,6.66065,6.79211,142.56266344277387,0
BMX,D,20100713,000000,6.79211,6.91493,6.79211,6.91493,1141.5419109249847,0
BMX,D,20100714,000000,6.91493,7.00247,6.91493,6.98499,1034.359762497206,0
BMX,D,20100715,000000,6.95866,6.95866,6.95866,6.95866,57.23318605366834,0
BMX,D,20100716,000000,6.99373,6.99373,6.87976,6.87976,234.1357611286432,0
BMX,D,20100719,000000,6.87976,6.99373,6.87976,6.99373,969.8423527639798,0
BMX,D,20100720,000000,7.04629,7.04629,6.89735,6.89735,1830.4213503345927,0
BMX,D,20100721,000000,7.05514,7.09886,6.92358,6.92358,924.0558039210451,0
BMX,D,20100722,000000,6.92358,6.92358,6.92358,6.92358,285.12532688554774,0
BMX,D,20100723,000000,6.99373,6.99373,6.9674,6.9674,125.91300931807034,0
BMX,D,20100726,000000,6.99373,6.99373,6.99373,6.99373,422.4849734143517,0
BMX,D,20100727,000000,6.97605,6.97605,6.92358,6.97605,194.59283258247234,0
BMX,D,20100728,000000,6.97605,6.97605,6.87976,6.92358,1952.1719461214873,0
BMX,D,20100729,000000,6.87976,6.99373,6.79211,6.92358,12759.878679819656,0
BMX,D,20100730,000000,6.92358,6.99373,6.83594,6.99373,3314.3217741987937,0
BMX,D,20100802,000000,7.00247,7.00247,6.8098,6.8098,3691.0201987702103,0
BMX,D,20100803,000000,6.8098,6.87976,6.79211,6.87976,902.2031328823717,0
BMX,D,20100804,000000,6.8098,6.83594,6.8098,6.83594,22.893274421467336,0
BMX,D,20100805,000000,6.83594,6.83594,6.83594,6.83594,27.05568795264321,0
BMX,D,20100806,000000,6.79211,6.83594,6.66065,6.83594,1084.3087248713166,0
BMX,D,20100809,000000,6.79211,6.79211,6.79211,6.79211,570.2506537710955,0
BMX,D,20100810,000000,6.75704,7.62481,6.75704,7.62481,11220.826276667374,0
BMX,D,20100811,000000,7.27424,7.80009,7.14269,7.80009,707.6103002998994,0
BMX,D,20100812,000000,7.71236,7.71236,7.71236,7.71236,696.1636630891658,0
BMX,D,20100813,000000,7.44943,7.44943,7.10761,7.36178,3449.6002139620095,0
BMX,D,20100816,000000,7.18651,7.53707,7.12529,7.12529,1711.7925646960803,0
BMX,D,20100817,000000,7.09886,7.09886,7.05514,7.05514,3952.211647851497,0
BMX,D,20100818,000000,7.01122,7.14269,7.01122,7.14269,1158.1915650496883,0
BMX,D,20100819,000000,7.16902,7.40561,7.14269,7.14269,6744.150523887717,0
BMX,D,20100820,000000,7.14269,7.14269,7.14269,7.14269,24.974481187055275,0
BMX,D,20100823,000000,7.18651,7.30057,7.18651,7.30057,543.1949658184521,0
BMX,D,20100824,000000,7.30922,7.30922,7.23032,7.23032,3034.3994642272155,0
BMX,D,20100825,000000,7.18651,7.30057,7.18651,7.18651,1529.6869727071355,0
BMX,D,20100826,000000,7.30057,7.78251,7.21284,7.78251,6754.556557715658,0
BMX,D,20100827,000000,7.78251,8.2382,7.75618,8.06302,6122.910304359718,0
BMX,D,20100830,000000,8.098,8.098,7.88763,7.88763,3058.333342031477,0
BMX,D,20100831,000000,8.08925,8.08925,7.97528,7.97528,822.0766724072362,0
BMX,D,20100901,000000,8.06302,8.08925,8.06302,8.08925,330.91187572848236,0
BMX,D,20100902,000000,8.06302,8.06302,8.06302,8.06302,10.406033827939696,0
BMX,D,20100903,000000,7.97528,7.97528,7.80009,7.97528,855.375980656643,0
BMX,D,20100906,000000,7.97528,8.0191,7.97528,7.97528,278.88170658878386,0
BMX,D,20100907,000000,7.97528,7.97528,7.88763,7.88763,273.67868967481405,0
BMX,D,20100908,000000,7.97528,8.0191,7.88763,8.0191,774.2089167987135,0
BMX,D,20100909,000000,8.03659,8.13307,7.97528,8.10674,2008.3645287923616,0
BMX,D,20100910,000000,8.10674,8.15056,7.97528,7.97528,2544.275270931256,0
BMX,D,20100913,000000,7.9402,7.94904,7.9402,7.94904,285.12532688554774,0
BMX,D,20100914,000000,7.9402,8.12423,7.9402,8.12423,125.91300931807034,0
BMX,D,20100915,000000,8.13307,8.13307,7.98403,7.98403,1237.27742214203,0
BMX,D,20100916,000000,7.9402,7.9402,7.9402,7.9402,10.406033827939696,0
BMX,D,20100917,000000,7.98403,8.06302,7.97528,7.97528,1232.0744052280602,0
BMX,D,20100920,000000,8.02794,8.06302,7.99277,8.04533,501.5708305066934,0
BMX,D,20100921,000000,8.04533,8.04533,7.84391,8.0191,399.5916989928844,0
BMX,D,20100922,000000,8.06302,8.06302,8.04533,8.04533,18.730860890291453,0
BMX,D,20100923,000000,8.04533,8.04533,8.04533,8.04533,5.203016913969848,0
BMX,D,20100924,000000,8.04533,8.06302,7.97528,8.04533,2838.7660282619495,0
BMX,D,20100927,000000,8.04533,8.04533,7.80009,7.88763,283.0441201199598,0
BMX,D,20100928,000000,7.88763,7.88763,7.44943,7.87014,684.7170258784321,0
BMX,D,20100929,000000,7.71236,7.97528,7.71236,7.97528,365.25178736068335,0
BMX,D,20100930,000000,8.0191,8.04533,7.97528,8.04533,480.75876285081404,0
BMX,D,20101001,000000,8.04533,8.04533,7.88763,8.0191,195.6334359652663,0
BMX,D,20101004,000000,8.02794,8.02794,7.88763,7.93145,661.8237514569647,0
BMX,D,20101005,000000,8.02794,8.02794,7.91396,7.91396,446.418851218613,0
BMX,D,20101006,000000,8.02794,8.02794,7.93145,7.93145,69.72042664719596,0
BMX,D,20101007,000000,8.0191,8.0191,7.93145,7.93145,69.72042664719596,0
BMX,D,20101008,000000,7.93145,7.93145,7.66853,7.66853,239.33877804261306,0
BMX,D,20101011,000000,7.49325,7.9577,7.49325,7.66853,3114.5259247023514,0
BMX,D,20101012,000000,7.67728,7.9577,7.67728,7.9577,1006.2634711617687,0
BMX,D,20101013,000000,7.9577,7.9577,7.84391,7.84391,1848.1116078420903,0
BMX,D,20101014,000000,7.88763,7.88763,7.87889,7.88763,1028.116142200442,0
BMX,D,20101015,000000,7.9577,7.9577,7.93145,7.9577,263.27265584687433,0
BMX,D,20101018,000000,7.9577,7.9577,7.84391,7.84391,444.33764445302506,0
