<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW,D,20120125,000000,6.00242,9.9973,6.00242,7.00287,11374.298981022,0
BOW,D,20120126,000000,7.23651,7.7038,6.66956,7.00287,30470.021301321,0
BOW,D,20120127,000000,7.36942,7.36942,6.70221,6.70221,3004.8750968691,0
BOW,D,20120130,000000,6.83568,6.83568,6.83568,6.83568,237.92676593746,0
BOW,D,20120131,000000,6.72328,6.72328,6.65626,6.66956,1585.7119165126,0
BOW,D,20120201,000000,6.66956,6.66956,6.13582,6.66956,3105.6440800897,0
BOW,D,20120202,000000,6.63604,6.63604,6.03579,6.56252,1895.0167122313,0
BOW,D,20120203,000000,6.59581,6.59581,6.34259,6.5891,68.578891358446,0
BOW,D,20120206,000000,6.56931,6.56931,6.34259,6.54894,69.978460569842,0
BOW,D,20120207,000000,6.36925,6.40254,6.03579,6.19576,6843.8934437306,0
BOW,D,20120208,000000,6.16919,6.16919,5.90903,6.10245,3126.6376182606,0
BOW,D,20120209,000000,6.12917,6.12917,6.00242,6.12238,494.04793162309,0
BOW,D,20120210,000000,6.00242,6.00242,6.00242,6.00242,256.12116568563,0
BOW,D,20120213,000000,6.00242,6.00242,6.00242,6.00242,104.96769085476,0
BOW,D,20120214,000000,6.19576,6.19576,6.19576,6.19576,13.995692113968,0
BOW,D,20120215,000000,6.0958,6.0958,5.76235,6.00242,7477.8982964934,0
BOW,D,20120216,000000,5.7089,5.93568,5.47554,5.93568,3287.5880775712,0
BOW,D,20120217,000000,6.00242,6.00242,5.90239,5.90239,223.9310738235,0
BOW,D,20120220,000000,5.86895,5.86895,5.65567,5.65567,314.90307256429,0
BOW,D,20120221,000000,5.70232,5.70232,5.13544,5.4689,2654.9827940199,0
BOW,D,20120222,000000,5.40223,5.43552,5.40223,5.43552,1830.6365285071,0
BOW,D,20120223,000000,5.66224,5.66224,5.43552,5.43552,29.390953439334,0
BOW,D,20120224,000000,5.3355,5.40223,5.19546,5.40223,3427.5449987109,0
BOW,D,20120227,000000,5.43552,5.43552,5.39551,5.39551,1456.9515490642,0
BOW,D,20120228,000000,5.38887,5.38887,5.37544,5.37544,118.96338296873,0
BOW,D,20120229,000000,5.38887,5.38887,5.36879,5.36879,16.794830536762,0
BOW,D,20120301,000000,5.3355,5.34214,5.23539,5.34214,989.49543245758,0
BOW,D,20120302,000000,5.4689,5.4689,5.4689,5.4689,2.7991384227937,0
BOW,D,20120305,000000,5.4689,5.4689,5.40223,5.40223,257.52073489702,0
BOW,D,20120306,000000,5.36215,5.36215,5.36215,5.36215,74.177168204033,0
BOW,D,20120307,000000,5.6023,5.6023,5.40223,5.40223,291.11039597055,0
BOW,D,20120308,000000,5.4689,5.4689,4.97539,5.3355,3358.9661073524,0
BOW,D,20120309,000000,5.2021,5.2021,5.2021,5.2021,471.65482424074,0
BOW,D,20120312,000000,5.2021,5.2021,5.2021,5.2021,13.995692113968,0
BOW,D,20120313,000000,5.16866,5.16866,4.94202,5.0154,1318.3941971359,0
BOW,D,20120314,000000,5.11536,5.11536,4.88193,4.88193,1853.0296358895,0
BOW,D,20120315,000000,5.13544,5.13544,4.9353,4.9353,516.44103900544,0
BOW,D,20120316,000000,5.13544,5.13544,4.9353,4.9353,223.9310738235,0
BOW,D,20120319,000000,5.03533,5.03533,4.94202,4.94202,186.14270511579,0
BOW,D,20120320,000000,5.03533,5.03533,5.03533,5.03533,29.390953439334,0
BOW,D,20120321,000000,5.03533,5.03533,5.03533,5.03533,29.390953439334,0
BOW,D,20120322,000000,5.03533,5.03533,5.03533,5.03533,4.1987076341905,0
BOW,D,20120323,000000,5.03533,5.03533,5.03533,5.03533,2.7991384227937,0
BOW,D,20120326,000000,5.03533,5.13544,5.03533,5.13544,29.390953439334,0
BOW,D,20120327,000000,5.13544,5.13544,5.03533,5.03533,151.15347483086,0
BOW,D,20120328,000000,5.13544,5.13544,4.94202,4.94202,165.14916694483,0
BOW,D,20120329,000000,4.9353,4.9353,4.73524,4.9353,44.786214764699,0
BOW,D,20120330,000000,5.122,5.122,5.122,5.122,20.993538170953,0
BOW,D,20120402,000000,5.122,5.122,5.122,5.122,3413.5493065969,0
BOW,D,20120403,000000,5.13544,5.13544,5.13544,5.13544,67.179322147049,0
BOW,D,20120404,000000,4.9353,4.9353,4.9353,4.9353,29.390953439334,0
BOW,D,20120410,000000,5.13544,5.13544,4.86857,4.86857,1556.3209630733,0
BOW,D,20120411,000000,5.00204,5.00204,4.75525,4.75525,205.73667407534,0
BOW,D,20120412,000000,4.63521,4.63521,4.60184,4.60184,1634.6968389115,0
BOW,D,20120413,000000,4.53511,4.53511,4.50188,4.53511,277.11470385658,0
BOW,D,20120416,000000,4.8019,4.8019,4.8019,4.8019,29.390953439334,0
BOW,D,20120417,000000,4.69523,4.69523,4.69523,4.69523,13.995692113968,0
BOW,D,20120418,000000,5.13544,5.13544,4.94867,5.00204,20.993538170953,0
BOW,D,20120419,000000,5.19546,5.19546,5.02869,5.02869,13.995692113968,0
BOW,D,20120420,000000,5.02869,5.02869,5.02869,5.02869,29.390953439334,0
BOW,D,20120423,000000,5.02869,5.02869,4.6685,4.6685,3248.4001396521,0
BOW,D,20120424,000000,5.02869,5.02869,5.02869,5.02869,13.995692113968,0
BOW,D,20120425,000000,4.69523,4.69523,4.6685,4.6685,36.388799496318,0
BOW,D,20120426,000000,4.70195,4.70195,4.70195,4.70195,696.98546727564,0
BOW,D,20120427,000000,5.02869,5.02869,4.65522,4.90193,278.51427306798,0
BOW,D,20120430,000000,5.02869,5.02869,5.02869,5.02869,13.995692113968,0
BOW,D,20120502,000000,5.02869,5.02869,5.02869,5.02869,13.995692113968,0
BOW,D,20120504,000000,5.02869,5.02869,5.00204,5.00204,20.993538170953,0
BOW,D,20120507,000000,4.99526,4.99526,4.74853,4.74853,151.15347483086,0
BOW,D,20120508,000000,5.07535,5.07535,4.67522,4.67522,97.969844797781,0
BOW,D,20120509,000000,4.67522,4.67522,4.53511,4.58183,1847.4313590439,0
BOW,D,20120510,000000,4.5752,4.5752,4.5752,4.5752,223.9310738235,0
BOW,D,20120511,000000,4.5752,4.5752,4.46844,4.46844,102.16855243197,0
BOW,D,20120514,000000,4.46844,4.46844,4.46844,4.46844,1.3995692113968,0
BOW,D,20120515,000000,4.53511,4.53511,4.53511,4.53511,13.995692113968,0
BOW,D,20120517,000000,4.33504,4.33504,4.24845,4.24845,291.11039597055,0
BOW,D,20120524,000000,4.03496,4.03496,4.03496,4.03496,1858.627912735,0
BOW,D,20120528,000000,3.83489,3.83489,3.83489,3.83489,1956.5977575328,0
BOW,D,20120529,000000,3.64148,3.64148,3.46807,3.46807,2062.965017599,0
BOW,D,20120530,000000,3.45477,3.45477,3.26129,3.45477,562.62682298154,0
BOW,D,20120604,000000,3.45477,3.45477,3.44141,3.44141,533.23586954221,0
BOW,D,20120605,000000,3.43469,3.44141,3.43469,3.44141,314.90307256429,0
BOW,D,20120613,000000,4.02166,4.02824,4.02166,4.02824,179.1448590588,0
BOW,D,20120614,000000,3.86826,3.86826,3.86826,3.86826,366.68713338598,0
BOW,D,20120615,000000,3.86154,3.86154,3.67477,3.86154,142.75605956247,0
BOW,D,20120618,000000,3.86154,3.86154,3.86154,3.86154,13.995692113968,0
BOW,D,20120619,000000,3.86154,3.86154,3.67477,3.86154,2074.1615712901,0
BOW,D,20120620,000000,3.86154,3.86154,3.86154,3.86154,6.9978460569842,0
BOW,D,20120621,000000,3.82153,3.82153,3.48807,3.82153,2173.5309852994,0
BOW,D,20120622,000000,3.86154,4.00166,3.60812,4.00166,529.03716190801,0
BOW,D,20120625,000000,4.00166,4.00166,3.67477,4.00166,22.39310738235,0
BOW,D,20120626,000000,4.00166,4.00166,3.67477,4.00166,794.95531207341,0
BOW,D,20120627,000000,4.00166,4.00166,3.67477,3.86826,2054.5676023306,0
BOW,D,20120628,000000,3.86826,3.86826,3.54809,3.86826,22.39310738235,0
BOW,D,20120629,000000,3.86826,4.25503,3.61483,4.25503,3314.1798925878,0
BOW,D,20120703,000000,3.83489,4.5752,3.83489,4.5752,3472.3312134756,0
BOW,D,20120704,000000,4.5952,4.5952,4.5952,4.5952,6.9978460569842,0
BOW,D,20120705,000000,4.8019,4.8019,4.24845,4.8019,1788.6494521652,0
BOW,D,20120706,000000,4.8019,4.8019,4.8019,4.8019,6.9978460569842,0
BOW,D,20120709,000000,4.8019,4.8019,4.30832,4.74853,1221.8239215495,0
BOW,D,20120710,000000,4.79527,4.79527,4.79527,4.79527,20.993538170953,0
BOW,D,20120711,000000,4.79527,4.79527,4.50188,4.76868,1906.2132659225,0
BOW,D,20120712,000000,4.78854,4.78854,4.31511,4.78197,629.80614512858,0
BOW,D,20120713,000000,4.78197,4.78197,4.78197,4.78197,6.9978460569842,0
BOW,D,20120716,000000,4.78197,4.78197,4.78197,4.78197,29.390953439334,0
BOW,D,20120717,000000,4.78197,4.78197,4.78197,4.78197,13.995692113968,0
BOW,D,20120718,000000,4.78197,4.78197,4.78197,4.78197,5.5982768455874,0
BOW,D,20120719,000000,4.78854,4.78854,4.55511,4.78854,1606.7054546835,0
BOW,D,20120720,000000,4.78197,4.78197,4.78197,4.78197,5.5982768455874,0
BOW,D,20120723,000000,4.78197,4.78197,4.32176,4.78197,3024.4690658286,0
BOW,D,20120724,000000,4.78197,4.78197,4.31511,4.78197,2429.652150985,0
BOW,D,20120725,000000,4.78197,4.78197,4.31511,4.73524,485.65051635471,0
BOW,D,20120726,000000,4.78197,4.78197,4.37513,4.78197,460.45827054957,0
BOW,D,20120727,000000,4.78197,4.78197,4.40178,4.73524,467.45611660655,0
BOW,D,20120730,000000,4.76868,4.96867,4.29504,4.96867,433.86645553302,0
BOW,D,20120731,000000,4.92867,4.92867,4.92867,4.92867,13.995692113968,0
BOW,D,20120801,000000,4.8019,4.86857,4.8019,4.86857,3623.4846883064,0
BOW,D,20120802,000000,4.86193,4.86193,4.86193,4.86193,6.9978460569842,0
BOW,D,20120803,000000,4.86857,4.86857,4.86857,4.86857,6.9978460569842,0
BOW,D,20120806,000000,4.86857,4.86857,4.86857,4.86857,2.7991384227937,0
BOW,D,20120807,000000,4.86193,4.86193,4.86193,4.86193,2.7991384227937,0
BOW,D,20120808,000000,4.79527,4.79527,4.79527,4.79527,6.9978460569842,0
BOW,D,20120809,000000,4.79527,4.79527,4.79527,4.79527,13.995692113968,0
BOW,D,20120810,000000,4.78197,4.78197,4.78197,4.78197,4.1987076341905,0
BOW,D,20120813,000000,4.86857,4.86857,4.86857,4.86857,13.995692113968,0
BOW,D,20120814,000000,4.86857,4.86857,4.30169,4.30169,321.90091862128,0
BOW,D,20120816,000000,4.84863,4.84863,4.8019,4.8019,15.395261325365,0
BOW,D,20120817,000000,4.79527,4.86193,4.79527,4.86193,113.36510612314,0
BOW,D,20120820,000000,4.85528,4.85528,4.24845,4.8019,2550.0151031651,0
BOW,D,20120821,000000,4.85528,4.85528,4.64858,4.64858,36.388799496318,0
BOW,D,20120822,000000,4.64858,4.8019,4.36842,4.63521,2312.0883372276,0
BOW,D,20120823,000000,4.46844,4.78854,4.25503,4.50188,722.17771308078,0
BOW,D,20120824,000000,4.60184,4.60184,4.5952,4.5952,277.11470385658,0
BOW,D,20120827,000000,4.58849,4.58849,4.58849,4.58849,6.9978460569842,0
BOW,D,20120828,000000,4.46844,4.5952,4.46844,4.5952,397.47765603671,0
BOW,D,20120829,000000,4.46844,4.5952,4.00166,4.38842,3671.070041494,0
BOW,D,20120830,000000,4.26839,4.34833,4.26839,4.34833,428.26817868743,0
BOW,D,20120831,000000,4.26839,4.28839,4.26839,4.28839,397.47765603671,0
BOW,D,20120903,000000,4.32176,4.32176,3.9883,4.20165,2652.183655597,0
BOW,D,20120904,000000,4.20165,4.20165,4.20165,4.20165,4.1987076341905,0
BOW,D,20120905,000000,4.29504,4.29504,4.29504,4.29504,6.9978460569842,0
BOW,D,20120906,000000,4.31511,4.31511,4.31511,4.31511,6.9978460569842,0
BOW,D,20120907,000000,4.03496,4.29504,4.03496,4.29504,404.47550209369,0
BOW,D,20120910,000000,4.29504,4.32176,3.92157,4.29504,4285.4809252972,0
BOW,D,20120911,000000,4.26839,4.3284,3.99494,4.3284,2403.0603359684,0
BOW,D,20120912,000000,4.3284,4.3284,4.00166,4.3284,2300.8917835364,0
BOW,D,20120913,000000,4.3284,4.3284,4.02166,4.30169,386.28110234553,0
BOW,D,20120914,000000,4.30169,4.30169,4.00166,4.20165,757.1669433657,0
BOW,D,20120917,000000,4.21501,4.26839,4.21501,4.26839,9.7969844797781,0
BOW,D,20120918,000000,4.26839,4.26839,4.26839,4.26839,6.9978460569842,0
BOW,D,20120919,000000,4.22165,4.26839,3.92821,4.07497,2370.8702441063,0
BOW,D,20120920,000000,4.12834,4.12834,3.64805,4.08833,2439.4491354647,0
BOW,D,20120921,000000,4.14835,4.19508,4.14835,4.19508,9.7969844797781,0
BOW,D,20120924,000000,4.19508,4.19508,4.19508,4.19508,6.9978460569842,0
BOW,D,20120925,000000,4.10162,4.22165,3.82825,4.22165,2675.9763321908,0
BOW,D,20120926,000000,4.17492,4.17492,3.76815,4.16164,986.69629403479,0
BOW,D,20120927,000000,4.14163,4.14835,3.84154,4.14835,334.49704152385,0
BOW,D,20120928,000000,4.14835,4.14835,4.14835,4.14835,6.9978460569842,0
BOW,D,20121001,000000,4.14835,4.14835,3.73486,3.96822,565.42596140433,0
BOW,D,20121002,000000,4.00166,4.00166,3.7215,4.00166,4426.8374156483,0
BOW,D,20121003,000000,4.00166,4.00166,3.7215,4.00166,1178.4372759962,0
BOW,D,20121004,000000,4.00166,4.00166,4.00166,4.00166,6.9978460569842,0
BOW,D,20121005,000000,4.00166,4.10162,4.00166,4.10162,333.09747231245,0
BOW,D,20121008,000000,4.12169,4.12169,3.80817,3.80817,317.70221098709,0
BOW,D,20121009,000000,3.94164,4.13499,3.66148,3.96165,1454.1524106413,0
BOW,D,20121010,000000,3.95493,4.00166,3.95493,4.00166,11.196553691175,0
BOW,D,20121011,000000,4.04825,4.04825,4.04825,4.04825,13.995692113968,0
BOW,D,20121012,000000,3.90155,4.06832,3.90155,4.06832,130.15993665991,0
BOW,D,20121015,000000,3.76152,3.86826,3.76152,3.86826,526.23802348522,0
BOW,D,20121016,000000,4.02166,4.02166,4.02166,4.02166,6.9978460569842,0
BOW,D,20121018,000000,3.98158,3.99494,3.62819,3.99494,922.31611031053,0
BOW,D,20121019,000000,3.99494,3.99494,3.71478,3.9883,450.66128606979,0
BOW,D,20121022,000000,3.9883,3.9883,3.98158,3.98158,299.50781123893,0
BOW,D,20121023,000000,4.02824,4.02824,3.34796,3.73486,3533.9122587771,0
BOW,D,20121024,000000,3.96165,3.96165,3.96165,3.96165,6.9978460569842,0
BOW,D,20121025,000000,3.92157,3.92157,3.79481,3.79481,375.08454865436,0
BOW,D,20121026,000000,3.96165,3.96165,3.66813,3.93493,167.94830536762,0
BOW,D,20121029,000000,3.60139,3.70149,3.60139,3.70149,940.51051005869,0
BOW,D,20121030,000000,3.71478,3.77487,3.58146,3.74822,296.70867281614,0
BOW,D,20121031,000000,3.69485,3.7215,3.69485,3.7215,8.3974152683812,0
BOW,D,20121102,000000,3.70149,3.78153,3.43469,3.78153,1890.8180045972,0
BOW,D,20121105,000000,3.73486,3.73486,3.39462,3.73486,11.196553691175,0
