<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS,D,19960520,000000,0.184424,0.184424,0.184424,0.184424,17044515.21618697,0
BRS,D,19960521,000000,0.169245,0.169245,0.169245,0.169245,16830318.2537693,0
BRS,D,19960522,000000,0.161655,0.161655,0.161655,0.161655,9256012.562723856,0
BRS,D,19960523,000000,0.151787,0.151787,0.151787,0.151787,8602455.514213538,0
BRS,D,19960524,000000,0.14951,0.14951,0.14951,0.14951,8889729.566100549,0
BRS,D,19960527,000000,0.151031,0.151031,0.151031,0.151031,6360944.696046436,0
BRS,D,19960528,000000,0.146476,0.146476,0.146476,0.146476,8019724.558565909,0
BRS,D,19960529,000000,0.146476,0.146476,0.146476,0.146476,6825393.421525031,0
BRS,D,19960530,000000,0.144197,0.144197,0.144197,0.144197,4291794.423516773,0
BRS,D,19960531,000000,0.14951,0.14951,0.14951,0.14951,5811654.898261524,0
BRS,D,19960603,000000,0.159378,0.159378,0.159378,0.159378,3745153.2379638506,0
BRS,D,19960604,000000,0.169245,0.169245,0.169245,0.169245,5653466.047021163,0
BRS,D,19960605,000000,0.164689,0.164689,0.164689,0.164689,15348192.40854969,0
BRS,D,19960607,000000,0.164689,0.164689,0.164689,0.164689,14475138.58282718,0
BRS,D,19960610,000000,0.173044,0.173044,0.173044,0.173044,8679862.339961698,0
BRS,D,19960611,000000,0.172279,0.172279,0.172279,0.172279,8326625.539432473,0
BRS,D,19960612,000000,0.174557,0.174557,0.174557,0.174557,6747946.445664777,0
BRS,D,19960613,000000,0.167731,0.167731,0.167731,0.167731,2643931.505986615,0
BRS,D,19960614,000000,0.163176,0.163176,0.163176,0.163176,4762788.912428276,0
BRS,D,19960617,000000,0.164689,0.164689,0.164689,0.164689,3300097.016616831,0
BRS,D,19960618,000000,0.161655,0.161655,0.161655,0.161655,3931650.5085459114,0
BRS,D,19960619,000000,0.159378,0.159378,0.159378,0.159378,4062055.482231328,0
BRS,D,19960620,000000,0.157864,0.157864,0.157864,0.157864,3297848.610340723,0
BRS,D,19960621,000000,0.159378,0.159378,0.159378,0.159378,2057668.6356415008,0
BRS,D,19960624,000000,0.160899,0.160899,0.160899,0.160899,1266761.9392218022,0
BRS,D,19960625,000000,0.160899,0.160899,0.160899,0.160899,3890495.348505546,0
BRS,D,19960626,000000,0.161655,0.161655,0.161655,0.161655,3273798.693208558,0
BRS,D,19960627,000000,0.164689,0.164689,0.164689,0.164689,6500020.798774825,0
BRS,D,19960628,000000,0.165454,0.165454,0.165454,0.165454,2233965.18742701,0
BRS,D,19960701,000000,0.167731,0.167731,0.167731,0.167731,1772566.5753012272,0
BRS,D,19960702,000000,0.166968,0.166968,0.166968,0.166968,4365630.479620292,0
BRS,D,19960703,000000,0.166968,0.166968,0.166968,0.166968,3490605.412911619,0
BRS,D,19960704,000000,0.165454,0.165454,0.165454,0.165454,2744104.740445452,0
BRS,D,19960705,000000,0.164689,0.164689,0.164689,0.164689,2615747.4224757887,0
BRS,D,19960708,000000,0.161655,0.161655,0.161655,0.161655,1151889.8782492583,0
BRS,D,19960709,000000,0.160899,0.160899,0.160899,0.160899,1381829.570095058,0
BRS,D,19960710,000000,0.159378,0.159378,0.159378,0.159378,1141694.3401124603,0
BRS,D,19960711,000000,0.1571,0.1571,0.1571,0.1571,802993.1753187042,0
BRS,D,19960712,000000,0.1571,0.1571,0.1571,0.1571,1755744.973507223,0
BRS,D,19960715,000000,0.1571,0.1571,0.1571,0.1571,2883746.830237628,0
BRS,D,19960716,000000,0.154065,0.154065,0.154065,0.154065,1272542.2601955077,0
BRS,D,19960717,000000,0.14951,0.14951,0.14951,0.14951,2221679.253132488,0
BRS,D,19960718,000000,0.14951,0.14951,0.14951,0.14951,2790397.8196663647,0
BRS,D,19960719,000000,0.14192,0.14192,0.14192,0.14192,1031846.2238087103,0
BRS,D,19960722,000000,0.138129,0.138129,0.138129,0.138129,1656534.0465732403,0
BRS,D,19960723,000000,0.135851,0.135851,0.135851,0.135851,1237532.6576321693,0
BRS,D,19960724,000000,0.138129,0.138129,0.138129,0.138129,582332.0448566286,0
BRS,D,19960725,000000,0.143441,0.143441,0.143441,0.143441,1794566.2463877613,0
BRS,D,19960726,000000,0.14192,0.14192,0.14192,0.14192,1739881.7937433682,0
BRS,D,19960729,000000,0.144197,0.144197,0.144197,0.144197,1678612.7227190223,0
BRS,D,19960730,000000,0.14192,0.14192,0.14192,0.14192,1489750.4810192785,0
BRS,D,19960731,000000,0.138129,0.138129,0.138129,0.138129,1320160.2931148298,0
BRS,D,19960801,000000,0.133573,0.133573,0.133573,0.133573,1527131.5305247707,0
BRS,D,19960802,000000,0.129783,0.129783,0.129783,0.129783,1490155.8676346927,0
BRS,D,19960805,000000,0.133573,0.133573,0.133573,0.133573,1917504.5943923357,0
BRS,D,19960806,000000,0.132061,0.132061,0.132061,0.132061,1431697.3044555378,0
BRS,D,19960807,000000,0.13054,0.13054,0.13054,0.13054,1961629.567561326,0
BRS,D,19960808,000000,0.132061,0.132061,0.132061,0.132061,1549173.9420531641,0
BRS,D,19960809,000000,0.138129,0.138129,0.138129,0.138129,1772367.1199057,0
BRS,D,19960812,000000,0.13965,0.13965,0.13965,0.13965,1111379.710331928,0
