<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN,D,20161017,000000,18.4664,19.8739,17.7381,18.6188,1859391.8588309216,0
CLN,D,20161018,000000,18.571,18.6472,17.8633,18.1986,233852.92784860978,0
CLN,D,20161019,000000,18.1986,18.2367,17.8144,18.1408,366217.22067273484,0
CLN,D,20161020,000000,18.1017,18.4184,17.92,18.3031,840073.6547228884,0
CLN,D,20161021,000000,18.3422,18.8866,18.3422,18.6765,162519.72321849054,0
CLN,D,20161024,000000,18.8212,19.4428,18.7244,18.9648,311014.4499898214,0
CLN,D,20161025,000000,19.348,19.348,18.6668,18.744,58668.86507075895,0
CLN,D,20161026,000000,18.744,18.7723,18.5338,18.5338,28847.972121737108,0
CLN,D,20161027,000000,18.5797,18.7723,18.5338,18.5338,28739.528790830915,0
CLN,D,20161028,000000,18.5896,18.6569,18.1702,18.2934,30793.81377630658,0
CLN,D,20161031,000000,18.2934,18.5142,18.1506,18.2934,32956.542092689444,0
CLN,D,20161102,000000,18.2934,18.2934,17.5768,17.5847,68067.62809942837,0
CLN,D,20161103,000000,17.7097,17.9581,16.8085,16.9532,153060.60022261244,0
CLN,D,20161104,000000,16.7528,18.1887,16.5124,17.4801,111330.37882940598,0
CLN,D,20161107,000000,17.7097,18.179,17.7097,18.0255,31385.136844834793,0
CLN,D,20161108,000000,18.0255,18.1408,17.5573,17.5573,22478.46100641243,0
CLN,D,20161109,000000,17.528,18.0059,17.2504,17.8916,72552.68057767786,0
CLN,D,20161110,000000,17.9767,18.6091,17.9101,18.1017,41789.558310118446,0
CLN,D,20161114,000000,17.8535,18.0548,17.5573,18.0059,13332.391399761907,0
CLN,D,20161115,000000,17.6814,18.0059,17.6814,17.9581,3991.9422377125675,0
CLN,D,20161116,000000,17.9581,18.4859,17.9101,17.9101,14917.096301406287,0
CLN,D,20161117,000000,17.8535,18.3422,17.747,18.0059,216193.0337154998,0
CLN,D,20161118,000000,17.8633,18.3891,17.6424,18.3803,196673.2341523148,0
CLN,D,20161121,000000,18.1986,19.8739,18.1506,18.9648,124426.44561182176,0
CLN,D,20161122,000000,19.0988,19.6247,18.9737,19.5191,216475.39559597318,0
CLN,D,20161123,000000,19.5386,19.7693,19.2991,19.5953,91940.50665325228,0
CLN,D,20161124,000000,19.5953,19.9707,19.4428,19.9228,75666.84566522238,0
CLN,D,20161125,000000,19.9892,21.5209,19.8348,20.9941,171350.6933353342,0
CLN,D,20161128,000000,20.9941,21.5405,20.9941,21.4544,123786.01612929329,0
CLN,D,20161129,000000,21.5502,21.8377,20.1241,20.1241,104489.24152966868,0
CLN,D,20161130,000000,20.6314,21.0723,20.0557,20.5923,173474.54574063653,0
CLN,D,20161201,000000,21.3586,21.4359,20.737,21.3401,15181.043276631572,0
CLN,D,20161202,000000,21.3586,21.4076,21.1661,21.3499,16516.123907133075,0
CLN,D,20161205,000000,21.3586,21.8377,21.3586,21.779,96520.70280861823,0
CLN,D,20161206,000000,21.905,22.8913,21.8474,22.5179,55047.26703859532,0
CLN,D,20161207,000000,22.8435,24.1357,22.8435,23.6097,86656.45189728521,0
CLN,D,20161208,000000,23.945,23.945,23.2746,23.5619,61588.65060290483,0
CLN,D,20161209,000000,23.9069,23.9069,22.9881,23.5521,44571.23205290166,0
CLN,D,20161212,000000,23.6577,23.9069,22.8913,22.9403,23526.064504981197,0
CLN,D,20161213,000000,23.3224,23.3694,22.9403,23.2746,29874.09156418377,0
CLN,D,20161214,000000,23.3694,23.4661,23.0057,23.1787,16249.107781032775,0
CLN,D,20161215,000000,23.0341,23.6577,23.0243,23.5149,36946.438229818865,0
CLN,D,20161216,000000,23.5248,23.8297,23.3694,23.6479,27504.70708890424,0
CLN,D,20161219,000000,23.5805,23.6577,23.1885,23.3781,23551.640762270992,0
CLN,D,20161220,000000,23.3879,23.4661,23.341,23.3781,16977.519588631985,0
CLN,D,20161221,000000,23.4172,23.945,23.2256,23.7056,68966.88930571974,0
CLN,D,20161222,000000,23.7535,23.7535,23.0819,23.5424,40082.08737348547,0
CLN,D,20161223,000000,23.5424,23.945,23.5424,23.8395,22145.969661651143,0
CLN,D,20161227,000000,23.8483,23.9265,23.7535,23.8972,36735.68986975451,0
CLN,D,20161228,000000,23.9167,23.9167,23.5706,23.7154,34834.86242801459,0
CLN,D,20161229,000000,23.82,23.8395,23.5902,23.7535,26656.598397190435,0
CLN,D,20161230,000000,23.7535,23.7535,23.4758,23.4758,36101.39868898009,0
CLN,D,20170102,000000,23.9353,25.3712,23.4368,23.4368,19538.21446843512,0
CLN,D,20170103,000000,23.6577,24.511,23.6577,24.5012,177534.00929759565,0
CLN,D,20170104,000000,24.4914,24.5012,24.0985,24.3458,54954.1694620622,0
CLN,D,20170105,000000,24.424,24.8072,24.424,24.7779,28564.587190972063,0
CLN,D,20170109,000000,24.7779,24.8072,24.6049,24.8072,24304.605776867324,0
CLN,D,20170110,000000,24.7104,24.8072,24.6049,24.6146,39490.76430495726,0
CLN,D,20170111,000000,24.8072,24.8072,24.6626,24.7876,18545.85568561062,0
CLN,D,20170112,000000,24.7876,24.7876,24.4338,24.5765,39592.04628382275,0
CLN,D,20170113,000000,24.4436,24.7876,24.0887,24.3654,15755.99754049504,0
CLN,D,20170116,000000,24.2325,24.2325,23.255,24.1357,64228.120355159685,0
CLN,D,20170117,000000,24.1278,24.1278,23.7809,24.1278,14265.41326567545,0
CLN,D,20170118,000000,24.118,24.8072,24.0887,24.7016,38993.56186325383,0
CLN,D,20170119,000000,24.6918,26.2812,24.4729,25.9088,51654.83227174414,0
CLN,D,20170120,000000,26.2235,27.681,25.7553,26.9224,144020.92784628982,0
CLN,D,20170123,000000,27.0574,28.1589,26.9224,27.765,153557.80266431687,0
CLN,D,20170124,000000,28.2459,30.6485,27.9673,30.6007,230805.26103001693,0
CLN,D,20170125,000000,30.3622,31.2624,29.8636,30.2184,141887.86798835942,0
CLN,D,20170126,000000,30.629,30.629,28.8393,29.6916,52626.730048737205,0
CLN,D,20170127,000000,29.5968,30.0748,28.5607,30.0748,33567.303116757415,0
CLN,D,20170130,000000,30.0748,32.4695,30.0748,31.9808,115376.54273257234,0
CLN,D,20170131,000000,32.0854,32.277,31.6553,32.277,28413.17574781966,0
CLN,D,20170201,000000,32.363,32.4695,31.6064,31.8939,38446.2299572625,0
CLN,D,20170202,000000,32.1822,32.2096,31.1285,31.4823,272252.0974924614,0
CLN,D,20170203,000000,31.4149,31.5869,29.3075,29.5479,151197.62564166138,0
CLN,D,20170206,000000,29.2127,29.499,28.0641,29.2127,91675.53662773532,0
CLN,D,20170207,000000,29.2127,29.499,28.7327,29.0973,40061.626367654026,0
CLN,D,20170208,000000,29.3075,30.7922,29.3075,30.1217,51817.49726810393,0
CLN,D,20170209,000000,30.629,30.889,29.3651,29.4521,53401.17911945664,0
CLN,D,20170210,000000,29.6916,29.6916,28.7327,29.1256,31727.858692511796,0
CLN,D,20170213,000000,29.1256,29.2986,28.2557,28.9252,92735.41672980312,0
CLN,D,20170214,000000,29.2029,29.672,28.2752,29.2029,21597.614705369146,0
CLN,D,20170215,000000,29.2029,30.1608,29.2029,30.0259,25733.807034193618,0
CLN,D,20170216,000000,30.1608,30.9838,30.1608,30.9174,66881.91281149694,0
CLN,D,20170217,000000,30.9174,30.9174,29.6916,30.2478,22772.076440093195,0
CLN,D,20170220,000000,30.629,30.7257,29.6437,29.9311,10558.90205931107,0
CLN,D,20170221,000000,29.9311,30.5547,28.849,29.2029,42172.17911916664,0
CLN,D,20170222,000000,29.5674,29.5968,28.8393,29.1833,31925.307398784422,0
CLN,D,20170223,000000,29.1833,30.4482,28.9252,30.3523,47550.354501958485,0
CLN,D,20170224,000000,30.3231,30.3622,29.5772,29.6916,28754.874545203988,0
CLN,D,20170227,000000,29.7874,30.8215,29.7874,30.3622,30698.670099190116,0
CLN,D,20170228,000000,30.4579,30.8411,30.1119,30.2859,73295.4150893595,0
CLN,D,20170301,000000,30.6485,31.7032,29.9878,31.7032,120165.44114742434,0
CLN,D,20170302,000000,32.0385,32.4979,31.9417,32.3728,50177.54765071428,0
CLN,D,20170303,000000,32.4695,32.4695,31.6064,32.3249,27857.659439495954,0
CLN,D,20170306,000000,32.3728,32.9475,32.0003,32.8508,44667.39878030979,0
CLN,D,20170307,000000,32.9475,32.9475,30.936,32.5546,61284.80466630835,0
CLN,D,20170308,000000,31.7032,32.5546,31.5673,32.5546,17134.046283241747,0
CLN,D,20170309,000000,32.3728,32.5644,31.6064,32.3249,12899.641126426799,0
CLN,D,20170310,000000,32.0854,32.5449,31.626,32.4608,20614.463375168692,0
CLN,D,20170313,000000,32.5175,33.4275,32.4217,33.2828,42493.416910719534,0
CLN,D,20170314,000000,33.3698,33.4275,33.1205,33.4275,17474.722030335404,0
CLN,D,20170315,000000,33.4275,34.3365,32.8342,32.9475,69421.12363517696,0
CLN,D,20170316,000000,33.3209,33.9348,33.0433,33.0913,32536.068422853397,0
CLN,D,20170317,000000,33.36,33.5995,32.9475,33.3307,24871.37563839842,0
CLN,D,20170320,000000,33.3698,34.8155,32.9475,34.7304,108492.43732059085,0
CLN,D,20170321,000000,34.7304,36.2807,34.7304,35.0569,105337.3502213875,0
CLN,D,20170322,000000,34.9123,34.9591,33.8,34.7579,42150.69506304354,0
CLN,D,20170323,000000,34.5476,37.0656,34.4793,36.3961,63888.467658357695,0
CLN,D,20170324,000000,37.0372,37.2005,36.1077,36.4918,36931.09247544479,0
CLN,D,20170327,000000,36.3961,36.3961,35.0276,36.0882,23125.028790685916,0
CLN,D,20170328,000000,36.3003,37.9854,36.0129,37.7372,46883.32571185358,0
CLN,D,20170329,000000,38.2161,39.174,37.6404,37.6687,55858.545919811935,0
CLN,D,20170330,000000,37.833,37.833,36.3198,36.6913,32104.341199809962,0
CLN,D,20170331,000000,36.8741,37.4488,36.3961,37.0656,14784.099763501974,0
CLN,D,20170403,000000,37.4488,38.1017,36.9229,37.353,19139.224854722175,0
CLN,D,20170404,000000,37.7274,37.833,36.8741,37.3442,35482.453262579744,0
CLN,D,20170405,000000,37.833,37.9189,36.5886,37.5455,27754.331360047116,0
CLN,D,20170406,000000,37.3061,37.44,36.5398,37.1634,7836.565233438818,0
CLN,D,20170407,000000,37.1145,37.1145,36.5495,36.6443,14899.704446449872,0
CLN,D,20170410,000000,36.6443,37.2396,36.4918,36.6727,6806.353589826169,0
CLN,D,20170411,000000,36.6824,36.7695,35.228,35.2944,54882.55594165218,0
CLN,D,20170412,000000,34.9591,35.2749,34.0208,34.2887,49859.379010035394,0
CLN,D,20170413,000000,34.1928,34.2887,32.6132,32.6132,112765.7183884823,0
CLN,D,20170418,000000,32.708,33.9055,32.708,33.0336,39599.207635863444,0
CLN,D,20170419,000000,33.0433,34.796,33.0336,33.8087,44306.2620273847,0
CLN,D,20170420,000000,33.5223,35.2466,33.3796,35.1986,33772.93622536342,0
CLN,D,20170421,000000,35.3424,36.0129,33.7725,33.9544,49767.30448379395,0
CLN,D,20170424,000000,33.5712,33.8576,30.7453,32.4695,76762.53252749571,0
CLN,D,20170425,000000,32.0854,32.4608,30.0748,30.7453,112485.4026085963,0
CLN,D,20170426,000000,30.5059,30.7541,27.46,30.7541,279461.5328971705,0
CLN,D,20170427,000000,31.6064,32.2389,29.7874,31.5967,63009.667457897755,0
CLN,D,20170428,000000,31.7991,33.0052,31.3191,31.5967,24729.171647870055,0
CLN,D,20170502,000000,32.1822,32.1822,30.889,31.5019,8253.96975240005,0
CLN,D,20170504,000000,31.1285,31.1862,30.1706,30.3231,47949.34411567143,0
CLN,D,20170505,000000,30.5254,31.1187,29.2508,30.8411,33241.97312403784,0
CLN,D,20170508,000000,30.8411,31.0327,29.7972,30.5547,4609.864613821843,0
CLN,D,20170509,000000,29.9408,30.3719,29.6916,29.9311,46920.15552235076,0
CLN,D,20170510,000000,29.7004,30.3622,28.9742,29.5577,22409.916636877435,0
CLN,D,20170511,000000,29.5968,30.1217,29.499,29.5088,14744.20080213078,0
CLN,D,20170512,000000,29.4042,29.4042,27.8716,28.5998,65577.5236897426,0
CLN,D,20170515,000000,28.6857,31.4638,28.4463,30.9545,58720.01758533753,0
CLN,D,20170516,000000,31.454,32.6612,31.1187,31.1187,90635.09448120724,0
CLN,D,20170517,000000,31.1187,31.1285,29.7874,30.0454,13066.398323953279,0
CLN,D,20170518,000000,30.2674,30.2674,29.1158,30.0454,24919.459002101983,0
CLN,D,20170519,000000,30.1217,32.6788,29.4335,32.6788,29319.598306151736,0
CLN,D,20170522,000000,33.0433,33.3307,31.8939,32.277,31900.754191787302,0
CLN,D,20170523,000000,32.5644,32.5644,31.5116,31.7697,29487.37855396989,0
CLN,D,20170524,000000,31.7697,31.7697,29.8069,31.1285,13929.852770039146,0
CLN,D,20170525,000000,31.76,31.76,31.1382,31.5116,6115.794643015307,0
CLN,D,20170526,000000,31.6064,32.5546,31.4149,32.5351,24450.901968562368,0
CLN,D,20170529,000000,32.277,33.1401,31.8479,32.5644,40457.546830491956,0
CLN,D,20170530,000000,32.4695,32.6612,31.5771,32.1822,11694.4878829556,0
CLN,D,20170531,000000,32.6152,32.7305,31.3826,32.7305,19367.365069742955,0
CLN,D,20170601,000000,32.6817,33.3083,32.364,32.6914,17572.934858325883,0
CLN,D,20170602,000000,32.6817,34.5105,32.6817,33.8849,21882.022686425862,0
CLN,D,20170605,000000,34.5496,34.9445,33.6924,34.4157,223417.814874579,0
CLN,D,20170606,000000,34.6464,35.9553,34.4157,35.9063,241387.69324603648,0
CLN,D,20170607,000000,35.7148,35.9063,35.1361,35.619,80244.99572000498,0
CLN,D,20170608,000000,35.8017,35.8017,35.5027,35.5222,13008.084457333996,0
CLN,D,20170609,000000,35.619,36.2924,35.185,35.5701,100337.70344647214,0
CLN,D,20170612,000000,35.5701,36.0989,33.3083,34.1742,93361.52350824518,0
CLN,D,20170613,000000,33.7022,35.1361,33.7022,34.6366,9696.470663516073,0
CLN,D,20170614,000000,34.6366,35.3296,34.6366,35.3296,116341.27915752973,0
CLN,D,20170616,000000,35.2808,35.2808,34.3288,34.6562,4680.455083940286,0
CLN,D,20170619,000000,34.6562,34.8967,34.0785,34.8967,37495.816236392544,0
CLN,D,20170620,000000,34.9445,35.1263,34.4617,34.9445,77323.16408727676,0
CLN,D,20170621,000000,35.0423,35.1361,34.1068,34.839,9626.903243689201,0
CLN,D,20170622,000000,34.839,35.3003,34.839,35.1361,9538.920918614038,0
CLN,D,20170623,000000,35.1459,35.9063,35.1361,35.7626,42098.519498173286,0
CLN,D,20170626,000000,35.8115,36.0989,35.4255,36.0989,21385.843295014114,0
CLN,D,20170627,000000,36.0989,36.5329,35.8213,36.2924,139651.48005098317,0
CLN,D,20170628,000000,36.0892,36.0892,35.2905,35.5613,5405.797740664584,0
CLN,D,20170629,000000,35.3003,36.0041,35.2905,35.7148,9141.977405484238,0
CLN,D,20170630,000000,35.619,36.4273,35.4831,36.2924,115269.12245196184,0
CLN,D,20170703,000000,35.965,36.3218,35.532,35.532,7592.056213753194,0
CLN,D,20170704,000000,35.532,35.619,34.4812,34.752,27873.00519387003,0
CLN,D,20170705,000000,34.752,34.752,33.405,33.6924,28482.74316764633,0
CLN,D,20170706,000000,34.0599,35.619,33.6924,35.3491,23353.16900570569,0
CLN,D,20170707,000000,34.8967,35.619,34.8967,35.2436,66553.51366790234,0
CLN,D,20170710,000000,35.2338,35.8584,35.2338,35.8115,24526.607690139073,0
CLN,D,20170711,000000,35.8115,35.8584,34.1351,34.8096,31118.12071873449,0
CLN,D,20170712,000000,35.4929,35.4929,34.1841,35.1361,5517.3102224458935,0
CLN,D,20170713,000000,35.4547,35.619,34.4617,35.619,69066.1251840019,0
CLN,D,20170714,000000,35.8682,36.0422,35.1361,35.9553,8992.612062914779,0
CLN,D,20170717,000000,35.2612,36.0989,34.8487,36.0041,17111.53917682697,0
CLN,D,20170718,000000,36.0041,36.8506,35.9063,35.9063,41592.10960384582,0
CLN,D,20170719,000000,35.9063,35.9063,35.2808,35.9063,29471.00974930414,0
CLN,D,20170720,000000,36.0989,36.7734,36.0989,36.4468,115564.78398622795,0
CLN,D,20170721,000000,36.3882,36.3882,35.4255,35.7148,7336.293640860282,0
CLN,D,20170724,000000,35.3199,36.0696,35.1361,35.5124,2102.3683491797347,0
CLN,D,20170725,000000,35.5124,35.5124,33.7413,34.1166,29589.683583127055,0
CLN,D,20170726,000000,34.1166,35.2143,33.8371,34.7705,16539.65406383852,0
CLN,D,20170727,000000,34.6649,35.5515,34.6649,35.3296,3279.899234778701,0
CLN,D,20170728,000000,34.6562,35.5222,34.4617,35.1361,5389.428935999437,0
CLN,D,20170731,000000,35.0325,35.1361,34.4617,35.1361,7165.444242167817,0
CLN,D,20170801,000000,34.752,35.4255,34.1742,35.1361,59871.972213647816,0
CLN,D,20170802,000000,35.4255,35.4255,31.9603,33.6728,62574.8710839803,0
CLN,D,20170803,000000,33.6543,33.6543,32.4422,33.2115,75916.46993636525,0
CLN,D,20170804,000000,33.1156,34.4431,32.7404,34.406,25159.875820621823,0
CLN,D,20170807,000000,34.406,34.4617,33.9338,34.3571,2309.024508077208,0
CLN,D,20170808,000000,33.8077,34.1742,33.2408,34.0306,5083.536898819515,0
CLN,D,20170809,000000,33.972,34.0785,32.537,33.2115,12102.684949292587,0
CLN,D,20170810,000000,33.1352,34.271,32.7795,34.271,106219.21957272246,0
CLN,D,20170811,000000,34.2808,34.4617,33.2115,33.5487,47789.74827018666,0
CLN,D,20170814,000000,33.2212,33.5487,32.3455,33.3757,26392.651421965154,0
CLN,D,20170816,000000,33.1156,33.6357,32.7305,33.5966,10533.325802021278,0
CLN,D,20170817,000000,33.6259,33.8654,32.971,33.7804,4987.37017141178,0
CLN,D,20170818,000000,33.6826,33.7609,33.1156,33.7413,7058.0239615527935,0
CLN,D,20170821,000000,33.8175,35.0325,33.8175,34.9543,94737.52615040955,0
CLN,D,20170822,000000,34.9934,36.5818,34.9641,36.5818,139302.61990156618,0
CLN,D,20170823,000000,36.5623,36.7734,35.8682,36.4851,90994.18513354899,0
CLN,D,20170824,000000,36.3882,36.8418,36.3696,36.4752,19002.136115652178,0
CLN,D,20170825,000000,36.4752,36.7636,36.3785,36.7245,41326.116528037186,0
CLN,D,20170828,000000,36.7734,37.0617,36.3785,36.4851,7702.545645242932,0
CLN,D,20170829,000000,36.4851,36.5818,34.6562,36.2827,12834.165907766816,0
CLN,D,20170830,000000,36.2827,36.5818,36.2827,36.312,3658.4278426602104,0
CLN,D,20170831,000000,36.4851,36.4851,35.619,36.2533,3394.4808674347255,0
CLN,D,20170901,000000,36.2924,36.2924,35.2524,35.619,14452.631469032358,0
CLN,D,20170904,000000,36.0501,36.0501,34.9739,34.9739,3113.1420372525226,0
CLN,D,20170905,000000,34.8673,34.8967,34.2994,34.4714,21047.2136485038,0
CLN,D,20170906,000000,34.4714,35.619,34.4714,35.185,8225.324344236044,0
CLN,D,20170907,000000,35.8115,35.8115,34.704,34.7138,2211.8347303779015,0
CLN,D,20170908,000000,35.5222,35.7333,34.752,35.619,120380.2817086554,0
CLN,D,20170911,000000,35.9259,35.9259,35.1361,35.9063,1987.7867165237105,0
CLN,D,20170912,000000,35.9259,35.9259,34.704,35.1263,4443.107416295664,0
CLN,D,20170913,000000,35.1263,35.1263,34.704,34.704,44124.15907548514,0
CLN,D,20170914,000000,35.2143,35.7148,34.7617,34.8586,29824.985150188535,0
CLN,D,20170915,000000,35.1361,35.1361,34.2232,34.2232,9201.314322395394,0
CLN,D,20170918,000000,34.2232,34.4528,34.1166,34.1547,52474.29555529313,0
CLN,D,20170919,000000,34.0785,34.6464,34.0785,34.6464,930.975765330199,0
CLN,D,20170920,000000,35.1165,35.2241,34.3961,35.0423,6883.082361694042,0
