<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR,D,19990310,000000,20.4156,20.4156,20.4156,20.4156,219480.92013228,0
CMR,D,19990311,000000,22.3021,22.3021,22.3021,22.3021,111419.10552756,0
CMR,D,19990312,000000,24.4478,24.4478,24.4478,24.4478,105468.83638493,0
CMR,D,19990315,000000,26.8491,26.8491,26.8491,26.8491,73600.36553978,0
CMR,D,19990316,000000,26.8491,26.8491,26.8491,26.8491,172986.28346997,0
CMR,D,19990317,000000,26.8491,26.8491,26.8491,26.8491,78913.707429888,0
CMR,D,19990318,000000,27.0211,27.0211,27.0211,27.0211,49634.003715273,0
CMR,D,19990319,000000,28.3062,28.3062,28.3062,28.3062,24667.508188448,0
CMR,D,19990322,000000,25.9914,25.9914,25.9914,25.9914,4075.2816438685,0
CMR,D,19990323,000000,26.5062,26.5062,26.5062,26.5062,10025.550786505,0
CMR,D,19990324,000000,25.5621,25.5621,25.5621,25.5621,12889.09149209,0
CMR,D,19990325,000000,25.733,25.733,25.733,25.733,23977.942320007,0
CMR,D,19990326,000000,26.8491,26.8491,26.8491,26.8491,10824.604976042,0
CMR,D,19990329,000000,27.2775,27.2775,27.2775,27.2775,20312.189107931,0
CMR,D,19990330,000000,27.0211,27.0211,27.0211,27.0211,7243.0735494227,0
CMR,D,19990331,000000,25.9914,25.9914,25.9914,25.9914,2685.6221838048,0
CMR,D,19990401,000000,25.9914,25.9914,25.9914,25.9914,6686.156993079,0
CMR,D,19990406,000000,25.5621,25.5621,25.5621,25.5621,5451.2550637952,0
CMR,D,19990407,000000,25.9914,25.9914,25.9914,25.9914,19012.015294917,0
CMR,D,19990408,000000,26.4208,26.4208,26.4208,26.4208,7291.5010760613,0
CMR,D,19990409,000000,26.8491,26.8491,26.8491,26.8491,17909.76267773,0
CMR,D,19990412,000000,27.0211,27.0211,27.0211,27.0211,21662.89599222,0
CMR,D,19990413,000000,27.7059,27.7059,27.7059,27.7059,22960.964260597,0
CMR,D,19990414,000000,27.7923,27.7923,27.7923,27.7923,12566.943162712,0
CMR,D,19990415,000000,27.8797,27.8797,27.8797,27.8797,5274.3893143325,0
CMR,D,19990416,000000,28.9939,28.9939,28.9939,28.9939,17725.527522039,0
CMR,D,19990419,000000,31.1388,31.1388,31.1388,31.1388,12111.092748919,0
CMR,D,19990420,000000,30.0236,30.0236,30.0236,30.0236,5461.7827869775,0
CMR,D,19990421,000000,31.2233,31.2233,31.2233,31.2233,20766.986749405,0
CMR,D,19990422,000000,32.1674,32.1674,32.1674,32.1674,23208.365755381,0
CMR,D,19990423,000000,32.4268,32.4268,32.4268,32.4268,17342.318398203,0
CMR,D,19990426,000000,32.1674,32.1674,32.1674,32.1674,3634.1700425301,0
CMR,D,19990427,000000,31.3087,31.3087,31.3087,31.3087,5758.6645807183,0
CMR,D,19990428,000000,31.3087,31.3087,31.3087,31.3087,17140.186113103,0
CMR,D,19990429,000000,30.8813,30.8813,30.8813,30.8813,24130.59430615,0
CMR,D,19990430,000000,31.4807,31.4807,31.4807,31.4807,6356.639257473,0
CMR,D,19990504,000000,31.9965,31.9965,31.9965,31.9965,11372.046581521,0
CMR,D,19990505,000000,32.4268,32.4268,32.4268,32.4268,20080.57919792,0
CMR,D,19990506,000000,33.6265,33.6265,33.6265,33.6265,13788.159051859,0
CMR,D,19990507,000000,33.2826,33.2826,33.2826,33.2826,10298.218816927,0
CMR,D,19990510,000000,33.0261,33.0261,33.0261,33.0261,3175.1613117818,0
CMR,D,19990511,000000,32.7677,32.7677,32.7677,32.7677,5925.0026069987,0
CMR,D,19990512,000000,32.5958,32.5958,32.5958,32.5958,5296.4975330154,0
CMR,D,19990513,000000,33.0261,33.0261,33.0261,33.0261,9965.5427643656,0
CMR,D,19990514,000000,32.8532,32.8532,32.8532,32.8532,5690.2343800334,0
CMR,D,19990517,000000,32.1674,32.1674,32.1674,32.1674,23143.093871651,0
CMR,D,19990518,000000,32.4268,32.4268,32.4268,32.4268,7442.0475175682,0
CMR,D,19990519,000000,32.7677,32.7677,32.7677,32.7677,7687.3434677158,0
CMR,D,19990520,000000,33.0261,33.0261,33.0261,33.0261,9385.4652170209,0
CMR,D,19990521,000000,33.0261,33.0261,33.0261,33.0261,10025.550786505,0
CMR,D,19990524,000000,32.5958,32.5958,32.5958,32.5958,11798.419370404,0
CMR,D,19990525,000000,32.1674,32.1674,32.1674,32.1674,14540.891259394,0
CMR,D,19990526,000000,31.7381,31.7381,31.7381,31.7381,13835.533806179,0
CMR,D,19990527,000000,31.7381,31.7381,31.7381,31.7381,23977.942320007,0
CMR,D,19990528,000000,31.2233,31.2233,31.2233,31.2233,9241.2354094233,0
CMR,D,19990531,000000,31.1388,31.1388,31.1388,31.1388,3744.7111359443,0
CMR,D,19990601,000000,31.1388,31.1388,31.1388,31.1388,11571.020549666,0
CMR,D,19990602,000000,31.9965,31.9965,31.9965,31.9965,20858.577941092,0
CMR,D,19990607,000000,32.8532,32.8532,32.8532,32.8532,9294.9267976531,0
CMR,D,19990608,000000,32.8532,32.8532,32.8532,32.8532,10064.503362279,0
CMR,D,19990609,000000,31.7381,31.7381,31.7381,31.7381,17221.249581607,0
CMR,D,19990610,000000,32.1674,32.1674,32.1674,32.1674,6089.2350886426,0
CMR,D,19990611,000000,32.5113,32.5113,32.5113,32.5113,21384.964100207,0
CMR,D,19990614,000000,32.5958,32.5958,32.5958,32.5958,9485.4785872527,0
CMR,D,19990615,000000,32.8532,32.8532,32.8532,32.8532,7852.6287216779,0
CMR,D,19990616,000000,32.5113,32.5113,32.5113,32.5113,3066.7257630041,0
CMR,D,19990617,000000,32.8532,32.8532,32.8532,32.8532,8707.4798440807,0
CMR,D,19990618,000000,33.0261,33.0261,33.0261,33.0261,6089.2350886426,0
CMR,D,19990621,000000,33.4555,33.4555,33.4555,33.4555,6170.2985571463,0
CMR,D,19990622,000000,34.3122,34.3122,34.3122,34.3122,15971.608839868,0
CMR,D,19990623,000000,33.711,33.711,33.711,33.711,18920.424103231,0
CMR,D,19990624,000000,33.711,33.711,33.711,33.711,6328.2144048808,0
CMR,D,19990625,000000,33.711,33.711,33.711,33.711,2659.3028758491,0
CMR,D,19990628,000000,33.711,33.711,33.711,33.711,6888.2892781792,0
CMR,D,19990629,000000,34.1394,34.1394,34.1394,34.1394,22113.482544422,0
CMR,D,19990630,000000,34.3122,34.3122,34.3122,34.3122,25786.605162727,0
CMR,D,19990701,000000,34.3122,34.3122,34.3122,34.3122,13831.322716906,0
CMR,D,19990702,000000,34.999,34.999,34.999,34.999,13175.445562649,0
CMR,D,19990705,000000,37.5703,37.5703,37.5703,37.5703,23134.671693105,0
CMR,D,19990706,000000,38.601,38.601,38.601,38.601,18698.289144083,0
CMR,D,19990707,000000,38.601,38.601,38.601,38.601,13626.032114851,0
CMR,D,19990708,000000,39.717,39.717,39.717,39.717,11622.60639326,0
CMR,D,19990709,000000,39.717,39.717,39.717,39.717,7452.5752407505,0
CMR,D,19990712,000000,39.6306,39.6306,39.6306,39.6306,2664.5667374402,0
CMR,D,19990713,000000,39.2877,39.2877,39.2877,39.2877,3256.2247802855,0
CMR,D,19990714,000000,38.8574,38.8574,38.8574,38.8574,5367.0332783368,0
CMR,D,19990715,000000,39.0294,39.0294,39.0294,39.0294,12897.513670636,0
CMR,D,19990716,000000,38.8574,38.8574,38.8574,38.8574,11220.447367696,0
CMR,D,19990719,000000,38.4299,38.4299,38.4299,38.4299,6897.7642290433,0
CMR,D,19990720,000000,39.717,39.717,39.717,39.717,4731.1587981258,0
CMR,D,19990721,000000,42.7177,42.7177,42.7177,42.7177,25289.696628522,0
CMR,D,19990722,000000,42.7177,42.7177,42.7177,42.7177,36288.009037072,0
CMR,D,19990723,000000,42.6322,42.6322,42.6322,42.6322,5855.5196339955,0
CMR,D,19990726,000000,41.6035,41.6035,41.6035,41.6035,9480.2147256616,0
CMR,D,19990727,000000,42.0329,42.0329,42.0329,42.0329,18470.890323346,0
CMR,D,19990728,000000,42.7177,42.7177,42.7177,42.7177,3616.2729131202,0
CMR,D,19990729,000000,42.2903,42.2903,42.2903,42.2903,11571.020549666,0
CMR,D,19990730,000000,42.0329,42.0329,42.0329,42.0329,4159.5034293269,0
CMR,D,19990802,000000,42.3758,42.3758,42.3758,42.3758,4571.1374057549,0
CMR,D,19990803,000000,42.7177,42.7177,42.7177,42.7177,4948.0298956812,0
CMR,D,19990804,000000,43.147,43.147,43.147,43.147,10111.8781166,0
CMR,D,19990805,000000,43.5764,43.5764,43.5764,43.5764,10663.530811353,0
CMR,D,19990806,000000,44.1777,44.1777,44.1777,44.1777,13257.561803471,0
CMR,D,19990809,000000,44.4341,44.4341,44.4341,44.4341,9723.4051311727,0
CMR,D,19990810,000000,44.8644,44.8644,44.8644,44.8644,11536.279063165,0
CMR,D,19990811,000000,44.8644,44.8644,44.8644,44.8644,14568.263339667,0
CMR,D,19990812,000000,45.2918,45.2918,45.2918,45.2918,11656.295107443,0
CMR,D,19990813,000000,48.2944,48.2944,48.2944,48.2944,14125.046193693,0
CMR,D,19990816,000000,49.1531,49.1531,49.1531,49.1531,16311.654298657,0
CMR,D,19990817,000000,48.2944,48.2944,48.2944,48.2944,15168.343561058,0
CMR,D,19990818,000000,47.4367,47.4367,47.4367,47.4367,8896.9788613621,0
CMR,D,19990819,000000,47.0073,47.0073,47.0073,47.0073,6759.8510553551,0
CMR,D,19990820,000000,46.3215,46.3215,46.3215,46.3215,6925.1363093172,0
CMR,D,19990823,000000,45.0335,45.0335,45.0335,45.0335,13551.285280257,0
CMR,D,19990824,000000,42.8896,42.8896,42.8896,42.8896,23661.05785222,0
CMR,D,19990825,000000,43.5764,43.5764,43.5764,43.5764,12467.982564798,0
CMR,D,19990826,000000,45.0335,45.0335,45.0335,45.0335,8978.0423298658,0
CMR,D,19990827,000000,46.7489,46.7489,46.7489,46.7489,16207.429839152,0
CMR,D,19990830,000000,47.865,47.865,47.865,47.865,20434.310696845,0
CMR,D,19990831,000000,48.8947,48.8947,48.8947,48.8947,20732.245262904,0
CMR,D,19990901,000000,48.4663,48.4663,48.4663,48.4663,22089.268781103,0
CMR,D,19990902,000000,49.1531,49.1531,49.1531,49.1531,14875.672856591,0
CMR,D,19990903,000000,50.0089,50.0089,50.0089,50.0089,14013.45232796,0
CMR,D,19990906,000000,53.4417,53.4417,53.4417,53.4417,15060.960784599,0
CMR,D,19990907,000000,53.1843,53.1843,53.1843,53.1843,21842.920058637,0
CMR,D,19990908,000000,51.2959,51.2959,51.2959,51.2959,12756.442179994,0
CMR,D,19990909,000000,48.8947,48.8947,48.8947,48.8947,21169.14577497,0
CMR,D,19990910,000000,50.0089,50.0089,50.0089,50.0089,14793.556615769,0
CMR,D,19990913,000000,49.3231,49.3231,49.3231,49.3231,15253.618118836,0
CMR,D,19990914,000000,46.7489,46.7489,46.7489,46.7489,13079.64328169,0
CMR,D,19990915,000000,42.2903,42.2903,42.2903,42.2903,18119.264369057,0
CMR,D,19990916,000000,42.2903,42.2903,42.2903,42.2903,19105.712031239,0
CMR,D,19990917,000000,42.7177,42.7177,42.7177,42.7177,16653.805302081,0
CMR,D,19990920,000000,42.8896,42.8896,42.8896,42.8896,15523.127832302,0
