<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COG,D,19970319,000000,4.22236,4.22236,4.22236,4.22236,110954.21187433,0
COG,D,19970320,000000,4.22236,4.22236,4.22236,4.22236,57550.933635868,0
COG,D,19970321,000000,4.22236,4.22236,4.22236,4.22236,67971.460055844,0
COG,D,19970324,000000,4.02749,4.02749,4.02749,4.02749,33767.183674028,0
COG,D,19970325,000000,3.89763,3.89763,3.89763,3.89763,58754.710579747,0
COG,D,19970326,000000,3.89763,3.89763,3.89763,3.89763,64270.348019365,0
COG,D,19970327,000000,4.28736,4.28736,4.28736,4.28736,131898.0405672,0
COG,D,19970401,000000,4.70969,4.70969,4.70969,4.70969,175172.58130142,0
COG,D,19970402,000000,4.77462,4.77462,4.77462,4.77462,136662.35108207,0
COG,D,19970403,000000,4.93706,4.93706,4.93706,4.93706,173485.63971569,0
COG,D,19970404,000000,5.06691,5.06691,5.06691,5.06691,280150.43639548,0
COG,D,19970407,000000,5.55416,5.55416,5.55416,5.55416,182298.37376998,0
COG,D,19970408,000000,6.10624,6.10624,6.10624,6.10624,427756.64381523,0
COG,D,19970409,000000,6.30111,6.30111,6.30111,6.30111,222499.08956998,0
COG,D,19970410,000000,6.49606,6.49606,6.49606,6.49606,227216.14681917,0
COG,D,19970411,000000,6.49606,6.49606,6.49606,6.49606,196273.52710275,0
COG,D,19970414,000000,5.84646,5.84646,5.84646,5.84646,62516.070530002,0
COG,D,19970415,000000,5.71651,5.71651,5.71651,5.71651,266159.92575137,0
COG,D,19970416,000000,6.10624,6.10624,6.10624,6.10624,265875.22482548,0
COG,D,19970417,000000,5.52165,5.52165,5.52165,5.52165,192786.2360936,0
COG,D,19970418,000000,5.45664,5.45664,5.45664,5.45664,180786.26926737,0
COG,D,19970421,000000,5.71651,5.71651,5.71651,5.71651,137846.04538803,0
COG,D,19970422,000000,5.52165,5.52165,5.52165,5.52165,96983.783868133,0
COG,D,19970423,000000,5.45664,5.45664,5.45664,5.45664,104185.18156184,0
COG,D,19970424,000000,5.3267,5.3267,5.3267,5.3267,117333.40274473,0
COG,D,19970425,000000,5.09942,5.09942,5.09942,5.09942,91874.524513593,0
COG,D,19970428,000000,4.83954,4.83954,4.83954,4.83954,78726.303330696,0
COG,D,19970429,000000,4.87205,4.87205,4.87205,4.87205,98932.981078535,0
COG,D,19970430,000000,5.19676,5.19676,5.19676,5.19676,66291.60645997,0
COG,D,19970505,000000,5.3267,5.3267,5.3267,5.3267,74342.381604753,0
COG,D,19970506,000000,5.3267,5.3267,5.3267,5.3267,55099.670477332,0
COG,D,19970507,000000,5.0019,5.0019,5.0019,5.0019,21491.966575063,0
COG,D,19970508,000000,5.0019,5.0019,5.0019,5.0019,51000.449677273,0
COG,D,19970509,000000,5.13192,5.13192,5.13192,5.13192,30690.99607652,0
COG,D,19970512,000000,4.70969,4.70969,4.70969,4.70969,77393.761237766,0
COG,D,19970513,000000,4.80703,4.80703,4.80703,4.80703,87371.288291742,0
COG,D,19970514,000000,4.67718,4.67718,4.67718,4.67718,65743.468577772,0
COG,D,19970515,000000,4.70969,4.70969,4.70969,4.70969,48728.748928422,0
COG,D,19970516,000000,4.74219,4.74219,4.74219,4.74219,40067.225324378,0
COG,D,19970519,000000,4.54724,4.54724,4.54724,4.54724,65314.645191484,0
COG,D,19970520,000000,4.57966,4.57966,4.57966,4.57966,60266.815082362,0
COG,D,19970521,000000,4.54724,4.54724,4.54724,4.54724,52559.807445595,0
COG,D,19970522,000000,4.54724,4.54724,4.54724,4.54724,83288.60613468,0
COG,D,19970523,000000,4.54724,4.54724,4.54724,4.54724,31886.503698901,0
COG,D,19970526,000000,4.35238,4.35238,4.35238,4.35238,19988.131393946,0
COG,D,19970527,000000,4.15751,4.15751,4.15751,4.15751,23112.753588804,0
COG,D,19970528,000000,4.28736,4.28736,4.28736,4.28736,39418.674252553,0
COG,D,19970530,000000,4.22236,4.22236,4.22236,4.22236,8408.7186325124,0
COG,D,19970602,000000,4.35238,4.35238,4.35238,4.35238,33200.144485547,0
COG,D,19970603,000000,4.31987,4.31987,4.31987,4.31987,23610.094210367,0
COG,D,19970604,000000,4.15751,4.15751,4.15751,4.15751,18278.744507006,0
COG,D,19970605,000000,3.89763,3.89763,3.89763,3.89763,22706.375503726,0
COG,D,19970606,000000,4.0925,4.0925,4.0925,4.0925,34575.214517613,0
COG,D,19970609,000000,4.22236,4.22236,4.22236,4.22236,28183.028999136,0
COG,D,19970610,000000,4.0925,4.0925,4.0925,4.0925,18148.798026312,0
COG,D,19970611,000000,4.0925,4.0925,4.0925,4.0925,29931.399830285,0
COG,D,19970612,000000,4.22236,4.22236,4.22236,4.22236,31972.740908816,0
COG,D,19970613,000000,4.38488,4.38488,4.38488,4.38488,65409.151722897,0
COG,D,19970616,000000,4.28736,4.28736,4.28736,4.28736,49178.836284278,0
COG,D,19970617,000000,4.15751,4.15751,4.15751,4.15751,30924.899741768,0
COG,D,19970618,000000,4.02749,4.02749,4.02749,4.02749,30753.606653582,0
COG,D,19970619,000000,3.96265,3.96265,3.96265,3.96265,41260.370283473,0
COG,D,19970620,000000,4.22236,4.22236,4.22236,4.22236,49615.928992065,0
COG,D,19970623,000000,4.22236,4.22236,4.22236,4.22236,28064.895834869,0
COG,D,19970624,000000,4.02749,4.02749,4.02749,4.02749,28305.887489973,0
COG,D,19970625,000000,3.93014,3.93014,3.93014,3.93014,34478.345322915,0
COG,D,19970626,000000,3.86513,3.86513,3.86513,3.86513,58853.942437731,0
COG,D,19970627,000000,3.76769,3.76769,3.76769,3.76769,44324.744564554,0
COG,D,19970630,000000,3.76769,3.76769,3.76769,3.76769,19022.983441886,0
COG,D,19970701,000000,3.70269,3.70269,3.70269,3.70269,28511.439195798,0
COG,D,19970702,000000,3.70269,3.70269,3.70269,3.70269,33148.16589327,0
COG,D,19970703,000000,3.76769,3.76769,3.76769,3.76769,31554.549507311,0
COG,D,19970704,000000,4.0925,4.0925,4.0925,4.0925,64263.260029509,0
COG,D,19970707,000000,3.96265,3.96265,3.96265,3.96265,74950.767400728,0
COG,D,19970708,000000,4.0925,4.0925,4.0925,4.0925,86866.859680322,0
COG,D,19970709,000000,4.28736,4.28736,4.28736,4.28736,142045.67937771,0
COG,D,19970710,000000,4.54724,4.54724,4.54724,4.54724,151740.86816909,0
COG,D,19970711,000000,4.41722,4.41722,4.41722,4.41722,81158.665182949,0
COG,D,19970714,000000,4.15751,4.15751,4.15751,4.15751,31749.469228351,0
COG,D,19970715,000000,3.8002,3.8002,3.8002,3.8002,48024.675269391,0
COG,D,19970716,000000,4.02749,4.02749,4.02749,4.02749,66791.309744819,0
COG,D,19970717,000000,4.0925,4.0925,4.0925,4.0925,35194.232298372,0
COG,D,19970718,000000,4.02749,4.02749,4.02749,4.02749,15144.671659007,0
COG,D,19970721,000000,3.83262,3.83262,3.83262,3.83262,48138.083107088,0
COG,D,19970722,000000,3.83262,3.83262,3.83262,3.83262,22569.341033176,0
COG,D,19970723,000000,3.89763,3.89763,3.89763,3.89763,31044.214237679,0
COG,D,19970724,000000,3.50782,3.50782,3.50782,3.50782,76114.379068756,0
COG,D,19970725,000000,3.44289,3.44289,3.44289,3.44289,33983.367364637,0
COG,D,19970728,000000,3.50782,3.50782,3.50782,3.50782,37628.956813911,0
COG,D,19970729,000000,3.37796,3.37796,3.37796,3.37796,18946.196885112,0
COG,D,19970730,000000,3.54033,3.54033,3.54033,3.54033,40108.571931872,0
COG,D,19970731,000000,3.63776,3.63776,3.63776,3.63776,22679.204875944,0
COG,D,19970801,000000,3.50782,3.50782,3.50782,3.50782,48748.831566347,0
COG,D,19970804,000000,3.57283,3.57283,3.57283,3.57283,17214.364696962,0
COG,D,19970805,000000,3.50782,3.50782,3.50782,3.50782,19955.054107952,0
COG,D,19970806,000000,3.57283,3.57283,3.57283,3.57283,17633.737430108,0
COG,D,19970807,000000,3.50782,3.50782,3.50782,3.50782,24087.352194005,0
COG,D,19970808,000000,3.63776,3.63776,3.63776,3.63776,61852.162146822,0
COG,D,19970811,000000,3.99515,3.99515,3.99515,3.99515,128909.27151125,0
COG,D,19970812,000000,3.89763,3.89763,3.89763,3.89763,95556.73524379,0
COG,D,19970813,000000,3.86513,3.86513,3.86513,3.86513,48251.490944784,0
COG,D,19970814,000000,3.70269,3.70269,3.70269,3.70269,39565.159376245,0
COG,D,19970818,000000,3.57283,3.57283,3.57283,3.57283,87185.819223843,0
COG,D,19970820,000000,3.93014,3.93014,3.93014,3.93014,138545.39372049,0
COG,D,19970821,000000,3.83262,3.83262,3.83262,3.83262,35353.712070132,0
COG,D,19970822,000000,3.73519,3.73519,3.73519,3.73519,35874.679324548,0
COG,D,19970825,000000,3.73519,3.73519,3.73519,3.73519,29942.031815069,0
COG,D,19970826,000000,3.57283,3.57283,3.57283,3.57283,52112.082753023,0
COG,D,19970827,000000,3.67018,3.67018,3.67018,3.67018,13526.247308551,0
COG,D,19970828,000000,3.73519,3.73519,3.73519,3.73519,49408.014622955,0
COG,D,19970829,000000,3.70269,3.70269,3.70269,3.70269,23295.859993417,0
COG,D,19970901,000000,3.63776,3.63776,3.63776,3.63776,13881.828132994,0
COG,D,19970902,000000,3.63776,3.63776,3.63776,3.63776,14148.809084237,0
COG,D,19970903,000000,3.70269,3.70269,3.70269,3.70269,31722.29860057,0
COG,D,19970904,000000,3.76769,3.76769,3.76769,3.76769,75996.245904489,0
COG,D,19970905,000000,3.83262,3.83262,3.83262,3.83262,53357.206304395,0
COG,D,19970908,000000,3.99515,3.99515,3.99515,3.99515,91930.047100799,0
COG,D,19970909,000000,3.99515,3.99515,3.99515,3.99515,110684.8682598,0
COG,D,19970910,000000,4.05999,4.05999,4.05999,4.05999,53949.053457372,0
COG,D,19970911,000000,3.99515,3.99515,3.99515,3.99515,61826.172850684,0
COG,D,19970912,000000,3.83262,3.83262,3.83262,3.83262,42282.222154381,0
COG,D,19970915,000000,3.83262,3.83262,3.83262,3.83262,89409.085375345,0
COG,D,19970916,000000,3.86513,3.86513,3.86513,3.86513,52332.991770202,0
COG,D,19970917,000000,3.86513,3.86513,3.86513,3.86513,49660.819594486,0
COG,D,19970918,000000,3.86513,3.86513,3.86513,3.86513,52638.956665654,0
COG,D,19970919,000000,3.96265,3.96265,3.96265,3.96265,27170.627781369,0
COG,D,19970922,000000,4.0925,4.0925,4.0925,4.0925,52503.103526746,0
COG,D,19970923,000000,4.22236,4.22236,4.22236,4.22236,109281.44626831,0
COG,D,19970924,000000,4.125,4.125,4.125,4.125,43259.183422868,0
COG,D,19970925,000000,4.0925,4.0925,4.0925,4.0925,38179.457359395,0
COG,D,19970926,000000,3.96265,3.96265,3.96265,3.96265,54745.270984531,0
COG,D,19970929,000000,4.0925,4.0925,4.0925,4.0925,57009.883743526,0
COG,D,19970930,000000,4.15751,4.15751,4.15751,4.15751,32813.849038395,0
COG,D,19971001,000000,4.0925,4.0925,4.0925,4.0925,63359.541322867,0
COG,D,19971002,000000,4.15751,4.15751,4.15751,4.15751,52503.103526746,0
COG,D,19971003,000000,4.0925,4.0925,4.0925,4.0925,41315.892870678,0
COG,D,19971006,000000,3.99515,3.99515,3.99515,3.99515,36205.452184495,0
COG,D,19971007,000000,3.89763,3.89763,3.89763,3.89763,52016.394889968,0
COG,D,19971008,000000,3.89763,3.89763,3.89763,3.89763,23180.089492436,0
COG,D,19971009,000000,3.96265,3.96265,3.96265,3.96265,44060.126276597,0
COG,D,19971010,000000,3.57283,3.57283,3.57283,3.57283,51761.227255151,0
COG,D,19971013,000000,3.8002,3.8002,3.8002,3.8002,43436.383169268,0
COG,D,19971014,000000,4.02749,4.02749,4.02749,4.02749,30050.714326194,0
COG,D,19971015,000000,3.99515,3.99515,3.99515,3.99515,54001.03204965,0
COG,D,19971016,000000,3.99515,3.99515,3.99515,3.99515,17312.415223303,0
COG,D,19971017,000000,3.99515,3.99515,3.99515,3.99515,30144.039525965,0
COG,D,19971020,000000,4.0925,4.0925,4.0925,4.0925,23279.32135042,0
COG,D,19971021,000000,3.96265,3.96265,3.96265,3.96265,15504.977810021,0
COG,D,19971022,000000,3.89763,3.89763,3.89763,3.89763,27034.774642463,0
COG,D,19971023,000000,3.89763,3.89763,3.89763,3.89763,34712.248988163,0
COG,D,19971024,000000,3.50782,3.50782,3.50782,3.50782,29685.68284861,0
COG,D,19971027,000000,3.60534,3.60534,3.60534,3.60534,51337.129195433,0
COG,D,19971028,000000,3.24803,3.24803,3.24803,3.24803,45649.017335986,0
COG,D,19971029,000000,3.50782,3.50782,3.50782,3.50782,47575.769245177,0
COG,D,19971030,000000,3.24803,3.24803,3.24803,3.24803,49956.152505153,0
COG,D,19971031,000000,3.24803,3.24803,3.24803,3.24803,80647.148581674,0
COG,D,19971103,000000,3.37796,3.37796,3.37796,3.37796,30480.719044126,0
COG,D,19971104,000000,3.37796,3.37796,3.37796,3.37796,31416.333705118,0
COG,D,19971105,000000,3.31296,3.31296,3.31296,3.31296,9625.4902244607,0
COG,D,19971106,000000,3.24803,3.24803,3.24803,3.24803,33936.11409893,0
COG,D,19971107,000000,3.24803,3.24803,3.24803,3.24803,38653.171348104,0
COG,D,19971112,000000,3.24803,3.24803,3.24803,3.24803,8582.3743839846,0
COG,D,19971113,000000,3.18311,3.18311,3.18311,3.18311,31169.435391802,0
COG,D,19971114,000000,3.08559,3.08559,3.08559,3.08559,12687.501842257,0
COG,D,19971117,000000,3.18311,3.18311,3.18311,3.18311,43767.156029215,0
COG,D,19971118,000000,3.15059,3.15059,3.15059,3.15059,12704.040485254,0
COG,D,19971119,000000,3.02074,3.02074,3.02074,3.02074,11194.298645924,0
COG,D,19971120,000000,3.02074,3.02074,3.02074,3.02074,15397.476630537,0
COG,D,19971121,000000,3.02074,3.02074,3.02074,3.02074,32217.276558848,0
COG,D,19971124,000000,3.08559,3.08559,3.08559,3.08559,15968.059813946,0
