<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPG,D,20131213,000000,4.406,4.406,3.7816,3.86479,771588.9017304842,0
CPG,D,20131216,000000,3.9897,3.9897,3.76074,3.7816,266889.77499540907,0
CPG,D,20131217,000000,3.78846,3.81628,3.511,3.58036,391672.31453175924,0
CPG,D,20131218,000000,3.54568,3.67746,3.54568,3.65668,32885.700600218355,0
CPG,D,20131219,000000,3.65668,3.65668,3.44154,3.45544,131523.98083705144,0
CPG,D,20131220,000000,3.34444,3.67746,3.24725,3.67746,403519.93538227724,0
CPG,D,20131223,000000,3.7816,3.83705,3.70528,3.81628,73627.7433698859,0
CPG,D,20131227,000000,3.80933,3.98274,3.80933,3.98274,28827.99287036614,0
CPG,D,20131230,000000,3.92729,4.09384,3.89261,3.98274,139771.1472435096,0
CPG,D,20140102,000000,3.98274,4.09384,3.98274,4.02439,14650.926709177169,0
CPG,D,20140103,000000,3.99665,4.02439,3.92033,4.02439,39124.49543179194,0
CPG,D,20140107,000000,3.7816,4.04525,3.74683,3.74683,404189.76162417646,0
CPG,D,20140108,000000,3.7816,3.81628,3.67746,3.67746,32418.482957108492,0
CPG,D,20140109,000000,3.622,3.622,3.55949,3.622,2853.1276452466986,0
CPG,D,20140110,000000,3.72605,3.72605,3.55949,3.60809,1160.294052083252,0
CPG,D,20140113,000000,3.56645,3.67746,3.56645,3.67746,7003.83604339566,0
CPG,D,20140114,000000,3.60809,3.60809,3.60809,3.60809,1057.3290264689938,0
CPG,D,20140115,000000,3.59418,3.67746,3.58036,3.67746,53197.4894165536,0
CPG,D,20140116,000000,3.64277,3.8787,3.622,3.8787,15867.685452726306,0
CPG,D,20140117,000000,3.81628,3.86479,3.81628,3.86479,3299.3094229084836,0
CPG,D,20140120,000000,3.64973,3.733,3.64973,3.65668,3180.8442859114343,0
CPG,D,20140121,000000,3.73996,3.89261,3.73996,3.88565,18333.310313403217,0
CPG,D,20140122,000000,3.96893,4.07298,3.96893,3.9897,26559.440854413293,0
CPG,D,20140123,000000,4.00361,4.05221,3.89261,3.89261,6543.261305164141,0
CPG,D,20140124,000000,3.95502,3.95502,3.88565,3.88565,4832.713298991788,0
CPG,D,20140127,000000,3.88565,3.96197,3.82314,3.96197,7589.518823502569,0
CPG,D,20140128,000000,3.96197,4.00361,3.92033,3.95502,116291.79995101961,0
CPG,D,20140129,000000,3.89956,4.10766,3.89956,3.9897,45447.43372515783,0
CPG,D,20140130,000000,3.9897,3.9897,3.8301,3.88565,12496.411226969147,0
CPG,D,20140131,000000,3.80933,3.95502,3.80933,3.88565,34910.679437298764,0
CPG,D,20140203,000000,3.88565,4.01743,3.88565,3.92729,7664.805078790413,0
CPG,D,20140204,000000,3.92729,3.92729,3.89261,3.92729,2740.198262314932,0
CPG,D,20140205,000000,3.93424,3.97588,3.88565,3.97588,18948.886165462653,0
CPG,D,20140206,000000,3.9897,4.01743,3.93424,3.97588,6114.79394051126,0
CPG,D,20140207,000000,3.9897,4.29499,3.96893,4.21171,172408.8460616033,0
CPG,D,20140210,000000,4.21171,4.35054,4.12852,4.16321,37129.40966666406,0
CPG,D,20140211,000000,4.16321,4.18398,4.09384,4.16321,33794.67141773777,0
CPG,D,20140212,000000,4.16321,4.406,4.09384,4.37131,61909.6591644955,0
CPG,D,20140213,000000,4.39217,4.39217,4.23953,4.30195,21824.15682697048,0
CPG,D,20140214,000000,4.30195,4.39217,4.2603,4.30195,16208.687903147718,0
CPG,D,20140217,000000,4.42686,4.42686,4.05907,4.12157,23337.631988418765,0
CPG,D,20140218,000000,4.17016,4.22562,4.11461,4.19093,17825.128090210263,0
CPG,D,20140219,000000,4.19093,4.19093,4.02439,4.05221,40799.61461194649,0
CPG,D,20140220,000000,4.04525,4.10766,3.96197,3.96197,13275.84539936095,0
CPG,D,20140221,000000,4.02439,4.20484,4.02439,4.17016,16608.36934666113,0
CPG,D,20140224,000000,4.16321,4.16321,4.07298,4.09384,638.8260191336225,0
CPG,D,20140225,000000,4.09384,4.19093,4.09384,4.16321,2034.943194397917,0
CPG,D,20140226,000000,4.12852,4.12852,3.89956,4.08689,12695.698373319323,0
CPG,D,20140227,000000,4.02439,4.10766,3.92033,4.03134,3798.6344395969822,0
CPG,D,20140228,000000,4.02439,4.09384,4.01056,4.08689,12332.552906636778,0
CPG,D,20140303,000000,3.88565,3.89261,3.71214,3.74683,33186.845621369735,0
CPG,D,20140304,000000,3.76769,3.88565,3.67746,3.73996,48319.382934226494,0
CPG,D,20140305,000000,3.85096,3.85096,3.69832,3.74683,55954.294941064385,0
CPG,D,20140306,000000,3.74683,3.80237,3.71214,3.71214,9748.462908962818,0
CPG,D,20140307,000000,3.94806,3.94806,3.56645,3.67051,12119.979950529923,0
CPG,D,20140310,000000,3.59418,3.66364,3.3999,3.49709,25410.218310460605,0
CPG,D,20140311,000000,3.53177,3.67051,3.53177,3.64277,11803.334817995754,0
CPG,D,20140312,000000,3.55949,3.71909,3.46935,3.5734,26716.656269867322,0
CPG,D,20140313,000000,3.60809,3.71214,3.3999,3.53177,241200.5546800582,0
CPG,D,20140314,000000,3.46935,3.59418,3.28889,3.42772,292125.06347740674,0
CPG,D,20140317,000000,3.49709,3.58731,3.4624,3.53177,14159.351748180066,0
CPG,D,20140318,000000,3.59418,3.63582,3.43458,3.52481,7241.873468202816,0
CPG,D,20140319,000000,3.39303,3.60114,3.33749,3.3514,16054.793940132859,0
CPG,D,20140320,000000,3.36521,3.46935,3.36521,3.3999,5883.399420582444,0
