<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS,D,20080506,000000,10.0103,10.0103,9.56755,9.76506,10966905.046374,0
CPS,D,20080507,000000,9.76506,9.83808,9.6078,9.8128,4270494.4210569,0
CPS,D,20080508,000000,9.73417,9.8128,9.67895,9.77349,633561.74671023,0
CPS,D,20080509,000000,9.77349,9.77349,9.47956,9.54415,607550.82126984,0
CPS,D,20080512,000000,9.56755,9.6078,9.47956,9.55164,493451.22821658,0
CPS,D,20080513,000000,9.51232,9.71826,9.49641,9.6621,887710.9652577,0
CPS,D,20080514,000000,9.77349,10.0281,9.77349,9.99534,1139170.2088479,0
CPS,D,20080515,000000,9.94853,9.94853,9.89237,9.94011,267146.13488179,0
CPS,D,20080516,000000,9.94011,9.95509,9.89986,9.92419,487209.16162597,0
CPS,D,20080519,000000,9.95509,9.95509,9.84463,9.88488,1071523.4279733,0
CPS,D,20080520,000000,9.88488,10.1067,9.88488,10.0337,1520459.7370106,0
CPS,D,20080521,000000,9.99534,10.0983,9.92419,10.0103,539305.79338324,0
CPS,D,20080523,000000,10.0281,10.0899,10.0187,10.0665,273231.16163176,0
CPS,D,20080526,000000,10.0665,10.0665,10.0047,10.0337,156848.61524903,0
CPS,D,20080527,000000,10.0047,10.059,9.99534,10.059,288977.87762451,0
CPS,D,20080528,000000,10.0665,10.4072,10.059,10.3426,858143.674991,0
CPS,D,20080529,000000,10.3997,10.4783,10.3276,10.3361,548385.26008761,0
CPS,D,20080530,000000,10.4072,10.6759,10.3997,10.6759,263165.65565594,0
CPS,D,20080602,000000,10.6927,11.0728,10.6599,10.9614,1075688.7227939,0
CPS,D,20080603,000000,10.9932,11.4837,10.9773,11.4444,902223.79678833,0
CPS,D,20080604,000000,11.5071,11.5164,10.922,10.9932,309272.3392062,0
CPS,D,20080605,000000,10.7788,11.1036,10.5177,10.8425,415299.87079126,0
CPS,D,20080606,000000,11.025,11.0971,10.7788,10.8893,156746.05861841,0
CPS,D,20080609,000000,10.6216,10.7788,10.3913,10.7395,226289.06886126,0
CPS,D,20080610,000000,10.5486,10.5897,10.176,10.4147,510355.97949672,0
CPS,D,20080611,000000,10.264,10.3679,10.1535,10.2968,388700.31302306,0
CPS,D,20080612,000000,10.146,10.439,10.1142,10.176,219005.41149094,0
CPS,D,20080613,000000,10.176,10.4072,10.0515,10.3426,73153.858279181,0
CPS,D,20080616,000000,10.3361,10.6693,10.3276,10.6291,130573.82014445,0
CPS,D,20080617,000000,10.5897,10.8107,10.5897,10.7011,113207.56402653,0
CPS,D,20080618,000000,10.6599,10.6759,10.3276,10.4072,159071.74387731,0
CPS,D,20080619,000000,10.3679,10.4072,10.0515,10.3276,610460.86566361,0
CPS,D,20080620,000000,10.4072,10.4783,10.3426,10.3426,295102.4314092,0
CPS,D,20080623,000000,10.3997,10.4072,10.146,10.176,339649.39953549,0
CPS,D,20080624,000000,10.176,10.2097,9.67052,9.88488,354679.28741214,0
CPS,D,20080625,000000,9.8128,9.88488,9.72575,9.77349,729040.90151698,0
CPS,D,20080626,000000,9.70235,9.8128,9.70235,9.73417,78635.296526045,0
CPS,D,20080627,000000,9.6621,9.88488,9.58347,9.8128,221880.20204294,0
CPS,D,20080630,000000,9.77349,9.95509,9.70235,9.95509,180845.79851531,0
CPS,D,20080701,000000,10.0187,10.1386,9.75757,9.75757,544471.01535237,0
CPS,D,20080702,000000,9.75757,10.264,9.75757,10.1854,230959.66874731,0
CPS,D,20080703,000000,10.146,10.146,10.0337,10.0665,331861.50539796,0
CPS,D,20080704,000000,10.0337,10.1067,9.95509,9.95509,120395.07455565,0
CPS,D,20080707,000000,10.0665,10.0665,9.95509,10.0337,125257.9681241,0
CPS,D,20080708,000000,9.95509,10.059,9.82029,10.0187,109293.31929129,0
CPS,D,20080709,000000,9.95509,10.0665,9.94011,10.0337,124276.20204558,0
CPS,D,20080710,000000,9.92419,9.99534,9.84463,9.94853,120131.20489146,0
CPS,D,20080711,000000,10.0337,10.0337,9.51981,9.51981,58652.778029147,0
CPS,D,20080714,000000,9.44118,9.58347,9.06863,9.25023,51544.321569464,0
CPS,D,20080715,000000,8.99655,9.0134,8.8465,8.91699,224321.26351129,0
CPS,D,20080716,000000,9.02089,9.16411,8.60958,9.02089,223508.288554,0
CPS,D,20080717,000000,9.1716,9.64618,9.02931,9.43276,147915.50540294,0
CPS,D,20080718,000000,9.40187,9.8128,9.40187,9.77349,116951.94934231,0
CPS,D,20080721,000000,9.8128,10.146,9.77349,10.146,86178.550367616,0
CPS,D,20080722,000000,10.1301,10.3042,10.0899,10.3042,68836.865109122,0
CPS,D,20080723,000000,10.3595,10.6365,10.3595,10.6122,196132.07796851,0
CPS,D,20080724,000000,10.6057,10.6057,10.4549,10.5261,251521.2048879,0
CPS,D,20080725,000000,10.3679,10.6291,10.2331,10.5261,101454.14683846,0
CPS,D,20080728,000000,10.645,10.645,10.5261,10.6365,33088.401251239,0
CPS,D,20080729,000000,10.5897,10.5897,10.5261,10.5663,405739.66988088,0
CPS,D,20080730,000000,10.6057,10.6599,10.5345,10.6365,71803.529309383,0
CPS,D,20080731,000000,10.4709,10.6759,10.4709,10.6759,539499.15536388,0
CPS,D,20080801,000000,10.6365,10.6365,10.5261,10.5729,405205.52076308,0
CPS,D,20080804,000000,10.4549,10.5261,10.3361,10.3361,147299.097321,0
CPS,D,20080805,000000,10.3361,10.439,10.3361,10.3754,253614.00113144,0
CPS,D,20080806,000000,10.5261,10.6057,10.4549,10.5261,285064.7011875,0
CPS,D,20080807,000000,10.5261,10.5261,10.2247,10.3754,33323.426863071,0
CPS,D,20080808,000000,10.3829,10.4549,10.2247,10.3361,335375.13829485,0
CPS,D,20080811,000000,10.1535,10.5261,10.1535,10.3042,196602.12919217,0
CPS,D,20080812,000000,10.3042,10.3042,10.1067,10.1142,28622.914626431,0
CPS,D,20080813,000000,10.3754,10.3754,10.1535,10.3042,89426.17700384,0
CPS,D,20080814,000000,10.3754,10.4465,10.3042,10.3754,140577.3648226,0
CPS,D,20080818,000000,10.4465,10.4465,10.3754,10.3754,100564.25440821,0
CPS,D,20080819,000000,10.3426,10.4072,10.3042,10.3997,65690.72680528,0
CPS,D,20080820,000000,10.264,10.3829,10.264,10.3754,85887.973247533,0
CPS,D,20080821,000000,10.3361,10.3361,10.2247,10.3042,71545.001136368,0
CPS,D,20080822,000000,10.2097,10.4147,10.2097,10.4072,42163.594762661,0
CPS,D,20080825,000000,10.3754,10.4549,10.2331,10.3754,5835.0449628472,0
CPS,D,20080826,000000,10.3117,10.4465,10.3042,10.4306,199885.00967017,0
CPS,D,20080827,000000,10.4549,10.4549,10.3117,10.4549,78135.332951784,0
