<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRI,D,20211012,000000,76.99,76.99,71.2,73.85,48798,0
CRI,D,20211013,000000,75.1,89,74,87,37077,0
CRI,D,20211014,000000,90.5,130.12,89.9,129.98,76059,0
CRI,D,20211015,000000,134.9,150,110.5,113.02,72049,0
CRI,D,20211018,000000,116.2,123,103.28,113.5,12472,0
CRI,D,20211019,000000,113.1,118.7,105.02,113,4746,0
CRI,D,20211020,000000,109.14,109.98,96.1,100,10230,0
CRI,D,20211021,000000,100.7,120.02,96.32,114.48,9718,0
CRI,D,20211022,000000,118.96,118.96,106.3,117,5435,0
CRI,D,20211025,000000,119,119,111,111.3,4911,0
CRI,D,20211026,000000,113.8,114.2,108.22,111.3,2504,0
CRI,D,20211027,000000,110.9,110.9,101,104.48,1761,0
CRI,D,20211028,000000,104.48,110.8,99.99,110.8,2688,0
CRI,D,20211029,000000,108.02,108.02,101.64,107.2,2061,0
CRI,D,20211102,000000,106,107,99,106.88,3202,0
CRI,D,20211103,000000,105,105,101,101.9,1198,0
CRI,D,20211104,000000,102.5,104,99.01,104,632,0
CRI,D,20211105,000000,103.24,116,100,109.92,3270,0
CRI,D,20211108,000000,111.76,116.8,107,114,5443,0
CRI,D,20211109,000000,114,119.8,111.02,113.9,6968,0
CRI,D,20211110,000000,118.8,119,113.98,117,2950,0
CRI,D,20211112,000000,117,119,114.32,119,2609,0
CRI,D,20211115,000000,119.98,127.9,116.28,119.8,1693,0
CRI,D,20211116,000000,117.52,119.74,107,111,1606,0
CRI,D,20211117,000000,112.84,113,107,110,573,0
CRI,D,20211118,000000,112.98,112.98,101.1,107.5,1995,0
CRI,D,20211119,000000,109,109,105,108,895,0
CRI,D,20211122,000000,108,109,106,106,371,0
CRI,D,20211123,000000,106.48,108.92,101,105,813,0
CRI,D,20211124,000000,108.5,108.7,104.98,108.7,811,0
CRI,D,20211125,000000,108.7,108.7,103.5,105,1221,0
CRI,D,20211126,000000,103.04,107.9,103,104,952,0
