<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRIA,D,20231025,000000,220,220,198,198,2302,0
CRIA,D,20231026,000000,194,199,185,188.5,2902,0
CRIA,D,20231027,000000,188.5,193,184,191,1083,0
CRIA,D,20231030,000000,193,196.5,190,195,837,0
CRIA,D,20231031,000000,194.5,194.5,188.5,188.5,356,0
CRIA,D,20231102,000000,192,201,192,201,380,0
CRIA,D,20231103,000000,201,205,200,204,245,0
CRIA,D,20231106,000000,204,206,196,200,740,0
CRIA,D,20231107,000000,202,205,202,205,280,0
CRIA,D,20231108,000000,205,205,199,200,415,0
CRIA,D,20231109,000000,199,199.5,197.5,198,321,0
CRIA,D,20231110,000000,198,201,197,197,150,0
CRIA,D,20231113,000000,197,200,192.5,200,151,0
CRIA,D,20231114,000000,199,202,199,202,553,0
CRIA,D,20231115,000000,202,202,201,201,314,0
CRIA,D,20231116,000000,202,202,200,200,150,0
CRIA,D,20231117,000000,201,203,200,200,476,0
CRIA,D,20231120,000000,202,204,202,203,416,0
CRIA,D,20231121,000000,203,203,203,203,140,0
CRIA,D,20231122,000000,203,204,203,203,433,0
CRIA,D,20231123,000000,204,206,204,206,385,0
CRIA,D,20231124,000000,207,219,207,219,661,0
CRIA,D,20231127,000000,220,227,218,226,766,0
CRIA,D,20231128,000000,227,227,227,227,24,0
CRIA,D,20231129,000000,226,226,220,226,490,0
CRIA,D,20231130,000000,227,227,212,221,5954,0
CRIA,D,20231201,000000,216,224,216,220,2272,0
CRIA,D,20231204,000000,220,220,214,219,807,0
