<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR,D,20111208,000000,5.83522,8.22216,5.83522,6.64409,7619.979885961312,0
CSR,D,20111209,000000,6.89618,7.28743,5.31793,5.33138,1880.2547770553886,0
CSR,D,20111212,000000,5.56984,5.56984,4.73442,4.90813,2528.997653349353,0
CSR,D,20111213,000000,5.17187,5.30465,4.90667,5.03946,1841.7700301565942,0
CSR,D,20111214,000000,5.11912,5.11912,5.11912,5.11912,753.201475019264,0
CSR,D,20111215,000000,5.05291,5.05291,5.02617,5.02617,907.140462614442,0
CSR,D,20111216,000000,4.97306,4.97306,4.97306,4.97306,373.8518270168609,0
CSR,D,20111219,000000,4.90667,4.90667,4.90667,4.90667,120.95206168192558,0
CSR,D,20111220,000000,4.90667,4.90667,4.90667,4.90667,489.30606771324443,0
CSR,D,20111222,000000,4.90667,4.90667,4.90667,4.90667,687.2276231927591,0
CSR,D,20111228,000000,5.17187,5.17187,5.17187,5.17187,186.92591350843045,0
CSR,D,20111229,000000,5.29155,5.30465,5.29155,5.30465,604.760308409628,0
CSR,D,20120111,000000,5.0791,5.0791,5.0791,5.0791,483.80824672770234,0
CSR,D,20120127,000000,5.06619,5.06619,5.06619,5.06619,296.8823332192719,0
CSR,D,20120131,000000,5.30465,5.30465,5.30465,5.30465,373.8518270168609,0
CSR,D,20120202,000000,5.30465,5.30465,5.30465,5.30465,186.92591350843045,0
CSR,D,20120227,000000,5.43725,6.36434,5.43725,6.36434,2743.412671785494,0
CSR,D,20120229,000000,6.63099,6.89618,6.63099,6.89618,120.95206168192558,0
CSR,D,20120301,000000,7.02878,7.29398,7.02878,7.29398,219.9128394216829,0
CSR,D,20120302,000000,7.29398,8.75256,7.29398,8.75256,406.83875293011334,0
CSR,D,20120305,000000,7.28743,7.28743,7.02878,7.02878,98.96077773975729,0
CSR,D,20120309,000000,7.02769,7.69177,7.02769,7.559,1627.3550117204534,0
CSR,D,20120314,000000,6.10042,6.10042,6.10042,6.10042,720.2145491060114,0
CSR,D,20120315,000000,6.10042,6.10042,5.96781,5.96781,467.3147837710761,0
CSR,D,20120525,000000,5.30465,5.30465,5.30465,5.30465,417.8343949011975,0
CSR,D,20120720,000000,5.17187,5.30356,5.17187,5.30356,6245.524639575794,0
CSR,D,20120829,000000,5.23862,5.23862,5.23862,5.23862,285.88669124818773,0
CSR,D,20120830,000000,5.23862,5.30465,5.23862,5.23862,1649.3462956626217,0
CSR,D,20120913,000000,5.10566,5.10566,5.10566,5.10566,296.8823332192719,0
CSR,D,20121120,000000,5.06619,5.06619,4.93341,4.93341,307.87797519035604,0
CSR,D,20121217,000000,4.68695,4.68695,4.68695,4.68695,324.37143814698226,0
CSR,D,20121220,000000,4.44267,4.44267,3.97885,3.97885,868.6557157156474,0
CSR,D,20121221,000000,3.70129,3.70129,3.70129,3.70129,324.37143814698226,0
CSR,D,20130110,000000,3.7795,3.7795,3.7795,3.7795,753.201475019264,0
CSR,D,20130111,000000,3.99195,3.99195,3.99195,3.99195,1127.053302036125,0
CSR,D,20130122,000000,3.99195,3.99195,3.99195,3.99195,1121.5554810505826,0
CSR,D,20130227,000000,4.29043,4.77389,4.29043,4.77389,736.7080120626376,0
CSR,D,20130228,000000,5.13239,5.13239,5.13239,5.13239,291.3845122337298,0
CSR,D,20130301,000000,6.12698,6.12698,4.77389,4.77389,296.8823332192719,0
CSR,D,20130327,000000,4.77389,4.77389,4.77389,4.77389,307.87797519035604,0
CSR,D,20130419,000000,4.70787,4.70787,4.56472,4.56472,659.7385182650487,0
CSR,D,20130520,000000,4.64147,4.64147,4.64147,4.64147,324.37143814698226,0
