<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAD,D,20201229,000000,17.7534,19.223,16.3351,18.937,839637.88889809,0
DAD,D,20201230,000000,19.1323,19.1323,17.9507,19.0356,217540.00000238,0
DAD,D,20210104,000000,19.0849,19.0849,18.3058,18.4636,50371.013889441,0
DAD,D,20210105,000000,18.5227,18.5425,18.2564,18.3649,28242.888889198,0
DAD,D,20210107,000000,18.0493,18.5819,18.0493,18.4833,41842.180556014,0
DAD,D,20210108,000000,18.4833,18.6411,18.2564,18.5425,47912.333333858,0
DAD,D,20210111,000000,18.6016,18.6016,18.3432,18.5799,20936.805555785,0
DAD,D,20210112,000000,18.3551,18.5425,18.3353,18.4438,13464.444444592,0
DAD,D,20210113,000000,18.4438,19.0336,18.2466,19.0336,79071.166667533,0
DAD,D,20210114,000000,19.0336,19.0336,18.2683,18.7397,18062.430555754,0
DAD,D,20210115,000000,18.8384,18.937,18.4458,18.5425,112511.25000123,0
DAD,D,20210118,000000,18.5425,18.6411,18.3176,18.3906,8010.7361111989,0
DAD,D,20210119,000000,18.3511,18.937,18.3511,18.5425,9978.6944445538,0
DAD,D,20210120,000000,18.5425,18.5425,18.3551,18.4044,4883.9027778313,0
DAD,D,20210121,000000,18.3649,18.8778,18.357,18.7496,17917.444444641,0
DAD,D,20210122,000000,18.3669,18.789,18.3649,18.5425,2492.1388889162,0
DAD,D,20210125,000000,18.6214,18.7831,18.4438,18.4438,2379.5972222483,0
DAD,D,20210126,000000,18.4438,18.6293,18.3689,18.4438,2797.3194444751,0
DAD,D,20210127,000000,18.6214,18.6214,18.2466,18.288,12936.208333475,0
DAD,D,20210128,000000,18.2466,18.8384,17.8619,18.8384,20605.263889115,0
DAD,D,20210129,000000,18.4438,18.8778,18.2466,18.8186,10770.541666785,0
DAD,D,20210201,000000,18.8384,18.8384,18.2979,18.3649,6371.2777778476,0
DAD,D,20210202,000000,18.72,18.72,18.2959,18.3353,4134.6388889342,0
DAD,D,20210203,000000,18.3353,18.3649,18.2466,18.2959,3258.6388889246,0
DAD,D,20210204,000000,18.2663,18.6411,18.2663,18.3452,1123.3888889012,0
DAD,D,20210205,000000,18.6352,18.6352,18.2466,18.2959,3156.2361111457,0
DAD,D,20210208,000000,18.3945,18.6411,18.2466,18.5918,5197.1944445014,0
DAD,D,20210209,000000,18.2485,18.5898,18.2485,18.5425,3228.2222222576,0
DAD,D,20210210,000000,18.5425,18.7397,18.2485,18.7299,17876.888889085,0
DAD,D,20210211,000000,18.5425,19.1737,18.3452,19.0356,24651.694444715,0
DAD,D,20210212,000000,18.937,19.083,18.8679,18.8679,6300.3055556246,0
DAD,D,20210215,000000,19.0356,19.1796,18.8679,18.939,7323.3194445247,0
DAD,D,20210216,000000,19.1342,20.2192,18.935,19.5879,16743.361111295,0
DAD,D,20210217,000000,19.8148,20.1205,19.4795,19.726,9759.6944445514,0
DAD,D,20210218,000000,19.511,19.8247,19.509,19.509,1989.2500000218,0
DAD,D,20210219,000000,19.6175,19.8247,19.1323,19.2427,13278.902777923,0
DAD,D,20210222,000000,19.2329,19.726,18.6411,19.4716,5432.4166667262,0
DAD,D,20210223,000000,19.6175,19.6175,18.7989,18.937,8723.5000000956,0
DAD,D,20210224,000000,18.937,19.4282,18.937,19.3315,4975.1527778323,0
DAD,D,20210225,000000,19.2329,19.3315,19.1342,19.2329,3358.0000000368,0
DAD,D,20210226,000000,19.1342,19.1342,18.7397,18.9173,4425.6250000485,0
DAD,D,20210301,000000,19.0455,20.2192,18.7417,19.8148,18523.750000203,0
DAD,D,20210302,000000,19.8247,20.2192,19.726,20.0219,7030.3055556326,0
