<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR,D,20050621,000000,9.68646,9.72765,9.40318,9.56718,340242.05732222,0
DCR,D,20050622,000000,9.48654,9.52684,9.40318,9.48654,29601.932486681,0
DCR,D,20050623,000000,9.48654,9.52684,9.44531,9.48654,35455.384145155,0
DCR,D,20050624,000000,9.16204,9.44531,9.16204,9.3234,13528.646514641,0
DCR,D,20050627,000000,9.28127,9.48654,9.28127,9.48654,16825.187328589,0
DCR,D,20050628,000000,9.40318,9.52684,9.40318,9.52684,41151.538932304,0
DCR,D,20050629,000000,9.40318,9.52684,9.40318,9.44531,6211.5530463854,0
DCR,D,20050630,000000,9.52684,9.56718,9.52684,9.52684,8894.5245041004,0
DCR,D,20050701,000000,9.36283,9.52684,9.36283,9.52684,1523.8831647562,0
DCR,D,20050704,000000,9.40318,9.56718,9.40318,9.56718,11953.44664009,0
DCR,D,20050705,000000,9.52684,9.60931,9.52684,9.60931,16098.944326938,0
DCR,D,20050706,000000,9.60931,9.60931,9.52684,9.52684,4216.8948483005,0
DCR,D,20050707,000000,9.52684,9.52684,8.79811,9.52684,11159.153218929,0
DCR,D,20050708,000000,9.3234,9.52684,9.3234,9.52684,692.77558222079,0
DCR,D,20050711,000000,9.3234,9.56718,9.3234,9.56718,9583.9533443781,0
DCR,D,20050712,000000,9.3234,9.52684,9.3234,9.52684,5077.007527676,0
DCR,D,20050713,000000,9.60931,9.60931,9.60931,9.60931,16401.266682464,0
DCR,D,20050714,000000,9.56718,9.60931,9.52684,9.52684,16149.145456084,0
DCR,D,20050715,000000,9.52684,9.52684,9.52684,9.52684,134.98525837152,0
DCR,D,20050718,000000,9.3234,9.3234,9.3234,9.3234,1807.2406492716,0
DCR,D,20050719,000000,9.3234,9.40318,9.3234,9.40318,123617.49157148,0
DCR,D,20050720,000000,9.48654,9.48654,9.3234,9.48654,125809.6075442,0
DCR,D,20050721,000000,9.3234,9.52684,9.3234,9.3234,5063.6205599036,0
DCR,D,20050725,000000,9.24362,9.28127,9.24362,9.28127,2426.3879087443,0
DCR,D,20050726,000000,9.40318,9.40318,9.36283,9.40318,63643.875951201,0
DCR,D,20050727,000000,9.52684,9.52684,9.24362,9.24362,2581.4536187744,0
DCR,D,20050728,000000,9.24362,9.3234,9.24362,9.3234,2657.3131028179,0
DCR,D,20050729,000000,9.3234,9.3234,9.3234,9.3234,493.08664628275,0
DCR,D,20050801,000000,9.24362,9.24362,9.24362,9.24362,210.84474241502,0
DCR,D,20050802,000000,9.24362,9.36283,8.67441,9.36283,5667.1496903086,0
DCR,D,20050803,000000,9.36283,9.36283,9.36283,9.36283,2418.5788442104,0
DCR,D,20050804,000000,9.40318,9.48654,9.40318,9.48654,2626.0768446823,0
DCR,D,20050805,000000,9.16204,9.68646,9.16204,9.68646,29879.712067958,0
DCR,D,20050808,000000,9.68646,10.0504,9.68646,9.72765,42942.04587186,0
DCR,D,20050809,000000,9.76798,10.0136,9.68646,10.0136,16773.870618795,0
DCR,D,20050810,000000,9.89173,9.93206,9.80926,9.80926,6444.7094017544,0
DCR,D,20050811,000000,9.72765,9.72765,9.72765,9.72765,182.95522622256,0
DCR,D,20050812,000000,9.64518,9.72765,9.64518,9.72765,1169.1285187881,0
DCR,D,20050816,000000,9.72765,9.89173,9.56718,9.89173,9961.0196033002,0
DCR,D,20050817,000000,9.89173,10.3381,9.89173,10.1337,27142.077158505,0
DCR,D,20050818,000000,10.1337,10.175,9.97325,10.0925,3886.6829765817,0
DCR,D,20050819,000000,10.0925,10.175,9.89173,9.93206,5842.2958519972,0
DCR,D,20050822,000000,10.0504,10.0504,9.85045,10.0504,14542.709323398,0
DCR,D,20050823,000000,9.56718,9.93206,9.56718,9.93206,10850.137379516,0
DCR,D,20050824,000000,9.72765,9.93206,9.72765,9.93206,4686.5543009815,0
DCR,D,20050825,000000,9.80926,10.0136,9.80926,10.0136,7032.6204030916,0
DCR,D,20050826,000000,9.85045,10.0136,9.85045,10.0136,9464.5862150744,0
DCR,D,20050829,000000,9.80926,9.93206,9.80926,9.80926,5377.0987219069,0
DCR,D,20050830,000000,9.85045,10.2565,9.85045,10.2144,61941.499882813,0
DCR,D,20050831,000000,10.2144,10.4197,10.1337,10.3381,32321.71810577,0
DCR,D,20050901,000000,10.4968,10.4968,10.1337,10.1337,10006.758409856,0
DCR,D,20050902,000000,10.2969,10.2969,10.1337,10.1337,3341.1640398571,0
DCR,D,20050905,000000,10.0925,10.1337,9.85045,10.1337,2967.4445228781,0
DCR,D,20050906,000000,9.93206,10.1337,9.93206,10.1337,2531.252489628,0
DCR,D,20050907,000000,9.97325,9.97325,9.93206,9.93206,1279.5710029102,0
DCR,D,20050908,000000,9.93206,10.0925,9.93206,10.0925,93.708774406677,0
DCR,D,20050909,000000,9.93206,10.175,9.93206,10.175,5162.9072375488,0
DCR,D,20050912,000000,9.97325,10.0925,9.97325,10.0925,605.7602917003,0
DCR,D,20050913,000000,9.97325,10.0504,9.93206,10.0504,3053.3442327509,0
DCR,D,20050914,000000,9.97325,10.0504,9.93206,10.0504,1524.9987454039,0
DCR,D,20050915,000000,9.93206,10.0504,9.93206,10.0504,1848.5171332365,0
DCR,D,20050916,000000,9.93206,10.0136,9.93206,10.0136,184.07080687026,0
DCR,D,20050919,000000,9.93206,9.97325,9.93206,9.93206,7645.0741786781,0
DCR,D,20050920,000000,9.93206,9.97325,9.93206,9.97325,13605.621579331,0
DCR,D,20050921,000000,9.93206,9.93206,9.93206,9.93206,1604.2049713905,0
DCR,D,20050922,000000,9.93206,9.97325,9.93206,9.97325,3293.1940720061,0
DCR,D,20050923,000000,9.93206,10.0504,9.93206,10.0504,5863.4918843035,0
DCR,D,20050926,000000,9.97325,9.97325,9.97325,9.97325,1475.9131969052,0
DCR,D,20050927,000000,9.93206,10.2144,9.93206,10.2144,8634.5942131867,0
DCR,D,20050928,000000,10.2144,10.2144,10.175,10.175,541.05661413379,0
DCR,D,20050929,000000,9.97325,10.175,9.93206,10.175,2616.0366188531,0
DCR,D,20050930,000000,10.1337,10.175,9.97325,10.175,426.15180742084,0
DCR,D,20051003,000000,10.1337,10.175,10.1337,10.175,1166.8973574927,0
DCR,D,20051004,000000,10.175,10.175,9.93206,10.1337,7617.1846624856,0
DCR,D,20051005,000000,9.93206,10.0925,9.93206,9.93206,2734.2881675091,0
DCR,D,20051006,000000,9.80926,10.1337,9.80926,10.0136,8167.165921801,0
DCR,D,20051007,000000,10.0136,10.0504,9.93206,10.0504,2213.3120050339,0
DCR,D,20051010,000000,10.0504,10.1337,10.0504,10.1337,7318.2090489024,0
DCR,D,20051011,000000,10.1337,10.175,10.1337,10.1337,3908.9945895357,0
DCR,D,20051012,000000,10.2969,10.3381,10.0136,10.0136,14727.895710916,0
DCR,D,20051013,000000,10.3381,10.5398,10.3381,10.4565,16117.909197948,0
DCR,D,20051014,000000,10.4565,10.5801,10.1337,10.3785,6760.4187250531,0
DCR,D,20051017,000000,10.2144,10.4968,10.2144,10.4968,445.11667843171,0
DCR,D,20051018,000000,10.4565,10.4968,10.2565,10.4968,2334.910295633,0
DCR,D,20051019,000000,10.1337,10.5398,10.1337,10.3381,2368.377715064,0
DCR,D,20051020,000000,10.2969,10.5801,10.2969,10.5801,1701.2604877403,0
DCR,D,20051021,000000,10.5801,11.0265,10.5801,10.7433,5165.1383988442,0
DCR,D,20051024,000000,10.7433,11.1485,10.7433,11.1485,3073.4246844095,0
DCR,D,20051025,000000,11.1485,11.1485,11.1485,11.1485,672.69513056222,0
DCR,D,20051026,000000,11.1485,11.7132,11.1485,11.5554,7213.3444680187,0
DCR,D,20051027,000000,11.3483,11.4729,11.0265,11.4729,972.78632479312,0
DCR,D,20051028,000000,11.1485,11.3483,10.9441,11.0265,1850.7482945319,0
DCR,D,20051031,000000,11.1485,11.5133,11.1485,11.5133,85.899709872787,0
DCR,D,20051102,000000,11.5554,11.5554,11.5554,11.5554,22623.975535326,0
