<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEL,D,20090918,000000,3.46118,3.75471,3.34303,3.46471,608493.2171049245,0
DEL,D,20090921,000000,3.50756,3.66254,3.40516,3.4515,146060.83418717099,0
DEL,D,20090922,000000,3.42545,3.48793,3.32641,3.45826,115739.31554516226,0
DEL,D,20090923,000000,3.45504,3.45504,3.37937,3.4515,55465.298179607176,0
DEL,D,20090924,000000,3.39264,3.41219,3.34617,3.38907,22803.59732174506,0
DEL,D,20090925,000000,3.38907,3.38907,3.24422,3.29355,55479.05047470653,0
DEL,D,20090928,000000,3.29011,3.29011,3.21101,3.24422,20089.811089063962,0
DEL,D,20090929,000000,3.14531,3.23078,3.14531,3.22777,25929.95240736866,0
DEL,D,20090930,000000,3.1882,3.22109,3.14531,3.16176,26972.834785636154,0
DEL,D,20091001,000000,3.20805,3.21101,3.16507,3.21101,7912.15377974316,0
DEL,D,20091002,000000,3.20805,3.20805,3.09583,3.20805,10935.366652130755,0
DEL,D,20091005,000000,3.17825,3.19456,3.11896,3.19456,1219.3701653601856,0
DEL,D,20091006,000000,3.13213,3.18484,3.1289,3.18484,1654.8595101316805,0
DEL,D,20091007,000000,3.19456,3.19456,3.13213,3.19456,16026.007887591448,0
DEL,D,20091008,000000,3.19456,3.19456,3.11896,3.15521,7249.751565853886,0
DEL,D,20091009,000000,3.15521,3.20464,3.14531,3.14862,26285.220030733795,0
DEL,D,20091012,000000,3.15849,3.17493,3.10246,3.16176,14323.01534461595,0
DEL,D,20091013,000000,3.09256,3.14862,3.09256,3.11237,27637.529048708435,0
DEL,D,20091014,000000,3.1289,3.1289,3.07943,3.11237,9826.014847554728,0
DEL,D,20091015,000000,3.11237,3.1519,3.11237,3.11237,4843.099923695625,0
DEL,D,20091016,000000,3.11237,3.12555,3.06298,3.12555,13218.247638406809,0
DEL,D,20091019,000000,3.03667,3.10905,3.03667,3.04981,14190.076492001926,0
DEL,D,20091020,000000,3.09583,3.09583,3.00368,3.04644,19076.725350174052,0
DEL,D,20091021,000000,3.03009,3.04644,2.96739,3.04644,11075.181652294452,0
DEL,D,20091022,000000,2.97729,3.04321,2.97729,3.04321,5535.298776964001,0
DEL,D,20091023,000000,3.04644,3.10905,3.03009,3.10905,10912.446160300677,0
DEL,D,20091026,000000,3.03667,3.10578,3.03009,3.10246,6062.470089055811,0
DEL,D,20091027,000000,3.08929,3.10246,2.9971,2.9971,309.42663970606213,0
DEL,D,20091028,000000,3.10905,3.10905,3.03009,3.09256,6339.808040199763,0
DEL,D,20091029,000000,3.09256,3.10246,3.08929,3.10246,14776.841082852157,0
DEL,D,20091030,000000,3.09583,3.11237,3.04644,3.04644,9147.5682893844,0
DEL,D,20091102,000000,3.03335,3.1289,3.03335,3.12555,909.9435256541235,0
DEL,D,20091103,000000,3.12555,3.12555,3.04644,3.10905,8448.493288567,0
DEL,D,20091104,000000,3.10905,3.10905,3.0827,3.09583,2803.176150818623,0
DEL,D,20091105,000000,3.11896,3.29011,3.08929,3.28666,24738.086832204568,0
DEL,D,20091106,000000,3.28666,3.28666,3.20128,3.22777,9346.976568306085,0
DEL,D,20091109,000000,3.23414,3.35273,3.23414,3.34303,18950.662645108616,0
DEL,D,20091110,000000,3.35965,3.41869,3.32641,3.41869,26172.90962076663,0
DEL,D,20091112,000000,3.41869,3.41869,3.35965,3.41219,6181.65664657222,0
DEL,D,20091113,000000,3.41869,3.41869,3.36585,3.39905,21785.9274844887,0
DEL,D,20091116,000000,3.41869,3.41869,3.29011,3.39264,14951.03682075989,0
DEL,D,20091117,000000,3.39264,3.41869,3.19456,3.22777,32061.183971913622,0
DEL,D,20091118,000000,3.27707,3.32331,3.21101,3.24422,12241.83468644524,0
DEL,D,20091119,000000,3.24422,3.27707,3.19456,3.22777,12331.22460458233,0
DEL,D,20091120,000000,3.32331,3.32331,3.19456,3.29355,6491.083286278282,0
DEL,D,20091123,000000,3.29355,3.35965,3.19456,3.35965,11338.767308340357,0
DEL,D,20091124,000000,3.34303,3.34303,3.22777,3.34303,4199.034103270414,0
DEL,D,20091125,000000,3.33959,3.33959,3.29355,3.32641,2214.1195107856006,0
DEL,D,20091126,000000,3.32641,3.32641,3.22777,3.30669,4066.095250655958,0
DEL,D,20091127,000000,3.19456,3.31987,3.19456,3.26066,4746.833858009294,0
DEL,D,20091130,000000,3.30983,3.30983,3.20128,3.25394,733.4557385625178,0
DEL,D,20091201,000000,3.29011,3.35965,3.1355,3.34617,31192.497331553855,0
DEL,D,20091202,000000,3.34303,3.34303,3.19456,3.22445,26216.45855524356,0
DEL,D,20091203,000000,3.22445,3.26066,3.19155,3.25054,3557.260332028211,0
DEL,D,20091204,000000,3.16176,3.25054,3.16176,3.2409,4783.50664493742,0
DEL,D,20091207,000000,3.16839,3.22109,3.16176,3.16507,10165.238126639893,0
DEL,D,20091208,000000,3.15849,3.19155,3.07284,3.14204,10658.028700986584,0
DEL,D,20091209,000000,3.13876,3.14204,3.07943,3.07943,7607.311238403114,0
DEL,D,20091210,000000,3.12223,3.1289,3.12223,3.12555,7742.542140200579,0
DEL,D,20091211,000000,3.03009,3.12223,3.03009,3.12223,14258.837967492163,0
DEL,D,20091215,000000,3.21101,3.21101,3.04981,3.19456,1592.9741821904681,0
DEL,D,20091217,000000,3.12555,3.12555,3.06298,3.12223,3946.9086931395486,0
DEL,D,20091218,000000,3.06298,3.11896,3.03009,3.11896,2521.2541013086548,0
DEL,D,20091221,000000,3.11896,3.42545,3.11896,3.19456,6954.077221245871,0
DEL,D,20091222,000000,3.10905,3.19456,3.00042,3.15521,2716.078281864324,0
DEL,D,20091223,000000,3.19456,3.19456,3.03009,3.11896,4957.702382846018,0
DEL,D,20091228,000000,3.10905,3.11237,3.07616,3.09583,21964.70732076505,0
DEL,D,20091229,000000,3.1289,3.1289,3.02345,3.09583,2042.2158220600104,0
DEL,D,20091230,000000,3.09583,3.1289,3.06298,3.11896,4872.896563074727,0
DEL,D,20091231,000000,3.11896,3.11896,3.11896,3.11896,3218.0370529430465,0
DEL,D,20100104,000000,3.06298,3.11896,3.06298,3.11564,4441.991316669248,0
DEL,D,20100105,000000,3.11237,3.11237,3.04644,3.10246,5166.278858499734,0
DEL,D,20100106,000000,3.12555,3.12555,3.03009,3.09583,476.74623006563655,0
DEL,D,20100107,000000,3.12223,3.12223,2.96739,2.98061,5656.777383663419,0
DEL,D,20100108,000000,3.13213,3.13213,3.03009,3.11896,4036.2986112768554,0
DEL,D,20100111,000000,3.1289,3.1289,3.12555,3.12555,481.3303284316523,0
DEL,D,20100112,000000,3.0136,3.1289,3.00696,3.11896,2298.9253305568914,0
DEL,D,20100113,000000,3.03335,3.10905,3.03009,3.09583,4370.937791996004,0
DEL,D,20100114,000000,3.10905,3.10905,3.03009,3.08929,1031.4221323535405,0
DEL,D,20100115,000000,3.10905,3.10905,3.03335,3.07943,2342.474265034041,0
DEL,D,20100118,000000,3.07943,3.07943,3.07943,3.07943,634.8976236931794,0
DEL,D,20100119,000000,3.07616,3.07616,3.07616,3.07616,155.859344444535,0
DEL,D,20100120,000000,3.06952,3.06952,3.06952,3.06952,302.55049215703855,0
