<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGA,D,20040420,000000,48.0565,50.6129,48.0565,49.8337,108297.95250387,0
DGA,D,20040421,000000,49.3343,50.5017,48.8896,49.6678,32544.146463682,0
DGA,D,20040422,000000,49.6678,49.6678,48.2233,48.2233,15813.689263487,0
DGA,D,20040423,000000,48.0565,48.2233,47.4451,47.6119,9134.2206832611,0
DGA,D,20040426,000000,47.4451,47.4451,46.7789,46.9456,6988.4037608442,0
DGA,D,20040427,000000,47.7795,47.7795,46.0015,46.9456,3934.7412174048,0
DGA,D,20040428,000000,46.7789,46.7789,46.0015,46.3341,3303.4873826397,0
DGA,D,20040429,000000,46.1674,46.4453,44.8897,45.1677,5537.4121724531,0
DGA,D,20040430,000000,44.3903,44.8897,44.0567,44.8897,5539.6427513746,0
DGA,D,20040504,000000,45.667,45.667,44.8897,45.667,3193.0737260289,0
DGA,D,20040505,000000,44.8897,44.8897,44.2235,44.8897,6030.3701140894,0
DGA,D,20040506,000000,44.8897,45.1677,44.2235,44.3903,1454.3374567732,0
DGA,D,20040507,000000,44.5562,45.0017,44.5562,45.0017,3460.7431966006,0
DGA,D,20040510,000000,44.8897,44.8897,44.0567,44.3903,2746.9579417426,0
DGA,D,20040511,000000,44.3903,44.8897,44.3903,44.8897,1897.1073726773,0
DGA,D,20040512,000000,44.8897,45.5003,44.8897,45.5003,492.95794163631,0
DGA,D,20040513,000000,45.1677,45.1677,44.2235,44.2235,1607.1321128912,0
DGA,D,20040514,000000,44.0567,44.8897,44.0567,44.8897,351.31618012543,0
DGA,D,20040517,000000,44.5562,44.5562,44.0567,44.5562,1990.7916873774,0
DGA,D,20040518,000000,44.5562,44.5562,44.0567,44.0567,211.90499753597,0
DGA,D,20040519,000000,44.5562,44.5562,44.3903,44.3903,901.15388425823,0
DGA,D,20040520,000000,44.2235,44.5562,44.0567,44.0567,687.01830780083,0
DGA,D,20040521,000000,43.612,43.612,42.4455,43.612,2052.1326077168,0
DGA,D,20040524,000000,44.5562,44.5562,43.8891,43.8891,525.30133599706,0
DGA,D,20040525,000000,43.8891,44.3903,42.7782,42.7782,447.23107374697,0
DGA,D,20040526,000000,43.2793,44.0567,43.2793,43.7231,190.71449778237,0
DGA,D,20040527,000000,42.7782,44.2235,42.7782,44.2235,488.49678379345,0
DGA,D,20040528,000000,43.2793,43.7231,43.2793,43.2793,220.8273132217,0
DGA,D,20040531,000000,42.7782,43.4443,42.4455,42.4455,498.53438893989,0
DGA,D,20040601,000000,42.4455,43.2793,42.4455,43.2793,142.7570509716,0
DGA,D,20040602,000000,43.612,43.612,43.2793,43.2793,324.54923306825,0
DGA,D,20040603,000000,43.8891,44.2235,43.2793,44.2235,1186.6679862014,0
DGA,D,20040604,000000,44.3903,44.3903,44.3903,44.3903,70.263236025085,0
DGA,D,20040607,000000,44.5562,44.5562,43.612,44.0567,861.00346367247,0
DGA,D,20040608,000000,43.612,44.2235,43.612,44.2235,1349.5002474659,0
DGA,D,20040609,000000,44.2235,44.7239,44.0567,44.2235,4457.8119744804,0
