<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL,D,20061229,000000,4.35605,4.35881,4.04517,4.22828,1294031.4814235987,0
ETL,D,20070102,000000,4.33217,4.35881,4.20717,4.26867,288306.10146824527,0
ETL,D,20070103,000000,4.2762,4.2762,3.99212,4.05308,100723.10036658087,0
ETL,D,20070104,000000,4.04517,4.04517,3.78228,3.93622,96062.96054306785,0
ETL,D,20070105,000000,3.89645,4.02951,3.83802,3.96271,54199.84869080714,0
ETL,D,20070108,000000,3.92032,3.9657,3.85936,3.9657,48405.281313833446,0
ETL,D,20070109,000000,3.97898,3.97898,3.9257,3.9657,9800.880987127584,0
ETL,D,20070110,000000,3.96271,3.96271,3.88055,3.94943,5802.382032910748,0
ETL,D,20070111,000000,3.9072,3.99212,3.80885,3.99212,52666.87368458157,0
ETL,D,20070112,000000,3.99457,4.07174,3.95242,3.99212,69093.28046327278,0
ETL,D,20070115,000000,4.05852,4.05852,3.93906,3.9657,47332.06856521023,0
ETL,D,20070116,000000,4.04263,4.04263,3.96025,3.97898,27237.983266950287,0
ETL,D,20070117,000000,3.98144,4.03979,3.95495,3.97898,37083.14730438469,0
ETL,D,20070118,000000,3.95242,3.95242,3.92831,3.95242,44345.56755478029,0
ETL,D,20070119,000000,4.03442,4.03442,3.88854,4.02951,30560.51448265224,0
ETL,D,20070122,000000,4.04517,4.07174,3.9657,4.01339,25598.207962923854,0
ETL,D,20070123,000000,4.0186,4.0186,3.93906,3.93906,9437.499486076607,0
ETL,D,20070124,000000,3.9657,4.04517,3.93906,3.99212,27550.56950441349,0
ETL,D,20070125,000000,3.9657,4.12217,3.9657,4.12217,120701.26826844984,0
ETL,D,20070126,000000,4.09576,4.12217,3.99212,4.10106,18636.651966087054,0
ETL,D,20070129,000000,4.16202,4.20179,4.09576,4.20179,48074.46087918535,0
ETL,D,20070130,000000,4.16202,4.17531,4.08494,4.15665,50981.51288759292,0
ETL,D,20070131,000000,4.07457,4.20179,4.07174,4.19934,125340.56900946952,0
ETL,D,20070201,000000,4.16202,4.20179,4.14874,4.14874,57002.70528672815,0
