<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO,D,20100414,000000,6.72843,6.93245,6.39722,6.40699,246390.18040844786,0
FRO,D,20100415,000000,6.58079,6.61136,6.40699,6.40699,105620.01593928375,0
FRO,D,20100416,000000,6.56583,6.56583,6.32111,6.49869,415.001118862368,0
FRO,D,20100419,000000,6.32111,6.32111,5.92841,6.31583,668.2410489208561,0
FRO,D,20100420,000000,6.52487,6.55014,6.17806,6.47413,279904.8675398007,0
FRO,D,20100421,000000,6.17806,6.47413,6.17806,6.47413,416.116713267912,0
FRO,D,20100422,000000,6.41738,6.42276,6.41738,6.41738,1182.53006987664,0
FRO,D,20100423,000000,6.16793,6.3472,6.16793,6.19813,2668.5018180612483,0
FRO,D,20100426,000000,6.42276,6.55014,6.2287,6.42276,3043.341538324032,0
FRO,D,20100427,000000,6.32111,6.32111,6.23398,6.23398,981.72307687872,0
FRO,D,20100428,000000,6.16793,6.16793,6.11692,6.16793,1002.9193705840562,0
FRO,D,20100429,000000,6.47852,6.55014,6.21892,6.21892,847.8517482134401,0
FRO,D,20100430,000000,6.12167,6.49869,6.11692,6.49869,1248.3501398037363,0
FRO,D,20100505,000000,6.32111,6.32111,6.0661,6.0661,262532.83145666955,0
FRO,D,20100507,000000,6.02056,6.0661,6.01464,6.01464,35108.87153687523,0
FRO,D,20100510,000000,6.11692,6.11692,6.11692,6.11692,410.538741240192,0
FRO,D,20100511,000000,6.12167,6.12167,5.93845,5.93845,21475.192306722,0
FRO,D,20100512,000000,6.16793,6.16793,6.11692,6.11692,933.7525174403281,0
FRO,D,20100513,000000,6.14749,6.14749,6.14749,6.14749,1989.1048250849522,0
FRO,D,20100514,000000,6.11692,6.27029,6.11692,6.27029,3583.289230607328,0
FRO,D,20100517,000000,6.27029,6.27029,6.27029,6.27029,420.579090890088,0
FRO,D,20100518,000000,6.27029,6.27029,6.27029,6.27029,6155.849929791792,0
FRO,D,20100520,000000,6.25927,6.26509,5.86261,6.25927,2034.8441957122564,0
FRO,D,20100525,000000,5.6732,6.11692,5.6732,6.09128,640.3511887822561,0
FRO,D,20100526,000000,5.86261,6.04028,5.86261,6.04028,2680.773356522232,0
FRO,D,20100527,000000,6.0661,6.11692,6.0661,6.11692,22302.96335563565,0
FRO,D,20100528,000000,6.11692,6.14749,5.96364,6.14749,17915.3305586311,0
FRO,D,20100531,000000,6.04028,6.12714,6.04028,6.12714,1653.3109090162081,0
FRO,D,20100601,000000,6.11692,6.11692,5.91335,5.97448,13398.28881058344,0
FRO,D,20100604,000000,5.93845,5.97448,5.92294,5.97448,594.6118181549521,0
FRO,D,20100607,000000,5.92294,5.92294,5.92294,5.92294,367.03055942397606,0
FRO,D,20100608,000000,5.78588,5.92294,5.78588,5.92294,2269.119020876496,0
FRO,D,20100609,000000,5.91335,5.92294,5.91335,5.92294,134.986923070824,0
FRO,D,20100610,000000,5.81116,5.82112,5.81116,5.82112,81.43839160471201,0
FRO,D,20100611,000000,5.97448,5.97448,5.86728,5.86728,4874.031957821737,0
FRO,D,20100614,000000,5.86728,5.86728,5.86728,5.86728,161.76118880388,0
FRO,D,20100615,000000,5.73981,5.73981,5.73981,5.73981,194.113426564656,0
FRO,D,20100616,000000,5.73981,5.86261,5.73981,5.86261,60006.70747980622,0
FRO,D,20100617,000000,5.73981,5.78588,5.61253,5.61253,45074.47636159978,0
FRO,D,20100618,000000,5.61746,5.66335,5.61746,5.66335,1803.9161537646482,0
FRO,D,20100621,000000,5.60705,5.60705,5.60705,5.60705,571.1843356385281,0
FRO,D,20100623,000000,5.30157,5.70924,5.30157,5.5054,20829.263145912024,0
FRO,D,20100624,000000,5.45404,5.4596,5.45404,5.4596,102.634685310048,0
FRO,D,20100625,000000,5.85177,5.86261,5.85177,5.85706,668.2410489208561,0
FRO,D,20100628,000000,5.86261,6.01464,5.65797,5.96364,7844.859859785409,0
FRO,D,20100629,000000,6.03015,6.16793,5.91335,5.91335,5000.094125648208,0
FRO,D,20100630,000000,5.76015,5.98954,5.76015,5.98954,290.05454544144004,0
FRO,D,20100701,000000,5.98954,5.98954,5.76015,5.98954,80.322797199168,0
FRO,D,20100702,000000,5.98954,5.98954,5.98954,5.98954,491.977132844904,0
FRO,D,20100705,000000,5.98954,6.11692,5.98954,6.11692,509.82664333360805,0
FRO,D,20100706,000000,6.09128,6.20333,5.78588,6.20333,2910.585804064296,0
FRO,D,20100707,000000,6.20333,6.37131,6.0661,6.17312,4694.421258529152,0
FRO,D,20100708,000000,6.37131,6.39722,6.37131,6.39722,838.9269929690881,0
FRO,D,20100709,000000,6.39722,6.39722,6.37131,6.37131,963.8735663900161,0
FRO,D,20100712,000000,6.42276,6.42276,6.39722,6.39722,7646.284055598577,0
FRO,D,20100713,000000,6.39722,6.60159,6.39722,6.5912,3089.0809089513364,0
FRO,D,20100714,000000,6.14274,6.59648,6.14274,6.59648,100067.70258289127,0
FRO,D,20100715,000000,6.5756,6.61665,6.5756,6.61665,40.161398599584,0
FRO,D,20100716,000000,6.52487,6.56583,6.52487,6.56583,167933.77264975497,0
FRO,D,20100719,000000,6.62176,6.62176,6.44805,6.55014,19657.889020090824,0
FRO,D,20100720,000000,6.44805,6.61665,6.44805,6.61665,21432.79971931133,0
FRO,D,20100721,000000,6.61665,6.61665,6.61665,6.61665,20.080699299792,0
FRO,D,20100722,000000,6.61136,6.61136,6.61136,6.61136,16.73391608316,0
FRO,D,20100723,000000,6.5756,6.5756,6.47413,6.47413,1395.608601335544,0
FRO,D,20100726,000000,6.60159,6.60159,6.47413,6.47413,456.2781118674961,0
FRO,D,20100727,000000,6.47413,6.47413,6.27029,6.47413,1894.2793006137124,0
FRO,D,20100728,000000,6.51957,6.51957,6.19347,6.51957,3356.823566281896,0
FRO,D,20100729,000000,6.49869,6.49869,6.3472,6.3472,876.857202757584,0
FRO,D,20100730,000000,6.25927,6.25927,6.25927,6.25927,1570.756923005952,0
FRO,D,20100802,000000,6.36665,6.36665,6.36665,6.36665,5.5779720277200004,0
FRO,D,20100803,000000,6.32111,6.37131,6.22422,6.27029,35758.14748090183,0
FRO,D,20100804,000000,6.32111,6.32111,6.32111,6.32111,394.92041956257606,0
FRO,D,20100805,000000,6.36665,6.36665,6.12167,6.12167,1014.075314639496,0
FRO,D,20100806,000000,6.35159,6.35159,6.35159,6.35159,898.0534964629201,0
FRO,D,20100809,000000,6.35616,6.35616,6.12167,6.32111,2778.9456642101045,0
FRO,D,20100810,000000,6.49869,6.49869,6.49869,6.49869,194.113426564656,0
FRO,D,20100812,000000,6.22422,6.32111,6.22422,6.32111,1555.1386013283363,0
FRO,D,20100813,000000,6.37131,6.42276,6.21892,6.35616,2073.889999906296,0
FRO,D,20100816,000000,6.42276,6.42276,6.35616,6.41738,251.00874124740002,0
FRO,D,20100817,000000,6.16793,6.16793,6.16793,6.16793,14.502727272072,0
FRO,D,20100818,000000,6.46821,6.46821,6.11692,6.16793,22324.159649340985,0
FRO,D,20100819,000000,6.11692,6.11692,6.11692,6.11692,17.849510488704002,0
FRO,D,20100820,000000,6.0661,6.44348,6.0661,6.44348,105.98146852668002,0
FRO,D,20100823,000000,6.12167,6.49869,6.12167,6.44348,13477.496013377066,0
FRO,D,20100824,000000,6.13736,6.37131,6.13736,6.36217,561.143985988632,0
FRO,D,20100825,000000,6.14749,6.15233,6.14749,6.15233,100.40349649896001,0
FRO,D,20100826,000000,6.36665,6.36665,6.16793,6.16793,49260.186571200866,0
FRO,D,20100827,000000,6.36665,6.36665,6.17806,6.17806,3981.5564333865364,0
FRO,D,20100830,000000,6.36665,6.36665,6.21892,6.21892,40313.119438737995,0
FRO,D,20100831,000000,6.35616,6.35616,6.0254,6.11692,6800.6634961962245,0
FRO,D,20100901,000000,6.37131,6.37131,6.14274,6.35616,390.45804194040005,0
