<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSG,D,19970925,000000,3.00821,6.68471,3.00821,5.34793,2652.3816794962,0
FSG,D,19970926,000000,6.01613,8.0214,5.4146,6.21673,4537.5877864424,0
FSG,D,19970930,000000,4.67934,4.81308,4.41196,4.81308,674.0916030806001,0
FSG,D,19971001,000000,4.07772,4.07772,4.01085,4.01085,394.8396946724,0
FSG,D,19971002,000000,3.47609,3.47609,2.94134,2.94134,623.969465674,0
FSG,D,19971003,000000,3.14185,3.14185,3.14185,3.14185,141.1603053492,0
FSG,D,19971006,000000,3.07488,3.60973,3.07488,3.60973,457.2366412398,0
FSG,D,19971007,000000,3.54287,4.345,3.34236,4.345,1366.5954199024,0
FSG,D,19971009,000000,3.81034,4.345,3.81034,4.345,270.0458015376,0
FSG,D,19971010,000000,3.87721,3.94408,3.87721,3.94408,282.3206106984,0
FSG,D,19971013,000000,3.6767,4.07772,3.6767,4.07772,1958.8549619110001,0
FSG,D,19971014,000000,4.01085,4.41196,4.01085,4.14449,2053.9847329072,0
FSG,D,19971015,000000,4.27823,4.27823,4.27823,4.27823,700.687022929,0
FSG,D,19971016,000000,4.27823,4.345,4.27823,4.345,1312.3816794422,0
FSG,D,19971017,000000,4.67934,4.67934,4.5456,4.64591,1680.6259542662,0
FSG,D,19971020,000000,4.71268,5.01349,4.14449,5.01349,3479.9083970868,0
FSG,D,19971021,000000,4.27823,5.28086,4.27823,5.28086,2306.641221467,0
FSG,D,19971022,000000,4.5456,5.31449,4.5456,5.21409,1084.2748092040001,0
FSG,D,19971023,000000,5.21409,5.28086,4.94672,5.28086,2157.2977100106,0
FSG,D,19971024,000000,4.87995,5.34793,4.87995,5.34793,2886.6259543148,0
FSG,D,19971027,000000,4.37853,4.61237,3.74337,3.81034,1751.2061069408,0
FSG,D,19971028,000000,4.01085,4.07772,4.01085,4.01085,747.7404580454,0
FSG,D,19971029,000000,4.01085,4.01085,4.01085,4.01085,141.1603053492,0
FSG,D,19971103,000000,3.74337,3.74337,3.74337,3.74337,299.7099236762,0
FSG,D,19971104,000000,4.61237,4.94672,4.61237,4.67934,2003.8625955006,0
FSG,D,19971105,000000,4.67934,5.88239,4.67934,5.88239,6188.54961857,0
FSG,D,19971106,000000,5.34793,5.54824,5.01349,5.21409,3785.7557253434,0
FSG,D,19971107,000000,5.08036,5.14732,5.08036,5.08036,2280.0458016186,0
FSG,D,19971112,000000,5.01349,5.01349,4.87995,4.87995,1031.0839695072,0
FSG,D,19971113,000000,4.67934,4.81308,4.67934,4.81308,555.4351145262,0
FSG,D,19971114,000000,4.41196,4.67934,4.37853,4.41196,2979.7099237842,0
FSG,D,19971117,000000,4.41196,5.21409,4.41196,5.08036,1398.3053435678,0
FSG,D,19971118,000000,4.67934,5.21409,4.67934,5.21409,552.366412236,0
FSG,D,19971119,000000,4.67934,4.67934,4.47883,4.47883,725.2366412506,0
FSG,D,19971120,000000,4.5456,4.81308,4.5456,4.81308,704.7786259826,0
FSG,D,19971121,000000,4.4452,4.67934,4.4452,4.67934,911.4045801894,0
FSG,D,19971124,000000,4.67934,4.67934,4.67934,4.67934,747.7404580454,0
FSG,D,19971127,000000,4.37853,4.67934,4.37853,4.67934,655.6793893394,0
FSG,D,19971128,000000,4.37853,4.37853,4.37853,4.37853,525.7709923876,0
FSG,D,19971201,000000,4.67934,4.81308,4.31176,4.81308,3154.6259543256,0
FSG,D,19971202,000000,4.37853,4.64591,4.27823,4.27823,943.1145038548,0
FSG,D,19971203,000000,4.37853,4.47883,4.37853,4.47883,740.5801527016,0
FSG,D,19971204,000000,4.345,5.01349,4.345,4.67934,3545.3740459444,0
FSG,D,19971205,000000,4.74621,4.87995,4.67934,4.67934,3996.4732826038003,0
FSG,D,19971208,000000,4.67934,5.01349,4.67934,5.01349,602.4885496426,0
FSG,D,19971209,000000,4.67934,4.67934,4.5456,4.67934,1445.3587786842,0
FSG,D,19971210,000000,4.5456,4.67934,4.5456,4.5456,826.5038168272,0
FSG,D,19971211,000000,4.5456,4.5456,4.5456,4.5456,703.7557252192,0
FSG,D,19971212,000000,4.57894,4.81308,4.57894,4.67934,4122.290076502,0
FSG,D,19971215,000000,4.67934,4.67934,4.61237,4.61237,787.633587818,0
FSG,D,19971216,000000,4.64591,4.67934,4.64591,4.64591,1147.6946565348,0
FSG,D,19971217,000000,4.64591,4.67934,4.64591,4.67934,1117.0076336328,0
FSG,D,19971218,000000,4.77954,4.77954,4.77954,4.77954,1832.0152672494,0
FSG,D,19971219,000000,4.67934,4.81308,4.61237,4.67934,2592.0305344556,0
FSG,D,19971222,000000,4.67934,4.67934,4.61237,4.61237,4022.0458016888,0
FSG,D,19971229,000000,4.67934,4.71268,4.5456,4.5456,2231.9694657388,0
FSG,D,19971230,000000,4.67934,4.67934,4.67934,4.67934,227.0839694748,0
FSG,D,19971231,000000,4.67934,4.67934,4.67934,4.67934,74.6717557282,0
FSG,D,19980105,000000,4.67934,4.67934,4.5456,4.5456,954.3664122522,0
FSG,D,19980106,000000,4.67934,4.67934,4.5456,4.5456,1271.4656489062,0
FSG,D,19980107,000000,4.47883,4.5456,4.41196,4.41196,796.8396946886,0
FSG,D,19980108,000000,4.41196,4.41196,4.41196,4.41196,631.1297710178001,0
FSG,D,19980109,000000,4.5456,4.67934,4.5456,4.5456,387.6793893286,0
FSG,D,19980112,000000,4.5456,4.5456,4.5456,4.5456,1194.7480916512,0
FSG,D,19980113,000000,4.345,4.67934,4.345,4.67934,1947.6030535136001,0
FSG,D,19980114,000000,4.67934,4.87995,4.67934,4.87995,1874.9770993122002,0
FSG,D,19980115,000000,4.87995,5.21409,4.87995,5.21409,8567.8167942384,0
FSG,D,19980116,000000,5.14732,5.34793,5.08036,5.34793,10437.679389733601,0
FSG,D,19980119,000000,5.08036,5.48147,5.04692,5.04692,8484.961832403,0
FSG,D,19980120,000000,4.91328,4.91328,4.81308,4.81308,2035.5725191660001,0
FSG,D,19980121,000000,4.81308,4.81308,4.27823,4.27823,598.396946589,0
FSG,D,19980122,000000,4.21136,5.11379,4.07772,5.11379,60724.503819241,0
FSG,D,19980123,000000,5.14732,5.34793,5.14732,5.14732,8916.6259545578,0
FSG,D,19980126,000000,4.81308,5.64864,4.81308,5.21409,1717.4503817486,0
FSG,D,19980127,000000,4.81308,4.87995,4.21136,4.345,6497.4656491168,0
FSG,D,19980128,000000,4.41196,4.47883,4.41196,4.47883,449.0534351326,0
FSG,D,19980129,000000,4.5456,4.5456,4.345,4.345,2244.2442748996,0
FSG,D,19980130,000000,4.345,4.345,4.27823,4.27823,821.3893130102,0
FSG,D,19980202,000000,4.24479,4.345,4.24479,4.345,886.8549618678001,0
FSG,D,19980203,000000,4.5456,4.87995,4.5456,4.67934,4634.7633589654,0
FSG,D,19980204,000000,4.81308,4.81308,4.67934,4.67934,449.0534351326,0
FSG,D,19980205,000000,4.67934,4.91328,4.67934,4.67934,1644.8244275472,0
FSG,D,19980206,000000,4.5456,4.74621,4.5456,4.74621,9096.6564889162,0
FSG,D,19980209,000000,4.74621,4.87995,4.74621,4.77954,762.0610687330001,0
FSG,D,19980210,000000,4.74621,4.81308,4.67934,4.67934,3850.1984734376,0
FSG,D,19980211,000000,4.71268,4.71268,4.71268,4.71268,208.6717557336,0
FSG,D,19980212,000000,4.81308,5.01349,4.81308,4.94672,2261.6335878774003,0
FSG,D,19980213,000000,5.01349,5.18056,5.01349,5.08036,6150.7022903242005,0
FSG,D,19980216,000000,5.14732,5.28086,5.14732,5.24743,6609.984733090801,0
FSG,D,19980217,000000,4.87995,4.94672,4.87995,4.94672,700.687022929,0
FSG,D,19980218,000000,4.91328,4.91328,4.74621,4.74621,1187.5877863074,0
FSG,D,19980220,000000,4.94672,4.98005,4.94672,4.94672,598.396946589,0
FSG,D,19980223,000000,4.74621,4.74621,4.71268,4.71268,449.0534351326,0
FSG,D,19980224,000000,4.61237,4.71268,4.61237,4.64591,673.0687023172001,0
FSG,D,19980225,000000,4.67934,4.71268,4.61237,4.61237,4559.0687024738,0
FSG,D,19980226,000000,4.67934,4.81308,4.67934,4.81308,1836.106870303,0
FSG,D,19980227,000000,4.74621,5.01349,4.74621,4.94672,2426.3206107848,0
FSG,D,19980302,000000,5.01349,5.01349,4.87995,4.87995,860.2595420194,0
FSG,D,19980303,000000,4.81308,4.94672,4.81308,4.81308,3264.0763360094,0
FSG,D,19980304,000000,4.84651,4.98005,4.84651,4.98005,91.0381679426,0
FSG,D,19980305,000000,4.84651,4.84651,4.74621,4.77954,641.3587786518,0
FSG,D,19980306,000000,4.67934,4.67934,4.67934,4.67934,1257.1450382186001,0
FSG,D,19980309,000000,4.67934,4.67934,4.64591,4.64591,999.3740458418,0
FSG,D,19980310,000000,4.67934,4.67934,4.67934,4.67934,315.05343512720003,0
FSG,D,19980311,000000,4.67934,4.67934,4.67934,4.67934,149.3435114564,0
FSG,D,19980312,000000,4.67934,4.67934,4.57894,4.57894,1414.6717557822,0
FSG,D,19980313,000000,4.61237,4.61237,4.61237,4.61237,45.007633589600005,0
FSG,D,19980316,000000,4.57894,4.67934,4.5456,4.67934,1815.648855035,0
FSG,D,19980317,000000,4.74621,4.77954,4.67934,4.67934,1305.2213740984,0
FSG,D,19980319,000000,4.74621,4.81308,4.67934,4.81308,3514.6870230424,0
FSG,D,19980320,000000,4.81308,5.88239,4.81308,5.54824,12793.419847843801,0
FSG,D,19980323,000000,5.54824,5.61511,5.34793,5.58177,9993.740458418,0
FSG,D,19980324,000000,5.34793,5.44794,5.34793,5.44794,559.5267175798,0
FSG,D,19980325,000000,5.48147,5.94936,5.34793,5.91592,15726.0763365116,0
FSG,D,19980326,000000,5.58177,5.88239,5.58177,5.68198,1599.8167939576,0
FSG,D,19980327,000000,5.61511,5.61511,5.51481,5.54824,1766.5496183918,0
FSG,D,19980330,000000,5.4146,5.4146,5.34793,5.34793,680.229007661,0
FSG,D,19980331,000000,5.34793,5.34793,5.34793,5.34793,911.4045801894,0
FSG,D,19980401,000000,5.34793,5.4146,5.31449,5.31449,2915.26717569,0
FSG,D,19980402,000000,5.14732,5.38117,5.14732,5.38117,852.0763359122,0
FSG,D,19980406,000000,5.08036,5.34793,5.08036,5.14732,1900.5496183972,0
FSG,D,19980408,000000,5.11379,5.11379,5.04692,5.04692,1858.6106870978,0
FSG,D,19980409,000000,5.11379,5.11379,4.98005,5.04692,1230.5496183702,0
FSG,D,19980414,000000,4.81308,4.81308,4.81308,4.81308,103.3129771034,0
FSG,D,19980415,000000,4.81308,5.08036,4.74621,5.04692,950.2748091986,0
FSG,D,19980416,000000,5.01349,5.11379,4.67934,4.67934,7287.1450384616,0
FSG,D,19980417,000000,4.94672,4.94672,4.94672,4.94672,29.6641221386,0
FSG,D,19980420,000000,4.74621,4.74621,4.67934,4.74621,1133.3740458472,0
FSG,D,19980421,000000,4.74621,4.94672,4.67934,4.94672,2840.5954199618,0
FSG,D,19980422,000000,4.71268,4.91328,4.67934,4.87995,889.9236641580001,0
FSG,D,19980423,000000,4.67934,4.74621,4.67934,4.67934,876.6259542338,0
FSG,D,19980424,000000,4.74621,4.84651,4.67934,4.84651,1397.2824428044,0
FSG,D,19980427,000000,4.71268,4.84651,4.71268,4.84651,198.4427480996,0
FSG,D,19980428,000000,4.71268,4.71268,4.5456,4.61237,811.1603053762,0
FSG,D,19980430,000000,4.67934,4.67934,4.64591,4.64591,1206.0000000486,0
FSG,D,19980505,000000,4.47883,4.5456,4.47883,4.5456,340.6259542122,0
FSG,D,19980506,000000,4.64591,4.64591,4.47883,4.64591,577.938931321,0
FSG,D,19980507,000000,4.41196,4.47883,4.41196,4.47883,824.4580153004,0
FSG,D,19980508,000000,4.11105,4.24479,4.07772,4.24479,2533.7251909418,0
FSG,D,19980511,000000,4.345,4.61237,4.345,4.61237,747.7404580454,0
FSG,D,19980513,000000,4.04428,4.07772,3.94408,4.07772,1029.0381679804,0
FSG,D,19980515,000000,3.77691,3.77691,3.77691,3.77691,29.6641221386,0
FSG,D,19980519,000000,3.77691,3.77691,3.6767,3.77691,1095.5267176014,0
FSG,D,19980520,000000,3.34236,3.34236,3.27549,3.34236,734.4427481212,0
FSG,D,19980521,000000,3.47609,3.47609,3.40923,3.40923,368.244274824,0
FSG,D,19980522,000000,3.34236,3.34236,3.34236,3.34236,450.076335896,0
FSG,D,19980525,000000,3.27549,3.27549,3.27549,3.27549,658.7480916296,0
FSG,D,19980526,000000,3.54287,3.54287,3.54287,3.54287,343.6946565024,0
FSG,D,19980527,000000,3.20872,3.20872,3.14185,3.14185,465.41984734700003,0
FSG,D,19980528,000000,3.47609,3.47609,3.27549,3.47609,1525.1450382294001,0
FSG,D,19980601,000000,3.34236,3.34236,3.34236,3.34236,179.00763359500002,0
FSG,D,19980603,000000,3.34236,3.47609,3.20872,3.20872,449.0534351326,0
FSG,D,19980604,000000,3.14185,3.14185,3.14185,3.14185,149.3435114564,0
FSG,D,19980605,000000,2.84104,2.84104,2.84104,2.84104,74.6717557282,0
FSG,D,19980608,000000,2.94134,3.14185,2.94134,3.14185,374.3816794044,0
FSG,D,19980609,000000,2.8077,2.8077,2.7074,2.7074,824.4580153004,0
FSG,D,19980610,000000,2.74074,2.97478,2.74074,2.94134,747.7404580454,0
FSG,D,19980615,000000,2.67396,2.7074,2.67396,2.7074,247.5419847428,0
FSG,D,19980616,000000,2.40649,2.8077,2.40649,2.8077,824.4580153004,0
FSG,D,19980617,000000,2.67396,2.74074,2.67396,2.74074,598.396946589,0
FSG,D,19980618,000000,2.47336,2.50679,2.47336,2.50679,522.7022900974,0
FSG,D,19980619,000000,2.94134,3.14185,2.94134,3.14185,747.7404580454,0
FSG,D,19980623,000000,2.7074,2.7074,2.7074,2.7074,374.3816794044,0
FSG,D,19980624,000000,2.30619,2.67396,2.30619,2.67396,598.396946589,0
FSG,D,19980626,000000,2.13901,2.33972,2.00538,2.00538,2275.954198565,0
FSG,D,19980630,000000,2.03881,2.03881,2.00538,2.03881,1345.1145038710001,0
FSG,D,19980701,000000,2.54023,2.54023,2.54023,2.54023,14.3206106876,0
FSG,D,19980706,000000,2.00538,2.00538,2.00538,2.00538,225.038167948,0
FSG,D,19980708,000000,2.00538,2.07215,2.00538,2.07215,686.3664122414,0
FSG,D,19980709,000000,2.33972,2.87437,2.23922,2.87437,2874.3511451540003,0
FSG,D,19980710,000000,2.67396,2.74074,2.67396,2.74074,179.00763359500002,0
FSG,D,19980713,000000,2.10568,2.13901,2.10568,2.13901,453.1450381862,0
FSG,D,19980714,000000,2.13901,2.20598,2.13901,2.20598,508.38167940980003,0
FSG,D,19980716,000000,2.20598,2.64043,2.20598,2.33972,852.0763359122,0
FSG,D,19980717,000000,2.40649,2.40649,2.40649,2.40649,240.381679399,0
FSG,D,19980721,000000,2.20598,2.27275,2.20598,2.20598,1644.8244275472,0
FSG,D,19980722,000000,2.33972,2.33972,2.33972,2.33972,658.7480916296,0
FSG,D,19980723,000000,2.40649,2.54023,2.40649,2.54023,1048.473282485,0
FSG,D,19980724,000000,2.40649,2.74074,2.40649,2.74074,2801.7251909526,0
FSG,D,19980728,000000,2.8077,2.8077,2.8077,2.8077,852.0763359122,0
FSG,D,19980729,000000,2.8077,2.8077,2.8077,2.8077,149.3435114564,0
FSG,D,19980730,000000,2.77417,2.8077,2.77417,2.77417,508.38167940980003,0
FSG,D,19980731,000000,2.77417,2.77417,2.77417,2.77417,149.3435114564,0
FSG,D,19980803,000000,2.67396,2.67396,2.67396,2.67396,149.3435114564,0
FSG,D,19980804,000000,2.64043,3.34236,2.64043,3.34236,4647.0381681262,0
FSG,D,19980805,000000,3.00821,3.00821,3.00821,3.00821,149.3435114564,0
FSG,D,19980806,000000,2.94134,3.00821,2.94134,2.94134,433.7099236816,0
FSG,D,19980807,000000,3.14185,3.14185,3.00821,3.00821,589.1908397184,0
FSG,D,19980811,000000,3.00821,3.20872,2.87437,2.87437,1884.1832061828,0
FSG,D,19980813,000000,2.67396,2.67396,2.67396,2.67396,149.3435114564,0
FSG,D,19980814,000000,2.67396,2.67396,2.67396,2.67396,152.4122137466,0
FSG,D,19980817,000000,2.54023,2.54023,2.54023,2.54023,299.7099236762,0
FSG,D,19980821,000000,2.40649,2.40649,2.33972,2.33972,313.0076336004,0
FSG,D,19980826,000000,2.40649,2.40649,2.40649,2.40649,299.7099236762,0
FSG,D,19980828,000000,2.40649,2.40649,2.40649,2.40649,299.7099236762,0
FSG,D,19980901,000000,2.33972,2.33972,2.33972,2.33972,449.0534351326,0
FSG,D,19980902,000000,2.40649,2.40649,2.40649,2.40649,1194.7480916512,0
FSG,D,19980915,000000,2.67396,2.67396,2.50679,2.6071,1194.7480916512,0
FSG,D,19980916,000000,2.8077,3.00821,2.8077,3.00821,1644.8244275472,0
FSG,D,19980917,000000,3.14185,3.14185,2.84104,2.84104,942.0916030914,0
FSG,D,19980918,000000,2.90781,2.90781,2.7074,2.77417,3952.4885497776,0
FSG,D,19980922,000000,2.97478,3.00821,2.97478,3.00821,1048.473282485,0
FSG,D,19980923,000000,3.07488,3.17528,3.07488,3.17528,449.0534351326,0
FSG,D,19980924,000000,3.6767,3.6767,3.60973,3.60973,179.00763359500002,0
FSG,D,19980925,000000,3.24215,3.24215,3.24215,3.24215,149.3435114564,0
FSG,D,19980928,000000,3.20872,3.20872,3.20872,3.20872,149.3435114564,0
FSG,D,19981007,000000,2.90781,2.90781,2.90781,2.90781,299.7099236762,0
FSG,D,19981008,000000,2.90781,2.90781,2.90781,2.90781,31.7099236654,0
FSG,D,19981009,000000,2.90781,2.90781,2.90781,2.90781,149.3435114564,0
FSG,D,19981012,000000,2.90781,2.90781,2.90781,2.90781,420.4122137574,0
FSG,D,19981014,000000,3.00821,3.00821,2.94134,2.94134,588.1679389550001,0
FSG,D,19981015,000000,2.94134,2.94134,2.94134,2.94134,45.007633589600005,0
FSG,D,19981016,000000,2.94134,2.94134,2.94134,2.94134,299.7099236762,0
FSG,D,19981019,000000,3.00821,3.00821,3.00821,3.00821,449.0534351326,0
FSG,D,19981020,000000,3.00821,3.00821,3.00821,3.00821,449.0534351326,0
FSG,D,19981022,000000,3.00821,3.00821,3.00821,3.00821,149.3435114564,0
FSG,D,19981026,000000,2.94134,2.94134,2.87437,2.87437,647.4961832322,0
FSG,D,19981027,000000,2.87437,2.87437,2.74074,2.74074,450.076335896,0
FSG,D,19981028,000000,3.10832,3.10832,2.94134,2.94134,598.396946589,0
FSG,D,19981030,000000,2.8077,3.10832,2.8077,3.10832,885.8320611044,0
FSG,D,19981102,000000,2.77417,2.77417,2.77417,2.77417,128.8854961884,0
FSG,D,19981104,000000,2.6071,2.6071,2.23922,2.23922,630.1068702544001,0
FSG,D,19981106,000000,2.6071,2.6071,2.6071,2.6071,149.3435114564,0
FSG,D,19981110,000000,2.13901,2.13901,2.13901,2.13901,598.396946589,0
FSG,D,19981112,000000,2.03881,2.03881,2.00538,2.00538,299.7099236762,0
FSG,D,19981123,000000,2.00538,2.00538,2.00538,2.00538,149.3435114564,0
FSG,D,19981130,000000,1.87174,1.87174,1.87174,1.87174,149.3435114564,0
FSG,D,19981201,000000,1.97194,1.97194,1.97194,1.97194,149.3435114564,0
FSG,D,19981202,000000,1.87174,1.87174,1.87174,1.87174,299.7099236762,0
FSG,D,19981207,000000,1.87174,1.87174,1.87174,1.87174,1815.648855035,0
FSG,D,19981209,000000,2.00538,2.00538,2.00538,2.00538,196.3969465728,0
FSG,D,19981210,000000,1.738,1.77143,1.738,1.738,747.7404580454,0
FSG,D,19981211,000000,1.70456,1.70456,1.70456,1.70456,149.3435114564,0
FSG,D,19981216,000000,1.738,1.738,1.738,1.738,1497.5267176176,0
FSG,D,19981221,000000,1.70456,1.70456,1.67113,1.67113,299.7099236762,0
FSG,D,19981222,000000,1.60426,1.60426,1.60426,1.60426,386.6564885652,0
FSG,D,19981223,000000,1.53749,1.738,1.53749,1.738,449.0534351326,0
FSG,D,19981229,000000,1.87174,1.87174,1.87174,1.87174,149.3435114564,0
FSG,D,19981230,000000,1.90507,2.00538,1.90507,2.00538,299.7099236762,0
FSG,D,19981231,000000,2.00538,4.01085,1.9386,4.01085,4185.7099238328,0
FSG,D,19990104,000000,2.33972,3.34236,2.13901,2.17255,2680.000000108,0
FSG,D,19990106,000000,2.33972,2.33972,2.33972,2.33972,2395.6335878828,0
FSG,D,19990107,000000,2.07215,2.07215,2.07215,2.07215,305.8473282566,0
