<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GKI,D,20070711,000000,4.86073,5.63166,4.86073,5.47405,2021813.5524254,0
GKI,D,20070712,000000,5.51778,7.05051,5.47405,7.05051,695594.39099937,0
GKI,D,20070713,000000,7.61982,8.32049,7.00659,7.44453,713911.41825791,0
GKI,D,20070716,000000,7.27817,7.35708,6.33234,6.56876,325169.63677387,0
GKI,D,20070717,000000,6.3061,7.2258,6.01693,7.00659,106910.54545386,0
GKI,D,20070718,000000,7.2258,7.2258,6.75269,7.05051,53907.39727069,0
GKI,D,20070719,000000,7.18179,7.34834,6.66524,6.95412,103617.16413969,0
GKI,D,20070720,000000,6.96296,7.17314,6.8316,6.95412,30363.622984958,0
GKI,D,20070723,000000,6.98045,6.99794,6.66524,6.99794,63413.979162073,0
GKI,D,20070724,000000,6.74395,6.90165,6.56876,6.70896,40277.064937586,0
GKI,D,20070725,000000,6.63881,6.6563,6.23605,6.43758,35060.72353856,0
GKI,D,20070726,000000,6.39356,6.4813,6.26229,6.39356,55737.747264882,0
GKI,D,20070727,000000,6.13956,6.4813,5.95572,6.3061,30496.815025468,0
GKI,D,20070730,000000,6.3061,6.52503,6.3061,6.4813,16437.770811973,0
GKI,D,20070731,000000,6.56876,7.00659,6.51619,6.8316,13409.733016009,0
GKI,D,20070801,000000,6.82275,6.8316,6.34983,6.80526,20808.1346412,0
GKI,D,20070802,000000,6.8316,6.91914,6.66524,6.91914,6277.7154718386,0
GKI,D,20070803,000000,6.91914,6.91914,6.814,6.91914,9659.5446254066,0
GKI,D,20070806,000000,6.91914,7.00659,6.71762,6.91914,26091.072060481,0
GKI,D,20070807,000000,6.74395,7.13806,6.74395,7.00659,45391.431180597,0
GKI,D,20070808,000000,7.00659,7.05051,6.97171,6.97171,9546.12327841,0
GKI,D,20070809,000000,6.96296,7.09424,6.96296,7.09424,14627.191511294,0
GKI,D,20070810,000000,6.98045,7.00659,6.49869,6.84034,27857.947722868,0
GKI,D,20070813,000000,6.49869,7.00659,6.49869,7.00659,18051.683740338,0
GKI,D,20070814,000000,6.8316,7.09424,6.66524,7.00659,15606.361121604,0
GKI,D,20070816,000000,6.70022,6.74395,6.19222,6.46372,109896.96073716,0
GKI,D,20070817,000000,6.24469,6.8316,6.24469,6.56876,11799.982338911,0
GKI,D,20070820,000000,6.56876,6.8316,6.56876,6.6563,4908.3348053477,0
GKI,D,20070821,000000,6.35858,6.64755,6.35858,6.61257,46503.792831417,0
GKI,D,20070822,000000,6.56876,6.8316,6.56876,6.82275,19527.20181411,0
GKI,D,20070823,000000,7.86516,7.88256,7.00659,7.00659,15291.07058821,0
GKI,D,20070824,000000,7.00659,7.00659,6.56876,7.00659,11552.328388588,0
GKI,D,20070827,000000,7.26943,7.26943,6.91914,6.99794,16786.359355495,0
GKI,D,20070828,000000,6.91914,6.91914,6.8316,6.91914,5630.4853999865,0
GKI,D,20070829,000000,6.74395,6.95412,6.56876,6.95412,18776.956023426,0
GKI,D,20070830,000000,6.84034,6.91914,6.70022,6.74395,39658.970624596,0
GKI,D,20070831,000000,6.74395,6.87541,6.74395,6.87541,36549.768928946,0
GKI,D,20070903,000000,6.8316,6.8316,6.75269,6.82275,5147.6642531387,0
GKI,D,20070904,000000,6.90165,6.90165,6.74395,6.78777,12909.222301281,0
GKI,D,20070905,000000,6.67389,6.87541,6.67389,6.74395,32900.515131542,0
GKI,D,20070906,000000,6.814,6.87541,6.67389,6.8316,27678.970918433,0
GKI,D,20070907,000000,6.8316,6.84034,6.74395,6.84034,14937.279230606,0
GKI,D,20070910,000000,6.61257,6.6563,6.61257,6.6563,16999.674732874,0
GKI,D,20070911,000000,6.70022,6.8316,6.44622,6.74395,23172.293360248,0
GKI,D,20070912,000000,6.82275,6.8316,6.56876,6.56876,17562.619216591,0
GKI,D,20070913,000000,6.40231,6.64755,6.31476,6.64755,15010.118627759,0
GKI,D,20070914,000000,6.40231,6.64755,6.40231,6.64755,23068.237078599,0
GKI,D,20070917,000000,6.36742,6.4813,6.35858,6.4813,3672.1461793666,0
GKI,D,20070918,000000,6.40231,6.56876,6.3061,6.56876,25279.433063625,0
GKI,D,20070919,000000,6.56876,6.67389,6.34983,6.67389,10984.181090789,0
GKI,D,20070920,000000,6.56876,6.56876,6.43758,6.56876,3019.7132934321,0
GKI,D,20070921,000000,6.56876,6.6563,6.4813,6.63881,19763.409573451,0
GKI,D,20070924,000000,6.58634,6.61257,6.4813,6.56876,11528.395443809,0
GKI,D,20070925,000000,6.43758,6.43758,6.14831,6.14831,17576.146533205,0
GKI,D,20070926,000000,6.14831,6.21837,5.7982,6.20972,7917.642470615,0
GKI,D,20070927,000000,6.15715,6.17474,5.92074,6.17474,2747.0858355137,0
GKI,D,20070928,000000,5.92948,6.20972,5.92948,6.20972,1379.7862946557,0
GKI,D,20071001,000000,5.98205,6.04336,5.69298,6.04336,10883.24649759,0
GKI,D,20071002,000000,5.7368,6.13081,5.64916,6.02578,13096.523608248,0
GKI,D,20071003,000000,5.70172,6.03443,5.66664,5.95572,18289.972625312,0
GKI,D,20071004,000000,5.658,5.912,5.658,5.912,11762.522077518,0
GKI,D,20071005,000000,5.82435,5.90306,5.71047,5.90306,11188.131402819,0
GKI,D,20071008,000000,5.71047,5.86817,5.60533,5.86817,24476.1185693,0
GKI,D,20071009,000000,5.86817,5.95572,5.86817,5.86817,15049.660014786,0
GKI,D,20071010,000000,5.88566,5.95572,5.87682,5.912,8127.8361595444,0
GKI,D,20071011,000000,5.90306,5.92074,5.90306,5.912,12766.665195423,0
GKI,D,20071012,000000,5.67548,5.912,5.67548,5.912,34453.034853734,0
GKI,D,20071015,000000,5.86817,5.99955,5.86817,5.96437,27357.43700814,0
GKI,D,20071016,000000,5.97331,5.98205,5.7368,5.95572,6492.071412034,0
GKI,D,20071017,000000,5.95572,5.95572,5.95572,5.95572,1095.712645756,0
GKI,D,20071018,000000,5.80686,5.95572,5.80686,5.95572,10752.135582713,0
GKI,D,20071019,000000,5.82435,5.95572,5.82435,5.95572,6397.3801957341,0
GKI,D,20071022,000000,5.912,5.94698,5.83309,5.94698,10564.834275746,0
GKI,D,20071023,000000,5.86817,5.93832,5.86817,5.92948,5337.0466857385,0
GKI,D,20071024,000000,5.89431,5.94698,5.89431,5.93832,7176.7617452795,0
GKI,D,20071025,000000,5.912,5.94698,5.912,5.94698,10220.407983491,0
GKI,D,20071026,000000,5.912,6.13081,5.86817,6.04336,37025.306136079,0
GKI,D,20071029,000000,6.10458,6.10458,5.95572,5.99955,9796.8989171823,0
GKI,D,20071030,000000,5.69298,5.99955,5.26388,5.9907,24675.906630065,0
GKI,D,20071031,000000,5.87682,5.9907,5.86817,5.9907,12688.622984187,0
GKI,D,20071102,000000,5.54402,5.9907,5.54402,5.97331,6527.4505477944,0
GKI,D,20071105,000000,5.95572,5.9907,5.62292,5.90306,14884.210526965,0
GKI,D,20071106,000000,5.86817,5.90306,5.60533,5.90306,8086.2136468851,0
GKI,D,20071107,000000,5.86817,5.90306,5.5617,5.86817,10163.177028584,0
GKI,D,20071108,000000,5.29876,5.88566,5.29876,5.87682,7267.2907103134,0
GKI,D,20071109,000000,5.86817,5.89431,5.47405,5.89431,17767.610091438,0
GKI,D,20071112,000000,5.85943,5.85943,5.43024,5.658,12090.29936471,0
GKI,D,20071113,000000,5.64916,5.64916,5.34259,5.60533,40196.941600717,0
GKI,D,20071114,000000,5.47405,5.64031,5.47405,5.62292,5386.9937009296,0
GKI,D,20071115,000000,5.59659,5.59659,5.3077,5.51778,4250.6991053308,0
GKI,D,20071116,000000,5.31635,5.51778,5.29876,5.50894,4770.980513572,0
GKI,D,20071119,000000,5.50894,5.50894,5.23755,5.42149,3425.5327918602,0
GKI,D,20071120,000000,5.21113,5.36892,5.21113,5.34259,4888.5641118346,0
GKI,D,20071121,000000,5.25494,5.25494,5.16749,5.24629,4303.7678089714,0
GKI,D,20071122,000000,4.90475,5.24629,4.90475,5.24629,8320.3402805937,0
GKI,D,20071123,000000,5.33394,5.33394,5.33394,5.33394,1197.6878017713,0
GKI,D,20071126,000000,5.33394,5.50894,5.07985,5.50894,10311.977511341,0
GKI,D,20071127,000000,5.46512,5.46512,5.08859,5.43898,3241.3531733428,0
GKI,D,20071128,000000,5.50894,5.69298,5.28128,5.67548,15663.59207651,0
GKI,D,20071129,000000,5.69298,5.912,5.67548,5.912,12426.401154433,0
GKI,D,20071130,000000,5.912,6.13081,5.912,6.08709,8320.3402805937,0
GKI,D,20071203,000000,6.08709,6.13081,5.95572,6.13081,2890.6835041882,0
GKI,D,20071204,000000,5.99955,6.11343,5.70172,6.11343,4223.6444721023,0
GKI,D,20071205,000000,5.83309,6.13081,5.83309,6.12217,169.61173908664,0
