<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,D,20101109,000000,25.0036,26.6051,24.8783,26.6051,22505021.717927683,0
GPW,D,20101110,000000,26.6051,26.6051,25.6186,25.6186,2713312.5377153326,0
GPW,D,20101112,000000,25.1755,26.4074,24.6331,26.4074,3339668.4450092795,0
GPW,D,20101115,000000,26.308,26.5058,25.6186,25.9141,769266.870302839,0
GPW,D,20101116,000000,25.7655,25.8657,25.2247,25.2247,713435.383842997,0
GPW,D,20101117,000000,25.1997,25.6186,24.9785,24.9785,855492.0136289552,0
GPW,D,20101118,000000,25.3724,25.6679,25.1504,25.1504,522774.370999074,0
GPW,D,20101119,000000,25.3724,25.4217,25.1013,25.2247,733135.9838258637,0
GPW,D,20101122,000000,25.2247,25.3724,25.1504,25.248,698220.6120969205,0
GPW,D,20101123,000000,25.2247,25.2247,24.7073,24.7073,601583.7167290905,0
GPW,D,20101124,000000,24.8783,25.1263,24.7073,25.1263,711962.8745482439,0
GPW,D,20101125,000000,25.1997,25.248,24.7816,25.0761,165076.16384749653,0
GPW,D,20101126,000000,25.0761,25.0761,24.5881,24.9294,802487.4671831002,0
GPW,D,20101129,000000,24.7315,24.7574,24.5061,24.5596,322888.18003412976,0
GPW,D,20101130,000000,24.3868,24.8783,24.3868,24.8783,199408.0884973805,0
GPW,D,20101201,000000,24.8783,25.718,24.7315,25.6679,441033.89827665087,0
GPW,D,20101202,000000,25.6679,25.7923,25.4709,25.6437,467756.7006038671,0
GPW,D,20101203,000000,25.6186,25.6679,25.3724,25.4709,116127.96376079203,0
GPW,D,20101206,000000,25.4467,25.4709,25.0761,25.1755,102829.07478422725,0
GPW,D,20101207,000000,24.9785,25.1263,24.8308,25.0036,165709.3891495663,0
GPW,D,20101208,000000,24.9043,25.1755,24.8308,25.1755,647026.6038090945,0
GPW,D,20101209,000000,25.1263,25.2247,24.9294,25.1263,264761.10715014505,0
GPW,D,20101210,000000,25.1263,25.1755,24.9785,25.0528,100370.26209392294,0
GPW,D,20101213,000000,25.0761,25.3724,25.0761,25.3724,156540.93505012707,0
GPW,D,20101214,000000,25.1755,25.3223,24.9294,24.9294,136982.7239377422,0
GPW,D,20101215,000000,24.9043,24.9785,24.8541,24.9526,200939.63707989888,0
GPW,D,20101216,000000,24.9294,24.9526,24.7574,24.9294,141243.97135440947,0
GPW,D,20101217,000000,24.8308,24.8783,24.7315,24.7574,108774.67835174852,0
GPW,D,20101220,000000,24.7574,24.8783,24.5846,24.8783,363744.5247982148,0
GPW,D,20101221,000000,24.7073,24.7574,24.6331,24.7315,182179.03516885522,0
GPW,D,20101222,000000,24.6331,24.7816,24.627,24.6831,658408.4523830464,0
GPW,D,20101223,000000,24.6331,24.6831,24.5881,24.5881,226060.27520589365,0
GPW,D,20101227,000000,24.5976,24.627,24.2936,24.3143,225670.15285343453,0
GPW,D,20101228,000000,24.2875,24.3868,24.0422,24.24,482308.1485874481,0
GPW,D,20101229,000000,24.1406,24.6244,24.1406,24.6244,221958.78115610973,0
GPW,D,20101230,000000,24.6331,24.6331,24.4352,24.462,103515.55120859221,0
GPW,D,20101231,000000,24.4628,24.5578,23.9904,24.1432,168173.99000533635,0
GPW,D,20110103,000000,24.189,24.3376,24.0525,24.2875,228619.80197532897,0
GPW,D,20110104,000000,24.2875,24.6572,24.2875,24.525,269136.9602430624,0
GPW,D,20110105,000000,24.5061,24.525,24.056,24.3868,231604.18009001575,0
GPW,D,20110107,000000,24.24,24.2633,23.9333,23.9541,403226.7590804814,0
GPW,D,20110110,000000,23.8944,23.9082,22.9676,23.2292,305846.66326671955,0
GPW,D,20110111,000000,23.1308,23.6146,23.1308,23.5489,312019.16292053415,0
GPW,D,20110112,000000,23.6483,24.2339,23.6232,24.2339,321861.3594803098,0
GPW,D,20110113,000000,24.1406,24.189,23.8944,23.8944,738389.3228035478,0
