<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN,D,20010510,000000,0.251223,0.254033,0.245672,0.249818,528054.40391134,0
GTN,D,20010511,000000,0.248447,0.280518,0.248447,0.274933,1131208.2701701,0
GTN,D,20010514,000000,0.277709,0.309849,0.277709,0.295903,339541.09472644,0
GTN,D,20010515,000000,0.305634,0.305634,0.274933,0.274933,409188.75404011,0
GTN,D,20010516,000000,0.272158,0.279114,0.258213,0.259583,184018.78205855,0
GTN,D,20010517,000000,0.279114,0.279114,0.256808,0.270753,36796.751953851,0
GTN,D,20010518,000000,0.267978,0.272158,0.265168,0.265168,22904.5771997,0
GTN,D,20010521,000000,0.259583,0.266573,0.256808,0.265168,7716.5777415912,0
GTN,D,20010522,000000,0.265168,0.267978,0.258213,0.258213,121749.15168995,0
GTN,D,20010523,000000,0.260988,0.260988,0.255403,0.260988,69997.882206628,0
GTN,D,20010524,000000,0.258213,0.260988,0.256808,0.256808,29313.656140901,0
GTN,D,20010525,000000,0.256808,0.260988,0.256808,0.256808,26056.583236356,0
GTN,D,20010528,000000,0.255403,0.256808,0.255403,0.255403,16588.891029956,0
GTN,D,20010529,000000,0.255403,0.255403,0.251223,0.251223,53642.473105313,0
GTN,D,20010530,000000,0.249818,0.249818,0.242863,0.247043,84181.90937158,0
GTN,D,20010531,000000,0.237243,0.247043,0.237243,0.247043,9035.7506384139,0
GTN,D,20010601,000000,0.247043,0.251223,0.242863,0.251223,38933.111600918,0
GTN,D,20010604,000000,0.247043,0.247043,0.247043,0.247043,99836.872686971,0
GTN,D,20010605,000000,0.256808,0.267978,0.247043,0.247043,36434.854964457,0
GTN,D,20010606,000000,0.247043,0.247043,0.247043,0.247043,26395.132032886,0
GTN,D,20010607,000000,0.247043,0.247043,0.247043,0.247043,22904.5771997,0
GTN,D,20010608,000000,0.249818,0.254033,0.249818,0.254033,27223.992879562,0
GTN,D,20010612,000000,0.242863,0.248447,0.242863,0.248447,250199.2347319,0
GTN,D,20010613,000000,0.252628,0.252628,0.247043,0.249818,61102.220725398,0
GTN,D,20010615,000000,0.242863,0.247043,0.240087,0.240087,42949.000773546,0
GTN,D,20010618,000000,0.240087,0.248447,0.233063,0.240087,38898.089311622,0
GTN,D,20010619,000000,0.240087,0.247043,0.233063,0.240087,175671.80310963,0
GTN,D,20010620,000000,0.235873,0.235873,0.235873,0.235873,2148.0337434989,0
GTN,D,20010621,000000,0.237243,0.242863,0.233063,0.242863,46369.51102814,0
GTN,D,20010622,000000,0.233063,0.242863,0.233063,0.242863,3583.9476046422,0
GTN,D,20010625,000000,0.240087,0.240087,0.240087,0.240087,5019.8614657855,0
GTN,D,20010626,000000,0.240087,0.240087,0.212162,0.212162,24620.669375213,0
GTN,D,20010627,000000,0.226107,0.226107,0.219118,0.219118,100829.1708837,0
GTN,D,20010628,000000,0.234468,0.234468,0.216342,0.216342,4307.7415834299,0
GTN,D,20010629,000000,0.226107,0.226107,0.205172,0.205172,494234.54654766,0
GTN,D,20010702,000000,0.205172,0.214938,0.205172,0.212162,45272.145963526,0
GTN,D,20010703,000000,0.205172,0.205172,0.189822,0.205172,168714.04163612,0
GTN,D,20010704,000000,0.187012,0.203768,0.187012,0.196812,26990.510950921,0
GTN,D,20010705,000000,0.191193,0.203768,0.189822,0.203768,62152.889404284,0
GTN,D,20010706,000000,0.203768,0.207982,0.203768,0.205172,129991.06377098,0
GTN,D,20010709,000000,0.207982,0.207982,0.192597,0.198217,66635.742434195,0
GTN,D,20010710,000000,0.203768,0.205172,0.198217,0.198217,128566.82400627,0
GTN,D,20010711,000000,0.189822,0.196812,0.189822,0.196812,64487.708690696,0
GTN,D,20010712,000000,0.198217,0.210757,0.198217,0.199587,468749.99403648,0
GTN,D,20010713,000000,0.200992,0.210757,0.199587,0.199587,149124.90782313,0
GTN,D,20010716,000000,0.200992,0.205172,0.200992,0.205172,31146.489280734,0
GTN,D,20010717,000000,0.224702,0.224702,0.213532,0.219118,80516.243091913,0
GTN,D,20010718,000000,0.219118,0.219118,0.212162,0.212162,15911.793436897,0
GTN,D,20010719,000000,0.212162,0.214938,0.212162,0.214938,10028.048835139,0
GTN,D,20010720,000000,0.214938,0.214938,0.203768,0.212162,50233.636947151,0
GTN,D,20010723,000000,0.212162,0.221893,0.205172,0.221893,7202.9174985806,0
GTN,D,20010725,000000,0.212162,0.212162,0.206577,0.209352,40789.292933615,0
GTN,D,20010726,000000,0.212162,0.213532,0.205172,0.209352,25834.775404147,0
GTN,D,20010727,000000,0.214938,0.214938,0.205172,0.213532,9257.558470623,0
GTN,D,20010730,000000,0.214938,0.214938,0.207982,0.207982,56292.49299539,0
GTN,D,20010731,000000,0.212162,0.212162,0.205172,0.210757,26932.140468761,0
GTN,D,20010801,000000,0.217747,0.217747,0.205172,0.206577,28017.831436942,0
GTN,D,20010802,000000,0.209352,0.209352,0.206577,0.209352,40754.270644319,0
GTN,D,20010803,000000,0.207982,0.207982,0.207982,0.207982,13693.715114806,0
GTN,D,20010806,000000,0.199587,0.205172,0.199587,0.205172,23640.04527492,0
GTN,D,20010807,000000,0.191193,0.193968,0.184237,0.184237,77959.615973292,0
GTN,D,20010808,000000,0.184237,0.185607,0.181427,0.181427,110717.13056165,0
GTN,D,20010809,000000,0.178652,0.178652,0.173067,0.173067,62433.067718653,0
GTN,D,20010810,000000,0.168887,0.175842,0.147917,0.168887,143194.46683564,0
GTN,D,20010813,000000,0.160526,0.160526,0.145142,0.145142,40590.83329427,0
GTN,D,20010814,000000,0.153536,0.153536,0.138186,0.138186,62328.000850765,0
GTN,D,20010816,000000,0.138186,0.138186,0.120026,0.138186,143813.19394654,0
GTN,D,20010817,000000,0.133972,0.133972,0.133972,0.133972,31870.283259522,0
GTN,D,20010820,000000,0.133972,0.133972,0.128421,0.132601,14324.116322137,0
GTN,D,20010821,000000,0.132601,0.132601,0.132601,0.132601,29418.723008789,0
GTN,D,20010822,000000,0.131196,0.136782,0.131196,0.131196,23966.919975018,0
GTN,D,20010823,000000,0.132601,0.132601,0.132601,0.132601,35827.80194999,0
GTN,D,20010824,000000,0.132601,0.132601,0.129792,0.132601,14674.339215099,0
GTN,D,20010827,000000,0.133972,0.138186,0.133972,0.133972,15047.910300924,0
GTN,D,20010828,000000,0.128421,0.132601,0.128421,0.132601,723.79397878768,0
GTN,D,20010829,000000,0.128421,0.128421,0.128421,0.128421,2953.546397311,0
GTN,D,20010830,000000,0.128421,0.128421,0.127016,0.128421,12561.327760896,0
GTN,D,20010831,000000,0.128421,0.131196,0.128421,0.131196,7179.5693057165,0
GTN,D,20010903,000000,0.131196,0.131196,0.131196,0.131196,49439.798389771,0
GTN,D,20010904,000000,0.129792,0.129792,0.122836,0.127016,91326.456388,0
GTN,D,20010905,000000,0.131196,0.131196,0.121431,0.124207,416403.34563512,0
GTN,D,20010906,000000,0.124207,0.127016,0.124207,0.127016,28799.99589789,0
GTN,D,20010907,000000,0.124207,0.127016,0.124207,0.127016,20534.735623992,0
GTN,D,20010910,000000,0.124207,0.124207,0.0990912,0.118656,45330.516445686,0
GTN,D,20010911,000000,0.118656,0.127016,0.117251,0.124207,327376.68624424,0
GTN,D,20010912,000000,0.114441,0.114441,0.114441,0.114441,723.79397878768,0
GTN,D,20010913,000000,0.115846,0.115846,0.0976862,0.110296,63822.285194068,0
GTN,D,20010914,000000,0.110296,0.115846,0.110296,0.113071,3320860.1674493,0
GTN,D,20010918,000000,0.0990912,0.108857,0.0990912,0.108857,7167.8952092844,0
GTN,D,20010919,000000,0.113071,0.113071,0.113071,0.113071,11.674096432059,0
GTN,D,20010920,000000,0.110296,0.110296,0.106047,0.106047,36294.765807272,0
GTN,D,20010921,000000,0.107452,0.107452,0.101867,0.104676,5101.5801408099,0
GTN,D,20010924,000000,0.106047,0.106047,0.0851457,0.0851457,32792.536877655,0
GTN,D,20010925,000000,0.104676,0.104676,0.0921014,0.0921014,8603.8090704277,0
GTN,D,20010926,000000,0.104676,0.104676,0.094911,0.104676,2229.7524185233,0
GTN,D,20010927,000000,0.0893259,0.0976862,0.0851457,0.0851457,303538.18132997,0
GTN,D,20010928,000000,0.0865162,0.0921014,0.0851457,0.0851457,653585.96284527,0
GTN,D,20011001,000000,0.093506,0.093506,0.0865162,0.0865162,21620.426592174,0
GTN,D,20011002,000000,0.0921014,0.0921014,0.0851457,0.0879212,101623.00944108,0
GTN,D,20011003,000000,0.0879212,0.0879212,0.0851457,0.0879212,258301.05765574,0
GTN,D,20011004,000000,0.0879212,0.0879212,0.0865162,0.0879212,167768.43982512,0
GTN,D,20011009,000000,0.0921014,0.0921014,0.0879212,0.0921014,35827.80194999,0
GTN,D,20011010,000000,0.0921014,0.0921014,0.0851457,0.0893259,356293.42310645,0
GTN,D,20011011,000000,0.0921014,0.0990912,0.0907309,0.0921014,253164.45522564,0
GTN,D,20011012,000000,0.0921014,0.093506,0.0921014,0.093506,29196.91517658,0
GTN,D,20011015,000000,0.093506,0.093506,0.0865162,0.0921014,1844.5072362654,0
GTN,D,20011016,000000,0.0851457,0.125611,0.0851457,0.125611,638619.77121937,0
GTN,D,20011017,000000,0.145142,0.159121,0.117251,0.131196,714571.44260635,0
GTN,D,20011018,000000,0.125611,0.125611,0.115846,0.115846,110168.44802934,0
GTN,D,20011019,000000,0.115846,0.115846,0.110296,0.110296,80130.997909655,0
GTN,D,20011022,000000,0.127016,0.136782,0.125611,0.136782,257098.62572324,0
GTN,D,20011023,000000,0.149322,0.157717,0.133972,0.145142,659212.87732552,0
GTN,D,20011024,000000,0.138186,0.152132,0.138186,0.138186,192786.02847903,0
GTN,D,20011025,000000,0.147917,0.147917,0.138186,0.140962,138022.84211624,0
GTN,D,20011026,000000,0.147917,0.147917,0.138186,0.147917,96159.532310872,0
GTN,D,20011029,000000,0.154941,0.154941,0.139557,0.142332,140591.14333129,0
GTN,D,20011030,000000,0.139557,0.139557,0.136782,0.138186,99953.613651292,0
GTN,D,20011031,000000,0.135377,0.138186,0.135377,0.135377,85921.349739956,0
GTN,D,20011102,000000,0.136782,0.152132,0.131196,0.133972,309235.14038882,0
GTN,D,20011105,000000,0.133972,0.133972,0.128421,0.128421,147642.29757625,0
GTN,D,20011106,000000,0.131196,0.132601,0.113071,0.113071,165001.67897073,0
GTN,D,20011107,000000,0.122836,0.122836,0.113071,0.114441,296732.18311008,0
GTN,D,20011108,000000,0.115846,0.121431,0.113071,0.121431,291537.21019782,0
GTN,D,20011109,000000,0.121431,0.127016,0.117251,0.122836,221025.66774818,0
GTN,D,20011112,000000,0.125611,0.125611,0.118656,0.118656,168165.35910381,0
GTN,D,20011113,000000,0.124207,0.125611,0.120026,0.125611,264138.10587177,0
GTN,D,20011114,000000,0.129792,0.132601,0.120026,0.127016,538467.69792874,0
GTN,D,20011115,000000,0.131196,0.131196,0.120026,0.125611,178531.95673548,0
GTN,D,20011116,000000,0.125611,0.125611,0.120026,0.121431,250619.50220345,0
GTN,D,20011119,000000,0.120026,0.120026,0.120026,0.120026,47875.469467875,0
GTN,D,20011120,000000,0.120026,0.120026,0.115846,0.115846,102603.63354137,0
GTN,D,20011121,000000,0.114441,0.121431,0.107452,0.115846,251541.75582158,0
GTN,D,20011122,000000,0.121431,0.121431,0.114441,0.118656,17219.292237287,0
GTN,D,20011123,000000,0.118656,0.118656,0.117251,0.118656,33177.782059913,0
GTN,D,20011126,000000,0.114441,0.118656,0.113071,0.117251,36434.854964457,0
GTN,D,20011127,000000,0.115846,0.115846,0.113071,0.114441,30574.458555563,0
GTN,D,20011128,000000,0.113071,0.115846,0.111666,0.114441,165550.36150303,0
GTN,D,20011129,000000,0.113071,0.114441,0.113071,0.113071,98319.240150803,0
GTN,D,20011130,000000,0.111666,0.111666,0.104676,0.107452,93416.119649339,0
GTN,D,20011204,000000,0.108857,0.110296,0.106047,0.110296,8697.2018418842,0
GTN,D,20011205,000000,0.111666,0.111666,0.108857,0.108857,115620.25106312,0
GTN,D,20011206,000000,0.110296,0.113071,0.108857,0.113071,65398.288212396,0
GTN,D,20011207,000000,0.110296,0.111666,0.107452,0.111666,87228.848540347,0
GTN,D,20011210,000000,0.104676,0.110296,0.104676,0.108857,104202.98475256,0
GTN,D,20011211,000000,0.106047,0.108857,0.104676,0.108857,44980.293552724,0
GTN,D,20011212,000000,0.108857,0.111666,0.100496,0.107452,56736.108659808,0
GTN,D,20011213,000000,0.0990912,0.106047,0.0990912,0.104676,59946.485178625,0
GTN,D,20011214,000000,0.0990912,0.101867,0.094911,0.0962816,77154.10331948,0
GTN,D,20011217,000000,0.0990912,0.103271,0.0990912,0.100496,22414.265149554,0
GTN,D,20011218,000000,0.101867,0.103271,0.0990912,0.103271,16787.350669301,0
GTN,D,20011219,000000,0.0990912,0.104676,0.0990912,0.104676,14650.991022234,0
GTN,D,20011220,000000,0.0921014,0.104676,0.0921014,0.101867,8113.4970202812,0
GTN,D,20011221,000000,0.0921014,0.104676,0.0921014,0.104676,34590.347728192,0
GTN,D,20011227,000000,0.104676,0.104676,0.103271,0.103271,31158.163377166,0
GTN,D,20011228,000000,0.0976862,0.101867,0.0976862,0.101867,16705.631994277,0
GTN,D,20011231,000000,0.0921014,0.0990912,0.0921014,0.0990912,252113.78654675,0
GTN,D,20020102,000000,0.093506,0.101867,0.093506,0.101867,8603.8090704277,0
GTN,D,20020103,000000,0.101867,0.108857,0.101867,0.107452,94688.596160433,0
GTN,D,20020104,000000,0.107452,0.113071,0.107452,0.108857,104611.57812768,0
GTN,D,20020107,000000,0.111666,0.111666,0.101867,0.108857,32979.322420568,0
GTN,D,20020109,000000,0.104676,0.127016,0.104676,0.127016,521423.51713793,0
GTN,D,20020110,000000,0.127016,0.140962,0.120026,0.127016,552488.28774364,0
GTN,D,20020111,000000,0.127016,0.131196,0.120026,0.125611,38466.147743635,0
GTN,D,20020114,000000,0.120026,0.124207,0.120026,0.124207,157390.16809702,0
GTN,D,20020115,000000,0.118656,0.125611,0.118656,0.125611,13833.80427199,0
GTN,D,20020116,000000,0.121431,0.121431,0.121431,0.121431,14767.731986555,0
GTN,D,20020117,000000,0.120026,0.124207,0.120026,0.122836,248343.0533992,0
GTN,D,20020118,000000,0.127016,0.132601,0.127016,0.127016,379559.89729554,0
GTN,D,20020121,000000,0.136782,0.161897,0.136782,0.161897,1248194.3905158,0
GTN,D,20020122,000000,0.167482,0.182832,0.160526,0.164707,2253836.0794627,0
GTN,D,20020123,000000,0.168887,0.168887,0.153536,0.154941,507227.81587654,0
GTN,D,20020124,000000,0.154941,0.157717,0.152132,0.156346,411698.684773,0
GTN,D,20020125,000000,0.156346,0.156346,0.153536,0.154941,175461.66937385,0
GTN,D,20020128,000000,0.154941,0.159121,0.149322,0.150727,229255.90573278,0
GTN,D,20020129,000000,0.150727,0.150727,0.139557,0.143737,187485.98869887,0
GTN,D,20020130,000000,0.142332,0.142332,0.128421,0.139557,338245.27002249,0
GTN,D,20020131,000000,0.139557,0.139557,0.133972,0.133972,198424.61705571,0
GTN,D,20020201,000000,0.133972,0.138186,0.132601,0.136782,262912.32574641,0
GTN,D,20020204,000000,0.135377,0.135377,0.131196,0.131196,148109.26143354,0
GTN,D,20020205,000000,0.127016,0.138186,0.114441,0.135377,590709.2794622,0
GTN,D,20020206,000000,0.139557,0.139557,0.132601,0.133972,223138.67920238,0
GTN,D,20020207,000000,0.133972,0.138186,0.131196,0.136782,225228.34246372,0
GTN,D,20020208,000000,0.131196,0.135377,0.131196,0.135377,153782.87229952,0
GTN,D,20020211,000000,0.133972,0.133972,0.122836,0.128421,391070.55637755,0
GTN,D,20020212,000000,0.125611,0.125611,0.122836,0.125611,56864.523720561,0
GTN,D,20020213,000000,0.124207,0.127016,0.120026,0.125611,171469.12839409,0
GTN,D,20020214,000000,0.127016,0.127016,0.120026,0.120026,71655.60389998,0
GTN,D,20020215,000000,0.124207,0.124207,0.121431,0.124207,39481.794133225,0
GTN,D,20020218,000000,0.122836,0.122836,0.120026,0.121431,68818.79846699,0
GTN,D,20020219,000000,0.115846,0.117251,0.113071,0.117251,13390.188607572,0
GTN,D,20020220,000000,0.114441,0.115846,0.113071,0.115846,111919.56249415,0
GTN,D,20020221,000000,0.117251,0.117251,0.113071,0.117251,106981.41970339,0
GTN,D,20020222,000000,0.113071,0.115846,0.113071,0.114441,188956.92484931,0
GTN,D,20020225,000000,0.114441,0.115846,0.113071,0.114441,76652.117172901,0
