<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR,D,19980317,000000,9.97276,9.97276,9.97276,9.97276,79235.979267885,0
HDR,D,19980318,000000,8.98537,8.98537,8.98537,8.98537,134335.77357654,0
HDR,D,19980319,000000,8.68544,8.68544,8.68544,8.68544,87837.781300361,0
HDR,D,19980320,000000,8.98537,8.98537,8.98537,8.98537,62408.724796427,0
HDR,D,19980323,000000,8.89773,8.89773,8.89773,8.89773,32171.248780322,0
HDR,D,19980324,000000,8.76855,8.76855,8.76855,8.76855,43540.327235549,0
HDR,D,19980325,000000,8.68544,8.68544,8.68544,8.68544,33521.679674624,0
HDR,D,19980326,000000,8.68544,8.68544,8.68544,8.68544,52899.256097289,0
HDR,D,19980327,000000,8.596,8.596,8.596,8.596,49672.611788362,0
HDR,D,19980330,000000,8.596,8.596,8.596,8.596,24798.117479547,0
HDR,D,19980331,000000,8.596,8.596,8.596,8.596,33968.871544541,0
HDR,D,19980401,000000,8.1694,8.1694,8.1694,8.1694,17825.687804786,0
HDR,D,19980402,000000,8.1694,8.1694,8.1694,8.1694,38789.467072971,0
HDR,D,19980406,000000,8.03976,8.03976,8.03976,8.03976,28360.155690911,0
HDR,D,19980407,000000,7.95204,7.95204,7.95204,7.95204,10075.099999948,0
HDR,D,19980408,000000,7.99839,7.99839,7.99839,7.99839,24304.435365729,0
HDR,D,19980409,000000,7.6522,7.6522,7.6522,7.6522,16970.045934872,0
HDR,D,19980414,000000,7.69357,7.69357,7.69357,7.69357,30306.104471389,0
HDR,D,19980415,000000,7.73947,7.73947,7.73947,7.73947,16842.751219426,0
HDR,D,19980416,000000,7.82294,7.82294,7.82294,7.82294,14882.41260155,0
HDR,D,19980417,000000,7.95204,7.95204,7.95204,7.95204,31204.915853498,0
HDR,D,19980420,000000,8.08213,8.08213,8.08213,8.08213,41980.690243687,0
HDR,D,19980421,000000,8.64478,8.64478,8.64478,8.64478,65521.357316736,0
HDR,D,19980422,000000,8.596,8.596,8.596,8.596,37441.249999808,0
