<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,2.74364,2.86856,2.67838,2.67838,230355.15434475,0
IFI,D,20080325,000000,2.56529,2.70819,2.36271,2.38073,52749.5286157,0
IFI,D,20080326,000000,2.36874,2.44018,2.20217,2.2378,115231.47505589,0
IFI,D,20080327,000000,2.36271,2.36271,2.24364,2.29118,12833.19606221,0
IFI,D,20080328,000000,2.31536,2.31536,2.20217,2.28553,13133.484270402,0
IFI,D,20080331,000000,2.20217,2.30936,2.11298,2.30327,27850.906342261,0
IFI,D,20080401,000000,2.30936,2.34518,2.20217,2.24972,7798.6937585558,0
IFI,D,20080402,000000,2.26163,2.26772,2.15482,2.2141,11638.642970279,0
IFI,D,20080403,000000,2.17844,2.17844,2.02372,2.02945,28287.589194468,0
IFI,D,20080404,000000,2.04153,2.04153,1.87469,1.95817,47125.449463725,0
IFI,D,20080407,000000,1.93426,1.94634,1.87469,1.93426,24724.829098,0
IFI,D,20080408,000000,1.86899,2.25563,1.84499,2.25563,99859.578684132,0
IFI,D,20080409,000000,2.24972,2.48772,2.19627,2.48772,109182.81257658,0
IFI,D,20080410,000000,2.49974,2.52938,2.41654,2.4521,13061.987077976,0
IFI,D,20080411,000000,2.49974,2.85083,2.49974,2.81521,136845.62630493,0
IFI,D,20080414,000000,2.55928,2.72003,2.55928,2.67249,6568.9420488147,0
IFI,D,20080415,000000,2.67838,2.6901,2.50601,2.51183,1295.7491181352,0
IFI,D,20080416,000000,2.67249,2.76757,2.51183,2.70819,71741.382837874,0
IFI,D,20080417,000000,2.67838,2.67838,2.51183,2.51756,5516.2833849306,0
IFI,D,20080418,000000,2.49974,2.51756,2.35683,2.51756,17173.625620922,0
IFI,D,20080421,000000,2.54756,2.60666,2.54756,2.60666,4102.8388884927,0
IFI,D,20080422,000000,2.54756,2.64847,2.54756,2.64847,2118.516809447,0
IFI,D,20080423,000000,2.66646,2.66646,2.66646,2.66646,19.799222518195,0
IFI,D,20080424,000000,2.49974,2.64847,2.49974,2.64847,846.96674105613,0
IFI,D,20080425,000000,2.50601,2.57119,2.50601,2.57119,815.06799366571,0
IFI,D,20080428,000000,2.5891,2.5891,2.39872,2.53545,3424.1655388413,0
IFI,D,20080429,000000,2.53545,2.53545,2.38073,2.38073,23161.790475869,0
IFI,D,20080430,000000,2.49373,2.61282,2.49373,2.61282,29350.147469612,0
IFI,D,20080505,000000,2.61282,2.64847,2.49974,2.61282,19474.735260259,0
IFI,D,20080506,000000,2.90447,2.90447,2.5891,2.7382,1928.2242819109,0
IFI,D,20080507,000000,2.78556,2.78556,2.78556,2.78556,1.0999568065664,0
IFI,D,20080508,000000,2.52938,2.55355,2.44018,2.4521,11804.73644807,0
IFI,D,20080509,000000,2.4521,2.53545,2.44018,2.53545,2924.7851486601,0
IFI,D,20080512,000000,2.53545,2.64275,2.53545,2.64275,117.69537830261,0
IFI,D,20080513,000000,2.38073,2.57119,2.37455,2.57119,2139.4159887716,0
IFI,D,20080515,000000,2.32118,2.49974,2.32118,2.49974,13789.058527116,0
IFI,D,20080516,000000,2.26772,2.351,2.20217,2.20217,21573.452847187,0
IFI,D,20080519,000000,2.26163,2.32118,2.20217,2.32118,33757.674393523,0
IFI,D,20080520,000000,2.31536,2.31536,2.31536,2.31536,17.599308905062,0
IFI,D,20080521,000000,2.101,2.30936,2.101,2.30936,1619.1364192658,0
IFI,D,20080523,000000,2.31536,2.38073,2.31536,2.35683,2085.5181052499,0
IFI,D,20080526,000000,2.36271,2.36271,2.30327,2.30327,128.69494636828,0
IFI,D,20080527,000000,2.20217,2.351,2.20217,2.351,491.68069253518,0
IFI,D,20080529,000000,2.17245,2.351,2.119,2.14282,4578.0202289294,0
IFI,D,20080530,000000,2.20217,2.20217,1.9939,2.19627,9713.7185587881,0
IFI,D,20080602,000000,2.07698,2.07698,2.07698,2.07698,1678.5340868203,0
