<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK,D,19990428,000000,2.73446,2.73446,2.73446,2.73446,219839.09553409865,0
INK,D,19990429,000000,2.45791,2.45791,2.45791,2.45791,65179.694742761836,0
INK,D,19990430,000000,2.45791,2.45791,2.45791,2.45791,49039.88694175139,0
INK,D,19990504,000000,2.70369,2.70369,2.70369,2.70369,29210.53702655492,0
INK,D,19990505,000000,2.94963,2.94963,2.94963,2.94963,76964.07009606324,0
INK,D,19990506,000000,3.15848,3.15848,3.15848,3.15848,103501.07405308809,0
INK,D,19990507,000000,3.03546,3.03546,3.03546,3.03546,33885.06500846289,0
INK,D,19990510,000000,2.88817,2.88817,2.88817,2.88817,28087.054833225888,0
INK,D,19990511,000000,2.79593,2.79593,2.79593,2.79593,17851.62238552014,0
INK,D,19990512,000000,2.91885,2.91885,2.91885,2.91885,7313.71396268734,0
INK,D,19990513,000000,2.85739,2.85739,2.85739,2.85739,7895.398530239356,0
INK,D,19990514,000000,2.85739,2.85739,2.85739,2.85739,3138.880723571161,0
INK,D,19990517,000000,2.73446,2.73446,2.73446,2.73446,7773.521763704648,0
INK,D,19990518,000000,2.82661,2.82661,2.82661,2.82661,13862.928208020603,0
INK,D,19990519,000000,2.91885,2.91885,2.91885,2.91885,15600.226116442624,0
INK,D,19990520,000000,2.91885,2.91885,2.91885,2.91885,4127.190503107157,0
INK,D,19990521,000000,2.85739,2.85739,2.85739,2.85739,30449.2481627895,0
INK,D,19990524,000000,2.91885,2.91885,2.91885,2.91885,11668.038439790478,0
INK,D,19990525,000000,2.85739,2.85739,2.85739,2.85739,11138.42849066693,0
INK,D,19990526,000000,2.79593,2.79593,2.79593,2.79593,11214.878462402858,0
INK,D,19990527,000000,2.85739,2.85739,2.85739,2.85739,16619.559072914726,0
INK,D,19990528,000000,2.79593,2.79593,2.79593,2.79593,9202.803843975315,0
INK,D,19990531,000000,2.82661,2.82661,2.82661,2.82661,6930.356133405441,0
INK,D,19990601,000000,2.85739,2.85739,2.85739,2.85739,5384.737139624372,0
INK,D,19990602,000000,2.76542,2.76542,2.76542,2.76542,4097.275296775911,0
INK,D,19990607,000000,2.79593,2.79593,2.79593,2.79593,10667.540983601531,0
INK,D,19990608,000000,2.73446,2.73446,2.73446,2.73446,7796.789146406729,0
INK,D,19990609,000000,2.73446,2.73446,2.73446,2.73446,7223.968343693601,0
INK,D,19990610,000000,2.79593,2.79593,2.79593,2.79593,8220.033917463623,0
INK,D,19990611,000000,2.82661,2.82661,2.82661,2.82661,3956.563029958566,0
INK,D,19990614,000000,2.73446,2.73446,2.73446,2.73446,8197.874505366404,0
INK,D,19990615,000000,2.79593,2.79593,2.79593,2.79593,14755.952515538555,0
INK,D,19990616,000000,2.79593,2.79593,2.79593,2.79593,741.2323346519969,0
INK,D,19990617,000000,2.79593,2.79593,2.79593,2.79593,14297.252685126108,0
INK,D,19990618,000000,2.79593,2.79593,2.79593,2.79593,6356.427360087453,0
INK,D,19990621,000000,2.73446,2.73446,2.73446,2.73446,12667.427925375085,0
INK,D,19990622,000000,2.79593,2.79593,2.79593,2.79593,148182.20463531636,0
INK,D,19990623,000000,2.85739,2.85739,2.85739,2.85739,40888.547201789675,0
INK,D,19990624,000000,2.97417,2.97417,2.97417,2.97417,80385.48332387395,0
INK,D,19990625,000000,2.91885,2.91885,2.91885,2.91885,42067.42792536176,0
INK,D,19990628,000000,2.79593,2.79593,2.79593,2.79593,19419.400791397908,0
INK,D,19990629,000000,2.85739,2.85739,2.85739,2.85739,15971.396269070532,0
INK,D,19990630,000000,3.03546,3.03546,3.03546,3.03546,90321.76370826723,0
INK,D,19990701,000000,3.03546,3.03546,3.03546,3.03546,42513.940079120206,0
