<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPE,D,20090526,000000,3.91594,3.91594,3.38037,3.38037,902882.4351913,0
IPE,D,20090527,000000,3.47829,3.67404,3.45509,3.46098,186354.14676079,0
IPE,D,20090528,000000,3.61638,3.61638,3.32851,3.34003,27699.470090221,0
IPE,D,20090529,000000,3.32451,3.62747,3.2944,3.62747,59868.185079448,0
IPE,D,20090601,000000,3.77196,4.2902,3.77196,4.03108,138890.10938111,0
IPE,D,20090602,000000,4.2038,4.2902,3.91594,4.00225,102095.04592087,0
IPE,D,20090603,000000,4.13462,4.1464,3.74322,3.85836,348088.75689141,0
IPE,D,20090604,000000,3.85836,3.97359,3.8007,3.91014,29510.850827095,0
IPE,D,20090605,000000,4.00225,4.03108,3.92737,3.96771,21076.499357145,0
IPE,D,20090608,000000,4.00225,4.00225,3.57613,3.85836,18640.221576417,0
IPE,D,20090609,000000,3.8007,3.91594,3.8007,3.84113,52032.93752959,0
IPE,D,20090610,000000,3.8007,3.96208,3.8007,3.8007,16548.633722317,0
IPE,D,20090612,000000,3.85836,3.85836,3.68556,3.82954,10065.180340495,0
IPE,D,20090615,000000,3.79499,3.79499,3.59924,3.7317,35899.338616887,0
IPE,D,20090616,000000,3.59924,3.70278,3.59924,3.62798,58657.080677383,0
IPE,D,20090617,000000,3.61638,3.74322,3.45509,3.62798,22209.05197321,0
IPE,D,20090618,000000,3.50132,3.6337,3.45509,3.6337,16165.254110047,0
IPE,D,20090619,000000,3.72598,3.72598,3.54166,3.68556,4519.6587318125,0
IPE,D,20090622,000000,3.68556,3.68556,3.46098,3.4666,6326.349809821,0
IPE,D,20090623,000000,3.57032,3.90451,3.57032,3.8007,76906.88815323,0
IPE,D,20090624,000000,3.91594,3.91594,3.68556,3.79499,15104.218791684,0
IPE,D,20090625,000000,3.8007,3.8007,3.59336,3.59336,6362.6946660302,0
IPE,D,20090626,000000,3.79499,3.82954,3.79499,3.8007,6238.4187060893,0
IPE,D,20090629,000000,3.70867,3.91014,3.70867,3.91014,28419.332726105,0
IPE,D,20090630,000000,3.8871,3.91014,3.74322,3.91014,51415.074974035,0
IPE,D,20090701,000000,3.74893,3.77196,3.74322,3.77196,59743.909119507,0
IPE,D,20090702,000000,3.80658,3.85836,3.7143,3.7143,24715.674636923,0
IPE,D,20090703,000000,3.68556,3.84693,3.63949,3.84693,11903.526615847,0
IPE,D,20090706,000000,3.84113,3.84113,3.84113,3.84113,1702.3461682469,0
IPE,D,20090707,000000,3.82954,3.82954,3.54166,3.67984,20403.533309918,0
IPE,D,20090708,000000,3.484,3.57032,3.45509,3.57032,47494.520162315,0
IPE,D,20090709,000000,3.62798,3.62798,3.484,3.55309,9935.0423069725,0
IPE,D,20090710,000000,3.62798,3.62798,3.46098,3.46098,127544.65217028,0
IPE,D,20090713,000000,3.46098,3.54166,3.46098,3.54166,7026.2813955258,0
IPE,D,20090714,000000,3.54166,3.54166,3.46098,3.53007,32835.818962872,0
IPE,D,20090715,000000,3.53586,3.57032,3.484,3.55309,192257.25485799,0
IPE,D,20090716,000000,3.51284,3.56469,3.49553,3.50132,232306.94157101,0
IPE,D,20090717,000000,3.51284,3.51284,3.50704,3.50704,31051.403764476,0
IPE,D,20090720,000000,3.4898,3.51855,3.45509,3.51855,15628.288169925,0
IPE,D,20090721,000000,3.53586,3.53586,3.49553,3.49553,94170.694852566,0
IPE,D,20090722,000000,3.51284,3.51284,3.484,3.51284,1977.8636266064,0
