<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZO,D,19980217,000000,1.99027,2.13598,1.99027,2.13598,1750.6849315511997,0
IZO,D,19980218,000000,2.2814,2.2814,2.13598,2.13598,1946.9178082684998,0
IZO,D,19980219,000000,2.33016,2.52434,2.33016,2.52434,7210.2739727854,0
IZO,D,19980220,000000,2.71852,2.9127,2.62128,2.9127,11020.890411238099,0
IZO,D,19980223,000000,3.10688,3.49524,3.10688,3.49524,26780.136986979796,0
IZO,D,19980224,000000,3.59218,3.59218,3.398,3.398,5665.0684932941995,0
IZO,D,19980225,000000,3.49524,3.49524,3.20382,3.20382,3883.5616439339997,0
IZO,D,19980226,000000,3.17462,3.21346,3.17462,3.20382,10268.8356166985,0
IZO,D,19980227,000000,2.9127,3.20382,2.9127,3.20382,2059.9315069014997,0
IZO,D,19980302,000000,2.9127,3.30106,2.9127,3.30106,3295.8904110423996,0
IZO,D,19980306,000000,2.71852,2.71852,2.71852,2.71852,1030.4794520808998,0
IZO,D,19980309,000000,2.71852,2.71852,2.47558,2.57281,8343.4931508963,0
IZO,D,19980310,000000,2.71852,2.71852,2.71852,2.71852,3090.4109589823997,0
IZO,D,19980311,000000,2.4271,2.4271,2.4271,2.4271,1030.4794520808998,0
IZO,D,19980312,000000,2.23292,2.47558,2.23292,2.33016,2811.9863014411,0
IZO,D,19980316,000000,2.4271,2.4271,2.33016,2.4271,2266.4383562218,0
IZO,D,19980317,000000,2.43674,2.43674,2.43674,2.43674,823.9726027605999,0
IZO,D,19980318,000000,2.38827,2.38827,2.08722,2.09714,8981.506849542599,0
IZO,D,19980320,000000,2.2814,2.2814,2.27176,2.2814,4295.5479453143,0
IZO,D,19980323,000000,2.2814,2.2814,2.23292,2.23292,4490.753424771299,0
IZO,D,19980324,000000,2.23292,2.2814,2.23292,2.26212,7519.520548135699,0
IZO,D,19980325,000000,2.23292,2.23292,2.23292,2.23292,1030.4794520808998,0
IZO,D,19980326,000000,2.23292,2.23292,2.19409,2.19409,1504.1095890791998,0
IZO,D,19980327,000000,2.23292,2.23292,2.23292,2.23292,3090.4109589823997,0
IZO,D,19980330,000000,2.23292,2.23292,2.23292,2.23292,514.7260274102999,0
IZO,D,19980401,000000,2.10678,2.21365,2.10678,2.21365,2471.9178082818,0
IZO,D,19980402,000000,2.08722,2.08722,2.08722,2.08722,309.24657535029996,0
IZO,D,19980406,000000,2.13598,2.13598,2.09714,2.09714,1617.1232877121997,0
IZO,D,19980407,000000,2.08722,2.13598,2.08722,2.13598,2760.6164384260996,0
IZO,D,19980408,000000,2.13598,2.13598,2.13598,2.13598,1030.4794520808998,0
IZO,D,19980409,000000,2.11642,2.11642,2.11642,2.11642,1030.4794520808998,0
IZO,D,19980414,000000,2.10678,2.11642,2.10678,2.11642,1730.1369863451998,0
IZO,D,19980415,000000,2.10678,2.13598,2.10678,2.13598,4531.8493151833,0
IZO,D,19980416,000000,2.08722,2.13598,2.08722,2.13598,1802.0547945662,0
IZO,D,19980417,000000,2.13598,2.13598,2.12605,2.12605,2059.9315069014997,0
IZO,D,19980420,000000,2.13598,2.13598,2.13598,2.13598,514.7260274102999,0
IZO,D,19980421,000000,2.13598,2.13598,2.13598,2.13598,1442.4657534612,0
IZO,D,19980423,000000,2.13598,2.13598,2.13598,2.13598,1030.4794520808998,0
IZO,D,19980427,000000,2.03874,2.05831,2.03874,2.03874,2574.6575343117997,0
IZO,D,19980428,000000,1.99027,1.99027,1.99027,1.99027,628.7671233036,0
IZO,D,19980430,000000,2.03874,2.03874,2.03874,2.03874,154.10958904499998,0
IZO,D,19980504,000000,1.95144,1.95144,1.95144,1.95144,1030.4794520808998,0
IZO,D,19980508,000000,1.9418,1.9418,1.9418,1.9418,514.7260274102999,0
IZO,D,19980511,000000,1.9418,1.9418,1.89333,1.89333,3090.4109589823997,0
IZO,D,19980512,000000,1.89333,1.89333,1.86413,1.86413,2059.9315069014997,0
IZO,D,19980513,000000,1.9418,1.9418,1.9418,1.9418,1030.4794520808998,0
IZO,D,19980514,000000,1.9418,1.9418,1.9418,1.9418,721.2328767306,0
IZO,D,19980519,000000,1.86413,1.86413,1.86413,1.86413,1545.2054794911999,0
IZO,D,19980520,000000,1.86413,1.86413,1.84456,1.84456,1750.6849315511997,0
IZO,D,19980522,000000,1.85449,1.85449,1.85449,1.85449,1030.4794520808998,0
IZO,D,19980525,000000,1.84456,1.84456,1.83493,1.83493,1854.4520548414998,0
IZO,D,19980526,000000,1.83493,1.83493,1.74762,1.74762,3873.2876713309997,0
IZO,D,19980527,000000,1.74762,1.74762,1.74762,1.74762,102.73972602999999,0
IZO,D,19980601,000000,1.74762,1.74762,1.65038,1.65038,3728.4246576286996,0
IZO,D,19980605,000000,1.55344,1.55344,1.55344,1.55344,1689.0410959331998,0
IZO,D,19980610,000000,1.65038,1.65038,1.55344,1.55344,4429.1095891533,0
IZO,D,19980615,000000,1.65038,1.65038,1.65038,1.65038,1030.4794520808998,0
IZO,D,19980616,000000,1.79609,1.79609,1.53388,1.53388,5046.575342593599,0
IZO,D,19980624,000000,1.55344,1.55344,1.5438,1.5438,2059.9315069014997,0
IZO,D,19980625,000000,1.47577,1.47577,1.47577,1.47577,1030.4794520808998,0
IZO,D,19980629,000000,1.4562,1.4562,1.43693,1.43693,3574.3150685836995,0
IZO,D,19980630,000000,1.43693,1.4562,1.35926,1.4562,3605.1369863927,0
IZO,D,19980701,000000,1.35926,1.35926,1.35926,1.35926,1081.8493150958998,0
IZO,D,19980720,000000,1.40773,1.40773,1.40773,1.40773,1030.4794520808998,0
IZO,D,19980721,000000,1.35926,1.35926,1.35926,1.35926,1030.4794520808998,0
IZO,D,19980722,000000,1.35926,1.35926,1.35926,1.35926,1235.9589041409,0
IZO,D,19980807,000000,1.35926,1.35926,1.35926,1.35926,1030.4794520808998,0
IZO,D,19980810,000000,1.35926,1.35926,1.35926,1.35926,1030.4794520808998,0
IZO,D,19980811,000000,1.35926,1.35926,1.35926,1.35926,514.7260274102999,0
IZO,D,19980813,000000,1.31079,1.31079,1.26202,1.26202,2059.9315069014997,0
IZO,D,19980814,000000,1.16508,1.16508,1.14552,1.14552,2059.9315069014997,0
IZO,D,19980827,000000,0.9709,0.9709,0.9709,0.9709,2059.9315069014997,0
IZO,D,19980828,000000,0.77672,0.77672,0.679484,0.679484,3090.4109589823997,0
IZO,D,19980831,000000,0.9709,0.9709,0.9709,0.9709,2059.9315069014997,0
IZO,D,19981006,000000,0.58254,0.58254,0.534068,0.534068,2059.9315069014997,0
IZO,D,19981110,000000,0.534068,0.534068,0.38836,0.38836,4119.863013802999,0
IZO,D,19981117,000000,0.397996,0.397996,0.397996,0.397996,803.4246575545999,0
IZO,D,19981118,000000,0.397996,0.397996,0.397996,0.397996,3090.4109589823997,0
IZO,D,19981123,000000,0.38836,0.38836,0.38836,0.38836,6179.7945207044995,0
IZO,D,19981124,000000,0.38836,0.38836,0.38836,0.38836,10299.6575345075,0
IZO,D,19981125,000000,0.339888,0.339888,0.339888,0.339888,1030.4794520808998,0
IZO,D,19981126,000000,0.38836,0.38836,0.38836,0.38836,1030.4794520808998,0
IZO,D,19981127,000000,0.38836,0.38836,0.38836,0.38836,19909.931507353696,0
IZO,D,19981130,000000,0.407632,0.407632,0.407632,0.407632,1030.4794520808998,0
IZO,D,19981201,000000,0.407632,0.475668,0.407632,0.475668,7313.013698815399,0
IZO,D,19981207,000000,0.631012,0.631012,0.631012,0.631012,102.73972602999999,0
IZO,D,19981211,000000,0.631012,0.631012,0.631012,0.631012,2400.0000000607997,0
IZO,D,19981223,000000,0.514504,0.514504,0.514504,0.514504,7107.534246755399,0
IZO,D,19981230,000000,0.58254,0.58254,0.58254,0.58254,2317.8082192367997,0
IZO,D,19981231,000000,0.621376,0.621376,0.621376,0.621376,102.73972602999999,0
IZO,D,19990104,000000,0.534068,0.534068,0.534068,0.534068,2059.9315069014997,0
IZO,D,19990105,000000,0.621376,0.621376,0.621376,0.621376,102.73972602999999,0
IZO,D,19990115,000000,0.534068,0.534068,0.534068,0.534068,10094.178082447499,0
IZO,D,19990205,000000,0.485304,0.485304,0.485304,0.485304,257.8767123353,0
IZO,D,19990209,000000,0.485304,0.485304,0.485304,0.485304,2059.9315069014997,0
IZO,D,19990210,000000,0.485304,0.485304,0.485304,0.485304,2059.9315069014997,0
IZO,D,19990311,000000,0.480632,0.480632,0.480632,0.480632,1030.4794520808998,0
IZO,D,19990322,000000,0.407632,0.407632,0.407632,0.407632,1030.4794520808998,0
IZO,D,19990330,000000,0.40296,0.40296,0.40296,0.40296,1030.4794520808998,0
IZO,D,19990409,000000,0.41756,0.41756,0.41756,0.41756,411.98630138029995,0
IZO,D,19990412,000000,0.41756,0.41756,0.41756,0.41756,823.9726027605999,0
IZO,D,19990414,000000,0.41756,0.41756,0.41756,0.41756,823.9726027605999,0
IZO,D,19990422,000000,0.461068,0.466032,0.461068,0.466032,2574.6575343117997,0
IZO,D,19990426,000000,0.436832,0.436832,0.436832,0.436832,1030.4794520808998,0
IZO,D,19990427,000000,0.40296,0.40296,0.40296,0.40296,4119.863013802999,0
IZO,D,19990504,000000,0.490268,0.529104,0.490268,0.529104,2059.9315069014997,0
IZO,D,19990506,000000,0.397996,0.397996,0.397996,0.397996,1030.4794520808998,0
IZO,D,19990510,000000,0.397996,0.397996,0.397996,0.397996,1030.4794520808998,0
IZO,D,19990512,000000,0.436832,0.436832,0.436832,0.436832,2574.6575343117997,0
IZO,D,19990513,000000,0.456396,0.514504,0.456396,0.504868,13390.068493489898,0
IZO,D,19990514,000000,0.529104,0.71832,0.529104,0.679484,32908.561644669295,0
IZO,D,19990517,000000,0.795992,0.795992,0.71832,0.71832,15964.726027801698,0
IZO,D,19990518,000000,0.79132,0.79132,0.79132,0.79132,3090.4109589823997,0
IZO,D,19990519,000000,0.795992,0.815556,0.77672,0.80592,17612.671233322897,0
IZO,D,19990520,000000,0.815556,0.815556,0.810592,0.810592,9063.6986303666,0
IZO,D,19990521,000000,0.80592,0.815556,0.800956,0.800956,3986.3013699639996,0
IZO,D,19990524,000000,0.834828,0.868992,0.82052,0.864028,22969.520548527096,0
IZO,D,19990525,000000,0.825192,0.825192,0.825192,0.825192,10299.6575345075,0
IZO,D,19990527,000000,0.771756,0.77672,0.728248,0.728248,4295.5479453143,0
IZO,D,19990601,000000,0.679484,0.679484,0.679484,0.679484,1030.4794520808998,0
IZO,D,19990607,000000,0.679484,0.679484,0.679484,0.679484,1030.4794520808998,0
IZO,D,19990611,000000,0.679484,0.679484,0.679484,0.679484,309.24657535029996,0
IZO,D,19990615,000000,0.601812,0.601812,0.601812,0.601812,721.2328767306,0
IZO,D,19990616,000000,0.58254,0.601812,0.58254,0.601812,1750.6849315511997,0
IZO,D,19990628,000000,0.592176,0.592176,0.592176,0.592176,1030.4794520808998,0
IZO,D,19990629,000000,0.592176,0.631012,0.592176,0.631012,2781.1643836320995,0
IZO,D,19990712,000000,0.640648,0.640648,0.640648,0.640648,2059.9315069014997,0
IZO,D,19990723,000000,0.592176,0.592176,0.592176,0.592176,1030.4794520808998,0
IZO,D,19990806,000000,0.58254,0.58254,0.58254,0.58254,1030.4794520808998,0
IZO,D,19990810,000000,0.534068,0.534068,0.534068,0.534068,1030.4794520808998,0
IZO,D,19990830,000000,0.485304,0.485304,0.480632,0.480632,1493.8356164762,0
IZO,D,19990901,000000,0.485304,0.485304,0.485304,0.485304,2059.9315069014997,0
IZO,D,19990903,000000,0.534068,0.534068,0.534068,0.534068,411.98630138029995,0
IZO,D,19990917,000000,0.572904,0.572904,0.38836,0.38836,926.7123287905999,0
IZO,D,19991001,000000,0.514504,0.53874,0.514504,0.534068,41200.6849325506,0
IZO,D,19991004,000000,0.534068,0.534068,0.534068,0.534068,10299.6575345075,0
IZO,D,19991006,000000,0.58254,0.58254,0.58254,0.58254,514.7260274102999,0
IZO,D,19991007,000000,0.58254,0.58254,0.58254,0.58254,2059.9315069014997,0
IZO,D,19991011,000000,0.534068,0.534068,0.534068,0.534068,1030.4794520808998,0
IZO,D,19991012,000000,0.534068,0.534068,0.534068,0.534068,40170.205480469696,0
IZO,D,19991015,000000,0.534068,0.534068,0.534068,0.534068,2059.9315069014997,0
IZO,D,19991022,000000,0.572904,0.679484,0.572904,0.679484,4119.863013802999,0
IZO,D,19991104,000000,0.53874,0.543704,0.534068,0.534068,10299.6575345075,0
IZO,D,19991105,000000,0.534068,0.53874,0.534068,0.53874,11330.136986588399,0
IZO,D,19991119,000000,0.543704,0.543704,0.543704,0.543704,1030.4794520808998,0
IZO,D,19991122,000000,0.61174,0.61174,0.61174,0.61174,2574.6575343117997,0
IZO,D,19991124,000000,0.606776,0.606776,0.606776,0.606776,1030.4794520808998,0
IZO,D,19991125,000000,0.61174,0.621376,0.601812,0.621376,9270.2054796869,0
IZO,D,19991126,000000,0.61174,0.61174,0.61174,0.61174,1030.4794520808998,0
IZO,D,19991129,000000,0.61174,0.61174,0.61174,0.61174,1030.4794520808998,0
IZO,D,19991201,000000,0.58254,0.58254,0.436832,0.436832,5150.342465883899,0
IZO,D,19991202,000000,0.631012,0.660212,0.631012,0.660212,3090.4109589823997,0
IZO,D,19991206,000000,0.61174,0.61174,0.61174,0.61174,411.98630138029995,0
IZO,D,19991207,000000,0.534068,0.543704,0.534068,0.534068,4810.2739727246,0
IZO,D,19991213,000000,0.58254,0.61174,0.58254,0.61174,793.1506849515999,0
IZO,D,19991215,000000,0.58254,0.58254,0.58254,0.58254,5283.904109722899,0
IZO,D,19991217,000000,0.631012,0.631012,0.631012,0.631012,1030.4794520808998,0
IZO,D,19991220,000000,0.58254,0.631012,0.58254,0.631012,2358.9041096488,0
