<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS,D,20110111,000000,4.91732,5.27177,4.91732,5.11264,1228636.551241,0
IZS,D,20110112,000000,5.06921,5.1633,4.91732,5.13444,263581.15276138,0
IZS,D,20110113,000000,5.11264,5.13444,4.99693,5.06921,148336.30434129,0
IZS,D,20110114,000000,5.11264,5.11264,4.92474,5.09825,42169.884437374,0
IZS,D,20110117,000000,5.06197,5.09092,5.06197,5.07645,17161.362646556,0
IZS,D,20110118,000000,5.06921,5.1633,5.06921,5.1633,47597.075321401,0
IZS,D,20110119,000000,5.1633,5.67661,5.14873,5.64069,73758.274822101,0
IZS,D,20110120,000000,5.57546,5.70564,5.51042,5.59003,9532.5136746198,0
IZS,D,20110121,000000,5.59003,6.13229,5.53213,5.98763,91133.581437537,0
IZS,D,20110124,000000,6.05267,6.06733,5.95144,6.00219,18644.780267512,0
IZS,D,20110125,000000,6.00219,6.00219,5.83582,5.89364,40056.641969257,0
IZS,D,20110126,000000,5.966,6.16132,5.85753,6.03096,60701.143415276,0
IZS,D,20110127,000000,5.91535,6.16132,5.83582,5.98763,207129.41685043,0
IZS,D,20110128,000000,6.05267,6.05267,5.92991,5.966,71612.285828135,0
IZS,D,20110131,000000,5.92991,5.92991,5.79973,5.90802,10534.557365597,0
IZS,D,20110201,000000,5.966,5.966,5.74907,5.79973,14095.196276236,0
IZS,D,20110202,000000,5.72012,5.79973,5.4887,5.64069,86451.919792003,0
IZS,D,20110203,000000,5.59003,5.59727,5.42357,5.5827,14156.323124487,0
IZS,D,20110204,000000,5.40195,5.56108,5.40195,5.56108,14026.428571953,0
IZS,D,20110207,000000,5.56832,5.78525,5.56832,5.56832,3035.6029461946,0
IZS,D,20110208,000000,5.47432,5.71288,5.35119,5.56832,864844.4800768,0
IZS,D,20110209,000000,5.56108,5.63327,5.56108,5.60441,388.59210674048,0
IZS,D,20110210,000000,5.60441,5.69117,5.46699,5.46699,4404.4077266794,0
IZS,D,20110211,000000,5.45975,5.67661,5.38738,5.45975,86458.469097173,0
IZS,D,20110214,000000,5.43804,5.43804,5.27901,5.35119,40102.487105446,0
IZS,D,20110215,000000,5.33691,5.35119,5.09825,5.22834,11923.010061591,0
IZS,D,20110216,000000,5.20672,5.38738,5.06197,5.38738,2464.7218455618,0
IZS,D,20110217,000000,5.29339,5.38014,5.20672,5.22834,4451.3444137295,0
IZS,D,20110218,000000,5.20672,5.22834,5.20672,5.22834,4061.6607561274,0
IZS,D,20110221,000000,5.27177,5.27177,5.22101,5.22101,983.48732632915,0
IZS,D,20110222,000000,5.27177,5.35119,5.06921,5.21395,3558.4558089157,0
IZS,D,20110223,000000,5.27901,5.35119,5.24282,5.24282,26776.83418666,0
IZS,D,20110224,000000,5.27177,5.27177,5.17054,5.24282,21600.700000807,0
IZS,D,20110225,000000,5.24282,5.26471,5.20672,5.24282,8800.0830464657,0
IZS,D,20110228,000000,5.27901,5.45975,5.27177,5.32967,11537.692607435,0
IZS,D,20110301,000000,5.27901,5.42357,5.27901,5.38738,2156.904502582,0
IZS,D,20110302,000000,5.35119,5.45975,5.35119,5.38738,1368.8047804847,0
IZS,D,20110303,000000,5.4887,5.4887,5.42357,5.42357,1119.931184033,0
IZS,D,20110304,000000,5.42357,5.42357,5.36576,5.42357,1559.8261812701,0
IZS,D,20110307,000000,5.45975,5.49604,5.36576,5.49604,9698.4294055876,0
IZS,D,20110308,000000,5.53213,5.55375,5.49604,5.55375,2918.8070040002,0
IZS,D,20110309,000000,5.55375,5.55375,5.49604,5.53213,4352.0132853211,0
IZS,D,20110310,000000,5.49604,5.85753,5.49604,5.8503,5076.8030574438,0
IZS,D,20110311,000000,5.8503,5.8503,5.71288,5.72012,747.71234021694,0
IZS,D,20110314,000000,5.72735,5.90802,5.49604,5.78525,7549.165759037,0
IZS,D,20110315,000000,5.76354,5.76354,5.49604,5.64069,4942.5423014632,0
