<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWW,D,20140813,000000,3.39382,4.07258,3.39382,4.07258,9971.076381645418,0
JWW,D,20140814,000000,4.88332,5.85433,4.7042,5.85433,69131.3819089995,0
JWW,D,20140818,000000,6.74049,6.74049,5.37354,5.37354,83009.21087719811,0
JWW,D,20140819,000000,5.82605,5.82605,4.95874,5.75063,2156.5104557324617,0
JWW,D,20140820,000000,5.56209,5.56209,5.38297,5.46782,3155.7395995101197,0
JWW,D,20140821,000000,5.44896,5.75063,5.44896,5.56209,976.9533348399395,0
JWW,D,20140822,000000,5.49609,6.50481,5.48667,5.66579,22652.37618404659,0
JWW,D,20140825,000000,6.03345,6.03345,5.56209,5.83548,28904.45322589958,0
JWW,D,20140826,000000,5.83548,5.83548,5.83548,5.83548,15.911292098370351,0
JWW,D,20140827,000000,5.60923,6.02402,5.51495,6.02402,6557.573850141701,0
JWW,D,20140828,000000,6.00517,6.00517,5.56209,5.76006,434.9086506887895,0
JWW,D,20140829,000000,5.76006,5.76006,5.46782,5.74121,394.6000440395847,0
JWW,D,20140901,000000,5.56209,5.56209,4.80791,4.80791,1485.0539291812327,0
JWW,D,20140902,000000,4.90218,4.90218,4.90218,4.90218,647.0592120003943,0
JWW,D,20140903,000000,5.09072,5.10015,5.09072,5.10015,106.07528065580235,0
JWW,D,20140904,000000,5.13786,6.02402,5.13786,6.02402,8379.947171808384,0
JWW,D,20140905,000000,6.12773,6.222,5.8449,6.222,14871.754347943486,0
JWW,D,20140908,000000,6.03345,6.12773,5.9109,6.12773,434.9086506887895,0
JWW,D,20140909,000000,5.8449,7.01389,5.8449,6.69336,2296.5298261981206,0
JWW,D,20140910,000000,7.05159,8.39027,7.05159,8.39027,521.8903808265475,0
JWW,D,20140911,000000,8.39027,8.39027,6.71222,7.35327,2019.6733436864763,0
JWW,D,20140912,000000,7.44754,7.44754,5.98631,6.69336,3816.588597995768,0
JWW,D,20140915,000000,6.41054,6.41054,5.18499,5.82605,777.5318072070311,0
JWW,D,20140916,000000,5.8449,6.78763,5.8449,6.69336,2460.9465112146145,0
JWW,D,20140917,000000,6.69336,6.69336,6.69336,6.69336,291.7070218034564,0
JWW,D,20140918,000000,6.41054,6.41054,5.65636,5.66579,700.0968523282953,0
JWW,D,20140919,000000,5.67521,5.7035,5.67521,5.7035,109.25753907547642,0
JWW,D,20140922,000000,5.7035,5.75063,5.65636,5.65636,466.7312348855303,0
JWW,D,20140923,000000,5.83548,5.83548,5.83548,5.83548,275.79572970508605,0
JWW,D,20140924,000000,5.8449,6.55195,5.8449,6.55195,371.26348229530817,0
JWW,D,20140925,000000,6.50481,6.50481,6.41054,6.41054,169.72044904928373,0
JWW,D,20140926,000000,6.31627,6.31627,6.31627,6.31627,852.8452564726508,0
JWW,D,20140929,000000,6.31627,6.31627,6.31627,6.31627,10.607528065580233,0
JWW,D,20140930,000000,6.29741,6.29741,5.93918,5.93918,39.24785384264686,0
JWW,D,20141001,000000,6.31627,6.31627,5.9486,5.9486,21.215056131160466,0
JWW,D,20141002,000000,6.12773,7.25899,6.12773,7.25899,1633.559322099356,0
JWW,D,20141003,000000,7.35327,7.35327,7.35327,7.35327,10.607528065580233,0
JWW,D,20141006,000000,7.21186,7.21186,7.21186,7.21186,5.3037640327901165,0
JWW,D,20141007,000000,7.16472,7.16472,6.78763,6.78763,168.65969624272572,0
JWW,D,20141008,000000,6.78763,6.78763,6.78763,6.78763,5.3037640327901165,0
JWW,D,20141009,000000,6.78763,6.78763,6.08058,6.08058,339.44089809856746,0
JWW,D,20141013,000000,5.93918,6.12773,5.85433,6.12773,190.9355051804442,0
JWW,D,20141014,000000,6.222,6.41054,6.222,6.41054,42.43011226232093,0
JWW,D,20141015,000000,6.41054,6.50481,6.41054,6.50481,235.48712305588117,0
JWW,D,20141017,000000,6.50481,6.50481,6.50481,6.50481,2216.973365706269,0
JWW,D,20141020,000000,6.55195,6.55195,6.55195,6.55195,5.3037640327901165,0
JWW,D,20141021,000000,6.31627,6.31627,5.79777,6.26914,159.1129209837035,0
