<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH,D,19970710,000000,7.68468,7.68468,7.68468,7.68468,7529594.807865117,0
KGH,D,19970711,000000,7.84839,7.84839,7.84839,7.84839,4762632.247322841,0
KGH,D,19970714,000000,7.06577,7.06577,7.06577,7.06577,1217787.894576303,0
KGH,D,19970715,000000,6.38032,6.38032,6.38032,6.38032,2544935.220216935,0
KGH,D,19970716,000000,6.99933,6.99933,6.99933,6.99933,1744965.7534227616,0
KGH,D,19970717,000000,7.13212,7.19394,7.13212,7.19394,2352000.8884158526,0
KGH,D,19970718,000000,7.03033,7.03033,6.8048,6.83572,817764.219580856,0
KGH,D,19970721,000000,7.03033,7.03033,6.96841,7.03033,1118973.8483479195,0
KGH,D,19970722,000000,7.03033,7.13212,7.03033,7.06577,725521.4382704305,0
KGH,D,19970723,000000,7.09659,7.09659,6.90207,6.96841,622138.2445011154,0
KGH,D,19970724,000000,7.03033,7.03033,6.96841,6.96841,758238.6115487467,0
KGH,D,19970725,000000,6.99933,6.99933,6.93298,6.93298,605177.3611406528,0
KGH,D,19970728,000000,6.87116,6.87116,6.76956,6.76956,630836.2399108525,0
KGH,D,19970729,000000,6.70754,6.87116,6.70754,6.8048,361051.9617991692,0
KGH,D,19970730,000000,6.8048,7.03033,6.8048,6.96841,402438.0540937801,0
KGH,D,19970731,000000,6.93298,6.93298,6.76956,6.8048,400164.90319216665,0
KGH,D,19970801,000000,6.8048,6.93298,6.8048,6.8048,298651.9445867647,0
KGH,D,19970804,000000,6.87116,6.93298,6.87116,6.90207,423569.3230279658,0
KGH,D,19970805,000000,6.93298,7.03033,6.93298,7.03033,626309.6685174614,0
KGH,D,19970806,000000,7.03033,7.03033,6.93298,6.96841,457838.96802757576,0
KGH,D,19970807,000000,6.99933,7.45905,6.99933,7.42381,572849.6038459388,0
KGH,D,19970808,000000,7.32665,7.84839,7.32665,7.65376,1133870.3077739796,0
KGH,D,19970811,000000,7.52126,7.52126,7.29573,7.32665,815041.42302351,0
KGH,D,19970812,000000,7.29573,7.52126,7.29573,7.42381,673906.6861398706,0
KGH,D,19970813,000000,7.52126,7.52126,7.52126,7.52126,903275.815809391,0
KGH,D,19970814,000000,7.2603,7.35755,7.22938,7.2603,391642.40458570624,0
KGH,D,19970818,000000,7.16294,7.16294,6.96841,7.03033,376546.564176042,0
KGH,D,19970819,000000,7.2603,7.52126,7.2603,7.39299,704424.4379428019,0
KGH,D,19970820,000000,7.45905,7.45905,7.32665,7.35755,690552.9213855828,0
KGH,D,19970821,000000,7.19394,7.19394,7.13212,7.13212,239296.64114481732,0
KGH,D,19970822,000000,7.09659,7.2603,7.09659,7.22938,229321.36130886525,0
KGH,D,19970825,000000,7.13212,7.22938,7.03033,7.03033,214781.08770247336,0
KGH,D,19970826,000000,7.03033,7.16294,7.03033,7.09659,250535.70565288607,0
KGH,D,19970827,000000,7.09659,7.16294,7.09659,7.13212,235478.28762027057,0
KGH,D,19970828,000000,7.29573,7.45905,7.29573,7.42381,937500.8077762146,0
KGH,D,19970829,000000,7.35755,7.35755,7.29573,7.32665,1003209.3031853028,0
KGH,D,19970901,000000,7.22938,7.29573,7.22938,7.22938,266740.6027838492,0
KGH,D,19970902,000000,7.35755,7.42381,7.35755,7.39299,620365.6229437586,0
KGH,D,19970903,000000,7.45905,7.62286,7.45905,7.58742,1186136.1634291222,0
KGH,D,19970904,000000,7.45905,7.45905,7.35755,7.39299,618039.5114683753,0
