<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPD,D,20030115,000000,8.98797,8.98797,8.98797,8.98797,111.10248690651748,0
KPD,D,20030116,000000,8.53889,8.53889,8.53889,8.53889,56.09057591397,0
KPD,D,20030117,000000,8.53889,8.53889,8.53889,8.53889,56.09057591397,0
KPD,D,20030224,000000,6.65137,6.65137,6.65137,6.65137,2853.0687171625123,0
KPD,D,20030225,000000,8.44905,8.44905,8.44905,8.44905,38.83193717121,0
KPD,D,20030226,000000,5.21321,5.21321,5.21321,5.21321,6050.231544258802,0
KPD,D,20030304,000000,5.21321,5.21321,4.49416,4.49416,13595.492669609188,0
KPD,D,20030305,000000,4.49416,4.49416,4.49416,4.49416,556.59109945401,0
KPD,D,20030310,000000,5.12337,5.12337,4.49416,4.49416,13907.226831900292,0
KPD,D,20030312,000000,4.49416,4.49416,4.49416,4.49416,1001.00104708008,0
KPD,D,20030317,000000,5.03345,5.03345,4.49416,4.49416,12238.532198459685,0
KPD,D,20030321,000000,4.49416,4.49416,4.49416,4.49416,3893.9803663352245,0
KPD,D,20030324,000000,4.85368,4.85368,4.49416,4.49416,10803.907852967759,0
KPD,D,20030325,000000,4.49416,4.49416,4.49416,4.49416,599.73769631091,0
KPD,D,20030326,000000,4.71889,4.71889,4.71889,4.71889,586.7937172538399,0
KPD,D,20030328,000000,4.71889,4.71889,4.71889,4.71889,1869.3263088251924,0
KPD,D,20030331,000000,4.49416,4.49416,4.49416,4.49416,739.964136095835,0
KPD,D,20030408,000000,4.94361,6.29185,4.94361,6.29185,1855.3036648466998,0
KPD,D,20030409,000000,7.72992,8.53889,5.39297,5.39297,2191.84712033052,0
KPD,D,20030410,000000,8.08945,8.08945,5.39297,5.39297,1446.4896596275723,0
KPD,D,20030417,000000,5.12337,5.12337,5.12337,5.12337,623.4683245822049,0
KPD,D,20030423,000000,6.29185,6.29185,6.29185,6.29185,111.10248690651748,0
KPD,D,20030424,000000,5.8424,6.20192,5.8424,6.20192,832.72931933817,0
KPD,D,20030425,000000,4.53913,4.53913,4.53913,4.53913,214.6543193630775,0
KPD,D,20030505,000000,4.49416,4.49416,4.49416,4.49416,102.47316753513749,0
