<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU,D,20110510,000000,32.65,34.3997,32.1085,34.2429,1129971.755649,0
KRU,D,20110511,000000,34.1592,34.1592,33.6667,33.6667,67308.728712833,0
KRU,D,20110512,000000,33.4138,34.0697,32.7001,33.661,93216.054994402,0
KRU,D,20110513,000000,33.331,33.3974,33.1685,33.2743,15157.225805971,0
KRU,D,20110516,000000,33.2897,33.5773,33.2339,33.4878,48488.775249653,0
KRU,D,20110517,000000,33.4138,33.4811,33.1685,33.1752,84609.736644595,0
KRU,D,20110518,000000,33.2483,33.356,33.1752,33.2483,9606.472765428,0
KRU,D,20110519,000000,33.2483,33.2993,32.3875,33.2897,28611.485985344,0
KRU,D,20110520,000000,33.3156,33.3156,33.0271,33.2483,26419.879428036,0
KRU,D,20110523,000000,33.2579,33.2579,33.0184,33.0858,48004.292965163,0
KRU,D,20110524,000000,32.8376,33.2483,32.5106,33.2483,50520.273927537,0
KRU,D,20110525,000000,33.1685,33.661,33.1685,33.661,11220.027498322,0
KRU,D,20110526,000000,33.4551,33.9889,33.4138,33.4138,40613.338972801,0
KRU,D,20110527,000000,33.1752,33.4955,33.1752,33.4551,12111.0174507,0
KRU,D,20110530,000000,33.2166,33.331,32.9223,32.929,18331.31253247,0
KRU,D,20110531,000000,32.8713,34.2198,32.8318,34.037,73626.751980745,0
KRU,D,20110601,000000,34.037,34.037,33.2483,33.9476,1859.9545213583,0
KRU,D,20110602,000000,33.9072,33.9072,33.2483,33.8168,7375.3590690418,0
KRU,D,20110603,000000,33.2897,33.7821,33.2483,33.2897,7072.8175566241,0
KRU,D,20110606,000000,33.1752,33.661,33.003,33.661,46574.758327451,0
KRU,D,20110607,000000,33.2483,33.661,33.2483,33.661,66054.896877865,0
KRU,D,20110608,000000,33.2483,33.661,33.2483,33.661,143821.58116942,0
KRU,D,20110609,000000,33.4955,33.4955,33.2483,33.2483,46053.887888546,0
KRU,D,20110610,000000,33.1685,33.2483,32.9223,33.2483,69213.388681043,0
KRU,D,20110613,000000,33.1685,33.331,33.1685,33.2897,26642.367000742,0
KRU,D,20110614,000000,32.8713,33.0935,32.8713,33.0935,70420.43574605,0
KRU,D,20110615,000000,32.8472,33.2483,32.8472,33.2339,14330.694869985,0
KRU,D,20110616,000000,31.3612,32.8799,31.3612,32.8376,20430.38921141,0
KRU,D,20110617,000000,32.7155,32.8376,32.3461,32.8376,51489.238496518,0
KRU,D,20110620,000000,31.6074,32.8376,31.6074,32.5923,118016.14172022,0
KRU,D,20110621,000000,32.4288,32.8376,32.4288,32.5923,137518.11316328,0
KRU,D,20110622,000000,32.4365,33.2406,32.4365,32.8376,3735.5039660371,0
