<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB,D,20140304,000000,2.30501,2.76609,2.30501,2.76609,1277.982367956324,0
LAB,D,20140305,000000,3.3193,3.96466,3.3193,3.52211,21178.437732726336,0
LAB,D,20140306,000000,3.65119,4.32424,3.65119,3.96466,6889.496188001368,0
LAB,D,20140307,000000,4.00152,4.00152,3.22697,3.77112,3832.910621818724,0
LAB,D,20140310,000000,3.51284,3.68805,3.41154,3.68805,2591.2051256210952,0
LAB,D,20140311,000000,3.50368,3.50368,3.50368,3.50368,237.35438950689232,0
LAB,D,20140312,000000,3.43923,3.47599,3.24559,3.47599,3033.7829610771782,0
LAB,D,20140313,000000,3.41154,3.66036,3.41154,3.66036,407.3374457476362,0
LAB,D,20140314,000000,3.56813,3.78028,3.56813,3.59591,959.7823785300536,0
LAB,D,20140317,000000,3.64194,3.64194,3.59591,3.59591,1334.9888807199882,0
LAB,D,20140318,000000,3.59591,3.60517,3.59591,3.60517,39.38631790944065,0
LAB,D,20140319,000000,3.56813,3.56813,3.56813,3.56813,3.109446150745314,0
LAB,D,20140320,000000,3.68805,4.04773,3.68805,4.04773,1226.158265443902,0
LAB,D,20140321,000000,4.0569,4.0569,3.64194,3.87243,770.1061633345895,0
LAB,D,20140324,000000,3.63267,3.67889,3.63267,3.67889,129.56025628105476,0
LAB,D,20140325,000000,3.725,3.90011,3.68805,3.78028,2270.9321720943276,0
LAB,D,20140326,000000,3.78028,3.78028,3.78028,3.78028,25.912051256210955,0
LAB,D,20140327,000000,3.78028,3.78028,3.78028,3.78028,15.547230753726572,0
LAB,D,20140328,000000,3.78028,3.87243,3.78028,3.87243,20.729641004968762,0
LAB,D,20140331,000000,3.78955,3.78955,3.78955,3.78955,16.58371280397501,0
LAB,D,20140401,000000,3.79872,4.10302,3.56813,4.10302,5258.073440910327,0
LAB,D,20140402,000000,3.99226,4.10302,3.99226,4.10302,3990.4558934564866,0
LAB,D,20140403,000000,4.32424,5.18176,4.25043,5.08952,2359.033146365445,0
LAB,D,20140404,000000,4.9696,6.09456,4.9696,6.09456,2416.039659129109,0
LAB,D,20140407,000000,6.44488,6.44488,5.16324,5.80878,1860.4852801959464,0
LAB,D,20140408,000000,5.90092,5.99315,5.36623,5.36623,404.22799959689087,0
LAB,D,20140410,000000,5.59662,6.25124,5.53217,5.53217,1574.4162343273774,0
LAB,D,20140411,000000,5.39373,5.39373,5.35696,5.35696,54.933548663167215,0
LAB,D,20140414,000000,5.34761,5.5506,4.79449,5.5506,1621.0579265885572,0
LAB,D,20140415,000000,5.98399,5.98399,5.48606,5.48606,32.13094355770158,0
LAB,D,20140416,000000,5.62441,5.71655,5.62441,5.71655,317.16350737602204,0
LAB,D,20140417,000000,5.82711,6.44488,5.82711,6.44488,514.0950969232252,0
LAB,D,20140422,000000,6.42645,6.42645,5.7534,5.7534,1503.9354549104837,0
LAB,D,20140423,000000,5.71655,5.79026,5.30158,5.79026,1699.8305624074383,0
LAB,D,20140424,000000,5.53217,6.07613,5.30158,6.07613,1979.6807159745167,0
LAB,D,20140425,000000,6.06687,6.06687,6.06687,6.06687,10.364820502484381,0
LAB,D,20140428,000000,5.93777,5.93777,5.93777,5.93777,10.364820502484381,0
LAB,D,20140429,000000,5.54134,5.54134,5.54134,5.54134,15.547230753726572,0
LAB,D,20140430,000000,5.781,5.781,5.781,5.781,10.364820502484381,0
LAB,D,20140502,000000,5.781,5.781,5.781,5.781,10.364820502484381,0
LAB,D,20140505,000000,5.781,5.781,5.781,5.781,10.364820502484381,0
LAB,D,20140506,000000,5.781,5.781,5.781,5.781,10.364820502484381,0
