<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN,D,20050601,000000,3.25624,3.25624,3.04874,3.11108,433706.31291424856,0
LEN,D,20050602,000000,3.25624,3.46365,3.23568,3.42215,211496.08689893733,0
LEN,D,20050603,000000,3.50516,3.50516,3.21484,3.33933,122280.62912979643,0
LEN,D,20050606,000000,3.3599,3.3599,3.27709,3.33933,58720.11837951876,0
LEN,D,20050607,000000,3.3184,3.3184,3.29774,3.3184,10450.650015544516,0
LEN,D,20050608,000000,3.3599,3.38066,3.3184,3.3599,40089.37874815459,0
LEN,D,20050609,000000,3.3184,3.46365,3.29774,3.46365,65242.28686296972,0
LEN,D,20050610,000000,3.46365,3.77482,3.46365,3.60891,148460.3857157365,0
LEN,D,20050613,000000,3.62957,3.62957,3.54656,3.60891,42834.870119742125,0
LEN,D,20050614,000000,3.56741,3.58806,3.4845,3.4845,39410.59612626862,0
LEN,D,20050615,000000,3.4845,3.56741,3.44299,3.54656,44213.03739197216,0
LEN,D,20050616,000000,3.54656,3.58806,3.44299,3.52591,112864.41780638775,0
LEN,D,20050617,000000,3.4845,3.54656,3.4845,3.54656,8608.39494432537,0
LEN,D,20050620,000000,3.46365,3.52591,3.46365,3.52591,163.73191039087178,0
LEN,D,20050621,000000,3.46365,3.4845,3.42215,3.4845,6912.522706899387,0
LEN,D,20050622,000000,3.3599,3.4845,3.29774,3.46365,53853.70239386075,0
LEN,D,20050623,000000,3.33933,3.46365,3.3184,3.46365,53750.69225156185,0
LEN,D,20050627,000000,3.38066,3.44299,3.38066,3.44299,10527.636542946848,0
LEN,D,20050628,000000,3.42215,3.42215,3.42215,3.42215,841.4302149888509,0
LEN,D,20050629,000000,3.33933,3.3599,3.3184,3.3599,9996.321072142031,0
LEN,D,20050630,000000,3.38066,3.4014,3.38066,3.4014,3831.9772935188134,0
LEN,D,20050701,000000,3.3599,3.38066,3.3599,3.38066,12056.52391812031,0
LEN,D,20050704,000000,3.4014,3.4014,3.4014,3.4014,723.2396306669633,0
LEN,D,20050706,000000,3.3599,3.38066,3.3599,3.38066,5978.92552248521,0
LEN,D,20050707,000000,3.38066,3.4014,3.3184,3.4014,29534.6342730234,0
LEN,D,20050708,000000,3.3184,3.4014,3.3184,3.4014,22951.74402148089,0
LEN,D,20050711,000000,3.4014,3.4014,3.4014,3.4014,2150.2011808284683,0
LEN,D,20050712,000000,3.33933,3.33933,3.33933,3.33933,1184.074477793589,0
LEN,D,20050713,000000,3.3599,3.3599,3.33933,3.3599,16902.33787531707,0
LEN,D,20050714,000000,3.3599,3.3599,3.3599,3.3599,239.63412050584543,0
LEN,D,20050715,000000,3.3599,3.3599,3.3599,3.3599,1243.7119285982114,0
LEN,D,20050718,000000,3.38066,3.4014,3.3599,3.3599,10018.007417889166,0
LEN,D,20050719,000000,3.3599,3.38066,3.3599,3.38066,13952.994853706661,0
LEN,D,20050720,000000,3.4014,3.52591,3.4014,3.52591,102653.40191135203,0
LEN,D,20050721,000000,3.4845,3.52591,3.46365,3.52591,4270.0414776109465,0
LEN,D,20050722,000000,3.50516,3.50516,3.4845,3.50516,12933.7366035913,0
LEN,D,20050725,000000,3.54656,3.54656,3.54656,3.54656,9402.115198670523,0
LEN,D,20050726,000000,3.54656,3.54656,3.4845,3.4845,11016.66363954475,0
LEN,D,20050727,000000,3.4845,3.4845,3.46365,3.4845,8462.012110532207,0
LEN,D,20050728,000000,3.50516,3.50516,3.42215,3.42215,3919.806993794711,0
LEN,D,20050729,000000,3.42215,3.44299,3.42215,3.44299,301.4402058851811,0
LEN,D,20050801,000000,3.52591,3.62957,3.42215,3.60891,57571.82637220753,0
LEN,D,20050802,000000,3.60891,3.60891,3.60891,3.60891,1566.8384802305277,0
LEN,D,20050803,000000,3.60891,3.60891,3.52591,3.56741,7817.927641842287,0
LEN,D,20050804,000000,3.4845,3.71257,3.4845,3.71257,50811.108085538086,0
LEN,D,20050805,000000,3.62957,3.71257,3.60891,3.67106,38595.18952617717,0
LEN,D,20050808,000000,3.67106,3.79548,3.67106,3.67106,16736.43733035169,0
LEN,D,20050810,000000,3.69172,3.69172,3.65041,3.65041,1036.607326713069,0
LEN,D,20050812,000000,3.46365,3.58806,3.46365,3.50516,4821.958976875541,0
LEN,D,20050816,000000,3.42215,3.42215,3.42215,3.42215,1142.870420874032,0
LEN,D,20050817,000000,3.4845,3.52591,3.42215,3.52591,5906.276264232308,0
LEN,D,20050818,000000,3.52591,3.52591,3.52591,3.52591,1397.6849834028721,0
LEN,D,20050819,000000,3.50516,3.52591,3.4014,3.4845,5688.328489473598,0
LEN,D,20050822,000000,3.42215,3.42215,3.42215,3.42215,602.8804117703622,0
LEN,D,20050823,000000,3.42215,3.42215,3.42215,3.42215,255655.99274383282,0
LEN,D,20050824,000000,3.4014,3.42215,3.4014,3.42215,59839.1338200701,0
LEN,D,20050825,000000,3.42215,3.42215,3.42215,3.42215,8556.347714532245,0
LEN,D,20050826,000000,3.4014,3.4014,3.4014,3.4014,52.04722979312479,0
LEN,D,20050829,000000,3.4014,3.4014,3.3184,3.33933,12693.018165797888,0
LEN,D,20050830,000000,3.4014,3.58806,3.4014,3.58806,15669.469119592211,0
LEN,D,20050831,000000,3.60891,3.60891,3.54656,3.58806,9260.069634026788,0
LEN,D,20050901,000000,3.4845,3.52591,3.4845,3.52591,400.1130790346469,0
LEN,D,20050902,000000,3.50516,3.50516,3.50516,3.50516,359.9933394024465,0
LEN,D,20050906,000000,3.52591,3.52591,3.52591,3.52591,3303.914774576068,0
LEN,D,20050907,000000,3.42215,3.52591,3.4014,3.4845,1754.4253709432483,0
LEN,D,20050908,000000,3.4845,3.52591,3.44299,3.52591,745660.0592176362,0
LEN,D,20050909,000000,3.46365,3.46365,3.3184,3.3184,4661.48001834674,0
LEN,D,20050912,000000,3.44299,3.44299,3.3184,3.3184,1732.739025196113,0
LEN,D,20050913,000000,3.33933,3.33933,3.33933,3.33933,1200.3392371039406,0
LEN,D,20050916,000000,3.33933,3.33933,3.3184,3.3184,3736.557372231418,0
LEN,D,20050919,000000,3.3184,3.33933,3.3184,3.33933,3637.884499081952,0
LEN,D,20050920,000000,3.33933,3.33933,3.13183,3.29774,35461.51256571612,0
LEN,D,20050921,000000,3.3184,3.3184,3.3184,3.3184,3172.7123828058993,0
LEN,D,20050923,000000,3.17333,3.3184,3.15249,3.3184,5305.56448703666,0
LEN,D,20050926,000000,3.3599,3.3599,3.3599,3.3599,484.68982744847466,0
LEN,D,20050927,000000,3.33933,3.65041,3.33933,3.46365,19802.886618996417,0
LEN,D,20050928,000000,3.62957,3.62957,3.58806,3.58806,2833.321071863231,0
LEN,D,20050929,000000,3.38066,3.44299,3.3184,3.38066,15747.539964282108,0
LEN,D,20050930,000000,3.42215,3.52591,3.4014,3.52591,12537.960793706081,0
LEN,D,20051003,000000,3.4014,3.4014,3.38066,3.4014,7103.362549474178,0
LEN,D,20051004,000000,3.4014,3.4014,3.3599,3.4014,2672.8421133344295,0
LEN,D,20051005,000000,3.33933,3.38066,3.33933,3.38066,1430.214502023575,0
LEN,D,20051006,000000,3.33933,3.33933,3.27709,3.29774,10907.147593522137,0
LEN,D,20051007,000000,3.25624,3.25624,3.25624,3.25624,1205.7608235407245,0
LEN,D,20051010,000000,3.23568,3.29774,3.23568,3.29774,611.5549500692164,0
LEN,D,20051011,000000,3.23568,3.23568,3.23568,3.23568,10078.729185981145,0
