<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD,D,20151215,000000,6.24866,7.7888,6.24866,7.7888,1745.942192236,0
LKD,D,20151217,000000,7.6075,7.6075,7.6075,7.6075,159.83118601182,0
LKD,D,20151218,000000,7.71413,7.71413,7.71413,7.71413,7.3205123364191,0
LKD,D,20151221,000000,6.87189,7.2772,6.87189,7.2772,209.85468697735,0
LKD,D,20151222,000000,6.87189,7.35866,6.8596,7.35866,1944.8161107087,0
LKD,D,20151223,000000,7.48341,7.48341,7.48341,7.48341,480.71364342485,0
LKD,D,20151228,000000,7.48341,7.48341,7.48341,7.48341,2181.5126762529,0
LKD,D,20151229,000000,7.48341,7.48341,7.48341,7.48341,4810.7966904168,0
LKD,D,20151230,000000,7.48341,7.79454,6.8596,7.79454,12011.740658674,0
LKD,D,20160113,000000,7.6075,7.6075,7.6075,7.6075,1.2200853894032,0
LKD,D,20160120,000000,6.2362,6.26694,6.2362,6.26694,836.97857713058,0
LKD,D,20160121,000000,6.2362,6.82845,6.2362,6.82845,178.13246685286,0
LKD,D,20160127,000000,6.8596,6.8596,6.2362,6.8596,497.7948388765,0
LKD,D,20160129,000000,7.5144,7.5144,7.5144,7.5144,159.83118601182,0
LKD,D,20160203,000000,7.48341,7.48341,7.48341,7.48341,136.64956361316,0
LKD,D,20160212,000000,6.8596,7.35866,6.8596,7.35866,254.99784638527,0
LKD,D,20160216,000000,7.35866,7.35866,7.35866,7.35866,400.18800772424,0
LKD,D,20160224,000000,6.8596,6.8596,6.2362,6.2362,244.01707788064,0
LKD,D,20160225,000000,6.8596,6.8596,6.8596,6.8596,801.59610083789,0
LKD,D,20160229,000000,6.8596,6.8596,6.8596,6.8596,159.83118601182,0
LKD,D,20160304,000000,6.73478,6.73478,6.73478,6.73478,202.53417464093,0
LKD,D,20160309,000000,6.73478,6.73478,6.73478,6.73478,159.83118601182,0
LKD,D,20160310,000000,6.73478,6.76576,6.73478,6.73478,683.24781806578,0
LKD,D,20160311,000000,6.73478,6.73478,6.73478,6.73478,640.54482943667,0
LKD,D,20160316,000000,6.73478,7.17114,6.73478,7.17114,339.18373825408,0
LKD,D,20160317,000000,7.48341,7.54545,7.48341,7.48341,160845.07697041,0
LKD,D,20160318,000000,7.35866,7.5144,7.35866,7.5144,1163.9614614906,0
LKD,D,20160321,000000,7.55767,8.04452,7.55767,8.01255,6615.3029813441,0
LKD,D,20160322,000000,7.85109,7.85109,7.85109,7.85109,84.18589186882,0
LKD,D,20160323,000000,7.73191,7.73191,7.73191,7.73191,26.84187856687,0
LKD,D,20160329,000000,7.72626,7.72626,7.71979,7.71979,512.43586354934,0
LKD,D,20160330,000000,7.7634,7.7634,7.7634,7.7634,7.3205123364191,0
LKD,D,20160331,000000,7.7634,7.7634,7.7634,7.7634,78.085464921804,0
LKD,D,20160401,000000,7.85682,7.85682,7.85682,7.85682,512.43586354934,0
LKD,D,20160405,000000,7.85109,7.85682,7.85109,7.85109,1052.9336910549,0
LKD,D,20160406,000000,7.82568,7.85109,7.82568,7.85109,730.83114825251,0
LKD,D,20160407,000000,7.79454,7.85109,7.79454,7.85109,32080.925228967,0
LKD,D,20160411,000000,7.85682,7.85682,7.85682,7.85682,162.27135679062,0
LKD,D,20160412,000000,7.85682,7.85682,7.85682,7.85682,272.07904183691,0
LKD,D,20160413,000000,7.86338,8.01255,7.86338,8.01255,1924.0746590888,0
LKD,D,20160414,000000,7.95026,7.95026,7.95026,7.95026,35.382476292692,0
LKD,D,20160415,000000,7.95026,8.01255,7.90764,8.01255,13093.956399075,0
LKD,D,20160418,000000,7.9937,8.22238,7.9937,8.18959,6240.7367667973,0
LKD,D,20160419,000000,8.22238,8.22238,7.9937,8.22238,4445.9911589852,0
LKD,D,20160422,000000,8.12402,8.12402,8.12402,8.12402,381.8867268832,0
LKD,D,20160425,000000,8.05845,8.05845,8.05845,8.05845,305.0213473508,0
