<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP,D,20010516,000000,37.8724,37.8724,34.8212,37.5593,4381.5844217363,0
LPP,D,20010517,000000,36.3861,37.4817,35.9953,37.4817,2681.7949573469,0
LPP,D,20010518,000000,36.0729,36.7768,36.0729,36.7768,12.836673110556,0
LPP,D,20010524,000000,37.5593,37.5593,37.5593,37.5593,5.3486137960648,0
LPP,D,20010525,000000,37.8724,37.8724,37.8724,37.8724,305.94070913491,0
LPP,D,20010529,000000,37.7949,37.7949,37.7949,37.7949,254.59401669269,0
LPP,D,20010530,000000,37.6368,37.6368,37.6368,37.6368,254.59401669269,0
LPP,D,20010531,000000,37.6368,37.6368,37.6368,37.6368,127.29700834634,0
LPP,D,20010601,000000,37.247,37.247,37.247,37.247,254.59401669269,0
LPP,D,20010604,000000,37.1695,37.1695,36.7768,36.7768,2173.6766467207,0
LPP,D,20010605,000000,37.6368,37.6368,36.7768,36.7768,435.37716299968,0
LPP,D,20010606,000000,37.5593,37.6368,36.7768,37.6368,314.49849120861,0
LPP,D,20010607,000000,37.6368,37.6368,37.6368,37.6368,511.3274789038,0
LPP,D,20010608,000000,37.7949,37.7949,37.7949,37.7949,127.29700834634,0
LPP,D,20010611,000000,37.7949,37.7949,37.7949,37.7949,62.043920034352,0
LPP,D,20010612,000000,36.3861,37.8724,36.3861,37.8724,317.70765948625,0
LPP,D,20010615,000000,37.7163,37.9519,37.5593,37.9519,4047.8309208619,0
LPP,D,20010618,000000,37.9519,37.9519,37.9519,37.9519,191.48037389912,0
LPP,D,20010621,000000,37.1695,37.1695,37.1695,37.1695,254.59401669269,0
LPP,D,20010622,000000,37.5593,37.5593,37.5593,37.5593,448.21383611023,0
LPP,D,20010625,000000,37.6368,37.6368,37.5593,37.5593,254.59401669269,0
LPP,D,20010626,000000,37.5593,37.5593,37.1695,37.1695,485.65413268269,0
LPP,D,20010628,000000,38.3436,38.3436,37.5593,37.8724,766.99121835569,0
LPP,D,20010629,000000,38.3436,38.3436,38.3436,38.3436,882.52127635069,0
LPP,D,20010702,000000,37.6368,37.6368,37.6368,37.6368,489.93302371954,0
LPP,D,20010703,000000,37.8724,38.2642,37.8724,37.8724,854.70848461116,0
LPP,D,20010704,000000,37.9519,38.1071,37.9519,38.0286,894.28822670204,0
LPP,D,20010705,000000,37.9519,37.9519,37.9519,37.9519,450.35328162866,0
LPP,D,20010706,000000,38.1856,38.3436,38.1856,38.3436,549.83749823546,0
LPP,D,20010709,000000,38.4202,38.4202,38.4202,38.4202,384.03047055745,0
LPP,D,20010710,000000,38.3436,38.4202,38.3436,38.3436,614.02086378824,0
LPP,D,20010711,000000,38.3436,38.3436,38.3436,38.3436,853.63876185194,0
LPP,D,20010712,000000,38.3436,38.4988,38.3436,38.4988,1879.5028879372,0
LPP,D,20010713,000000,38.3436,38.3436,38.3436,38.3436,62.043920034352,0
LPP,D,20010716,000000,38.5783,38.5783,38.5783,38.5783,369.05435192847,0
LPP,D,20010717,000000,38.4202,38.5783,38.4202,38.5783,996.98161158648,0
LPP,D,20010718,000000,38.7325,38.8119,38.7325,38.8119,1099.6749964709,0
LPP,D,20010719,000000,38.8119,39.0466,38.8119,39.0466,3132.1482389756,0
LPP,D,20010720,000000,39.1251,39.1251,39.1251,39.1251,274.91874911773,0
LPP,D,20010723,000000,39.9066,40.0627,39.9066,40.0627,492.07246923796,0
LPP,D,20010724,000000,39.5158,40.2983,39.5158,40.2983,894.28822670204,0
LPP,D,20010725,000000,40.689,40.689,40.689,40.689,62.043920034352,0
LPP,D,20010727,000000,40.6124,40.6124,40.6124,40.6124,10.69722759213,0
LPP,D,20010730,000000,40.2983,40.689,40.2983,40.689,538.07054788412,0
LPP,D,20010731,000000,40.3769,40.3769,40.3769,40.3769,10.69722759213,0
LPP,D,20010801,000000,40.3769,40.3769,40.3769,40.3769,10.69722759213,0
LPP,D,20010802,000000,41.0816,41.0816,39.1251,41.0816,560.53472582759,0
LPP,D,20010803,000000,40.689,41.0816,40.689,41.0816,242.82706634134,0
LPP,D,20010806,000000,41.0023,41.0023,41.0023,41.0023,180.78314630699,0
LPP,D,20010807,000000,40.2983,40.2983,40.2983,40.2983,10.69722759213,0
LPP,D,20010808,000000,39.1251,40.2198,38.8904,38.8904,945.63491914426,0
LPP,D,20010809,000000,40.2983,40.5348,40.2983,40.5348,560.53472582759,0
LPP,D,20010810,000000,39.9066,39.9066,39.9066,39.9066,254.59401669269,0
LPP,D,20010813,000000,39.9066,39.9066,39.8281,39.8281,511.3274789038,0
LPP,D,20010814,000000,40.2198,40.2198,40.1413,40.1413,130.50617662398,0
LPP,D,20010816,000000,40.0627,40.0627,40.0627,40.0627,254.59401669269,0
LPP,D,20010817,000000,39.9066,39.9861,39.9066,39.9861,307.01043189412,0
