<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSI,D,20061221,000000,10.0391,10.6416,9.80321,10.1708,330387.31707724,0
LSI,D,20061222,000000,10.2553,10.2553,9.55749,9.55749,103613.19860755,0
LSI,D,20061227,000000,9.6145,10.0666,9.6145,9.96342,16387.6097563,0
LSI,D,20061228,000000,10.0106,10.0106,9.66168,9.7177,17149.658536797,0
LSI,D,20061229,000000,9.95359,9.95359,9.69018,9.78454,17978.857143079,0
LSI,D,20070102,000000,9.80321,10.1708,9.75603,9.89757,9840.5017422816,0
LSI,D,20070103,000000,10.0391,10.0391,9.75603,9.89757,11854.996515826,0
LSI,D,20070104,000000,9.84056,10.0293,9.63317,9.96342,18627.972125665,0
LSI,D,20070105,000000,9.89757,9.89757,9.70886,9.88774,14913.365853842,0
LSI,D,20070108,000000,9.63317,9.78454,9.63317,9.69018,8039.6655053256,0
LSI,D,20070109,000000,9.63317,9.78454,9.62433,9.70886,7600.139372916,0
LSI,D,20070110,000000,9.63317,9.85039,9.63317,9.69018,7929.7839722232,0
LSI,D,20070111,000000,9.66168,9.80321,9.6145,9.75603,6282.57839729,0
LSI,D,20070112,000000,9.76488,10.0391,9.76488,9.99192,22813.644599584,0
LSI,D,20070115,000000,10.0391,10.0853,9.80321,9.96342,9391.8188154468,0
LSI,D,20070116,000000,10.0008,10.6328,9.72753,10.3123,40655.149826285,0
LSI,D,20070117,000000,10.4726,10.4726,10.2465,10.3595,27647.414634487,0
LSI,D,20070118,000000,10.3684,10.8303,10.3684,10.736,66640.097561797,0
LSI,D,20070119,000000,10.6986,10.8215,10.3684,10.5472,24509.686411452,0
LSI,D,20070122,000000,10.6888,10.8215,10.274,10.5571,34067.344948155,0
LSI,D,20070123,000000,10.5669,10.6986,10.3684,10.5099,13661.937282398,0
LSI,D,20070124,000000,10.3212,10.4529,10.0853,10.4529,9299.233449592,0
LSI,D,20070125,000000,10.218,10.3684,10.1325,10.3212,12547.860627332,0
LSI,D,20070126,000000,10.1325,10.3684,10.1325,10.3684,9565.7979095256,0
LSI,D,20070129,000000,10.4529,10.4814,10.2838,10.3684,5405.5609756764,0
LSI,D,20070130,000000,10.3212,10.4155,9.99192,10.1797,20179.540069935,0
LSI,D,20070131,000000,10.2268,10.2268,10.1797,10.1797,2242.3972125712,0
LSI,D,20070201,000000,10.331,10.4726,10.2838,10.2838,22302.898954979,0
LSI,D,20070202,000000,10.3212,10.4529,10.2367,10.387,15582.829268485,0
LSI,D,20070205,000000,10.3684,10.387,10.274,10.3212,5611.080139442,0
LSI,D,20070206,000000,10.3212,10.3212,10.1325,10.1797,9895.4425088328,0
LSI,D,20070207,000000,10.1797,10.3684,10.1325,10.3399,4731.01045302,0
LSI,D,20070208,000000,10.1797,10.274,10.1521,10.218,12879.540069845,0
LSI,D,20070209,000000,10.3123,10.3212,10.1797,10.3212,5173.588850238,0
LSI,D,20070212,000000,10.3212,10.3212,10.1325,10.1423,2597.4773519484,0
LSI,D,20070213,000000,10.2268,10.3123,10.1423,10.3123,2238.32752616,0
LSI,D,20070214,000000,10.274,10.4627,10.274,10.444,12070.689895619,0
LSI,D,20070215,000000,10.4814,10.6514,10.444,10.5099,19900.766550768,0
LSI,D,20070216,000000,10.5758,11.0279,10.5001,11.0279,59421.491289931,0
LSI,D,20070219,000000,11.1222,11.2638,10.849,11.0377,31945.003484714,0
LSI,D,20070220,000000,11.0279,11.0279,10.7458,10.9345,10358.369338107,0
LSI,D,20070221,000000,10.9345,10.9345,10.4814,10.6986,19551.790941008,0
LSI,D,20070222,000000,10.5571,10.8873,10.5571,10.8401,9898.4947736412,0
LSI,D,20070223,000000,10.6514,10.7458,10.4155,10.6888,18363.442508937,0
LSI,D,20070226,000000,10.3684,10.7173,10.3212,10.6416,14179.804878224,0
LSI,D,20070227,000000,10.4155,10.6043,9.80321,10.2927,16494.439024594,0
LSI,D,20070228,000000,9.75603,10.1708,9.75603,10.0666,15686.60627197,0
LSI,D,20070301,000000,10.274,10.274,9.94475,10.0853,15462.773519354,0
LSI,D,20070302,000000,9.89757,10.161,9.79338,9.82189,31839.191638023,0
LSI,D,20070305,000000,9.63317,9.63317,9.03008,9.15255,19486.675958428,0
