<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWB,D,20090625,000000,39.837,41.4345,39.1277,40.8307,4762624.058919054,0
LWB,D,20090626,000000,41.15,43.3156,41.15,41.6832,625108.0960173672,0
LWB,D,20090629,000000,42.4291,42.5356,41.6832,42.2511,118912.96906819622,0
LWB,D,20090630,000000,42.6062,43.6358,42.6062,43.2807,258383.3793310259,0
LWB,D,20090701,000000,42.676,43.5294,42.676,43.21,78626.51086455164,0
LWB,D,20090702,000000,43.3156,43.3156,41.541,41.8254,196620.49925719923,0
LWB,D,20090703,000000,41.1151,41.6832,40.8307,41.1859,49258.25859449368,0
LWB,D,20090706,000000,40.8307,41.753,39.4818,41.3639,93987.57471131388,0
LWB,D,20090707,000000,41.15,41.2574,40.7601,41.1859,176399.57045105743,0
LWB,D,20090708,000000,40.7601,41.0088,39.9085,40.6885,14096.626931864976,0
LWB,D,20090709,000000,40.5105,41.1859,40.4756,40.8307,198356.72430479908,0
LWB,D,20090710,000000,40.8665,41.1859,40.7601,40.8307,128290.59669167815,0
LWB,D,20090713,000000,39.7654,40.8307,39.7654,40.4756,8173.56170186889,0
LWB,D,20090714,000000,40.7601,41.8961,40.6178,41.8961,23356.866512849796,0
LWB,D,20090715,000000,41.8961,42.9962,41.8961,42.9623,40407.200190213014,0
LWB,D,20090716,000000,42.6062,43.3156,42.6062,42.9623,85329.92708181412,0
LWB,D,20090717,000000,42.9623,43.3156,42.676,43.0311,22139.384814951394,0
LWB,D,20090720,000000,42.9623,43.6,42.3209,43.6,46199.46160142662,0
LWB,D,20090721,000000,43.3156,43.8478,42.6429,43.6358,21372.4496039704,0
LWB,D,20090722,000000,42.6429,43.6,42.6429,43.3871,122534.11068389221,0
LWB,D,20090723,000000,43.3156,44.8791,42.9623,44.558,48773.054685505704,0
LWB,D,20090724,000000,44.8791,48.6422,44.5938,47.5062,66110.70957164752,0
LWB,D,20090727,000000,48.4292,49.6725,46.9015,47.9319,89966.19576977067,0
LWB,D,20090728,000000,48.287,48.287,47.2933,47.5062,84843.60519146903,0
LWB,D,20090729,000000,47.0786,48.287,46.8675,48.287,68665.29697265565,0
LWB,D,20090730,000000,48.3219,48.6063,48.287,48.5348,45430.290427731394,0
LWB,D,20090731,000000,48.9615,48.9973,48.6063,48.9973,89897.99890698663,0
LWB,D,20090803,000000,49.1385,49.5652,48.287,48.6422,56077.944872896114,0
LWB,D,20090804,000000,49.0679,49.0679,47.2566,47.9677,37790.00583320643,0
LWB,D,20090805,000000,47.6493,47.9677,47.5768,47.5768,35689.31886318706,0
LWB,D,20090806,000000,47.6493,47.7182,47.2933,47.7182,54687.17606464487,0
LWB,D,20090807,000000,47.2933,49.423,47.2933,49.3523,12832.190016967737,0
LWB,D,20090810,000000,49.3523,49.7074,48.4999,49.7074,23804.059055695856,0
LWB,D,20090811,000000,49.3523,50.7718,49.3523,49.7074,27699.10610388505,0
LWB,D,20090812,000000,49.3523,49.3523,48.2155,49.3523,29257.572115703577,0
LWB,D,20090813,000000,49.3523,51.8014,49.3523,51.4821,52993.43430861541,0
LWB,D,20090814,000000,51.8372,51.8372,51.1985,51.1985,19190.149994881616,0
LWB,D,20090817,000000,50.3461,50.3461,49.423,49.7074,17345.480755641613,0
LWB,D,20090818,000000,49.7074,49.7074,48.9973,49.4937,35187.34523384235,0
LWB,D,20090819,000000,50.6306,50.6306,49.2808,50.4168,2816.1950385730725,0
LWB,D,20090820,000000,50.4168,51.1269,50.4168,51.1269,5335.0070361535145,0
LWB,D,20090821,000000,51.4821,51.8372,50.6306,51.8372,53427.211075176085,0
LWB,D,20090824,000000,51.8372,51.8372,50.9848,51.1269,28487.282960651235,0
LWB,D,20090825,000000,51.7656,51.7656,49.5992,49.9203,53622.85781267124,0
LWB,D,20090826,000000,49.9203,50.7718,49.5652,49.6368,13537.636253307399,0
LWB,D,20090827,000000,49.5652,49.7074,48.8193,49.7074,124044.50349735479,0
LWB,D,20090828,000000,49.7074,50.7718,49.7074,50.2745,20915.1952289103,0
LWB,D,20090831,000000,50.2745,50.6306,49.5652,50.6306,6577.084323908451,0
LWB,D,20090901,000000,50.4168,50.9848,48.3577,49.5652,10170.276405676555,0
LWB,D,20090902,000000,48.3577,48.3577,46.8675,47.9319,27969.65759230692,0
LWB,D,20090903,000000,47.2933,48.9973,47.2933,48.9266,5930.8910994958915,0
LWB,D,20090904,000000,48.9266,49.7074,47.7182,48.9973,44393.92170968565,0
LWB,D,20090907,000000,48.1449,48.9973,48.1449,48.3577,18242.101804047965,0
LWB,D,20090908,000000,49.6368,49.6368,47.2217,47.5411,72340.10169349315,0
LWB,D,20090909,000000,47.5411,47.5411,46.5124,46.8675,53474.16629217493,0
LWB,D,20090910,000000,46.9015,47.9319,44.8075,45.5884,49725.57480176781,0
LWB,D,20090911,000000,46.1573,46.8675,45.8013,46.8675,20535.081567491146,0
LWB,D,20090914,000000,46.6538,46.6538,45.0195,45.2342,44965.21018317149,0
LWB,D,20090915,000000,45.5168,46.5124,45.5168,45.8013,31230.809211011823,0
LWB,D,20090916,000000,46.5124,47.0089,46.1573,47.0089,14444.319133927787,0
LWB,D,20090917,000000,47.2566,48.9266,47.2566,48.7834,24138.335481473285,0
LWB,D,20090918,000000,48.3219,49.5652,48.287,49.5652,13356.523273454744,0
LWB,D,20090921,000000,48.9973,50.7718,48.9973,50.4883,23484.316387560924,0
LWB,D,20090922,000000,49.7781,52.1931,49.7781,52.1931,156240.130619557,0
LWB,D,20090923,000000,51.8372,52.4767,50.7718,52.1931,14340.34686771608,0
LWB,D,20090924,000000,51.304,52.5465,51.304,52.4767,22231.059286234835,0
LWB,D,20090925,000000,51.8372,52.1931,51.2334,52.1931,9540.852901620723,0
LWB,D,20090928,000000,51.3399,52.228,51.3399,52.228,15779.188874323283,0
LWB,D,20090929,000000,52.228,52.228,51.8372,52.1931,69944.26764519537,0
LWB,D,20090930,000000,51.3765,52.4061,51.3399,52.3345,13931.165691011933,0
LWB,D,20091001,000000,52.3345,52.4061,51.5187,51.8738,8108.718783156211,0
LWB,D,20091002,000000,51.4821,52.3345,51.1269,52.3345,12207.238438340364,0
LWB,D,20091005,000000,51.8372,53.2218,51.7656,52.4767,38184.65325226808,0
LWB,D,20091006,000000,52.9025,53.2576,52.4767,53.2218,11443.657171430716,0
LWB,D,20091007,000000,53.2576,53.2576,51.3399,52.9025,4742.476916882482,0
LWB,D,20091008,000000,52.5465,52.7961,51.5536,52.7602,6432.8647288405955,0
LWB,D,20091009,000000,52.8318,54.1101,52.1931,53.2576,25377.05882515688,0
LWB,D,20091012,000000,53.542,55.0331,52.5465,55.0331,28916.587801783455,0
LWB,D,20091013,000000,55.246,55.246,53.3283,54.0036,13366.58510566878,0
LWB,D,20091014,000000,54.3229,54.3229,53.8971,54.3229,164268.35474500092,0
LWB,D,20091015,000000,54.6064,54.6064,53.2934,54.0742,51395.83894929786,0
LWB,D,20091016,000000,53.755,53.9678,53.2934,53.6127,5032.034088375308,0
LWB,D,20091019,000000,53.8971,53.8971,51.8372,52.9025,6097.47032170605,0
LWB,D,20091020,000000,52.4767,52.9025,50.915,52.3345,23174.635551640025,0
LWB,D,20091021,000000,52.1931,52.5465,50.9848,52.5465,9650.415074618008,0
LWB,D,20091022,000000,51.1269,52.9025,51.1269,52.9025,64850.74458217873,0
LWB,D,20091023,000000,52.5465,52.5465,52.1931,52.5465,20934.200911981257,0
LWB,D,20091026,000000,51.8738,53.2576,51.8372,53.2576,2966.0045404265034,0
LWB,D,20091027,000000,52.5465,52.5465,52.0509,52.4767,4058.2723263280086,0
LWB,D,20091028,000000,53.6127,54.3229,52.2629,52.5465,16559.53986158966,0
LWB,D,20091029,000000,52.5465,53.4696,52.1931,53.4696,12700.268216828148,0
LWB,D,20091030,000000,53.6127,53.6127,52.9025,53.6127,16162.65647981378,0
LWB,D,20091102,000000,53.5769,53.9678,53.4007,53.9678,2869.8581437146004,0
LWB,D,20091103,000000,53.9678,53.9678,53.2576,53.5769,2724.5205672896304,0
LWB,D,20091104,000000,53.5769,53.5769,52.8676,52.9025,4921.353934020907,0
LWB,D,20091105,000000,52.5465,52.8676,52.3703,52.5465,8088.595118728138,0
LWB,D,20091106,000000,52.5465,53.2576,51.8372,51.8372,12518.03725561838,0
LWB,D,20091109,000000,52.1931,52.9025,51.7656,52.9025,10628.648762093768,0
LWB,D,20091110,000000,53.2576,53.932,53.0796,53.2576,59843.306083659954,0
LWB,D,20091112,000000,53.2576,53.6127,53.1869,53.4696,7716.307326808793,0
LWB,D,20091113,000000,53.542,53.6127,52.5465,52.9025,10694.60966216356,0
LWB,D,20091116,000000,53.2576,53.3283,52.9741,53.2576,1451.1398015354698,0
LWB,D,20091117,000000,52.9383,52.9383,52.1574,52.5465,7325.013851818489,0
LWB,D,20091118,000000,52.5465,52.5465,51.8372,52.1931,8663.237536285327,0
LWB,D,20091119,000000,52.085,52.085,51.5536,51.9436,3971.0697804730266,0
LWB,D,20091120,000000,51.8372,52.4409,51.6958,52.4409,2192.3614413028167,0
