<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBR,D,20100629,000000,74.5721,74.9469,60.7072,62.2062,1505.9176030296,0
MBR,D,20100630,000000,59.2082,68.2013,59.2082,61.8315,2707.7153558652,0
MBR,D,20100701,000000,62.5066,62.5066,59.9577,60.7072,3086.2921348998,0
MBR,D,20100702,000000,62.2062,62.806,62.2062,62.806,54.5318352072,0
MBR,D,20100705,000000,62.2062,62.2062,62.2062,62.2062,16.7790262176,0
MBR,D,20100706,000000,65.2043,74.1974,65.2043,65.9519,267.415730343,0
MBR,D,20100707,000000,65.579,86.1847,65.579,86.1847,847.3408239888,0
MBR,D,20100708,000000,86.5633,86.5633,86.1847,86.1847,2954.1573034362,0
MBR,D,20100713,000000,86.1847,86.1847,85.4352,85.4352,178.277153562,0
MBR,D,20100714,000000,86.1847,86.1847,86.1847,86.1847,39.8501872668,0
MBR,D,20100716,000000,85.5926,85.8062,85.5926,85.8062,118.5018726618,0
MBR,D,20100721,000000,74.9469,85.4352,73.0731,85.4352,15.730337079,0
MBR,D,20100722,000000,73.0731,85.6669,73.0731,73.0731,8.3895131088,0
MBR,D,20100723,000000,82.2932,82.2932,73.0731,73.0731,13.6329588018,0
MBR,D,20100726,000000,73.0731,80.1219,73.0731,73.0731,81.7977528108,0
MBR,D,20100727,000000,73.4479,73.4479,73.4479,73.4479,65.0187265932,0
MBR,D,20100729,000000,79.8149,79.8149,73.4479,73.4479,1755.5056180164,0
MBR,D,20100730,000000,80.1219,80.1219,73.8226,73.8226,137.3782771566,0
MBR,D,20100802,000000,73.8226,80.0428,73.8226,74.1974,579.9250936458,0
MBR,D,20100803,000000,75.3207,75.3207,75.3207,75.3207,61.8726591774,0
MBR,D,20100804,000000,80.1219,80.1219,75.6964,75.6964,36.704119851,0
MBR,D,20100805,000000,77.1992,77.1992,77.1992,77.1992,29.3632958808,0
MBR,D,20100809,000000,77.1992,77.1992,77.1992,77.1992,5.243445693,0
MBR,D,20100811,000000,78.6963,86.6453,78.6963,86.1847,195.0561797796,0
MBR,D,20100813,000000,74.1974,84.6876,73.4479,78.6963,790.7116105044,0
MBR,D,20100816,000000,78.6963,78.6963,78.6963,78.6963,65.0187265932,0
MBR,D,20100818,000000,82.442,82.442,82.442,82.442,2.0973782772,0
MBR,D,20100823,000000,82.442,86.1847,82.442,86.1847,787.5655430886,0
MBR,D,20100824,000000,86.1847,86.1847,86.1847,86.1847,136.329588018,0
MBR,D,20100830,000000,86.1847,86.1847,86.1847,86.1847,10.486891386,0
MBR,D,20100901,000000,86.1847,86.2667,85.8062,86.1847,268.4644194816,0
MBR,D,20100902,000000,86.1847,88.0614,86.1104,88.0614,1203.8951311128,0
MBR,D,20100903,000000,88.0614,88.0614,86.9409,87.9822,2334.3820225236,0
MBR,D,20100906,000000,88.0614,88.0614,87.9822,87.9822,1968.3895131522,0
MBR,D,20100907,000000,87.9822,88.4371,87.9822,88.4371,2459.176030017,0
MBR,D,20100908,000000,88.4371,88.953,88.4371,88.953,1922.2471910538,0
MBR,D,20100909,000000,88.953,89.5566,88.953,89.5566,4927.7902622814,0
MBR,D,20100910,000000,89.5566,89.5566,89.5566,89.5566,1612.8838951668,0
