<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCI,D,20010201,000000,7.49049,8.37998,7.35004,8.37998,552450.6124999999,0
MCI,D,20010202,000000,8.09907,8.75449,8.09907,8.28637,273142.06875,0
MCI,D,20010205,000000,7.95861,8.33313,7.95861,8.28637,70452.08125,0
MCI,D,20010206,000000,7.95861,8.33313,7.95861,8.28637,122823.28125,0
MCI,D,20010207,000000,8.19267,8.28637,7.95861,8.23952,89604.89375,0
MCI,D,20010208,000000,8.28637,8.80134,8.28637,8.80134,152813.35,0
MCI,D,20010209,000000,9.12862,10.1126,9.12862,10.0656,220658.14375,0
MCI,D,20010212,000000,10.2525,10.2525,9.26946,9.4103,146028.975,0
MCI,D,20010213,000000,9.17557,9.55018,8.9418,9.36335,138983.6625,0
MCI,D,20010214,000000,9.08216,9.22251,9.08216,9.12862,23844.46875,0
MCI,D,20010215,000000,9.08216,9.22251,8.52043,8.80134,197643.45625,0
MCI,D,20010216,000000,8.8481,8.89495,8.42683,8.47358,72193.05625,0
MCI,D,20010219,000000,8.42683,8.56719,8.19267,8.19267,57369.71875,0
MCI,D,20010220,000000,8.23952,8.23952,7.7714,8.09907,59120.087499999994,0
MCI,D,20010221,000000,7.86501,8.23952,7.86501,8.14592,82190.09375,0
MCI,D,20010222,000000,7.81816,8.23952,7.81816,8.19267,37416.35,0
MCI,D,20010223,000000,8.33313,8.89495,8.05222,8.05222,30049.5625,0
MCI,D,20010226,000000,8.52043,8.61404,8.33313,8.42683,25770.1875,0
MCI,D,20010227,000000,8.42683,8.52043,8.33313,8.47358,9347.824999999999,0
MCI,D,20010228,000000,8.05222,8.37998,8.05222,8.37998,8709.05,0
MCI,D,20010301,000000,8.05222,8.23952,8.05222,8.14592,4596.675,0
MCI,D,20010302,000000,8.28637,8.28637,8.09907,8.23952,24680.5125,0
MCI,D,20010305,000000,8.23952,8.23952,7.91186,8.19267,20349.993749999998,0
MCI,D,20010306,000000,8.14592,8.14592,7.95861,8.05222,162683.05,0
MCI,D,20010307,000000,7.86501,7.95861,7.44364,7.53725,38300.40625,0
MCI,D,20010308,000000,7.49049,7.49049,7.11598,7.30319,16587.274999999998,0
MCI,D,20010309,000000,7.20958,7.25643,6.3201,7.11598,21007.556249999998,0
MCI,D,20010312,000000,7.02228,7.02228,6.55416,6.74146,37899.60625,0
MCI,D,20010313,000000,6.55416,7.02228,6.46055,6.69461,73576.025,0
MCI,D,20010314,000000,6.64776,6.69461,6.50731,6.69461,13337.037499999999,0
MCI,D,20010315,000000,6.74146,6.97552,6.60101,6.74146,21048.2625,0
MCI,D,20010316,000000,6.74146,6.74146,6.60101,6.64776,16261.625,0
MCI,D,20010319,000000,6.97552,6.97552,6.50731,6.64776,17945.19375,0
MCI,D,20010320,000000,6.64776,6.83507,6.64776,6.74146,12509.34375,0
MCI,D,20010321,000000,6.69461,6.74146,6.60101,6.74146,4259.54375,0
MCI,D,20010322,000000,6.69461,6.78822,6.60101,6.78822,2366.18125,0
MCI,D,20010323,000000,6.92867,7.35004,6.92867,7.25643,54831.31875,0
MCI,D,20010326,000000,7.39689,7.95861,7.20958,7.30319,69549.2375,0
MCI,D,20010327,000000,7.16273,7.16273,6.97552,7.11598,14042.6125,0
MCI,D,20010328,000000,7.16273,7.25643,7.11598,7.20958,27714.69375,0
MCI,D,20010329,000000,7.16273,7.20958,7.16273,7.16273,31442.96875,0
MCI,D,20010330,000000,7.20958,7.35004,7.20958,7.20958,12669.0375,0
MCI,D,20010402,000000,7.11598,7.20958,7.02228,7.02228,28486.024999999998,0
MCI,D,20010403,000000,7.02228,7.02228,6.88192,7.02228,14405.8375,0
MCI,D,20010404,000000,6.97552,7.02228,6.83507,6.83507,22116.01875,0
MCI,D,20010405,000000,6.92867,6.97552,6.83507,6.88192,13637.637499999999,0
MCI,D,20010406,000000,7.02228,7.02228,6.83507,6.92867,17329.38125,0
MCI,D,20010409,000000,6.92867,6.97552,6.83507,6.97552,2085.4125,0
MCI,D,20010410,000000,6.97552,7.06913,6.83507,6.83507,32780.0125,0
MCI,D,20010411,000000,7.02228,7.02228,6.60101,6.64776,30277.1,0
MCI,D,20010412,000000,6.74146,6.74146,6.55416,6.60101,23245.35625,0
MCI,D,20010417,000000,6.74146,6.74146,5.71152,6.55416,10577.3625,0
MCI,D,20010418,000000,6.55416,6.64776,6.46055,6.55416,7138.206249999999,0
MCI,D,20010419,000000,6.78822,6.78822,6.50731,6.55416,20032.69375,0
MCI,D,20010420,000000,6.55416,6.60101,6.36695,6.36695,13652.25,0
MCI,D,20010423,000000,6.27325,6.46055,6.17964,6.27325,7627.724999999999,0
MCI,D,20010424,000000,6.17964,6.27325,5.80513,6.08604,71009.44374999999,0
MCI,D,20010425,000000,6.08604,6.08604,5.99234,6.03919,70792.34375,0
MCI,D,20010426,000000,6.03919,6.13279,5.89873,5.99234,23290.2375,0
MCI,D,20010427,000000,6.03919,6.03919,5.75828,5.75828,15628.068749999999,0
MCI,D,20010430,000000,6.03919,6.03919,5.52422,5.75828,25209.69375,0
MCI,D,20010502,000000,5.61782,5.61782,5.24331,5.43061,11751.58125,0
MCI,D,20010504,000000,5.24331,5.24331,5.00925,5.10285,16468.2875,0
MCI,D,20010507,000000,4.9624,4.9624,4.77519,4.91564,26555.087499999998,0
MCI,D,20010508,000000,4.72834,4.77519,4.58788,4.68158,14304.59375,0
MCI,D,20010509,000000,4.49428,4.53174,3.99808,4.03545,55595.34375,0
MCI,D,20010510,000000,4.02616,4.60666,4.02616,4.44743,100706.21875,0
MCI,D,20010511,000000,4.22275,4.86879,4.22275,4.86879,139082.81875,0
MCI,D,20010514,000000,5.0561,5.0561,4.82204,4.86879,34403.04375,0
MCI,D,20010515,000000,4.91564,4.91564,4.6628,4.68158,21584.75,0
