<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR,D,20070719,000000,15.9389,20.1789,15.9389,18.9917,3690575.422798641,0
MCR,D,20070720,000000,18.9917,18.9917,17.635,17.635,407911.1378688126,0
MCR,D,20070723,000000,17.1261,17.9738,17.0087,17.2963,106850.87542468509,0
MCR,D,20070724,000000,17.2784,17.9567,16.9558,17.635,100114.59304306076,0
MCR,D,20070725,000000,17.8035,17.8035,16.7864,16.9558,293989.1747751528,0
MCR,D,20070726,000000,17.1261,17.1261,16.48,16.6216,39829.553001592176,0
MCR,D,20070727,000000,16.6172,16.6172,15.6682,16.6172,50317.88663685622,0
MCR,D,20070730,000000,16.2784,16.4138,15.9389,16.2784,12219.27697089966,0
MCR,D,20070731,000000,16.2784,17.4647,16.2784,17.1601,230723.25165858204,0
MCR,D,20070801,000000,17.1601,17.1601,16.006,16.8725,25109.280534137273,0
MCR,D,20070802,000000,16.9558,17.0589,16.6512,16.6512,261766.3979023095,0
MCR,D,20070803,000000,16.9227,16.9397,16.6172,16.6172,3835.7525754846474,0
MCR,D,20070806,000000,16.2784,16.2784,15.6001,15.6001,17913.19889121424,0
MCR,D,20070807,000000,15.9389,16.4138,15.6001,16.1422,193584.41714971184,0
MCR,D,20070808,000000,16.2784,16.5499,16.1763,16.2104,4494.202973953063,0
MCR,D,20070809,000000,16.4138,16.4138,16.075,16.0912,18139.75046899278,0
MCR,D,20070810,000000,15.4989,15.9738,14.7533,15.6001,30115.73559774606,0
MCR,D,20070813,000000,15.6001,16.2784,15.6001,16.2444,3411.665878166007,0
MCR,D,20070814,000000,16.3125,16.3125,15.7175,15.7175,983.2115272045314,0
MCR,D,20070816,000000,14.7319,14.8197,13.2623,13.5652,49531.094211567695,0
MCR,D,20070817,000000,13.5652,13.972,13.2256,13.5652,35511.68081231349,0
MCR,D,20070820,000000,14.5823,14.5823,13.5652,13.5652,10974.917319556807,0
MCR,D,20070821,000000,13.9057,13.9057,12.8134,13.2256,6593.4321256803305,0
MCR,D,20070822,000000,13.2256,14.9218,13.2256,14.5823,80209.30269207343,0
