<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT,D,20050304,000000,8.06198,8.31729,7.32635,8.1579,60097.987158609576,0
MGT,D,20050307,000000,8.06198,8.25374,8.06198,8.06198,9727.743789560926,0
MGT,D,20050308,000000,8.06198,8.06198,7.6781,7.6781,1930.6439074804903,0
MGT,D,20050309,000000,7.54937,7.54937,7.10195,7.29328,16236.971439027719,0
MGT,D,20050310,000000,7.22947,7.22947,6.58994,6.71824,31905.695455347064,0
MGT,D,20050311,000000,6.58994,6.68561,6.39783,6.65375,17980.140274671496,0
MGT,D,20050314,000000,6.49384,6.52605,6.43004,6.43004,16517.60182606143,0
MGT,D,20050315,000000,6.43004,6.71824,6.43004,6.62181,6416.072334268698,0
MGT,D,20050316,000000,6.49384,6.55833,6.43004,6.43004,3941.6342743193363,0
MGT,D,20050317,000000,6.30182,6.36623,6.27022,6.36623,11916.893696716126,0
MGT,D,20050318,000000,6.17412,6.20607,6.04607,6.07802,20026.063884710176,0
MGT,D,20050321,000000,6.07802,6.36623,6.04607,6.36623,18677.640697217772,0
MGT,D,20050322,000000,6.11006,6.30182,6.11006,6.30182,2324.2251141924357,0
MGT,D,20050323,000000,6.30182,6.33411,6.14209,6.30182,4610.023660865658,0
MGT,D,20050324,000000,6.33411,6.36623,6.20607,6.36623,2578.073348107241,0
MGT,D,20050329,000000,6.27022,6.33411,6.2381,6.33411,542.6297110288953,0
MGT,D,20050330,000000,6.27022,6.27022,6.14209,6.14209,1809.5419977229685,0
MGT,D,20050331,000000,6.17412,6.33411,6.14209,6.33411,6625.671793464408,0
MGT,D,20050404,000000,6.20607,6.30182,6.17412,6.30182,523.9986479892766,0
MGT,D,20050405,000000,6.30182,6.30182,6.30182,6.30182,1561.5159710080443,0
MGT,D,20050406,000000,6.2381,6.2381,6.2381,6.2381,528.6564137491813,0
MGT,D,20050407,000000,6.2381,6.2381,6.20607,6.20607,294.6036843139711,0
MGT,D,20050411,000000,6.20607,6.2381,6.20607,6.2381,553.1096839886809,0
MGT,D,20050412,000000,6.20607,6.20607,6.07802,6.07802,1240.1301335746211,0
MGT,D,20050413,000000,6.11006,6.11006,6.07802,6.07802,1803.7197905230878,0
MGT,D,20050414,000000,6.07802,6.07802,6.07802,6.07802,313.2347473535898,0
MGT,D,20050415,000000,6.04607,6.04607,6.04607,6.04607,313.2347473535898,0
