<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,D,20181218,000000,20.821,24.211,18.4,19.368,30464,0
MOV,D,20181219,000000,20.337,20.337,17.606,17.616,6649,0
MOV,D,20181220,000000,17.616,17.616,15.882,17.238,2831,0
MOV,D,20181221,000000,16.463,18.826,16.463,18.826,2096,0
MOV,D,20181227,000000,19.272,19.272,17.528,17.858,1335,0
MOV,D,20181228,000000,17.771,18.303,17.238,18.207,1674,0
MOV,D,20190102,000000,18.545,18.545,17.432,18.303,377,0
MOV,D,20190103,000000,18.294,18.294,17.432,18.1,764,0
MOV,D,20190104,000000,18.1,18.1,17.432,17.432,1082,0
MOV,D,20190107,000000,17.432,17.896,17.432,17.878,1025,0
MOV,D,20190108,000000,17.878,17.878,17.238,17.858,328,0
MOV,D,20190109,000000,17.819,18.1,17.432,18.1,540,0
MOV,D,20190110,000000,17.878,18.091,17.878,18.091,36,0
MOV,D,20190111,000000,17.461,18.042,17.335,18.042,823,0
MOV,D,20190114,000000,17.528,17.964,17.461,17.964,901,0
MOV,D,20190115,000000,17.984,18.284,17.722,18.245,1896,0
MOV,D,20190116,000000,18.236,18.303,17.916,18.303,1190,0
MOV,D,20190117,000000,18.109,18.4,18.109,18.4,2406,0
MOV,D,20190118,000000,18.4,20.144,18.4,19.785,8732,0
MOV,D,20190121,000000,19.853,20.821,19.785,20.608,1942,0
MOV,D,20190122,000000,20.434,20.627,19.794,20.144,1048,0
MOV,D,20190123,000000,20.144,20.414,18.555,20.337,3016,0
MOV,D,20190124,000000,20.386,21.79,20.386,21.499,1857,0
MOV,D,20190125,000000,21.305,25.567,21.305,24.114,6896,0
MOV,D,20190128,000000,24.095,26.341,22.807,25.082,8598,0
MOV,D,20190129,000000,25.16,27.116,24.211,27.116,11051,0
MOV,D,20190130,000000,26.922,27.6,25.809,26.148,4064,0
MOV,D,20190131,000000,25.809,25.905,24.211,25.663,5361,0
MOV,D,20190201,000000,25.663,25.663,24.695,25.17,2865,0
MOV,D,20190204,000000,25.18,26.05,25.17,25.17,2860,0
MOV,D,20190205,000000,24.889,25.954,24.695,25.944,1114,0
MOV,D,20190206,000000,26.39,26.439,25.615,26.39,1775,0
MOV,D,20190207,000000,26.39,26.39,24.695,26.138,1351,0
MOV,D,20190208,000000,24.637,25.46,24.598,25.46,799,0
MOV,D,20190211,000000,25.46,25.46,24.646,25.18,855,0
MOV,D,20190212,000000,24.598,25.837,24.211,25.837,955,0
MOV,D,20190213,000000,25.837,25.837,21.567,25.363,976,0
MOV,D,20190214,000000,25.751,27.639,25.325,25.76,13204,0
MOV,D,20190215,000000,25.76,27.329,25.373,27.329,3932,0
MOV,D,20190218,000000,27.716,27.716,26.826,26.874,1459,0
MOV,D,20190219,000000,27.116,27.6,26.148,27.6,2465,0
MOV,D,20190220,000000,27.309,28.666,27.213,28.085,8402,0
MOV,D,20190221,000000,27.92,27.92,27.174,27.92,495,0
MOV,D,20190222,000000,27.309,28.085,27.309,28.085,229,0
MOV,D,20190225,000000,28.075,28.075,27.6,28.075,383,0
MOV,D,20190226,000000,28.046,28.046,27.116,27.504,652,0
MOV,D,20190227,000000,27.232,27.407,26.458,27.116,374,0
MOV,D,20190228,000000,27.116,27.116,26.351,27.116,477,0
MOV,D,20190301,000000,27.116,27.484,26.748,27.484,2261,0
MOV,D,20190304,000000,27.484,29.053,27.116,27.116,2101,0
MOV,D,20190305,000000,27.504,27.6,27.116,27.6,1007,0
MOV,D,20190306,000000,27.6,27.755,27.262,27.698,907,0
MOV,D,20190307,000000,27.504,27.504,26.699,27.116,251,0
MOV,D,20190308,000000,27.262,27.262,26.632,27.106,1067,0
MOV,D,20190311,000000,27.116,29.925,27.068,29.043,18794,0
MOV,D,20190312,000000,29.44,32.288,29.053,31.764,13614,0
MOV,D,20190313,000000,32.443,32.443,30.021,30.331,4579,0
MOV,D,20190314,000000,30.409,32.152,29.634,30.021,7171,0
MOV,D,20190315,000000,30.796,32.147,30.263,31.939,7096,0
MOV,D,20190318,000000,31.474,31.842,30.99,31.842,1573,0
MOV,D,20190319,000000,31.842,31.842,29.586,31.377,5319,0
MOV,D,20190320,000000,30.99,30.99,29.285,29.983,2570,0
MOV,D,20190321,000000,29.993,30.409,29.993,30.409,731,0
MOV,D,20190322,000000,29.837,29.837,28.568,29.731,2936,0
MOV,D,20190325,000000,30.002,30.002,28.239,29.053,1178,0
MOV,D,20190326,000000,29.053,30.603,28.288,30.603,1752,0
MOV,D,20190327,000000,30.312,30.312,28.521,29.043,1142,0
MOV,D,20190328,000000,28.957,29.808,28.578,29.246,1525,0
MOV,D,20190329,000000,29.344,30.216,28.84,29.246,1091,0
MOV,D,20190401,000000,29.246,29.246,27.891,28.375,4678,0
MOV,D,20190402,000000,28.666,28.666,27.213,27.6,5948,0
MOV,D,20190403,000000,30.021,30.021,26.148,27.407,16271,0
MOV,D,20190404,000000,27.794,27.794,26.632,27.504,4512,0
MOV,D,20190405,000000,27.504,27.504,26.729,27.504,4043,0
MOV,D,20190408,000000,27.116,27.698,26.729,27.407,2952,0
MOV,D,20190409,000000,26.922,28.957,26.922,28.085,4552,0
MOV,D,20190410,000000,28.568,28.568,28.085,28.278,419,0
MOV,D,20190411,000000,28.472,28.568,27.6,27.6,3242,0
MOV,D,20190412,000000,27.698,27.891,26.148,27.309,2473,0
MOV,D,20190415,000000,26.826,27.309,26.826,27.309,420,0
MOV,D,20190416,000000,26.922,27.213,26.729,27.213,1077,0
MOV,D,20190417,000000,27.116,27.116,26.729,26.729,2252,0
MOV,D,20190418,000000,26.826,27.116,26.439,27.116,1466,0
MOV,D,20190423,000000,27.116,27.891,27.116,27.891,1694,0
MOV,D,20190424,000000,27.6,27.698,27.504,27.698,394,0
MOV,D,20190425,000000,27.794,28.568,26.632,26.632,1074,0
MOV,D,20190426,000000,28.472,29.053,27.6,28.375,2598,0
MOV,D,20190429,000000,28.568,28.666,28.085,28.666,585,0
MOV,D,20190430,000000,28.666,29.731,28.085,29.731,1732,0
MOV,D,20190502,000000,29.053,29.731,28.181,29.053,658,0
MOV,D,20190506,000000,29.053,30.216,28.085,30.216,2796,0
MOV,D,20190507,000000,30.216,30.796,28.957,29.246,3734,0
MOV,D,20190508,000000,29.246,30.312,29.15,30.021,1336,0
MOV,D,20190509,000000,30.505,30.505,29.537,30.312,1995,0
MOV,D,20190510,000000,30.505,30.796,29.44,29.44,862,0
MOV,D,20190513,000000,30.021,30.312,30.021,30.021,634,0
MOV,D,20190514,000000,29.246,30.505,29.053,29.925,1995,0
MOV,D,20190515,000000,29.925,29.925,27.891,29.246,1707,0
MOV,D,20190516,000000,30.021,30.021,28.085,29.15,1096,0
MOV,D,20190517,000000,28.859,28.859,28.085,28.762,323,0
MOV,D,20190520,000000,29.053,29.053,27.309,27.794,1150,0
MOV,D,20190521,000000,27.891,27.891,25.76,27.504,1307,0
MOV,D,20190522,000000,27.309,27.987,26.535,27.987,616,0
MOV,D,20190523,000000,26.729,27.116,25.857,26.922,1075,0
MOV,D,20190524,000000,26.05,28.181,25.663,27.698,2975,0
MOV,D,20190527,000000,27.698,27.698,26.632,27.116,977,0
MOV,D,20190528,000000,27.116,27.116,26.148,26.922,1213,0
MOV,D,20190529,000000,26.05,26.826,26.05,26.826,370,0
MOV,D,20190530,000000,26.729,27.019,26.148,27.019,1384,0
MOV,D,20190531,000000,27.019,27.019,26.05,26.729,1693,0
MOV,D,20190603,000000,26.341,26.341,26.05,26.05,455,0
MOV,D,20190604,000000,26.148,26.148,25.18,26.148,546,0
MOV,D,20190605,000000,25.954,26.148,25.76,26.148,269,0
MOV,D,20190606,000000,25.857,25.857,25.373,25.663,944,0
MOV,D,20190607,000000,25.276,26.05,25.082,25.954,3768,0
MOV,D,20190610,000000,25.47,26.05,24.889,25.47,2643,0
MOV,D,20190611,000000,25.18,25.663,23.436,25.567,1510,0
MOV,D,20190612,000000,25.567,25.567,23.436,23.63,1958,0
MOV,D,20190613,000000,24.211,25.76,23.436,24.986,1339,0
