<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB,D,20081229,000000,1.00757,1.9675,0.991785,1.9675,235345.49535148,0
MRB,D,20081230,000000,1.51534,1.83269,1.49945,1.547,295062.33967924,0
MRB,D,20081231,000000,1.50739,1.9675,1.50739,1.9675,242650.79613106,0
MRB,D,20090105,000000,1.91201,2.07073,1.74544,1.82466,186174.34917579,0
MRB,D,20090106,000000,1.76122,1.80887,1.66603,1.66603,86133.175438643,0
MRB,D,20090107,000000,1.58671,1.81681,1.51534,1.63435,123857.65114219,0
MRB,D,20090108,000000,1.72161,1.72161,1.66603,1.66603,35950.236239332,0
MRB,D,20090109,000000,1.66603,1.6819,1.58671,1.65023,44047.905049467,0
MRB,D,20090112,000000,1.66603,1.67397,1.51534,1.52327,29451.710181766,0
MRB,D,20090113,000000,1.50739,1.50739,1.36455,1.45974,33913.351707646,0
MRB,D,20090114,000000,1.48366,1.48366,1.27729,1.34867,51733.320842308,0
MRB,D,20090115,000000,1.20591,1.38043,1.20591,1.20591,68836.280024849,0
MRB,D,20090116,000000,1.317,1.317,1.23759,1.30905,26297.752958056,0
MRB,D,20090119,000000,1.30905,1.33278,1.27729,1.27729,23126.064421775,0
MRB,D,20090120,000000,1.30905,1.30905,1.20591,1.2615,26612.483756205,0
MRB,D,20090121,000000,1.2615,1.30905,1.22974,1.30905,54578.088303047,0
MRB,D,20090122,000000,1.30905,1.30905,1.29317,1.30111,37738.882395012,0
MRB,D,20090123,000000,1.33278,1.33278,1.22974,1.30905,111772.65341747,0
MRB,D,20090126,000000,1.34082,1.34082,1.27729,1.34082,128965.3773699,0
MRB,D,20090127,000000,1.34082,1.37258,1.34082,1.34082,73018.653377722,0
MRB,D,20090128,000000,1.34082,1.36455,1.30905,1.34867,142057.73529011,0
MRB,D,20090129,000000,1.34082,1.34082,1.32502,1.34082,79794.231194223,0
MRB,D,20090130,000000,1.36455,1.37258,1.33278,1.36455,75540.932591062,0
MRB,D,20090202,000000,1.36455,1.36455,1.30905,1.35669,35945.803411189,0
MRB,D,20090203,000000,1.35669,1.35669,1.30111,1.34867,38339.530608383,0
MRB,D,20090204,000000,1.35669,1.35669,1.30905,1.35669,43624.569961815,0
MRB,D,20090205,000000,1.35669,1.35669,1.34082,1.34867,59040.838035963,0
MRB,D,20090206,000000,1.35669,1.37258,1.34867,1.37258,62355.485279854,0
MRB,D,20090209,000000,1.30905,1.36455,1.30905,1.36455,21175.620038877,0
MRB,D,20090210,000000,1.36455,1.36455,1.34082,1.34867,20396.550492753,0
MRB,D,20090211,000000,1.34867,1.34867,1.32502,1.34867,21705.343001959,0
MRB,D,20090212,000000,1.34867,1.35669,1.34082,1.35669,32633.372581368,0
MRB,D,20090213,000000,1.35669,1.42013,1.317,1.38837,86256.186419609,0
MRB,D,20090216,000000,1.38837,1.39631,1.36455,1.38837,77608.846919749,0
MRB,D,20090217,000000,1.38837,1.38837,1.34082,1.38043,40172.505045492,0
MRB,D,20090218,000000,1.38837,1.38837,1.37258,1.38043,26281.12985252,0
MRB,D,20090219,000000,1.38043,1.39631,1.35669,1.38837,28955.233429755,0
MRB,D,20090220,000000,1.38837,1.38837,1.34867,1.37258,18181.244628313,0
MRB,D,20090223,000000,1.38837,1.38837,1.34867,1.38043,16144.360096627,0
MRB,D,20090224,000000,1.38043,1.38043,1.34867,1.37258,14179.509022264,0
MRB,D,20090225,000000,1.38043,1.38837,1.35669,1.37258,29501.579498374,0
MRB,D,20090226,000000,1.38043,1.38043,1.37258,1.38043,15012.880713139,0
MRB,D,20090227,000000,1.37258,1.37258,1.34082,1.34082,22185.196648433,0
MRB,D,20090302,000000,1.37258,1.37258,1.32502,1.34082,14500.889062628,0
MRB,D,20090303,000000,1.34082,1.34867,1.32502,1.34867,7360.7111313699,0
MRB,D,20090304,000000,1.34082,1.34867,1.317,1.34082,17356.738593724,0
MRB,D,20090305,000000,1.34082,1.34082,1.30905,1.33278,32425.02965865,0
MRB,D,20090306,000000,1.34082,1.34082,1.29317,1.29317,68219.008705943,0
MRB,D,20090309,000000,1.34867,1.34867,1.30111,1.34082,28228.249614311,0
MRB,D,20090310,000000,1.34082,1.34867,1.33278,1.34082,8722.6975782916,0
MRB,D,20090311,000000,1.35669,1.36455,1.34082,1.34867,44419.154406439,0
MRB,D,20090312,000000,1.34867,1.36455,1.30905,1.35669,17658.170907444,0
MRB,D,20090313,000000,1.36455,1.37258,1.36455,1.37258,19955.484092529,0
MRB,D,20090316,000000,1.37258,1.37258,1.36455,1.37258,16313.915773095,0
MRB,D,20090317,000000,1.36455,1.37258,1.34867,1.37258,51573.739029162,0
MRB,D,20090318,000000,1.37258,1.37258,1.34082,1.36455,45112.892010811,0
MRB,D,20090319,000000,1.36455,1.36455,1.34082,1.35669,45676.969392001,0
MRB,D,20090320,000000,1.36455,1.37258,1.35669,1.36455,27487.967314438,0
MRB,D,20090323,000000,1.37258,1.37258,1.34867,1.37258,14620.575422488,0
MRB,D,20090324,000000,1.37258,1.37258,1.33278,1.35669,18175.703593135,0
MRB,D,20090325,000000,1.36455,1.36455,1.34867,1.35669,39735.871473412,0
MRB,D,20090326,000000,1.35669,1.35669,1.32502,1.35669,19046.754323224,0
MRB,D,20090327,000000,1.34867,1.34867,1.34082,1.34867,12083.889517684,0
MRB,D,20090330,000000,1.34082,1.35669,1.32502,1.35669,47105.448261068,0
MRB,D,20090331,000000,1.35669,1.35669,1.34867,1.35669,16763.847829604,0
MRB,D,20090401,000000,1.34867,1.39631,1.32502,1.35669,174408.51507737,0
MRB,D,20090402,000000,1.37258,1.37258,1.33278,1.35669,46162.364073655,0
MRB,D,20090403,000000,1.35669,1.35669,1.32502,1.32502,30703.98413215,0
MRB,D,20090406,000000,1.32502,1.35669,1.317,1.34867,45363.346800887,0
MRB,D,20090407,000000,1.35669,1.37258,1.34867,1.36455,36635.108187418,0
MRB,D,20090408,000000,1.37258,1.39631,1.34867,1.38043,117605.14704656,0
MRB,D,20090409,000000,1.38837,1.46778,1.38043,1.45974,380828.69858905,0
MRB,D,20090414,000000,1.42808,1.47563,1.37258,1.42808,397331.00955823,0
MRB,D,20090415,000000,1.43601,1.43601,1.38837,1.42013,68990.320802816,0
MRB,D,20090416,000000,1.43601,1.43601,1.40425,1.42013,47793.64483026,0
MRB,D,20090417,000000,1.42808,1.45974,1.39631,1.45974,63081.360888262,0
MRB,D,20090420,000000,1.45974,1.46778,1.42808,1.45974,92801.257172677,0
MRB,D,20090421,000000,1.46778,1.46778,1.42808,1.46778,77154.482035096,0
MRB,D,20090422,000000,1.45974,1.46778,1.42808,1.46778,64269.358830573,0
MRB,D,20090423,000000,1.46778,1.46778,1.45189,1.46778,12772.086086877,0
MRB,D,20090424,000000,1.46778,1.46778,1.40425,1.42808,63914.732579137,0
MRB,D,20090427,000000,1.44387,1.44387,1.40425,1.42808,36387.978018448,0
MRB,D,20090428,000000,1.39631,1.42808,1.38837,1.40425,15656.749000903,0
MRB,D,20090429,000000,1.41219,1.43601,1.40425,1.43601,19907.831189992,0
MRB,D,20090430,000000,1.43601,1.45189,1.40425,1.43601,24983.419413671,0
MRB,D,20090504,000000,1.44387,1.45189,1.40425,1.42808,25036.613351386,0
MRB,D,20090505,000000,1.43601,1.43601,1.38837,1.42013,19424.652922411,0
MRB,D,20090506,000000,1.46778,1.56297,1.46778,1.56297,756779.06980679,0
MRB,D,20090507,000000,1.59474,1.61838,1.53915,1.55495,440080.09596181,0
MRB,D,20090508,000000,1.57886,1.58671,1.51534,1.58671,211646.48789223,0
