<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSP,D,19980915,000000,6.28454,6.28454,6.28454,6.28454,151059.74843330853,0
MSP,D,19980916,000000,6.21518,6.21518,6.21518,6.21518,65549.56942673003,0
MSP,D,19980917,000000,5.6248,5.6248,5.6248,5.6248,14879.429124889588,0
MSP,D,19980918,000000,5.06355,5.06355,5.06355,5.06355,144421.43203247435,0
MSP,D,19980921,000000,5.06355,5.06355,5.06355,5.06355,103399.6807005154,0
MSP,D,19980922,000000,5.17347,5.17347,5.17347,5.17347,67423.98645631105,0
MSP,D,19980923,000000,5.52068,5.52068,5.52068,5.52068,24521.96420023669,0
MSP,D,19980924,000000,5.59012,5.59012,5.59012,5.59012,49417.40687170183,0
MSP,D,19980925,000000,5.34132,5.34132,5.34132,5.34132,17704.51862668754,0
MSP,D,19980928,000000,5.45124,5.45124,5.45124,5.45124,17382.55442735285,0
MSP,D,19980929,000000,5.4802,5.4802,5.4802,5.4802,17867.2568947151,0
MSP,D,19980930,000000,5.59012,5.59012,5.59012,5.59012,8739.864538303504,0
MSP,D,19981001,000000,5.09823,5.09823,5.09823,5.09823,32060.60958029534,0
MSP,D,19981002,000000,4.92459,4.92459,4.92459,4.92459,17943.357523648756,0
MSP,D,19981005,000000,5.02871,5.02871,5.02871,5.02871,11991.117562130126,0
MSP,D,19981006,000000,4.61215,4.61215,4.61215,4.61215,11851.794872237035,0
MSP,D,19981007,000000,4.64682,4.64682,4.64682,4.64682,25764.16062021505,0
MSP,D,19981008,000000,4.4039,4.4039,4.4039,4.4039,10676.33284993854,0
MSP,D,19981009,000000,4.18969,4.18969,4.18969,4.18969,20974.50411302174,0
MSP,D,19981012,000000,4.22453,4.22453,4.22453,4.22453,40053.51717614194,0
MSP,D,19981013,000000,4.25913,4.25913,4.25913,4.25913,26735.907112752477,0
MSP,D,19981014,000000,4.32865,4.32865,4.32865,4.32865,13897.145622191907,0
MSP,D,19981015,000000,4.54262,4.54262,4.54262,4.54262,9036.07160169142,0
MSP,D,19981016,000000,4.68159,4.68159,4.68159,4.68159,20596.342526166394,0
MSP,D,19981019,000000,4.78578,4.78578,4.78578,4.78578,11306.211901727238,0
MSP,D,19981020,000000,4.75103,4.75103,4.75103,4.75103,10953.807450819295,0
MSP,D,19981021,000000,4.88991,4.88991,4.88991,4.88991,3594.291243481816,0
MSP,D,19981022,000000,5.13308,5.13308,5.13308,5.13308,11785.06047455613,0
MSP,D,19981023,000000,5.24292,5.24292,5.24292,5.24292,13815.191098724894,0
MSP,D,19981026,000000,5.24292,5.24292,5.24292,5.24292,17274.842767939477,0
MSP,D,19981027,000000,5.24292,5.24292,5.24292,5.24292,31390.92404567856,0
MSP,D,19981028,000000,5.24292,5.24292,5.24292,5.24292,36965.00242034288,0
MSP,D,19981029,000000,5.24292,5.24292,5.24292,5.24292,23461.238510792427,0
MSP,D,19981030,000000,5.54964,5.54964,5.54964,5.54964,5293.0914370623095,0
MSP,D,19981102,000000,5.52068,5.52068,5.52068,5.52068,4091.8722788172463,0
MSP,D,19981103,000000,5.45124,5.45124,5.45124,5.45124,6613.730043787876,0
MSP,D,19981104,000000,5.41067,5.41067,5.41067,5.41067,5154.93952607506,0
MSP,D,19981105,000000,5.52068,5.52068,5.52068,5.52068,9729.172714441007,0
MSP,D,19981106,000000,5.09823,5.09823,5.09823,5.09823,3573.217223161727,0
MSP,D,19981109,000000,5.34132,5.34132,5.34132,5.34132,26561.4610556582,0
MSP,D,19981110,000000,5.41067,5.41067,5.41067,5.41067,7176.874697896916,0
MSP,D,19981112,000000,5.41067,5.41067,5.41067,5.41067,15031.630382756897,0
MSP,D,19981113,000000,5.52068,5.52068,5.52068,5.52068,17089.85970068495,0
MSP,D,19981116,000000,5.6248,5.6248,5.6248,5.6248,23853.44944452741,0
MSP,D,19981117,000000,5.76377,5.76377,5.76377,5.76377,17190.546686659538,0
MSP,D,19981118,000000,5.76377,5.76377,5.76377,5.76377,9918.838897321806,0
MSP,D,19981119,000000,5.54964,5.54964,5.54964,5.54964,12544.895984986208,0
MSP,D,19981120,000000,5.38172,5.38172,5.38172,5.38172,9180.077407212026,0
MSP,D,19981123,000000,5.41067,5.41067,5.41067,5.41067,1129.8016449380953,0
MSP,D,19981124,000000,5.41067,5.41067,5.41067,5.41067,5726.279632530802,0
MSP,D,19981125,000000,5.24292,5.24292,5.24292,5.24292,687.24721821623,0
MSP,D,19981126,000000,5.59012,5.59012,5.59012,5.59012,27767.36332952995,0
MSP,D,19981127,000000,5.6248,5.6248,5.6248,5.6248,19566.057088295387,0
MSP,D,19981130,000000,5.59012,5.59012,5.59012,5.59012,22295.142719747717,0
MSP,D,19981201,000000,5.76377,5.76377,5.76377,5.76377,33858.92598094271,0
MSP,D,19981202,000000,5.90256,5.90256,5.90256,5.90256,44377.20367848058,0
MSP,D,19981203,000000,5.90256,5.90256,5.90256,5.90256,20416.042574539795,0
MSP,D,19981204,000000,6.07621,6.07621,6.07621,6.07621,28142.012579664864,0
MSP,D,19981207,000000,6.28454,6.28454,6.28454,6.28454,29942.670538126204,0
MSP,D,19981208,000000,6.25558,6.25558,6.25558,6.25558,6205.128205359487,0
MSP,D,19981209,000000,6.25558,6.25558,6.25558,6.25558,19026.328012319984,0
MSP,D,19981210,000000,5.65965,5.65965,5.65965,5.65965,6182.883406132727,0
MSP,D,19981211,000000,5.65965,5.65965,5.65965,5.65965,7512.888244111666,0
MSP,D,19981214,000000,5.52068,5.52068,5.52068,5.52068,4666.724721993002,0
MSP,D,19981215,000000,5.6248,5.6248,5.6248,5.6248,1588.746976353363,0
MSP,D,19981216,000000,5.69433,5.69433,5.69433,5.69433,1428.3502661393536,0
MSP,D,19981217,000000,5.76377,5.76377,5.76377,5.76377,574.8524431757562,0
MSP,D,19981218,000000,5.6248,5.6248,5.6248,5.6248,1860.3676827011745,0
MSP,D,19981221,000000,5.65965,5.65965,5.65965,5.65965,1539.5742622731557,0
MSP,D,19981222,000000,5.59012,5.59012,5.59012,5.59012,574.8524431757562,0
MSP,D,19981223,000000,5.65965,5.65965,5.65965,5.65965,9448.185776839822,0
MSP,D,19981228,000000,5.76377,5.76377,5.76377,5.76377,1141.5094340048113,0
MSP,D,19981229,000000,5.93733,5.93733,5.93733,5.93733,5953.410740425093,0
MSP,D,19981230,000000,5.8678,5.8678,5.8678,5.8678,4748.6792454600145,0
MSP,D,19981231,000000,5.72909,5.72909,5.72909,5.72909,2148.3792937423887,0
MSP,D,19990104,000000,5.93733,5.93733,5.93733,5.93733,5455.829705089662,0
MSP,D,19990105,000000,5.90256,5.90256,5.90256,5.90256,5080.009676048078,0
MSP,D,19990106,000000,5.72909,5.72909,5.72909,5.72909,1773.7300436074759,0
MSP,D,19990107,000000,5.93733,5.93733,5.93733,5.93733,9568.776004226998,0
MSP,D,19990108,000000,5.90256,5.90256,5.90256,5.90256,6700.367682881574,0
MSP,D,19990111,000000,5.8678,5.8678,5.8678,5.8678,3613.0237059885617,0
MSP,D,19990112,000000,5.76377,5.76377,5.76377,5.76377,2853.1881955586923,0
MSP,D,19990113,000000,5.54964,5.54964,5.54964,5.54964,2585.079825930896,0
MSP,D,19990114,000000,5.02871,5.02871,5.02871,5.02871,6987.2085150161165,0
