<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUR,D,20231215,000000,37.5,38.4,36.8,37.6,1289280,0
MUR,D,20231218,000000,37.94,37.94,37.3,37.3,108160,0
MUR,D,20231219,000000,37.19,37.19,36.5,36.7,164514,0
MUR,D,20231220,000000,36.7,36.8,36.515,36.6,115053,0
MUR,D,20231221,000000,36.51,37.06,36.51,36.89,56232,0
MUR,D,20231222,000000,37,37.5,36.9,37.48,17055,0
MUR,D,20231227,000000,37.7,37.8,37.24,37.41,13898,0
MUR,D,20231228,000000,37.6,37.8,36.41,37,120420,0
MUR,D,20231229,000000,37.01,37.385,36.805,36.9,67335,0
MUR,D,20240102,000000,37,37.5,36.665,36.75,28215,0
MUR,D,20240103,000000,36.75,37.08,36.61,36.8,12727,0
MUR,D,20240104,000000,36.98,38.5,36.8,38.2,289610,0
MUR,D,20240105,000000,38.5,38.5,37.65,37.88,16428,0
MUR,D,20240108,000000,37.835,38.5,37.345,38.05,23448,0
MUR,D,20240109,000000,38.29,38.415,38.05,38.1,26951,0
MUR,D,20240110,000000,38.15,38.295,37.36,37.7,31814,0
MUR,D,20240111,000000,37.7,37.875,36.7,36.84,38437,0
MUR,D,20240112,000000,36.8,37.24,36.7,36.82,15409,0
MUR,D,20240115,000000,37.5,37.5,36.415,36.415,27409,0
MUR,D,20240116,000000,36.305,37.5,36.3,37.15,31229,0
MUR,D,20240117,000000,37.19,37.36,36.88,37.15,25395,0
MUR,D,20240118,000000,37.2,37.65,37.155,37.54,6126,0
MUR,D,20240119,000000,37.54,39.195,37.54,38.985,21096,0
MUR,D,20240122,000000,39,39.5,37.855,38.45,46267,0
MUR,D,20240123,000000,38.45,38.87,37.86,38.4,75388,0
MUR,D,20240124,000000,38.45,38.45,37.8,37.935,8896,0
MUR,D,20240125,000000,37.725,38,37.67,37.67,5036,0
MUR,D,20240126,000000,37.72,38.155,37.72,37.81,3638,0
MUR,D,20240129,000000,37.8,38.15,37.665,38.15,5047,0
MUR,D,20240130,000000,38.15,38.725,38.065,38.065,3364,0
MUR,D,20240131,000000,38.05,39.195,38.05,39,6799,0
MUR,D,20240201,000000,39.06,39.5,39,39,106780,0
MUR,D,20240202,000000,39,39.5,39,39.2,64771,0
MUR,D,20240205,000000,39.2,40.885,39.12,40.5,25319,0
MUR,D,20240206,000000,41,42.9,40.605,41.5,67833,0
MUR,D,20240207,000000,41.6,42.215,40.895,41.835,28269,0
MUR,D,20240208,000000,42,44.49,42,43,37267,0
MUR,D,20240209,000000,42.995,42.995,41.9,42.48,9113,0
MUR,D,20240212,000000,42.52,42.73,42,42.44,14191,0
MUR,D,20240213,000000,42.455,42.5,40.445,41,22365,0
MUR,D,20240214,000000,40.8,41.19,40.8,41.015,3607,0
MUR,D,20240215,000000,41.105,41.99,41.105,41.4,2890,0
MUR,D,20240216,000000,41.4,41.96,40.755,41.3,14428,0
MUR,D,20240219,000000,41.39,41.39,40.545,40.9,8688,0
MUR,D,20240220,000000,41.265,41.88,40.9,41.5,28643,0
MUR,D,20240221,000000,41.22,41.575,40.88,41.21,13637,0
MUR,D,20240222,000000,40.9,41.765,40.85,41.765,8667,0
MUR,D,20240223,000000,41.765,41.765,40.6,40.805,18195,0
MUR,D,20240226,000000,41.26,41.26,40.35,40.69,10892,0
MUR,D,20240227,000000,40.685,40.685,39.8,40.2,25735,0
MUR,D,20240228,000000,40.15,40.2,39.335,39.8,17131,0
MUR,D,20240229,000000,39.7,40.375,39.36,40,18754,0
MUR,D,20240301,000000,40,40.5,39.735,40.3,5998,0
MUR,D,20240304,000000,40.3,40.45,39.94,40,4773,0
MUR,D,20240305,000000,40,40.25,39.86,40.25,15989,0
MUR,D,20240306,000000,40.25,41.8,40.11,41.8,28180,0
MUR,D,20240307,000000,41.525,41.69,40.74,41,5860,0
MUR,D,20240308,000000,41.235,41.235,40.405,40.9,6879,0
MUR,D,20240311,000000,40.825,40.875,40.155,40.66,3550,0
MUR,D,20240312,000000,40.12,40.26,39.85,40,8829,0
MUR,D,20240313,000000,40,40,39.505,39.76,5692,0
MUR,D,20240314,000000,39.99,40,39.6,39.7,12041,0
MUR,D,20240315,000000,39.72,40.03,39.205,39.3,6460,0
