<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU,D,20040930,000000,31.0128,31.2154,29.1703,30.6695,50878.894135002294,0
NEU,D,20041001,000000,30.6695,31.2154,30.6695,30.879,16684.137755872398,0
NEU,D,20041004,000000,31.2154,31.6285,31.2154,31.3541,11015.678571937198,0
NEU,D,20041005,000000,31.3541,31.4171,31.3541,31.3541,11437.559949507699,0
NEU,D,20041006,000000,31.0826,31.2872,31.0128,31.2872,1349.0038265929,0
NEU,D,20041007,000000,31.0128,31.2154,31.0128,31.2154,2333.0548470464996,0
NEU,D,20041008,000000,30.6695,31.0826,30.6695,31.0826,771.5854592192999,0
NEU,D,20041011,000000,30.6695,30.6695,29.6454,30.5347,2311.7066327598,0
NEU,D,20041012,000000,29.8559,29.9897,29.311,29.311,712.6237245227,0
NEU,D,20041013,000000,29.5825,29.5825,29.4428,29.4428,1102.9910714794999,0
NEU,D,20041014,000000,29.5146,29.5146,29.5146,29.5146,733.9719388094,0
NEU,D,20041015,000000,28.9677,29.5825,28.9677,29.5825,27.447704082899996,0
NEU,D,20041018,000000,29.311,29.3808,28.6244,29.3808,861.0446428969,0
NEU,D,20041020,000000,28.287,28.6244,28.287,28.6244,1595.0165817062998,0
NEU,D,20041021,000000,28.6244,29.5146,28.6244,29.5146,917.9732143280999,0
NEU,D,20041022,000000,28.2161,28.2161,28.1463,28.1463,1123.3227041334999,0
NEU,D,20041025,000000,29.1703,29.1703,27.9436,27.9436,3272.3762756612996,0
NEU,D,20041026,000000,27.9436,30.332,27.6013,30.332,921.0229592261999,0
NEU,D,20041027,000000,30.2622,30.2622,28.3578,30.0576,15621.809949700899,0
NEU,D,20041028,000000,29.8559,29.8559,29.8559,29.8559,1.0165816327,0
NEU,D,20041029,000000,29.9897,29.9897,29.9199,29.9199,10.165816326999998,0
NEU,D,20041102,000000,30.1284,30.1284,28.9677,29.9897,1077.5765306619999,0
NEU,D,20041103,000000,29.9897,29.9897,28.8329,29.9897,1616.364795993,0
NEU,D,20041104,000000,29.8559,29.9199,29.0375,29.0375,2099.2410715254996,0
NEU,D,20041105,000000,29.0375,29.3808,29.0375,29.1064,284.642857156,0
NEU,D,20041108,000000,28.6942,29.7851,28.6244,29.7851,952.5369898398999,0
NEU,D,20041110,000000,29.7163,29.7163,28.764,29.6454,1773.9349490614998,0
NEU,D,20041112,000000,28.9677,29.7851,28.8968,29.7851,1173.1352041358,0
NEU,D,20041115,000000,29.311,29.7851,29.0375,29.7851,967.7857143303999,0
NEU,D,20041116,000000,29.2402,29.2402,29.0375,29.2402,1073.5102041312,0
NEU,D,20041117,000000,29.311,29.3808,29.311,29.3808,1100.9579082141,0
NEU,D,20041118,000000,29.2402,29.311,29.2402,29.311,1170.0854592377,0
NEU,D,20041119,000000,29.311,29.311,28.9677,28.9677,2192.7665817339,0
NEU,D,20041122,000000,29.6454,29.6454,29.4428,29.4428,149.4375000069,0
NEU,D,20041123,000000,27.6013,28.6244,27.6013,28.5604,4325.5548471385,0
NEU,D,20041124,000000,27.739,28.6244,27.6013,28.6244,3255.0943879054,0
NEU,D,20041125,000000,28.6244,28.6244,28.6244,28.6244,10.165816326999998,0
NEU,D,20041126,000000,27.6013,28.4217,27.6013,28.4217,3540.7538266940996,0
NEU,D,20041129,000000,28.5604,28.764,27.739,28.764,3263.2270409669995,0
NEU,D,20041201,000000,28.6244,28.6244,28.287,28.6244,6191.998724775699,0
NEU,D,20041202,000000,28.6244,28.764,28.6244,28.764,3117.8558674908995,0
NEU,D,20041203,000000,28.6244,28.6244,27.9436,28.6244,2817.9642858444,0
NEU,D,20041206,000000,28.4217,28.4217,28.4217,28.4217,58.9617346966,0
NEU,D,20041207,000000,27.6722,28.6244,27.6722,28.6244,2549.5867348116,0
NEU,D,20041208,000000,28.5604,28.6244,28.4906,28.6244,1622.4642857892,0
NEU,D,20041209,000000,28.4217,29.0375,28.287,28.8968,2255.7946429613,0
NEU,D,20041213,000000,28.6244,28.6244,28.6244,28.6244,220.5982142959,0
NEU,D,20041214,000000,28.0135,28.8968,28.0135,28.8968,1500.4744898651998,0
NEU,D,20041215,000000,28.0833,28.6244,28.0833,28.6244,757.3533163614999,0
NEU,D,20041216,000000,28.6244,28.8329,28.6244,28.8329,1825.7806123291998,0
NEU,D,20041217,000000,28.3578,28.8329,28.287,28.8329,810.2155612618999,0
NEU,D,20041220,000000,28.287,28.6244,28.287,28.6244,937.2882653493999,0
