<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTT,D,20070412,000000,15.1231,15.226,12.7051,12.9852,3019834.1097502485,0
NTT,D,20070413,000000,13.4948,13.9264,12.9852,13.0109,710708.378659413,0
NTT,D,20070416,000000,13.2138,13.2138,12.7556,12.8575,192206.4538603927,0
NTT,D,20070417,000000,12.8575,12.8575,12.4517,12.5269,150233.53596924024,0
NTT,D,20070418,000000,12.4241,12.4241,11.7381,11.9944,259044.06515214848,0
NTT,D,20070419,000000,11.7124,12.0687,11.5848,11.9668,82733.85348594763,0
NTT,D,20070420,000000,11.942,12.1964,11.6876,11.7124,84904.09671741912,0
NTT,D,20070423,000000,11.9153,11.9153,11.0255,11.1275,156917.40599170953,0
NTT,D,20070424,000000,11.076,11.1531,10.6177,10.9749,99925.92580831044,0
NTT,D,20070425,000000,11.076,11.3818,10.9236,11.3304,43624.82907135089,0
NTT,D,20070426,000000,11.3304,12.1964,11.3304,12.0163,149540.97465704536,0
NTT,D,20070427,000000,12.2221,12.4517,11.7381,12.0163,60421.61875797639,0
NTT,D,20070430,000000,12.043,12.1964,11.7886,11.9153,29789.93682055174,0
NTT,D,20070502,000000,11.9668,12.1192,11.8639,12.1192,20739.81564806972,0
NTT,D,20070504,000000,12.1192,12.1192,11.9153,12.043,17608.044682835283,0
NTT,D,20070507,000000,12.0944,12.0944,11.7381,11.8639,26531.849641142962,0
NTT,D,20070508,000000,11.7629,11.8639,11.4066,11.458,42781.99502159777,0
NTT,D,20070509,000000,11.458,11.661,11.4066,11.661,28754.36165089394,0
NTT,D,20070510,000000,11.7124,11.7124,11.4066,11.4066,26317.32986362192,0
NTT,D,20070511,000000,11.177,11.3304,10.9474,11.3047,33642.58135288783,0
NTT,D,20070514,000000,11.4828,11.8401,11.2799,11.7124,58448.47237793345,0
NTT,D,20070515,000000,11.7381,11.7381,11.4828,11.5848,31637.855919300542,0
NTT,D,20070516,000000,11.559,11.559,11.3304,11.458,42043.698528402616,0
NTT,D,20070517,000000,11.458,11.4828,11.1531,11.2027,38854.21412048561,0
NTT,D,20070518,000000,11.1008,11.2027,10.9474,11.2027,29973.966477410675,0
