<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA,D,20070720,000000,38.6858,41.8054,36.3182,36.3182,1108934.8886803787,0
NVA,D,20070723,000000,37.0192,37.0192,33.949,36.7121,141995.75822193283,0
NVA,D,20070724,000000,36.7121,36.7121,35.5269,36.3182,103788.77624856734,0
NVA,D,20070725,000000,34.1061,36.3182,34.1061,36.3182,15765.633086282787,0
NVA,D,20070726,000000,36.3182,36.3182,35.1332,35.5361,13421.471898526068,0
NVA,D,20070727,000000,34.0284,34.4935,33.949,34.3446,8750.65959724528,0
NVA,D,20070730,000000,33.6794,33.949,32.3699,32.4485,11811.639448857548,0
NVA,D,20070731,000000,32.3699,33.5861,32.3699,33.4912,2972.3351008151803,0
NVA,D,20070801,000000,32.9611,34.2889,31.9761,33.9571,8601.823966276625,0
NVA,D,20070802,000000,34.3446,36.3182,34.3446,35.5269,5470.803817737513,0
NVA,D,20070803,000000,35.5269,37.1069,34.2651,35.5681,9437.93001083583,0
NVA,D,20070806,000000,34.1061,35.5681,33.5551,35.5206,8735.338282292623,0
NVA,D,20070807,000000,34.7786,35.5269,34.7384,34.7384,1090.0021209174959,0
NVA,D,20070808,000000,33.7113,35.5206,32.8432,35.3615,901.7688229277277,0
NVA,D,20070809,000000,35.4959,35.4959,33.7908,34.7384,3302.8377519367505,0
NVA,D,20070810,000000,32.3699,33.9407,32.3699,33.9407,3466.9946978580597,0
NVA,D,20070813,000000,35.4959,35.4959,32.3699,34.7302,7480.084835814343,0
NVA,D,20070814,000000,33.5551,34.3446,33.1585,33.5551,3864.254506987629,0
NVA,D,20070816,000000,31.5804,31.5804,30.79,31.5804,7265.586426477165,0
NVA,D,20070817,000000,31.5804,33.949,30.0015,33.949,5955.613998025114,0
NVA,D,20070820,000000,33.949,35.4959,33.949,34.6589,3894.89713689294,0
NVA,D,20070821,000000,34.7302,34.7302,33.8548,33.8548,32.83138918426193,0
NVA,D,20070822,000000,34.6589,34.6589,33.1585,33.9407,288.916224821505,0
NVA,D,20070823,000000,32.5829,33.1585,32.5829,32.7638,3237.174973568226,0
NVA,D,20070824,000000,32.7638,32.7638,32.3699,32.7638,1278.2354189072644,0
NVA,D,20070827,000000,32.7638,33.1585,31.5804,33.1585,4066.7147402905775,0
NVA,D,20070828,000000,33.7908,33.7908,33.1585,33.1585,2937.3149523519673,0
NVA,D,20070829,000000,32.3699,33.1585,32.3699,33.1585,6630.846235581434,0
NVA,D,20070830,000000,33.1585,33.7908,33.1585,33.5551,3654.1336162083526,0
