<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,D,19941216,000000,4.02482,4.02482,4.02482,4.02482,102701.8267376458,0
NVT,D,19941219,000000,4.32567,4.32567,4.32567,4.32567,282763.6740764662,0
NVT,D,19941220,000000,4.10003,4.10003,4.10003,4.10003,93740.44766933435,0
NVT,D,19941221,000000,4.02482,4.02482,4.02482,4.02482,57544.24931390304,0
NVT,D,19941222,000000,4.13764,4.13764,4.13764,4.13764,49700.80898529518,0
NVT,D,19941223,000000,4.21285,4.21285,4.21285,4.21285,59125.66914948766,0
NVT,D,19941227,000000,4.13764,4.13764,4.13764,4.13764,52734.09731400005,0
NVT,D,19941228,000000,4.02482,4.02482,4.02482,4.02482,54461.820820814784,0
NVT,D,19941229,000000,4.21285,4.21285,4.21285,4.21285,57208.08591664937,0
NVT,D,19950102,000000,4.51388,4.51388,4.51388,4.51388,77875.99232718989,0
NVT,D,19950103,000000,4.96525,4.96525,4.96525,4.96525,188410.09117426464,0
NVT,D,19950104,000000,4.85225,4.85225,4.85225,4.85225,128494.82892890113,0
NVT,D,19950105,000000,4.89004,4.89004,4.89004,4.89004,113084.92010729377,0
NVT,D,19950106,000000,4.55148,4.55148,4.55148,4.55148,74923.11517656497,0
NVT,D,19950109,000000,4.6644,4.6644,4.6644,4.6644,59177.042957706,0
NVT,D,19950110,000000,4.6644,4.6644,4.6644,4.6644,46948.959779870645,0
NVT,D,19950111,000000,4.51388,4.51388,4.51388,4.51388,18827.383890029232,0
NVT,D,19950112,000000,4.62661,4.62661,4.62661,4.62661,61921.0744097046,0
NVT,D,19950113,000000,4.73943,4.73943,4.73943,4.73943,48736.991670245596,0
NVT,D,19950116,000000,4.70191,4.70191,4.70191,4.70191,25205.553862503002,0
NVT,D,19950117,000000,4.55148,4.55148,4.55148,4.55148,33949.15265684626,0
NVT,D,19950118,000000,4.40088,4.40088,4.40088,4.40088,25679.08635564389,0
NVT,D,19950119,000000,4.40088,4.40088,4.40088,4.40088,53740.35386192508,0
NVT,D,19950120,000000,4.32567,4.32567,4.32567,4.32567,33520.29304041679,0
NVT,D,19950123,000000,4.21285,4.21285,4.21285,4.21285,42606.756163520644,0
NVT,D,19950124,000000,4.06242,4.06242,4.06242,4.06242,44801.31123196934,0
NVT,D,19950125,000000,3.98721,3.98721,3.98721,3.98721,73233.36361495474,0
NVT,D,19950126,000000,3.83678,3.83678,3.83678,3.83678,40661.252382737715,0
NVT,D,19950127,000000,3.83678,3.83678,3.83678,3.83678,48087.001314094996,0
NVT,D,19950130,000000,3.83678,3.83678,3.83678,3.83678,56947.866409805734,0
NVT,D,19950131,000000,3.64875,3.64875,3.64875,3.64875,40562.97205397299,0
NVT,D,19950201,000000,3.76147,3.76147,3.76147,3.76147,72177.96690264734,0
NVT,D,19950202,000000,3.46062,3.46062,3.46062,3.46062,107787.8337512412,0
NVT,D,19950203,000000,3.38541,3.38541,3.38541,3.38541,52136.597587984754,0
NVT,D,19950206,000000,3.72396,3.72396,3.72396,3.72396,39340.05205399776,0
NVT,D,19950207,000000,4.06242,4.06242,4.06242,4.06242,127260.74070975216,0
NVT,D,19950208,000000,4.06242,4.06242,4.06242,4.06242,130215.85150421616,0
NVT,D,19950209,000000,4.21285,4.21285,4.21285,4.21285,90557.50520364539,0
NVT,D,19950210,000000,4.02482,4.02482,4.02482,4.02482,76400.67057379491,0
NVT,D,19950213,000000,3.87429,3.87429,3.87429,3.87429,69302.15046434943,0
NVT,D,19950214,000000,4.06242,4.06242,4.06242,4.06242,47017.08591685577,0
NVT,D,19950215,000000,4.02482,4.02482,4.02482,4.02482,49316.622245576116,0
NVT,D,19950216,000000,4.13764,4.13764,4.13764,4.13764,86038.84372428464,0
NVT,D,19950217,000000,4.06242,4.06242,4.06242,4.06242,84063.1857517221,0
NVT,D,19950220,000000,3.87429,3.87429,3.87429,3.87429,36131.422684200144,0
NVT,D,19950221,000000,3.49814,3.49814,3.49814,3.49814,135643.6060246459,0
NVT,D,19950222,000000,3.57354,3.57354,3.57354,3.57354,55825.460382431214,0
NVT,D,19950223,000000,3.72396,3.72396,3.72396,3.72396,63370.70925899093,0
NVT,D,19950224,000000,4.06242,4.06242,4.06242,4.06242,114833.86323055346,0
NVT,D,19950227,000000,3.76147,3.76147,3.76147,3.76147,78290.33325868855,0
