<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL,D,19981118,000000,7.1935,7.36455,7.02753,7.02753,12359315.296968102,0
OPL,D,19981119,000000,6.98474,6.98474,6.6428,6.85655,8188690.211110893,0
OPL,D,19981120,000000,6.98474,7.15089,6.98474,7.15089,6212141.858973708,0
OPL,D,19981123,000000,7.23637,7.40734,7.23637,7.27916,6037958.344590635,0
OPL,D,19981124,000000,7.27916,7.27916,6.98474,7.02753,3770467.415990507,0
OPL,D,19981125,000000,7.02753,7.1081,6.94195,7.0654,2015964.1605200558,0
OPL,D,19981126,000000,7.0654,7.0654,6.94195,6.98474,1156990.839534222,0
OPL,D,19981127,000000,6.94195,6.94195,6.85655,6.85655,1671499.828420511,0
OPL,D,19981130,000000,6.77098,6.85655,6.77098,6.77098,2348545.7533740895,0
OPL,D,19981201,000000,6.6428,6.6428,6.55731,6.6001,2454854.419707816,0
OPL,D,19981202,000000,6.6001,6.72828,6.6001,6.68559,1420087.2963250505,0
OPL,D,19981203,000000,6.6428,6.94195,6.6428,6.85655,1292942.6454518447,0
OPL,D,19981204,000000,6.81368,7.1081,6.81368,7.1081,1926202.1371882127,0
OPL,D,19981207,000000,7.15089,7.15089,6.94195,7.02753,1268052.3818815665,0
OPL,D,19981208,000000,7.02753,7.1081,7.02753,7.0654,1782123.1000192,0
OPL,D,19981209,000000,7.0654,7.0654,7.02753,7.0654,1611969.6993624882,0
OPL,D,19981210,000000,7.15089,7.15089,7.0654,7.0654,2365912.9183039074,0
OPL,D,19981211,000000,7.02753,7.1081,6.94195,7.0654,1876542.436569842,0
OPL,D,19981214,000000,7.02753,7.15089,7.02753,7.1081,1214792.0509020586,0
OPL,D,19981215,000000,7.1081,7.15089,7.0654,7.0654,830636.206264473,0
OPL,D,19981216,000000,7.15089,7.27916,7.15089,7.23637,2199632.5568947154,0
OPL,D,19981217,000000,7.15089,7.1935,7.1081,7.1081,616646.9433587469,0
OPL,D,19981218,000000,7.15089,7.1935,7.15089,7.1935,1342304.6734564668,0
OPL,D,19981221,000000,7.15089,7.27916,7.15089,7.23637,944480.0538908786,0
OPL,D,19981222,000000,7.27916,7.36455,7.27916,7.32168,2416580.9711710652,0
OPL,D,19981223,000000,7.40734,7.57805,7.40734,7.53516,1745953.1313914112,0
OPL,D,19981228,000000,7.53516,7.6211,7.44995,7.53516,781186.3044255342,0
OPL,D,19981229,000000,7.49302,7.49302,7.36455,7.40734,1775813.7587152424,0
OPL,D,19981230,000000,7.40734,7.49302,7.40734,7.40734,728935.4241177422,0
OPL,D,19981231,000000,7.40734,7.44995,7.40734,7.44995,366101.0669542375,0
OPL,D,19990104,000000,7.53516,7.92008,7.53516,7.92008,1759817.4256007692,0
OPL,D,19990105,000000,7.87747,7.9636,7.87747,7.92008,1957386.3641414428,0
OPL,D,19990106,000000,8.048,8.59887,8.048,8.59887,2246602.219760058,0
OPL,D,19990107,000000,8.81354,8.81354,8.38602,8.59887,2835207.524165335,0
OPL,D,19990108,000000,9.02658,9.66291,8.89912,9.58279,3182056.5324436566,0
OPL,D,19990111,000000,9.36889,9.36889,8.941,9.15494,2467615.897296496,0
OPL,D,19990112,000000,9.19682,9.45446,9.15494,9.24052,3262831.2593707326,0
OPL,D,19990113,000000,8.941,8.941,8.1333,8.3425,2630635.0410296,0
OPL,D,19990114,000000,8.21942,8.64148,8.21942,8.30427,3803478.3202746008,0
OPL,D,19990115,000000,8.048,8.47115,8.00539,8.42772,3874684.6850674897,0
OPL,D,19990118,000000,8.81354,9.70478,8.81354,9.58279,2458629.699314658,0
OPL,D,19990119,000000,9.58279,9.96245,9.36889,9.79127,3776464.8051826395,0
OPL,D,19990120,000000,10.0471,10.4741,10.0471,10.2602,3551102.471270441,0
OPL,D,19990121,000000,11.0258,11.1541,10.5606,10.7318,6674033.094293933,0
OPL,D,19990122,000000,10.2183,10.4322,10.0053,10.0053,3111856.3230536967,0
OPL,D,19990125,000000,9.79127,10.5178,9.79127,10.3904,1983758.4002428907,0
OPL,D,19990126,000000,10.7736,11.2816,10.7318,10.8984,2802746.9297686513,0
OPL,D,19990127,000000,11.0676,11.0676,10.7736,10.9402,2501881.2005654653,0
OPL,D,19990128,000000,10.7736,11.2388,10.7736,11.1952,2170448.558095125,0
OPL,D,19990129,000000,11.41,11.6667,11.41,11.6239,3084631.9107593745,0
OPL,D,19990201,000000,11.7095,11.7095,11.41,11.5384,2412886.974860966,0
OPL,D,19990202,000000,11.3253,11.4955,11.1952,11.2388,1250886.2283477488,0
OPL,D,19990203,000000,11.2388,11.3663,11.1114,11.2816,1037365.9920326895,0
OPL,D,19990204,000000,11.4955,11.4955,11.2816,11.2816,1140833.0382491914,0
OPL,D,19990205,000000,11.0676,11.1114,10.8984,10.9831,848399.901871646,0
OPL,D,19990208,000000,10.9402,11.3253,10.8164,11.1952,499541.8780562535,0
OPL,D,19990209,000000,11.0676,11.0676,10.7736,10.7736,500557.9192655433,0
OPL,D,19990210,000000,10.5178,10.6881,10.4322,10.5606,1108123.1018476328,0
OPL,D,19990211,000000,10.6453,10.7318,10.6034,10.6453,814800.2428976285,0
OPL,D,19990212,000000,11.0676,11.0676,10.6034,10.6453,696470.4360293422,0
OPL,D,19990215,000000,10.5606,10.6881,10.5606,10.6034,527267.1712061826,0
OPL,D,19990216,000000,10.6034,10.9402,10.6034,10.9402,1519327.6111109068,0
OPL,D,19990217,000000,10.7318,10.7736,10.5606,10.6034,664076.8454313248,0
OPL,D,19990218,000000,10.5606,10.5606,10.3904,10.3904,541562.0472036937,0
OPL,D,19990219,000000,10.2183,10.2183,9.58279,9.66291,2436540.414213233,0
OPL,D,19990222,000000,9.7476,9.7476,9.36889,9.53912,1241951.6562435722,0
OPL,D,19990223,000000,9.79127,9.79127,9.24052,9.24052,1368451.5328574774,0
OPL,D,19990224,000000,9.32519,9.32519,8.98379,9.15494,1627148.8058178136,0
OPL,D,19990225,000000,9.02658,9.24052,8.72796,8.85542,1529045.358763433,0
OPL,D,19990226,000000,8.85542,8.98379,8.76985,8.89912,1884545.5460302588,0
OPL,D,19990301,000000,9.36889,9.36889,8.941,9.02658,936856.9987638824,0
OPL,D,19990302,000000,9.24052,9.45446,9.19682,9.41167,870696.7889066451,0
OPL,D,19990303,000000,9.32519,9.41167,9.24052,9.24052,366932.57311146177,0
OPL,D,19990304,000000,9.24052,9.24052,9.06937,9.15494,333216.48130697414,0
OPL,D,19990305,000000,9.36889,9.66291,9.36889,9.62019,858432.8969047847,0
OPL,D,19990308,000000,9.66291,10.0053,9.66291,9.87691,1008886.0823305636,0
OPL,D,19990309,000000,10.1764,10.4741,10.0053,10.0471,1292450.5519796698,0
OPL,D,19990310,000000,10.09,10.09,9.87691,9.87691,423379.4290078884,0
