<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,D,20070912,000000,6.91197,7.54052,6.64378,6.64378,566245.2707582319,0
OPN,D,20070913,000000,6.61877,6.87019,6.61877,6.87019,83282.6288232954,0
OPN,D,20070914,000000,6.87019,6.87019,6.66074,6.67751,29225.8384287669,0
OPN,D,20070917,000000,6.75282,6.82822,6.61024,6.66074,20511.209607561897,0
OPN,D,20070918,000000,6.53503,6.74448,6.451,6.70271,14864.9650659189,0
OPN,D,20070919,000000,6.86176,7.03768,6.66907,7.03768,72863.6899583745,0
OPN,D,20070920,000000,7.07112,7.07112,6.75282,6.95384,76331.79912877739,0
OPN,D,20070921,000000,6.87019,6.91197,6.77792,6.77792,12224.4847164999,0
OPN,D,20070924,000000,6.97904,6.97904,6.82822,6.87019,8825.257642168799,0
OPN,D,20070925,000000,6.87853,6.87853,6.70271,6.82822,21156.1965071433,0
OPN,D,20070926,000000,6.81155,6.95384,6.81155,6.95384,86379.19214215949,0
OPN,D,20070927,000000,6.95384,7.54052,6.91197,7.37275,177215.89083466228,0
OPN,D,20070928,000000,7.2891,7.2891,6.99581,7.20516,76343.2794781227,0
OPN,D,20071001,000000,7.28076,7.35598,6.98737,7.18849,32964.2576428455,0
OPN,D,20071002,000000,7.18849,7.54052,7.10475,7.2136,43236.0393025221,0
OPN,D,20071003,000000,7.33078,7.33078,6.84499,7.07112,33021.659389572,0
OPN,D,20071004,000000,7.07112,7.07965,6.79459,7.01257,25965.4192147017,0
OPN,D,20071005,000000,6.99581,7.20516,6.95384,7.20516,14305.5589523661,0
OPN,D,20071008,000000,7.12152,7.27243,7.12152,7.20516,15365.9257646229,0
OPN,D,20071009,000000,7.2388,7.2388,7.17172,7.20516,8756.375546096999,0
OPN,D,20071010,000000,7.12985,7.14652,7.04611,7.09622,7037.4541486688995,0
OPN,D,20071011,000000,7.19683,7.20516,7.10475,7.20516,3277.117904022,0
OPN,D,20071012,000000,7.22184,7.2891,7.12152,7.28076,5842.4541486354,0
OPN,D,20071015,000000,7.34783,7.36431,7.25547,7.34783,16327.144105261199,0
OPN,D,20071016,000000,7.2639,7.34783,7.2136,7.28076,9326.2183408728,0
OPN,D,20071017,000000,7.2891,7.35598,7.12152,7.35598,9544.344978433499,0
OPN,D,20071018,000000,7.35598,7.37275,7.2388,7.34783,6279.7510918790995,0
OPN,D,20071019,000000,7.29734,7.41471,7.20516,7.41471,6432.126637734899,0
OPN,D,20071022,000000,7.39814,7.39814,7.13809,7.33921,12530.279476333799,0
OPN,D,20071023,000000,7.33921,7.37275,7.12152,7.37275,21016.3449787551,0
OPN,D,20071024,000000,7.33921,7.33921,7.16339,7.2388,9697.7641924116,0
OPN,D,20071025,000000,7.20516,7.37275,7.20516,7.34783,9772.9082972172,0
OPN,D,20071026,000000,7.12985,7.44815,7.12985,7.44815,28524.4934505813,0
OPN,D,20071029,000000,7.44815,7.62417,7.2891,7.61593,24198.489083647797,0
OPN,D,20071030,000000,7.69133,8.25243,7.69133,8.0012,49621.2008747535,0
OPN,D,20071031,000000,8.244,8.29382,8.06818,8.12691,16943.9519655405,0
OPN,D,20071102,000000,8.11848,8.8645,7.80008,8.54534,30142.179040146297,0
OPN,D,20071105,000000,8.78708,8.79609,7.54052,7.6325,76292.13974012999,0
OPN,D,20071106,000000,7.87559,7.87559,7.6325,7.76665,4384.449781782299,0
OPN,D,20071107,000000,7.95933,7.95933,7.47335,7.62417,15862.711790837699,0
OPN,D,20071108,000000,7.52346,8.0264,7.16339,7.52346,38676.2532761934,0
OPN,D,20071109,000000,7.94237,7.94237,7.17996,7.44815,22200.9082975656,0
OPN,D,20071112,000000,7.78341,7.86706,7.20516,7.51522,11558.6244544725,0
OPN,D,20071113,000000,7.62417,7.62417,7.22184,7.54052,316.2314410569,0
OPN,D,20071114,000000,8.0264,8.0264,7.62417,7.62417,40142.6069880249,0
OPN,D,20071115,000000,7.77498,7.77498,7.12152,7.37275,38320.362446489096,0
OPN,D,20071116,000000,7.23046,7.79156,7.23046,7.79156,11116.1091706173,0
OPN,D,20071119,000000,7.89236,7.89236,7.37275,7.37275,12881.995633548899,0
OPN,D,20071120,000000,7.37275,7.53199,7.20516,7.53199,4623.449781789,0
OPN,D,20071121,000000,7.46492,7.46492,7.03768,7.20516,16462.8209611602,0
