<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OVO,D,20110629,000000,54.4712,55.5427,44.6488,55.5427,85928.57142628,0
OVO,D,20110630,000000,55.2748,55.3644,52.5065,55.3644,14049.6428567682,0
OVO,D,20110701,000000,55.3196,55.3196,55.2748,55.2748,14.9999999996,0
OVO,D,20110704,000000,55.2748,55.2748,52.9536,53.578,1007.1428571160001,0
OVO,D,20110705,000000,51.7925,53.5341,51.3464,51.4799,691.071428553,0
OVO,D,20110706,000000,51.2568,51.2568,47.3275,48.3989,8861.7857140494,0
OVO,D,20110707,000000,48.2207,49.7831,46.3456,49.7831,10524.6428568622,0
OVO,D,20110708,000000,49.7831,50.9889,49.7831,50.9889,112.499999997,0
OVO,D,20110711,000000,51.0337,51.0337,51.0337,51.0337,1.0714285714,0
OVO,D,20110712,000000,50.0061,50.0061,48.4885,49.1139,2849.999999924,0
OVO,D,20110713,000000,50.5867,50.5867,50.0061,50.0061,2.1428571428,0
OVO,D,20110714,000000,50.5867,50.5867,50.0061,50.0061,2.1428571428,0
OVO,D,20110715,000000,50.0061,50.0061,48.8899,48.8899,123.214285711,0
OVO,D,20110718,000000,49.1139,49.1139,48.2207,48.7564,18.2142857138,0
OVO,D,20110719,000000,48.0424,49.8727,48.0424,49.8727,969.6428571170001,0
OVO,D,20110720,000000,49.1139,49.1139,48.5333,49.0691,88.92857142620001,0
OVO,D,20110721,000000,48.2207,48.622,47.6849,48.622,1408.928571391,0
OVO,D,20110722,000000,49.1139,49.1139,48.1759,49.1139,1551.4285713872,0
OVO,D,20110725,000000,49.3817,52.6857,49.3817,52.5961,1152.8571428264,0
OVO,D,20110726,000000,52.5513,52.5513,51.3464,51.3464,126.4285714252,0
OVO,D,20110727,000000,51.3464,52.6857,51.3464,51.3464,16453.9285709898,0
OVO,D,20110728,000000,51.7925,51.7925,50.4084,51.7925,1134.6428571126,0
OVO,D,20110729,000000,52.15,52.15,52.15,52.15,2.1428571428,0
OVO,D,20110801,000000,52.15,52.15,50.6315,51.9708,314.9999999916,0
OVO,D,20110802,000000,50.8993,50.8993,50.0061,50.8993,242.1428571364,0
OVO,D,20110803,000000,50.8993,50.8993,46.7917,48.5781,314.9999999916,0
OVO,D,20110804,000000,48.622,50.8993,46.3456,46.3456,914.9999999756001,0
OVO,D,20110805,000000,41.7107,45.542,41.0769,45.0949,3835.714285612,0
OVO,D,20110808,000000,43.0416,45.1845,43.0416,43.2199,5697.8571427052,0
OVO,D,20110809,000000,45.0501,45.0501,40.5496,40.8091,41393.5714274676,0
OVO,D,20110810,000000,40.8091,40.8091,40.8091,40.8091,1.0714285714,0
OVO,D,20110811,000000,38.8444,40.1837,37.5051,38.3983,23763.2142850806,0
OVO,D,20110812,000000,40.1837,40.1837,39.2905,39.2905,368.5714285616,0
OVO,D,20110816,000000,39.2905,42.1484,39.2905,42.1484,23267.1428565224,0
OVO,D,20110817,000000,44.5592,44.5592,41.0769,42.4163,1945.7142856624,0
OVO,D,20110818,000000,42.7644,42.7644,40.6299,40.8091,147597.85713892122,0
OVO,D,20110819,000000,40.1837,40.1837,40.1837,40.1837,1315.7142856792,0
OVO,D,20110822,000000,40.1744,43.3095,40.1744,43.3095,1296.428571394,0
OVO,D,20110823,000000,43.3095,44.0235,43.3095,43.9339,78088.9285693462,0
OVO,D,20110824,000000,42.8624,45.6307,42.8624,44.2913,17506.071428104602,0
OVO,D,20110825,000000,43.7556,46.3456,43.7556,46.3456,506.78571427220004,0
OVO,D,20110826,000000,46.6583,52.0604,46.6583,50.8993,14098.9285710526,0
OVO,D,20110829,000000,52.0156,55.1861,52.0156,53.578,13357.4999996438,0
OVO,D,20110830,000000,55.0069,55.0069,50.0957,54.8735,14332.499999617801,0
OVO,D,20110831,000000,54.7839,54.9183,53.1319,54.9183,53222.1428557236,0
OVO,D,20110901,000000,54.8735,54.8735,50.0061,53.1319,1535.3571428162,0
OVO,D,20110902,000000,50.8993,52.7744,50.8993,52.1939,12043.9285711074,0
OVO,D,20110905,000000,50.8545,52.15,50.1853,51.7029,6688.928571250201,0
OVO,D,20110906,000000,52.1052,52.1052,50.274,51.7029,5758.928571275,0
OVO,D,20110907,000000,51.7925,53.3997,51.7925,53.3997,3204.6428570574003,0
OVO,D,20110908,000000,53.8907,54.0251,52.6857,54.0251,2786.7857142114,0
OVO,D,20110909,000000,54.0251,54.0251,51.3464,51.3464,20804.9999994452,0
OVO,D,20110912,000000,51.3903,51.3903,50.274,51.3464,890.3571428334001,0
OVO,D,20110913,000000,51.3464,53.3997,51.3464,53.3997,3209.9999999144,0
OVO,D,20110914,000000,53.3997,54.5608,53.3997,53.578,8423.5714283468,0
OVO,D,20110915,000000,54.2033,55.0965,52.2387,54.3816,18354.6428566534,0
OVO,D,20110916,000000,54.3377,55.6323,52.6857,53.578,17288.5714281104,0
OVO,D,20110919,000000,53.578,54.4712,53.578,54.4712,83.57142856920001,0
OVO,D,20110920,000000,54.4712,54.4712,54.4712,54.4712,1.0714285714,0
OVO,D,20110921,000000,54.4264,54.4264,52.4179,54.0251,34.2857142848,0
OVO,D,20110922,000000,54.0251,54.0251,52.4179,54.0251,73.9285714266,0
OVO,D,20110923,000000,53.578,53.578,51.3464,53.578,1429.2857142476,0
OVO,D,20110926,000000,53.578,53.578,51.7925,53.3997,452.1428571308,0
OVO,D,20110927,000000,53.4445,53.4445,52.6857,53.1319,16799.999999552,0
OVO,D,20110928,000000,53.1319,53.4893,50.0061,52.5961,5659.2857141348,0
OVO,D,20110929,000000,53.4893,53.4893,53.4893,53.4893,1.0714285714,0
OVO,D,20110930,000000,53.1767,53.4893,51.5247,53.4893,3413.5714284804003,0
OVO,D,20111003,000000,53.1319,53.1319,52.6857,52.6857,11.785714285400001,0
OVO,D,20111004,000000,53.1319,53.1319,50.0957,51.1672,498.214285701,0
OVO,D,20111005,000000,51.212,52.9536,51.212,52.9536,1240.7142856812,0
OVO,D,20111006,000000,53.1319,53.1319,51.7925,52.4617,1302.8571428224,0
OVO,D,20111007,000000,52.4179,52.4179,52.3283,52.3283,2.1428571428,0
OVO,D,20111010,000000,52.2387,52.2387,51.3464,51.7925,47.142857141600004,0
OVO,D,20111011,000000,52.8192,52.8192,52.6857,52.6857,2.1428571428,0
OVO,D,20111012,000000,52.9536,52.9536,52.2387,52.2387,1046.7857142578,0
OVO,D,20111013,000000,52.6857,52.6857,52.2387,52.2387,2.1428571428,0
OVO,D,20111014,000000,52.1939,52.9536,50.6315,52.9536,857.14285712,0
OVO,D,20111017,000000,52.9536,53.9355,52.6857,53.1319,2544.642857075,0
OVO,D,20111018,000000,53.578,53.578,53.2215,53.2215,32.142857142000004,0
OVO,D,20111019,000000,53.578,53.578,53.578,53.578,1.0714285714,0
OVO,D,20111020,000000,53.578,53.578,53.578,53.578,1.0714285714,0
OVO,D,20111021,000000,53.578,53.578,53.578,53.578,2.1428571428,0
OVO,D,20111024,000000,52.6857,54.4712,50.2301,53.5341,30400.7142849036,0
OVO,D,20111025,000000,53.4893,53.5341,52.6857,53.5341,559.2857142708,0
OVO,D,20111026,000000,54.4712,54.4712,52.6857,52.6857,194.9999999948,0
OVO,D,20111027,000000,52.6857,54.3816,52.6857,54.3816,858.2142856914,0
OVO,D,20111028,000000,54.2033,55.3644,53.578,53.578,2947.4999999214,0
OVO,D,20111031,000000,53.578,55.2748,52.6857,55.2748,1079.9999999712,0
OVO,D,20111102,000000,53.578,54.4712,53.578,54.4712,216.42857142280002,0
OVO,D,20111103,000000,54.4712,54.4712,54.4712,54.4712,2.1428571428,0
OVO,D,20111104,000000,54.4712,54.4712,54.4712,54.4712,1.0714285714,0
OVO,D,20111107,000000,54.4712,54.4712,54.4712,54.4712,2.1428571428,0
OVO,D,20111108,000000,54.4712,54.4712,54.4712,54.4712,1.0714285714,0
OVO,D,20111109,000000,55.23,55.23,55.23,55.23,1.0714285714,0
OVO,D,20111110,000000,54.9183,54.9183,54.9183,54.9183,1.0714285714,0
OVO,D,20111114,000000,55.1413,55.1413,52.9088,55.1413,484.2857142728,0
OVO,D,20111115,000000,55.1413,55.1413,55.1413,55.1413,1.0714285714,0
OVO,D,20111116,000000,54.4712,54.4712,54.4712,54.4712,1.0714285714,0
OVO,D,20111117,000000,54.2929,54.2929,54.2929,54.2929,2.1428571428,0
OVO,D,20111118,000000,54.2929,54.2929,52.5961,53.578,1398.2142856770001,0
OVO,D,20111121,000000,54.2929,54.2929,52.5961,53.578,1693.9285713834001,0
OVO,D,20111122,000000,52.9536,53.4893,52.9536,53.4893,337.499999991,0
OVO,D,20111123,000000,53.578,53.578,51.4799,52.6857,267.85714285,0
OVO,D,20111124,000000,53.578,54.4712,53.578,53.578,63303.2142840262,0
OVO,D,20111125,000000,53.578,53.578,52.6857,53.578,601.0714285554,0
OVO,D,20111128,000000,54.4712,54.4712,54.4712,54.4712,2.1428571428,0
OVO,D,20111129,000000,54.4712,54.4712,54.4712,54.4712,2.1428571428,0
OVO,D,20111130,000000,52.7296,55.3644,52.6857,55.3196,4518.2142855938,0
OVO,D,20111201,000000,55.3196,55.3196,53.578,55.3196,471.428571416,0
OVO,D,20111202,000000,55.3644,55.3644,53.6676,54.2033,2136.4285713716,0
OVO,D,20111205,000000,55.3196,55.3196,53.578,54.9183,66.4285714268,0
OVO,D,20111206,000000,55.3644,55.3644,55.3644,55.3644,1.0714285714,0
OVO,D,20111207,000000,54.4712,54.4712,53.5341,54.4712,5183.5714284332,0
OVO,D,20111208,000000,54.4712,55.3644,54.4712,55.3644,76.0714285694,0
OVO,D,20111209,000000,55.3644,55.3644,55.3644,55.3644,1.0714285714,0
OVO,D,20111212,000000,55.3644,55.3644,55.3644,55.3644,1.0714285714,0
OVO,D,20111213,000000,55.3644,55.3644,55.3644,55.3644,1.0714285714,0
OVO,D,20111214,000000,56.2576,59.8295,55.9001,57.0612,40282.4999989258,0
OVO,D,20111215,000000,57.1499,58.8915,57.1499,58.0431,26009.9999993064,0
OVO,D,20111216,000000,58.0431,58.0431,57.1499,57.5073,961.0714285458,0
OVO,D,20111219,000000,57.5969,58.0431,55.7657,57.9544,2006.7857142322,0
OVO,D,20111220,000000,57.9544,59.3376,57.9096,59.2937,14134.285713908801,0
OVO,D,20111221,000000,59.3376,60.9896,59.3376,60.7217,7279.2857140916,0
OVO,D,20111222,000000,60.9457,63.4013,60.9457,63.3117,3114.6428570598,0
OVO,D,20111223,000000,63.3117,63.4013,63.3117,63.4013,857.14285712,0
OVO,D,20111227,000000,63.4013,65.8121,63.3117,65.4547,2572.4999999314,0
OVO,D,20111228,000000,66.08,66.08,65.2764,65.2764,1423.9285713906,0
OVO,D,20111229,000000,65.2764,65.2764,60.0077,61.6597,42679.2857131476,0
OVO,D,20111230,000000,62.1059,64.2936,59.8295,59.8295,10554.642856861401,0
OVO,D,20120102,000000,61.6149,62.9543,60.7217,62.5081,9478.9285711758,0
OVO,D,20120103,000000,63.4013,66.08,63.4013,66.08,2823.214285639,0
OVO,D,20120104,000000,66.08,67.8664,65.0085,66.08,1640.3571428134,0
OVO,D,20120105,000000,65.1868,66.9732,65.1868,66.08,723.2142856950001,0
OVO,D,20120109,000000,66.9732,67.8664,66.9732,67.8664,1678.9285713838,0
OVO,D,20120110,000000,67.8664,71.3487,67.4193,71.3487,1241.7857142526,0
OVO,D,20120111,000000,71.3487,71.3487,69.4288,69.4736,142.49999999620002,0
OVO,D,20120112,000000,69.2944,71.974,69.2944,71.974,33095.3571419746,0
OVO,D,20120113,000000,72.3305,74.9205,71.7948,72.3305,11933.5714282532,0
OVO,D,20120116,000000,72.0627,75.2332,72.0627,74.2952,4817.1428570144,0
OVO,D,20120117,000000,75.0101,78.582,75.0101,77.6888,932.142857118,0
OVO,D,20120118,000000,78.582,78.582,73.6699,77.0187,1287.8571428228001,0
OVO,D,20120119,000000,77.1979,77.1979,73.5364,76.7956,2410.71428565,0
OVO,D,20120120,000000,77.7336,77.7336,75.9024,77.2417,117.857142854,0
OVO,D,20120123,000000,77.2417,78.582,77.2417,77.2417,1850.3571428078,0
OVO,D,20120124,000000,78.1349,78.582,75.9024,78.582,732.8571428376,0
OVO,D,20120125,000000,78.582,80.3675,76.2151,80.3675,1074.6428571142,0
OVO,D,20120126,000000,81.2607,82.0195,81.1711,81.1711,2148.214285657,0
OVO,D,20120127,000000,81.2607,85.1004,80.3675,84.6543,4413.2142855966,0
OVO,D,20120130,000000,84.1176,84.8325,82.6448,84.8325,1166.7857142546,0
OVO,D,20120131,000000,83.9393,85.0108,83.9393,84.3864,3706.0714284726,0
OVO,D,20120201,000000,85.0108,85.0108,83.0461,84.7877,1764.6428570958,0
OVO,D,20120202,000000,84.8325,84.8325,82.7783,83.9393,1118.5714285416,0
OVO,D,20120203,000000,84.1176,84.1176,82.9127,83.0461,1562.1428571012,0
OVO,D,20120206,000000,83.0461,83.0461,75.9024,79.3856,6648.214285537,0
OVO,D,20120207,000000,80.2779,83.0461,79.4743,83.0461,17330.357142395,0
OVO,D,20120208,000000,84.6543,84.6543,82.2425,83.6715,8138.5714283544,0
OVO,D,20120209,000000,84.6543,84.6543,80.3675,81.2607,1385.3571428202001,0
OVO,D,20120210,000000,81.2607,81.7068,80.3675,81.7068,534.6428571286,0
OVO,D,20120213,000000,81.7068,81.7068,80.4571,81.1711,130.7142857108,0
OVO,D,20120214,000000,81.1711,81.2607,80.3675,81.1263,6509.9999998264,0
OVO,D,20120215,000000,81.1263,82.4217,80.3227,82.4217,1034.9999999724,0
OVO,D,20120216,000000,82.6,83.0461,82.3769,83.0461,443.5714285596,0
OVO,D,20120217,000000,83.4932,85.1004,83.3588,84.8325,2057.1428570880003,0
OVO,D,20120220,000000,85.1004,85.1004,84.8325,85.1004,881.7857142622,0
OVO,D,20120221,000000,85.1004,85.1004,83.538,85.1004,397.4999999894,0
OVO,D,20120222,000000,85.1004,85.1004,76.7956,84.6543,1304.9999999652,0
OVO,D,20120223,000000,85.5465,85.5465,83.4932,85.2339,116.7857142826,0
OVO,D,20120224,000000,85.5017,85.5017,83.0461,83.7611,1901.7857142350001,0
OVO,D,20120227,000000,83.7611,83.7611,83.7611,83.7611,10.714285714,0
OVO,D,20120228,000000,83.7611,83.7611,81.7068,83.4932,1524.6428571022,0
OVO,D,20120229,000000,83.4932,87.8687,83.0461,87.5112,2649.6428570722,0
OVO,D,20120301,000000,87.5112,89.2976,87.0651,89.2976,387.8571428468,0
OVO,D,20120302,000000,91.8867,95.0973,91.8867,93.408,2488.9285713622003,0
OVO,D,20120305,000000,94.6587,94.6587,91.5301,94.2107,187.499999995,0
OVO,D,20120306,000000,94.2107,94.2107,89.2976,89.2976,1265.3571428234,0
OVO,D,20120307,000000,90.2795,92.0659,90.2795,91.9763,327.85714284840003,0
OVO,D,20120308,000000,91.9763,94.2107,89.2976,91.1727,372.8571428472,0
OVO,D,20120309,000000,91.798,93.3147,89.3863,91.8867,1197.8571428252,0
OVO,D,20120312,000000,92.7799,94.2107,90.0116,93.7627,1685.3571428122,0
OVO,D,20120313,000000,93.7627,102.695,93.7627,97.3373,5489.9999998536005,0
OVO,D,20120314,000000,106.176,106.176,99.12,100.903,3569.9999999048,0
OVO,D,20120315,000000,104.748,104.748,100.903,100.996,1298.5714285368,0
OVO,D,20120316,000000,104.029,104.029,98.224,100.903,829.2857142636,0
OVO,D,20120319,000000,100.016,100.903,98.3173,100.548,1330.7142856788,0
OVO,D,20120320,000000,101.351,107.156,100.464,105.373,4270.7142856004,0
OVO,D,20120321,000000,105.373,115.192,105.373,111.617,2382.8571427936,0
OVO,D,20120322,000000,112.513,113.857,109.835,111.533,1760.3571428102,0
OVO,D,20120323,000000,115.015,116.088,112.513,116.088,1076.785714257,0
OVO,D,20120326,000000,118.319,118.319,110.815,111.711,4797.8571427292,0
OVO,D,20120327,000000,111.617,113.316,105.905,107.156,11630.357142547,0
OVO,D,20120328,000000,108.939,108.939,96.4413,99.9227,10040.3571425894,0
OVO,D,20120329,000000,100.016,101.528,98.8493,100.903,7606.0714283686,0
OVO,D,20120330,000000,102.695,105.103,102.695,102.695,11578.9285711198,0
OVO,D,20120402,000000,104.477,104.477,97.3373,104.384,1379.9999999632,0
OVO,D,20120403,000000,101.799,101.799,99.652,101.528,749.99999998,0
OVO,D,20120404,000000,97.3373,101.267,94.7427,100.819,2038.9285713742001,0
OVO,D,20120405,000000,101.444,101.444,99.3907,100.277,1164.6428571118001,0
OVO,D,20120410,000000,100.464,100.725,96.8893,99.568,1401.4285713912,0
OVO,D,20120411,000000,99.9227,99.9227,93.5853,93.5853,8178.2142854962,0
OVO,D,20120412,000000,90.1899,91.8867,88.0469,91.8867,5986.0714284118,0
OVO,D,20120413,000000,88.9401,91.0831,88.0469,89.4759,4807.4999998718,0
OVO,D,20120416,000000,85.2787,91.8867,85.2787,91.798,1154.9999999692,0
OVO,D,20120417,000000,91.8867,91.8867,88.6275,90.9944,658.928571411,0
OVO,D,20120418,000000,90.9944,90.9944,84.0289,85.1452,3603.2142856182,0
OVO,D,20120419,000000,87.2433,88.4044,84.8773,88.4044,972.8571428312,0
OVO,D,20120420,000000,88.4044,88.4044,84.6095,87.4216,559.2857142708,0
OVO,D,20120423,000000,88.2261,88.2261,81.7068,85.5017,1159.2857142548,0
OVO,D,20120424,000000,85.5017,85.5017,82.1539,85.1004,575.3571428418,0
OVO,D,20120425,000000,85.1004,85.1004,84.8325,84.8325,34.2857142848,0
OVO,D,20120426,000000,84.8325,84.8325,81.4389,83.8497,689.9999999816,0
OVO,D,20120427,000000,83.4484,88.4044,81.5285,88.4044,14278.9285710478,0
OVO,D,20120430,000000,91.1727,93.3147,90.6369,93.3147,1216.071428539,0
OVO,D,20120502,000000,93.7627,94.5653,92.4224,92.4224,757.4999999798,0
OVO,D,20120504,000000,91.9763,95.5453,91.9763,92.0659,423.21428570300003,0
OVO,D,20120507,000000,92.0659,92.0659,90.2795,91.0831,174.64285713820001,0
OVO,D,20120508,000000,91.0831,91.0831,87.4216,87.4216,839.9999999776,0
OVO,D,20120509,000000,90.9944,90.9944,87.556,89.208,1763.5714285244,0
OVO,D,20120510,000000,88.6275,89.208,87.5112,89.208,414.6428571318,0
OVO,D,20120511,000000,95.5453,95.5453,86.618,88.4044,440.3571428454,0
OVO,D,20120514,000000,89.2976,89.2976,83.4932,88.4044,1468.9285713894,0
OVO,D,20120515,000000,88.3148,88.3148,85.7257,87.0651,490.7142857012,0
OVO,D,20120516,000000,87.6008,87.6008,80.8136,86.2615,1042.4999999722,0
OVO,D,20120517,000000,86.1719,86.1719,83.3588,84.8325,653.571428554,0
OVO,D,20120518,000000,82.4217,83.6715,81.2607,83.1357,449.999999988,0
OVO,D,20120521,000000,82.6,83.0461,75.992,80.3675,778.9285714078001,0
OVO,D,20120522,000000,82.1539,82.1539,79.4743,81.2607,425.3571428458,0
OVO,D,20120523,000000,79.4743,81.2607,68.8035,72.3305,20029.2857137516,0
OVO,D,20120524,000000,75.9024,75.9024,72.3305,72.4649,3432.8571427656,0
OVO,D,20120525,000000,74.7423,81.7068,74.7423,81.2607,5458.928571283001,0
OVO,D,20120528,000000,81.2607,81.2607,78.582,79.4743,43878.2142845442,0
OVO,D,20120529,000000,79.4743,80.3675,79.4743,80.3675,2.1428571428,0
OVO,D,20120530,000000,81.1711,81.1711,79.4743,80.2779,27.8571428564,0
OVO,D,20120531,000000,81.2607,81.2607,81.2607,81.2607,1.0714285714,0
OVO,D,20120601,000000,80.7697,80.7697,78.582,79.4304,1088.5714285424,0
OVO,D,20120604,000000,79.4304,79.4304,78.582,79.4304,740.3571428374,0
