<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAS,D,20180730,000000,14,16.8,13.99,16.5,8463,0
PAS,D,20180731,000000,17.9,17.9,13.1,13.31,1882,0
PAS,D,20180801,000000,14.95,15.3,11.96,15.3,1278,0
PAS,D,20180802,000000,15.49,17.9,13.5,13.6,490,0
PAS,D,20180803,000000,13.5,14,13,13.6,362,0
PAS,D,20180806,000000,13.7,15.9,13,14,1183,0
PAS,D,20180807,000000,12.9,15,12.9,15,143,0
PAS,D,20180808,000000,14.95,15.65,14.95,15.65,88,0
PAS,D,20180809,000000,14.3,16.35,12.6,13.8,1194,0
PAS,D,20180810,000000,14.4,14.4,14.4,14.4,1,0
PAS,D,20180813,000000,14.4,14.5,14.4,14.5,99,0
PAS,D,20180814,000000,14,14,13.5,13.5,450,0
PAS,D,20180816,000000,13,13,11,11.02,394,0
PAS,D,20180817,000000,12.4,12.5,12.4,12.5,209,0
PAS,D,20180820,000000,13,13,13,13,100,0
PAS,D,20180822,000000,12.01,12.01,10.8,10.8,145,0
PAS,D,20180823,000000,10.9,10.9,10.9,10.9,2,0
PAS,D,20180827,000000,11.5,11.8,11.5,11.8,161,0
PAS,D,20180829,000000,12,12,12,12,15,0
PAS,D,20180831,000000,12,12,12,12,83,0
PAS,D,20180903,000000,11.8,11.8,10.8,10.8,281,0
PAS,D,20180904,000000,11.05,11.5,10,11.5,700,0
PAS,D,20180905,000000,11.4,11.4,10,10.5,422,0
PAS,D,20180906,000000,9.8,10.1,9.5,9.5,551,0
PAS,D,20180907,000000,9.4,9.56,9.4,9.56,121,0
PAS,D,20180910,000000,9.56,9.56,8.9,9,180,0
PAS,D,20180911,000000,8.5,8.5,8,8.5,315,0
PAS,D,20180912,000000,8.48,8.48,8.48,8.48,117,0
PAS,D,20180913,000000,8.4,8.4,8.21,8.21,110,0
PAS,D,20180914,000000,8.8,8.8,8.8,8.8,4,0
PAS,D,20180917,000000,8.8,8.8,8.8,8.8,36,0
PAS,D,20180918,000000,8.8,10,8.8,10,125,0
PAS,D,20180919,000000,9.5,9.5,8.8,8.81,330,0
PAS,D,20180921,000000,9.98,9.98,9.98,9.98,5,0
PAS,D,20180924,000000,9.31,9.31,9.31,9.31,175,0
PAS,D,20180927,000000,9.31,9.31,9.31,9.31,188,0
PAS,D,20180928,000000,9.3,9.66,9.3,9.66,99,0
PAS,D,20181016,000000,9.66,9.66,9.66,9.66,102,0
PAS,D,20181018,000000,9.6,9.6,9.6,9.6,30,0
PAS,D,20181023,000000,10,10.32,10,10.32,9,0
PAS,D,20181025,000000,10.4,10.95,10.4,10.95,63,0
PAS,D,20181026,000000,10.2,11,10.2,11,21,0
PAS,D,20181029,000000,10.95,10.95,10.2,10.2,102,0
PAS,D,20181030,000000,10.2,10.2,10,10,15,0
PAS,D,20181031,000000,9.7,10.32,9.7,10.32,14,0
PAS,D,20181105,000000,9.6,9.6,9.6,9.6,40,0
PAS,D,20181108,000000,9.5,9.5,8,9,270,0
PAS,D,20181109,000000,8.5,9,7.2,9,449,0
PAS,D,20181113,000000,9,9.12,9,9.12,30,0
PAS,D,20181114,000000,8.5,8.5,7.3,8.5,391,0
PAS,D,20181115,000000,8.5,8.6,7.01,8,648,0
PAS,D,20181116,000000,8,9.6,6.4,7.01,1716,0
PAS,D,20181119,000000,8,8,7,7,2,0
PAS,D,20181120,000000,8,8,8,8,1,0
PAS,D,20181121,000000,8.6,9.6,8.6,8.92,210,0
PAS,D,20181123,000000,10,10,10,10,1,0
PAS,D,20181126,000000,9.24,9.24,9.24,9.24,1,0
PAS,D,20181204,000000,9.24,10,9,9,166,0
PAS,D,20181205,000000,9.05,9.72,9.05,9.72,10,0
PAS,D,20181207,000000,9.72,11,9,9,40,0
PAS,D,20181211,000000,9.72,9.72,9.72,9.72,106,0
PAS,D,20181212,000000,10.2,12,10,10,104,0
PAS,D,20181213,000000,11.35,11.35,11.35,11.35,5,0
PAS,D,20181217,000000,11.8,12,10,10,25,0
PAS,D,20181218,000000,11,11,11,11,4,0
PAS,D,20181220,000000,11,13,10,13,202,0
PAS,D,20190102,000000,12,12.7,10.4,10.4,181,0
PAS,D,20190103,000000,12.35,12.35,12.35,12.35,118,0
PAS,D,20190104,000000,13,13,13,13,490,0
PAS,D,20190107,000000,13.1,13.1,10.5,10.5,440,0
PAS,D,20190108,000000,10.7,10.7,9.05,9.05,110,0
PAS,D,20190109,000000,10,10,10,10,10,0
PAS,D,20190110,000000,10.75,10.75,10.5,10.75,290,0
PAS,D,20190111,000000,11.25,11.5,10.5,10.5,105,0
PAS,D,20190114,000000,11.5,11.5,9.2,9.2,262,0
PAS,D,20190115,000000,10.7,11,9.25,11,109,0
PAS,D,20190116,000000,11,12,11,12,94,0
PAS,D,20190117,000000,11.11,11.11,11.1,11.1,165,0
PAS,D,20190118,000000,11.25,11.5,11,11.5,427,0
PAS,D,20190121,000000,11,11,11,11,55,0
PAS,D,20190122,000000,11.25,11.25,10.5,10.5,385,0
PAS,D,20190123,000000,10,10.2,10,10.2,250,0
PAS,D,20190124,000000,10.5,10.5,10.5,10.5,100,0
PAS,D,20190125,000000,10.2,10.2,9.25,9.25,164,0
PAS,D,20190128,000000,10.32,10.32,10.32,10.32,1,0
PAS,D,20190129,000000,9.25,9.25,8.5,8.5,471,0
PAS,D,20190130,000000,9.6,11,9.6,11,216,0
PAS,D,20190131,000000,10.45,12,10.2,10.2,135,0
PAS,D,20190201,000000,10,10.4,10,10.4,205,0
PAS,D,20190204,000000,10.1,10.1,10,10,205,0
PAS,D,20190206,000000,9.7,9.88,9.7,9.88,241,0
PAS,D,20190207,000000,10.1,11,10.01,10.01,230,0
PAS,D,20190208,000000,10,10,10,10,105,0
PAS,D,20190215,000000,9.77,11,9.77,11,21,0
PAS,D,20190226,000000,10.4,12,10.4,12,110,0
PAS,D,20190227,000000,11.15,11.15,10,10,161,0
PAS,D,20190301,000000,10.5,12,10.4,12,201,0
PAS,D,20190307,000000,10.75,11,10.01,10.01,105,0
PAS,D,20190308,000000,10.7,10.7,10.01,10.01,96,0
PAS,D,20190311,000000,10,10.75,9.82,9.82,146,0
PAS,D,20190312,000000,10.5,10.5,9.83,9.83,103,0
PAS,D,20190314,000000,10.05,10.5,9.83,9.83,4,0
PAS,D,20190315,000000,10,10,10,10,2,0
PAS,D,20190318,000000,10,10.5,10,10.4,181,0
PAS,D,20190319,000000,9.83,9.83,9.83,9.83,2,0
PAS,D,20190320,000000,10.4,11.15,9.83,9.83,13,0
PAS,D,20190322,000000,10.4,10.4,8.33,8.33,142,0
PAS,D,20190325,000000,9.8,9.98,9.8,9.8,427,0
PAS,D,20190326,000000,8.4,8.4,8.4,8.4,2,0
PAS,D,20190327,000000,9.3,9.66,8.5,8.5,326,0
PAS,D,20190329,000000,9.4,10.32,9.4,10.32,145,0
PAS,D,20190401,000000,10.2,12,10.2,11,126,0
PAS,D,20190402,000000,10.6,12.6,10.6,12.6,27,0
PAS,D,20190403,000000,10.9,13,10.9,13,6,0
PAS,D,20190404,000000,12,14.4,12,14.4,26,0
PAS,D,20190408,000000,12.9,12.9,11.5,11.5,15,0
PAS,D,20190409,000000,11.5,11.5,11.5,11.5,5,0
PAS,D,20190410,000000,11.5,11.5,11.5,11.5,5,0
PAS,D,20190411,000000,11.5,11.5,11.5,11.5,5,0
PAS,D,20190412,000000,11.5,11.5,11.5,11.5,7,0
PAS,D,20190415,000000,11.5,11.5,11.5,11.5,5,0
PAS,D,20190416,000000,11.5,11.5,11.5,11.5,15,0
PAS,D,20190417,000000,11.5,11.5,11.5,11.5,10,0
PAS,D,20190418,000000,11.4,11.4,10.1,10.1,165,0
PAS,D,20190423,000000,10.9,10.9,10.9,10.9,18,0
PAS,D,20190424,000000,11.5,11.5,11.5,11.5,1,0
PAS,D,20190425,000000,11.5,11.5,11.5,11.5,1,0
PAS,D,20190426,000000,10.8,10.8,10.1,10.1,200,0
PAS,D,20190429,000000,10.1,10.1,10.1,10.1,1,0
PAS,D,20190507,000000,10.3,10.3,10.3,10.3,1,0
