<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX,D,20150708,000000,8.71126,8.71126,8.71126,8.71126,620.4311352105723,0
PBX,D,20150709,000000,8.71126,8.71126,8.6693,8.6693,15423.91802133483,0
PBX,D,20150710,000000,8.92179,8.97373,8.79868,8.79868,5837.222930439469,0
PBX,D,20150713,000000,8.79868,9.01696,8.79868,9.01696,16321.475063606124,0
PBX,D,20150714,000000,9.14732,9.23454,9.01696,9.19103,12509.959789629174,0
PBX,D,20150715,000000,9.23454,9.23454,9.23454,9.23454,23874.190082902824,0
PBX,D,20150716,000000,9.29547,9.39121,9.29547,9.39121,30157.089378801888,0
PBX,D,20150717,000000,9.42603,9.49565,9.40862,9.40862,8323.083678849829,0
PBX,D,20150720,000000,9.45214,9.58463,9.45214,9.58463,3468.2100458270997,0
PBX,D,20150721,000000,9.58463,9.58463,9.33898,9.48695,2683.3646597857255,0
PBX,D,20150722,000000,9.23454,9.23454,9.23454,9.23454,3212.799228498747,0
PBX,D,20150723,000000,9.32158,9.33126,9.32158,9.33126,171.65261407492503,0
PBX,D,20150724,000000,9.13871,9.13871,9.13871,9.13871,68.24742487316296,0
PBX,D,20150728,000000,9.32158,9.32158,9.2007,9.2007,111.67760433790303,0
PBX,D,20150729,000000,9.2007,9.40862,8.99065,9.32158,651.452691971101,0
PBX,D,20150730,000000,9.32158,9.32158,9.32158,9.32158,17244.88340317786,0
PBX,D,20150731,000000,9.39121,9.39121,8.99065,8.99065,5767.941453674288,0
PBX,D,20150803,000000,9.14732,9.14732,9.14732,9.14732,24331.241019174613,0
PBX,D,20150804,000000,9.32158,9.32158,9.32158,9.32158,23014.89296063618,0
PBX,D,20150805,000000,9.10341,9.14732,9.10341,9.14732,15653.477541362741,0
PBX,D,20150806,000000,9.15679,9.15679,9.15679,9.15679,10.340518920176207,0
PBX,D,20150807,000000,9.22584,9.32158,9.22584,9.32158,2583.061626260016,0
PBX,D,20150810,000000,9.3651,9.3651,9.32158,9.32158,430.1655870793302,0
PBX,D,20150811,000000,9.25195,9.25195,9.25195,9.25195,54.80475027693389,0
PBX,D,20150812,000000,9.23454,9.23454,9.14732,9.14732,7918.769389070939,0
PBX,D,20150813,000000,9.25195,9.3651,9.25195,9.3651,163.38019893878405,0
PBX,D,20150818,000000,9.31191,9.31191,9.31191,9.31191,573.8988000697794,0
PBX,D,20150819,000000,9.23358,9.50629,9.22488,9.22488,396.04187464274867,0
PBX,D,20150820,000000,9.22488,9.26066,9.22488,9.25098,2133.2490532323513,0
PBX,D,20150824,000000,8.79501,9.21714,8.76871,9.12914,24914.446286272552,0
PBX,D,20150825,000000,9.12914,9.12914,9.08349,9.12914,21663.38713776915,0
PBX,D,20150828,000000,9.12914,9.21714,9.12914,9.21714,11894.69891387869,0
PBX,D,20150831,000000,9.26066,9.34866,9.21714,9.34866,8876.301441079255,0
PBX,D,20150901,000000,9.34866,9.34866,9.21714,9.31191,4618.075749750694,0
PBX,D,20150902,000000,9.33898,9.33898,9.33126,9.33126,7341.768433325106,0
PBX,D,20150903,000000,9.30417,9.34866,9.30417,9.34866,20541.440834930032,0
PBX,D,20150904,000000,9.21714,9.21714,9.21714,9.21714,9100.690701647078,0
PBX,D,20150907,000000,8.95303,9.32158,8.86513,9.26936,1857.1571980636465,0
PBX,D,20150908,000000,9.12914,9.19973,8.9099,9.19973,80602.27687898949,0
PBX,D,20150910,000000,9.12914,9.12914,9.12914,9.12914,330.8966054456386,0
PBX,D,20150911,000000,9.12914,9.31191,9.12914,9.28773,13430.265973524856,0
PBX,D,20150914,000000,9.28773,9.28773,9.04142,9.21714,7418.28827333441,0
PBX,D,20150915,000000,9.26936,9.26936,9.21714,9.25098,2104.2956002558576,0
PBX,D,20150916,000000,9.25098,9.25098,9.18155,9.18155,1454.9110120687922,0
PBX,D,20150917,000000,9.20844,9.20844,9.14635,9.14635,6966.40759652271,0
PBX,D,20150918,000000,9.12914,9.12914,9.12914,9.12914,788.9815936094445,0
PBX,D,20150921,000000,9.12914,9.12914,9.08349,9.08349,636.9759654828543,0
PBX,D,20150922,000000,9.08349,9.12914,9.08349,9.12914,3557.138508540615,0
PBX,D,20150923,000000,9.12914,9.12914,9.12914,9.12914,703.1552865719821,0
PBX,D,20150924,000000,9.19006,9.30417,9.07488,9.30417,46709.15801432794,0
PBX,D,20150925,000000,9.08349,9.15583,9.08349,9.15583,906.8635092994533,0
PBX,D,20150928,000000,9.21714,9.21714,9.17207,9.17207,1848.8847829275057,0
PBX,D,20150929,000000,9.21714,9.21714,9.21714,9.21714,10.340518920176207,0
PBX,D,20150930,000000,9.20844,9.21714,9.20844,9.21714,21.715089732370032,0
PBX,D,20151001,000000,9.20844,9.28773,9.13774,9.21714,33897.25507222962,0
PBX,D,20151002,000000,9.29547,9.29547,9.21714,9.21714,68205.02874559023,0
PBX,D,20151005,000000,9.21714,9.29547,9.18155,9.21714,3559.20661232465,0
PBX,D,20151006,000000,9.21714,9.47051,9.10254,9.43666,44383.57530918031,0
PBX,D,20151007,000000,9.43666,9.43666,9.34866,9.41926,3717.4165518033465,0
PBX,D,20151008,000000,9.41926,9.43666,9.21714,9.39121,1378.3911720594883,0
PBX,D,20151009,000000,9.43666,9.43666,9.31191,9.43666,2549.9719657154524,0
PBX,D,20151012,000000,9.43666,9.6117,9.427,9.60203,2480.6904889502716,0
PBX,D,20151013,000000,9.56722,10.0507,9.56722,10.0507,21640.637996144764,0
PBX,D,20151015,000000,9.91049,9.91923,9.74322,9.91923,820.0031503699731,0
PBX,D,20151016,000000,9.74322,10.0507,9.47921,10.0324,8215.542282079996,0
PBX,D,20151019,000000,10.104,10.4898,10.104,10.4463,32946.96138346543,0
PBX,D,20151020,000000,10.4463,10.4463,10.0507,10.0507,9574.286468191149,0
PBX,D,20151021,000000,10.0507,10.0507,9.79545,10.0062,8507.144915628965,0
PBX,D,20151022,000000,9.91923,10.0942,9.91923,10.0942,29052.72195812707,0
PBX,D,20151023,000000,10.0942,10.1987,10.0942,10.1987,2209.768893241655,0
PBX,D,20151026,000000,9.74322,10.1987,9.74322,10.1987,97.20087784965634,0
PBX,D,20151027,000000,10.1823,10.4463,10.0062,10.4008,4456.763654595945,0
PBX,D,20151028,000000,9.91923,10.3573,9.91923,10.3573,5732.783689345689,0
PBX,D,20151029,000000,10.3408,10.3573,10.1823,10.3408,6634.476939185053,0
PBX,D,20151030,000000,10.3408,10.3573,10.1291,10.3573,1928.5067786128625,0
PBX,D,20151102,000000,10.3148,10.4096,10.3148,10.4096,7277.657216020014,0
PBX,D,20151103,000000,10.3573,10.3573,9.91923,10.3573,1107.4695763508716,0
PBX,D,20151104,000000,10.3408,10.3408,9.92797,10.3408,257.4789211123875,0
PBX,D,20151105,000000,10.3148,10.3408,9.94437,10.3408,1169.512689871929,0
PBX,D,20151106,000000,9.96371,10.3148,9.95409,10.3148,1248.100633665268,0
PBX,D,20151109,000000,10.3051,10.3051,10.3051,10.3051,113.74570812193826,0
