<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR,D,20140625,000000,15.7492,15.7492,14.5067,14.5067,193201.33710873,0
PCR,D,20140626,000000,14.5501,15.4429,14.5501,15.0412,32389.991895209,0
PCR,D,20140627,000000,15.0752,15.3118,15.071,15.1118,4710.7374390674,0
PCR,D,20140630,000000,15.1195,15.3076,15.1195,15.2242,4116.1669366558,0
PCR,D,20140701,000000,15.2727,15.2727,15.0888,15.0939,752.025931904,0
PCR,D,20140702,000000,15.1595,15.1595,14.8131,14.8744,76374.108587444,0
PCR,D,20140703,000000,14.8744,14.8744,14.7467,14.8744,11247.487844039,0
PCR,D,20140704,000000,14.8744,15.3118,14.8744,15.3118,426.5397082518,0
PCR,D,20140707,000000,15.3076,15.3076,14.8744,14.8744,64622.528360926,0
PCR,D,20140708,000000,14.8744,14.8744,14.8701,14.8744,2693.1928686312,0
PCR,D,20140709,000000,14.8429,14.8429,14.8131,14.8131,226.7828200898,0
PCR,D,20140710,000000,14.8131,14.8131,14.7033,14.7033,173.9059967528,0
PCR,D,20140711,000000,14.6999,14.6999,14.6557,14.6999,216.2074554224,0
PCR,D,20140714,000000,14.7825,14.7859,14.7825,14.7859,13464.789302637,0
PCR,D,20140715,000000,14.7033,14.8744,14.7033,14.8744,250.2836304618,0
PCR,D,20140716,000000,14.8744,14.8744,14.7433,14.7433,34.0761750394,0
PCR,D,20140717,000000,14.7084,14.7859,14.6114,14.7859,1041.0858994796,0
PCR,D,20140718,000000,14.5723,14.5723,14.568,14.568,12164.019448547,0
PCR,D,20140721,000000,14.6872,14.7391,14.5893,14.5893,9131.2398700406,0
PCR,D,20140722,000000,14.5893,14.7391,14.5893,14.7391,25.8508914092,0
PCR,D,20140723,000000,14.7433,14.7433,14.568,14.568,6094.9351699782,0
PCR,D,20140725,000000,14.694,14.694,14.3927,14.4361,9366.2479737606,0
PCR,D,20140728,000000,14.5238,14.694,14.5238,14.694,1153.8897892652,0
PCR,D,20140729,000000,14.7391,14.7433,14.6778,14.7391,3069.2058345832,0
PCR,D,20140730,000000,14.694,14.6999,14.694,14.6999,1690.8833062654,0
PCR,D,20140731,000000,14.6999,14.6999,14.694,14.6999,689.7487844182,0
PCR,D,20140801,000000,14.6906,14.6906,14.568,14.6727,3667.3014585506,0
PCR,D,20140804,000000,14.6999,14.6999,14.6335,14.6872,8596.5964340776,0
PCR,D,20140805,000000,14.6778,14.6778,14.5893,14.6114,8821.0291731302,0
PCR,D,20140806,000000,14.6114,14.6114,14.4361,14.4897,18448.13614202,0
PCR,D,20140807,000000,14.4327,14.4727,14.305,14.4361,13563.4927062,0
PCR,D,20140808,000000,14.4327,14.4633,14.2182,14.4633,7831.645056469,0
PCR,D,20140811,000000,14.328,14.568,14.2616,14.5552,3703.7277146272,0
PCR,D,20140812,000000,14.5638,14.5638,14.4667,14.5638,14946.515396592,0
PCR,D,20140813,000000,14.5638,14.5638,14.4727,14.5195,18557.41491025,0
PCR,D,20140814,000000,14.6114,14.6114,14.4667,14.5586,4715.4376011418,0
PCR,D,20140818,000000,14.6114,14.6114,14.5374,14.568,9197.0421390822,0
PCR,D,20140819,000000,14.4752,14.568,14.4752,14.568,12232.171798626,0
PCR,D,20140820,000000,14.568,14.568,14.4727,14.4727,1526.3776336614,0
PCR,D,20140821,000000,14.5586,14.5586,14.4667,14.5238,2696.717990187,0
PCR,D,20140822,000000,14.5238,14.5238,14.4667,14.4667,1408.8735818014,0
PCR,D,20140825,000000,14.5416,14.568,14.5374,14.568,5532.0907615688,0
PCR,D,20140826,000000,14.5638,14.5638,14.4855,14.5238,2515.7617503226,0
PCR,D,20140827,000000,14.5169,14.5238,14.4667,14.5169,1783.7115072348,0
PCR,D,20140828,000000,14.4667,14.4667,13.1247,13.9331,17683.184764411,0
PCR,D,20140829,000000,13.9255,14.1084,13.5621,14.1084,11552.998378875,0
PCR,D,20140901,000000,14.1084,14.1084,13.6497,13.78,7003.241490856,0
PCR,D,20140902,000000,13.9331,13.9331,13.6497,13.8982,1599.2301458146,0
PCR,D,20140903,000000,13.9034,14.3748,13.6753,14.3459,4197.2447324392,0
PCR,D,20140904,000000,14.3459,14.3459,14.305,14.305,58.75202593,0
PCR,D,20140905,000000,14.2923,14.2923,14.2923,14.2923,2.3500810372,0
PCR,D,20140908,000000,14.0004,14.2182,14.0004,14.2182,2838.8978929376,0
PCR,D,20140909,000000,14.2838,14.2838,14.0123,14.2574,897.7309562104,0
PCR,D,20140910,000000,14.2574,14.2574,14.0914,14.248,421.8395461774,0
PCR,D,20140911,000000,14.248,14.248,14.0004,14.1263,4770.664505516,0
PCR,D,20140912,000000,14.0821,14.0821,13.9119,14.0004,5716.572122989,0
PCR,D,20140915,000000,14.0821,14.0821,14.0004,14.0004,447.6904375866,0
PCR,D,20140916,000000,14.0821,14.0821,13.8685,14.0395,1666.2074553748,0
PCR,D,20140917,000000,14.0004,14.0744,13.9119,14.0744,3231.36142615,0
PCR,D,20140918,000000,14.0004,14.0004,13.9553,14.0004,2366.5316044604,0
PCR,D,20140919,000000,13.9119,14.1748,13.9119,14.1748,29016.450566308,0
PCR,D,20140922,000000,14.0038,14.231,14.0004,14.231,19258.914099854,0
PCR,D,20140923,000000,14.2182,14.2182,14.2182,14.2182,2.3500810372,0
PCR,D,20140924,000000,14.2182,14.2182,14.0038,14.0038,12934.846028749,0
PCR,D,20140925,000000,14.0038,14.2182,14.0038,14.214,2049.2706644384,0
PCR,D,20140926,000000,14.2182,14.2182,14.0072,14.214,64.627228523,0
PCR,D,20140929,000000,14.2182,14.2182,14.0523,14.2182,918.8816855452,0
PCR,D,20140930,000000,14.2182,14.2182,14.1748,14.214,1353.6466774272,0
PCR,D,20141001,000000,14.0216,14.0259,14.0216,14.0259,260.8589951292,0
PCR,D,20141002,000000,14.0259,14.6114,14.0259,14.6072,21773.500809658,0
PCR,D,20141003,000000,14.6114,14.6114,14.4412,14.5723,1245.542949716,0
PCR,D,20141006,000000,14.5723,14.8608,14.5723,14.8608,16035.777957334,0
PCR,D,20141007,000000,14.8301,14.8301,14.8046,14.8089,835.4538087246,0
PCR,D,20141008,000000,14.8089,14.8301,14.7859,14.8301,3581.5235006928,0
PCR,D,20141009,000000,14.8301,14.8301,14.7203,14.8301,4882.293354783,0
PCR,D,20141010,000000,14.7859,14.7859,14.6599,14.7825,5621.3938409824,0
PCR,D,20141013,000000,14.8259,14.8301,14.7952,14.8301,14619.854132421,0
PCR,D,20141014,000000,14.8531,14.8531,14.6114,14.8174,1920.0162073924,0
PCR,D,20141015,000000,14.8174,14.8174,14.6693,14.6999,701.4991896042,0
PCR,D,20141016,000000,14.7859,14.8301,14.7433,14.8259,7701.2155589044,0
PCR,D,20141017,000000,14.8259,14.8301,14.8225,14.8301,5717.7471635076,0
PCR,D,20141020,000000,14.8531,14.8531,14.6906,14.848,285.5348460198,0
PCR,D,20141021,000000,14.8301,14.8701,14.7433,14.8608,8348.662884653,0
PCR,D,20141022,000000,14.8701,14.8744,14.6999,14.8744,3392.3419771982,0
PCR,D,20141023,000000,14.8744,14.8744,14.7859,14.8744,8005.5510532218,0
PCR,D,20141024,000000,14.9169,15.0063,14.8531,14.8744,7181.8476496832,0
PCR,D,20141027,000000,14.8744,14.9884,14.8744,14.9833,867.1799027268,0
PCR,D,20141028,000000,14.9799,14.9799,14.8744,14.962,235.00810372,0
PCR,D,20141029,000000,14.962,14.962,14.7859,14.8701,398.3387358054,0
PCR,D,20141030,000000,14.8744,14.8744,14.5067,14.865,3424.0680712004,0
PCR,D,20141031,000000,14.8744,14.962,14.8701,14.9484,32434.643434916,0
PCR,D,20141103,000000,14.9484,14.9484,14.6778,14.7654,1561.6288492194,0
PCR,D,20141104,000000,14.8974,14.8974,14.8744,14.8974,5856.4019447024,0
PCR,D,20141105,000000,14.6693,14.9135,14.6693,14.8744,97907.901131308,0
PCR,D,20141106,000000,14.9101,14.9101,14.8786,14.8786,269.0842787594,0
PCR,D,20141107,000000,14.8974,14.8974,14.8974,14.8974,28.2009724464,0
PCR,D,20141110,000000,14.8974,14.8974,14.8744,14.8744,2310.1296595676,0
PCR,D,20141112,000000,14.8744,14.8744,14.734,14.8744,7366.3290111034,0
PCR,D,20141113,000000,14.8744,15.0488,14.7467,15.0446,5176.053484433,0
PCR,D,20141114,000000,15.0318,15.0318,14.7603,14.8352,2318.3549431978,0
PCR,D,20141117,000000,14.8352,14.962,14.8352,14.962,126.9043760088,0
PCR,D,20141118,000000,14.962,14.962,14.8531,14.8531,84.6029173392,0
PCR,D,20141119,000000,14.8352,15.0318,14.8352,14.962,3424.0680712004,0
PCR,D,20141120,000000,15.0318,15.0318,14.962,15.0233,601.6207455232,0
PCR,D,20141121,000000,15.0063,15.0063,14.848,15.0063,762.6012965714,0
PCR,D,20141124,000000,14.8786,15.0003,14.8786,15.0003,1116.28849267,0
PCR,D,20141125,000000,14.9569,14.9569,14.8089,14.8301,1314.8703403134,0
PCR,D,20141126,000000,14.9169,14.9169,14.7467,14.8744,1864.7893030182,0
PCR,D,20141127,000000,14.9135,14.9135,14.8744,14.8744,5509.7649917154,0
PCR,D,20141128,000000,14.8744,14.9135,14.7467,14.9135,1771.9611020488,0
PCR,D,20141201,000000,14.9169,14.9169,14.7603,14.9169,84.6029173392,0
PCR,D,20141202,000000,14.9169,14.9399,14.7859,14.9399,2713.1685574474,0
PCR,D,20141203,000000,14.9569,15.0446,14.7697,15.0446,3001.0534845044,0
